policy	n_clusters_max	n_witnesses	headwords	cum_ge	cum_ge_share
P0	15	1	142621	323425	1.0000
P0	15	2	61449	180804	0.5590
P0	15	3	46787	119355	0.3690
P0	15	4	28743	72568	0.2244
P0	15	5	17234	43825	0.1355
P0	15	6	10305	26591	0.0822
P0	15	7	5848	16286	0.0504
P0	15	8	3930	10438	0.0323
P0	15	9	2928	6508	0.0201
P0	15	10	1876	3580	0.0111
P0	15	11	967	1704	0.0053
P0	15	12	493	737	0.0023
P0	15	13	188	244	0.0008
P0	15	14	45	56	0.0002
P0	15	15	11	11	0.0000
P1	14	1	142985	323425	1.0000
P1	14	2	61712	180440	0.5579
P1	14	3	48647	118728	0.3671
P1	14	4	30826	70081	0.2167
P1	14	5	17881	39255	0.1214
P1	14	6	9202	21374	0.0661
P1	14	7	5114	12172	0.0376
P1	14	8	3287	7058	0.0218
P1	14	9	2025	3771	0.0117
P1	14	10	990	1746	0.0054
P1	14	11	506	756	0.0023
P1	14	12	193	250	0.0008
P1	14	13	46	57	0.0002
P1	14	14	11	11	0.0000
P2	12	1	151555	323425	1.0000
P2	12	2	91824	171870	0.5314
P2	12	3	38424	80046	0.2475
P2	12	4	20229	41622	0.1287
P2	12	5	9724	21393	0.0661
P2	12	6	5335	11669	0.0361
P2	12	7	3313	6334	0.0196
P2	12	8	1726	3021	0.0093
P2	12	9	860	1295	0.0040
P2	12	10	332	435	0.0013
P2	12	11	87	103	0.0003
P2	12	12	16	16	0.0000
P3	11	1	211272	323425	1.0000
P3	11	2	66077	112153	0.3468
P3	11	3	23175	46076	0.1425
P3	11	4	10766	22901	0.0708
P3	11	5	5630	12135	0.0375
P3	11	6	3425	6505	0.0201
P3	11	7	1748	3080	0.0095
P3	11	8	887	1332	0.0041
P3	11	9	341	445	0.0014
P3	11	10	88	104	0.0003
P3	11	11	16	16	0.0000
P4	9	1	228683	323425	1.0000
P4	9	2	63366	94742	0.2929
P4	9	3	19223	31376	0.0970
P4	9	4	7308	12153	0.0376
P4	9	5	2828	4845	0.0150
P4	9	6	1325	2017	0.0062
P4	9	7	506	692	0.0021
P4	9	8	160	186	0.0006
P4	9	9	26	26	0.0001
