varga	eid	n_lemmas	glossed	candidates
AK-1.1	35	1	1	
AK-1.1	36	1	1	1.1:1;1.5.3:1;2.6.2.3:1;8.3.3.3.4:1
AK-1.1	37	1	1	4.8.3.7:1;6.4.1:1;6.4.5:1
AK-1.1	38	1	1	2.5.6.1:2;1.1.1:1;1.1.3:1;1.6.4:1;2.1.4:1;2.3.5:1
AK-1.1	39	1	1	4.3.2.1:1
AK-1.1	40	1	1	2.3.3:2;3.3.1.7:1;3.3.4.4:1;6.3.1.1:1;6.8.1.5:1;7.2.1.6:1
AK-1.1	41	1	1	1.2.2.3:1;4.2.4:1;4.2.6.1.1:1;4.3:1;4.5.3.1:1;4.8.3.2:1
AK-1.1	42	3	1	3.4.1.1:6;2.6.2.2:3;3.3:3;3.3.1.1:3;3.4.1.1.1:3;3.2.1.2:2
AK-1.1	43	2	1	2.3.1.1:1;2.4:1;2.6.1:1;3.1:1;3.2.2.1:1;3.2.3.1:1
AK-1.1	44	14	1	1.5.3:3;8.3.3.1.1:3;1.1.1:2;1.1.3:2;1.5.1:2;2.3.1.4:2
AK-1.1	45	1	1	7.2.1.2:2;1.3.1.3:1;1.6.1.9:1;1.6.4.1:1;2.1.8.1:1;4.1.9.8:1
AK-1.1	46	1	1	1.1.3:1;1.6.1:1;1.6.1.2:1;1.6.1.5:1;1.6.1.7:1;2.3.1.1:1
AK-1.1	47	1	1	1.6.1:1;2.5.3:1;3.2.5.1:1;4:1;4.2.1.8:1;4.2.6.1.1:1
AK-1.1	48	1	1	2.3.5:2;3.4.1.1:2;3.4.1.1.1:2;3.4.1.2:2;1.6.1:1;3.6.2:1
AK-1.1	49	1	1	1.2.2.5:1;1.3.1.1:1;1.5.5:1;1.6.1.2:1;1.6.2:1;2.1.2:1
AK-1.1	50	1	1	4.2.3.5:2;1.5.5:1;1.6.2:1;1.6.2.2:1;1.6.2.4:1;2.5.3.2:1
AK-1.1	51	1	1	1.6.2:2;2.1.1.1:2;2.1.4:2;2.1.5:2;3.5.6:2;1.1.3.6:1
AK-1.1	52	1	1	1.6.1.1.3:1;4.1.9.1.5:1;4.2.6.1.2:1;4.8.3.6:1;6.3.1:1;6.3.1.7:1
AK-1.1	53	1	1	1.6.1.1.1:2;2.6.4.2:2;6.7.7:2;1.1.1:1;1.1.3:1;1.6.1.1.3:1
AK-1.1	54	1	1	1.1.3.3:1;1.2.1.1:1;1.2.3:1;1.3:1;1.3.1:1;1.3.1.3:1
AK-1.1	55	1	1	1.1.3.2:3;1.2.3.3:2;1.5.3:2;1.6.1.3.1:2;2.3.1.5:2;2.3.2.3:2
AK-1.1	56	1	1	
AK-1.1	57	1	1	2.3.5:2;3.4.1.1:2;3.4.1.1.1:2;3.4.1.2:2;2.4.5:1;4.2.2.1:1
AK-1.1	58	1	1	2.5.2:2;2.5.2.3:1;2.6.5.1:1;3.4.2.1.3:1;3.4.2.2:1;3.5.1.8:1
AK-1.1	59	9	1	1.5.5:3;1.6.1.2:3;1.6.3:3;1.1.1:2;1.3.1.3:2;1.6.2.4:2
AK-1.1	60	52	1	4.8.3.7:5;4.9.7.2:4;1.6:3;2.6.5.1:3;4.5.1:3;4.6.1.1:3
AK-1.1	61	2	1	1.5.5:2;1.5.6:2;1.6.2:2;1.6.2.4:2;2.1.5:2;4.2.6.1:2
AK-1.1	62	2	1	1.1.1.1:2;1.1.1.3:2;1.5.5:2;4.8.3.7:2;8.3.3:2;1.1.1:1
AK-1.1	63	2	1	2.3.1:2;2.5.6.1:2;4.2.1.5:2;4.9.2:2;8.1.6.1:2;1.6.1.1.3:1
AK-1.1	64	1	1	4.9.2:2;1.1.3.1:1;1.4:1;1.6:1;2.1.1.1:1;2.3.1:1
AK-1.1	65	1	1	1.1.3.1:1;1.3.1.3:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1;2.4.1:1
AK-1.1	66	1	1	4.9.1:2;4.9.2:2;8.4.2.3:2;1.1.3.1:1;1.3.1.3:1;1.5.5:1
AK-1.1	67	1	1	3.2.5.1:1;4.9.7.1:1
AK-1.1	68	1	1	1.6.7:2;6.3.1.4:2;1.1.3.1:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1
AK-1.1	69	1	1	2.1.1.1:2;5.3.6:2;1.1.3.1:1;1.6.2:1;2.1.3.1:1;2.3.1:1
AK-1.1	70	1	1	2.4:1;3.6.2:1;4.1.9.1.2:1;4.2.1.8:1;4.3.4:1;5.4.7:1
AK-1.1	71	1	0	
AK-1.1	72	3	1	2.4.1:4;3.3.3:4;4.5:4;3.1:3;3.2.1.3:3;6.1.1.1:3
AK-1.1	73	1	1	1.2.2.4:1;1.7:1;2.4.1:1;2.6.4.2:1;3.1:1;3.2.1.3:1
AK-1.1	74	1	1	2.4.1:2;3.3.3:2;4.5:2;6.1.2.3.4:2;6.6.8.1:2;8.2:2
AK-1.1	75	1	1	8.2.3.2:2;8.2.9.1:2;1.1.3.3:1;2.6.6.7:1;3.1:1;3.3.1.6:1
AK-1.1	76	1	1	3.1:3;3.3.1.6:2;9.1.3.1:2;1.1:1;1.4.2:1;2.1.1.3:1
AK-1.1	77	1	1	7.2.3.3.1:5;7.3.6.3:4;8.2.6:4;8.2.8:4;3.3.1.1:3;3.5.1.4.2:3
AK-1.1	78	1	1	1.6.1:1;2.4.1:1;2.6.6.7:1;3.1:1;3.2.1.3:1;3.3.1.6:1
AK-1.1	79	1	1	
AK-1.1	80	1	1	4.5:2;6.1.1.1:2;2.4.1:1;2.6.5.1:1;2.6.6.7:1;3.1:1
AK-1.1	81	21	1	4.1.2:4;1.5:3;2.1.1.1:3;2.1.4:3;3.5.4.5:3;4.1.9.9:3
AK-1.1	82	2	1	2.4:1;3.6.2:1;4.1.9.1.2:1;4.2.1.8:1;4.3.4:1;5.4.7:1
AK-1.1	83	2	1	2.4:1;3.6.2:1;4.2.1.8:1;4.3.4:1;5.4.7:1;6.6.1.3:1
AK-1.1	84	8	1	1.6.2:2;1.6.2.4:2;8.2:2;8.2.3.2:2;8.2.5.1:2;1.1.1.3:1
AK-1.1	85	17	1	1.5.5:3;1.3.1.3:2;1.5.3:2;1.6.2:2;1.6.4.1:2;2.1.1:2
AK-1.1	86	6	1	1.6.2.4:3;1.6.2:2;2.1.1.1:2;2.3.2.3:2;2.5.6.1:2;4.2.6.1.2:2
AK-1.1	87	35	1	4.3.1.1:4;4.9.2:4;1.1:3;4.9.1:3;8.4.2.3:3;1.1.3.1:2
AK-1.1	88	3	1	4.2.6.2.2:3;4.3.4.2:3;4.4.4:3;2.1.1.1:2;4.3.3:2;5.3.6:2
AK-1.1	89	1	1	6.5.1.1:2;4.6.7.2:1;4.9.1:1;4.9.2:1;8.4.2.3:1
AK-1.1	90	1	1	1.6.1.1.3:2;4.2.6.1.2:2;4.8.3.6:2;6.3.1:2;6.3.1.7:2;1.3.1.1:1
AK-1.1	91	1	1	
AK-1.1	92	1	1	1.6.1.4:1;8.4.5.1.2:1;9.7.1:1
AK-1.1	93	1	1	4.6.7.1:2;1.5.3:1;2.1.1.1:1;2.4.4:1;3.5.6:1;4.2.6.1.2:1
AK-1.1	94	2	1	1.1.1.1:1;1.1.1.3:1
AK-1.1	95	4	1	4.2.6.2:2;1.1.3.1:1;1.2.2:1;1.3.1.1:1;1.3.1.3:1;1.6.1.1.3:1
AK-1.1	96	10	1	4.8.3.7:11;1.5.5:6;8.1.6.1:6;6.7.5:5;7.2.1.2:5;7.2.4.1.1:5
