lemma_slp1	varga	eid	match_type	union_dicts	n_dicts
svar	AK-1.1	1	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
svarga	AK-1.1	1	exact	CAE CCS GRA INM MD MW PWG PWK VCP	9
nAka	AK-1.1	1	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
tridiva	AK-1.1	1	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP	10
tridaSAlaya	AK-1.1	1	exact	CAE CCS MW PWG PWK VCP	6
suraloka	AK-1.1	1	exact	BUR CAE CCS INM MW PWG PWK VCP	8
dyo	AK-1.1	1	exact	AP BUR GRA MD MW PWG PWK VCP	8
div	AK-1.1	1	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
trivizwapa	AK-1.1	1	exact	BUR CAE CCS INM MW PWG PWK SCH VCP	9
amara	AK-1.1	2	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
nirjaras	AK-1.1	2	exact	PWG PWK	2
deva	AK-1.1	2	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	14
tridaSa	AK-1.1	2	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
vibuDa	AK-1.1	2	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
sura	AK-1.1	2	exact	BUR CAE CCS INM MD MW PWG PWK SKD VCP	10
suparvan	AK-1.1	2	exact	AP BUR CAE CCS MW PWG PWK SCH VCP	9
sumanas	AK-1.1	2	exact	AP BUR CAE CCS GRA INM MW PWG PWK VCP	10
tridiveSa	AK-1.1	2	exact	INM MW PWG PWK VCP	5
divOkas	AK-1.1	2	exact	BUR CAE CCS MD MW PWG PWK VCP	8
Aditeya	AK-1.1	2	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
divizad	AK-1.1	2	exact	CAE CCS MD MW PWG PWK VCP	7
leKa	AK-1.1	2	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
aditinandana	AK-1.1	2	exact	MW PWG PWK VCP	4
Aditya	AK-1.1	2	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	13
fBava	AK-1.1	2	miss		0
asvapna	AK-1.1	2	exact	AP BUR MW PWG PWK VCP	6
amartya	AK-1.1	2	exact	AP BUR CAE GRA MW PWG PWK SCH	8
amftAnDas	AK-1.1	2	exact	AP MW PWG PWK SCH VCP	6
barhirmuKa	AK-1.1	2	exact	MW PWG PWK VCP	4
kratuBuj	AK-1.1	2	exact	AP MW PWG PWK VCP	5
gIrvARa	AK-1.1	2	exact	BUR CAE CCS MD MW PWG PWK VCP	8
dAnavAri	AK-1.1	2	exact	AP INM MW PWG PWK VCP	6
vfndAraka	AK-1.1	2	exact	AP CAE CCS INM MD MW PWG PWK VCP	9
dEvata	AK-1.1	2	exact	AP CAE CCS MD MW PWG PWK SCH VCP	9
devatA	AK-1.1	2	exact	AP CAE CCS GRA MD MW PWG PWK SKD VCP	10
Aditya	AK-1.1	3	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	13
viSva	AK-1.1	4	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK VCP	12
vasu	AK-1.1	5	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI	13
tuzita	AK-1.1	6	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
ABAsvara	AK-1.1	7	exact	AP BHS MW PWG PWK VCP	6
anila	AK-1.1	8	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
mahArAjika	AK-1.1	9	exact	BHS INM MW PWG PWK VCP	6
sADya	AK-1.1	10	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
rudra	AK-1.1	11	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
gaRadevatA	AK-1.1	12	exact	MW PWG PWK SKD VCP	5
vidyADara	AK-1.1	13	exact	BHS CAE CCS INM MD MW PWG PWK SCH VCP	10
apsaras	AK-1.1	14	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK	10
yakza	AK-1.1	15	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
rakza	AK-1.1	16	exact	BUR CAE CCS MD MW PWG PWK SKD VCP	9
ganDarva	AK-1.1	17	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH	10
kinnara	AK-1.1	18	exact	AP BUR INM VCP	4
piSAca	AK-1.1	19	exact	BUR CAE CCS INM MD MW PWG PWK VCP VEI	10
guhyaka	AK-1.1	20	exact	CAE CCS INM MD MW PWG PWK VCP	8
sidDa	AK-1.1	21	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
BUta	AK-1.1	22	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
devayoni	AK-1.1	23	exact	MW PWG PWK VCP	4
asura	AK-1.1	24	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
dEtya	AK-1.1	24	exact	CAE CCS INM MD MW PWG PWK SCH VCP	9
dEteya	AK-1.1	24	exact	BUR CAE CCS INM MW PWG PWK VCP	8
danuja	AK-1.1	24	exact	CAE CCS INM MW PWG PWK VCP	7
indrAri	AK-1.1	24	exact	MW PWG PWK VCP	4
dAnava	AK-1.1	24	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP	10
SukraSizya	AK-1.1	24	exact	MW PWG PWK VCP	4
ditisuta	AK-1.1	24	exact	MW PWG PWK	3
pUrvadeva	AK-1.1	24	exact	CAE INM MW PWG PWK VCP	6
suradviz	AK-1.1	24	exact	AP BUR CAE CCS INM MW PWG PWK VCP	9
sarvajYa	AK-1.1	25	exact	AP BHS CAE CCS INM MW PWG PWK SCH VCP	10
sugata	AK-1.1	25	exact	AP BHS BUR CAE CCS MW PWG PWK SCH VCP	10
budDa	AK-1.1	25	exact	AP BHS BUR CAE CCS MD MW PWG PWK VCP	10
DarmarAja	AK-1.1	25	exact	AP BHS CAE INM MW PWG PWK	7
taTAgata	AK-1.1	25	exact	AP BHS CAE CCS MD MW PWG PWK SCH VCP	10
samantaBadra	AK-1.1	25	exact	BHS MW PWG PWK SCH VCP	6
Bagavat	AK-1.1	25	exact	AP GRA INM MD MW PWK VCP	7
mArajit	AK-1.1	25	exact	AP MW PWG PWK SKD VCP	6
lokajit	AK-1.1	25	exact	AP CAE CCS MW PWG PWK SKD VCP	8
jina	AK-1.1	25	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
zaqaBijYa	AK-1.1	25	exact	BHS MW PWG PWK VCP	5
daSabala	AK-1.1	25	exact	BHS BUR MW PWG PWK SCH VCP	7
advayavAdin	AK-1.1	25	exact	AP BHS BUR MW PWG PWK SCH VCP	8
vinAyaka	AK-1.1	25	exact	BHS BUR CAE CCS INM MW PWG PWK SCH VCP	10
munIndra	AK-1.1	25	exact	CAE CCS INM MD MW PWG PWK VCP	8
SrIGana	AK-1.1	25	exact	MW PWG PWK VCP	4
SAstf	AK-1.1	25	exact	AP CAE INM MW VCP	5
muni	AK-1.1	25	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	12
SAkyamuni	AK-1.1	26	exact	BHS CAE CCS MW PWG PWK VCP	7
SAkyasiMha	AK-1.1	26	exact	BHS MW PWG PWK VCP	5
sarvArTasidDa	AK-1.1	26	exact	BHS CAE CCS MW PWG PWK VCP	7
SOdDodani	AK-1.1	26	exact	BUR MD MW PWG PWK SCH VCP	7
gOtama	AK-1.1	26	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP VEI	12
arkabanDu	AK-1.1	26	exact	MW PWG PWK SCH VCP	5
mAyAdevIsuta	AK-1.1	26	exact	MW PWK VCP	3
brahman	AK-1.1	27	exact	AP BHS CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
AtmaBU	AK-1.1	27	exact	AP CAE CCS MW PWG PWK SCH VCP	8
surajyezWa	AK-1.1	27	exact	BUR MW PWG PWK VCP	5
paramezWin	AK-1.1	27	exact	AP CAE CCS INM MD MW PWG PWK VCP	9
pitAmaha	AK-1.1	27	exact	BUR CAE CCS INM MW PWG PWK SCH VCP VEI	10
hiraRyagarBa	AK-1.1	27	exact	BHS CAE CCS GRA INM MW PWG PWK VCP	9
lokeSa	AK-1.1	27	exact	CAE CCS INM MD MW PWG PWK VCP	8
svayamBU	AK-1.1	27	exact	AP GRA INM MW VCP	5
caturAnana	AK-1.1	27	exact	BUR CAE CCS MW PWG PWK VCP	7
DAtf	AK-1.1	27	exact	AP BHS BUR CAE GRA INM MD MW VCP	9
abjayoni	AK-1.1	27	exact	MW PWG PWK SCH VCP	5
druhiRa	AK-1.1	27	exact	CAE CCS MD MW PWG PWK VCP	7
viriYci	AK-1.1	27	exact	CAE INM MW PWG PWK	5
kamalAsana	AK-1.1	27	exact	MW PWG PWK SCH VCP	5
srazwf	AK-1.1	27	exact	AP CAE INM MD MW VCP	6
prajApati	AK-1.1	27	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
veDas	AK-1.1	27	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP	11
viDAtf	AK-1.1	27	exact	AP BUR CAE GRA INM MW VCP	7
viSvasfj	AK-1.1	27	exact	AP CAE CCS INM MW PWG PWK VCP VEI	9
viDi	AK-1.1	27	exact	BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	11
nABijanman	AK-1.1	27	exact	AP MW PWG PWK	4
aRqaja	AK-1.1	27	exact	AP CAE CCS INM MW PWG PWK VCP	8
pUrva	AK-1.1	27	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
niDana	AK-1.1	27	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
kamalodBava	AK-1.1	27	exact	MW PWG PWK	3
sadAnanda	AK-1.1	27	exact	AP CAE MD MW PWG PWK VCP	7
rajomUrtin	AK-1.1	27	miss		0
satyaka	AK-1.1	27	exact	AP BHS INM MD MW PWG PWK	7
haMsavAhana	AK-1.1	27	exact	MW PWG PWK	3
vizRu	AK-1.1	28	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP	12
