dict	class	class_total	allocated
ap90	synonym	781	16
ap90	equivalent	13840	113
ap90	encyclopedic	16259	131
ap90	residual	4002	40
ben	synonym	6328	76
ben	equivalent	15718	173
ben	encyclopedic	2424	35
ben	residual	592	16
mw	synonym	5930	15
mw	equivalent	256747	243
mw	encyclopedic	1725	12
mw	residual	22123	30
pw	synonym	3445	15
pw	equivalent	112296	181
pw	encyclopedic	30811	57
pw	residual	24004	47
pwg	synonym	9059	29
pwg	equivalent	73351	165
pwg	encyclopedic	37056	88
pwg	residual	3900	18
skd	synonym	618	14
skd	equivalent	17757	118
skd	encyclopedic	23821	156
skd	residual	335	12
vcp	synonym	1200	16
vcp	equivalent	24507	137
vcp	encyclopedic	22663	128
vcp	residual	1765	19
