dict	entries	synonym	equivalent	encyclopedic	residual	synonym_pct	equivalent_pct	encyclopedic_pct	residual_pct
mw	286525	136100	57436	72273	20716	47.50	20.05	25.22	7.23
pwg	123366	10176	8765	100506	3919	8.25	7.10	81.47	3.18
pw	170556	13388	14711	118380	24077	7.85	8.63	69.41	14.12
ap90	34882	6016	3452	21478	3936	17.25	9.90	61.57	11.28
cae	40069	15037	1674	22295	1063	37.53	4.18	55.64	2.65
wil	44577	14728	350	29447	52	33.04	0.79	66.06	0.12
sch	29125	21702	559	4687	2177	74.51	1.92	16.09	7.47
md	20749	12225	660	7864	0	58.92	3.18	37.90	0.00
ccs	30010	10727	3838	14604	841	35.74	12.79	48.66	2.80
gra	12785	1677	276	9731	1101	13.12	2.16	76.11	8.61
skd	42531	11697	1	30498	335	27.50	0.00	71.71	0.79
vcp	50135	386	4046	43900	1803	0.77	8.07	87.56	3.60
bhs	17839	2728	3930	9803	1378	15.29	22.03	54.95	7.72
bur	19776	7402	202	12171	1	37.43	1.02	61.54	0.01
vei	3834	7	12	3618	197	0.18	0.31	94.37	5.14
