eid	code	confidence	note
7	4.9.2	2	write-in; class of deities
25	4.9.2	2	write-in; the Buddha
29	2.6.5.1	2	
31	4.9.2	2	write-in; god of love Kama
39	1.3.3.1	1	write-in; drying/parching
62	4.8.3.7	3	Shiva's bow
67	4.9.2	2	write-in; goddess Vaishnavi
76	8.2.9.2	1	write-in; lightness
122	4.9.2	3	write-in; Gandharva
156	8.1.1.1	1	write-in; a large number
732	1.3.2	1	write-in; water outlet
755	6.4.5	2	write-in; fisherman
757	6.7	1	write-in; strainer
768	1.6.1.5	2	young fish
784	1.6.1.3.4	2	aquatic predator
787	1.6.1.3.2	2	monitor lizard
806	1.3.1.1	3	
809	1.3.1.1	3	
810	1.3.1.1	3	
832	1.3.1.3	2	
163	1.1	3	
164	1.1	2	mixed lemmas; sky
168	8.5.2.8	3	write-in; east
176	4.9.2	3	Indra
191	4.9.2	3	Brhaspati
194	1.6.1.1.3	2	Indra's elephant
196	8.2.2.3	2	dwarfish/short
234	8.1.6.1	2	write-in; part/fraction
241	2.3.1.8.1	2	beauty
247	1.1.1.2	2	write-in; pole star
265	1.1.1.3	3	Saturn
314	4.9.4.7	2	write-in; fiery portent
322	8.3.3.3.4	2	write-in; white
340	8.4.1	3	month
344	8.4.1	2	cool season
356	8.4.1	3	cosmic period
362	4.3.1.1	3	
370	1.2.2	1	write-in; primary substance
376	2.6.3	3	birth synonyms
381	3.2.1	2	intellect
392	4.3.3.1	2	write-in; malice
409	2.3.3	2	astringent taste
426	8.3.3.3.4	3	black
430	8.3.3.3.4	3	red
433	8.3.3.3	2	brown
436	8.3.3.3	2	write-in; variegated
448	4.9.3.1	3	write-in; Veda
449	3.2.2	2	learning/study
450	3.5.3.1	1	write-in; sacred syllable Om
456	3.2.1.5	2	logic
464	3.5.2.2	2	rumour/report
472	4.9.4.4	2	curse
480	3.5.1.2.6	2	write-in; reduplication
485	3.3.3.8	3	
539	2.3.2.3	2	high note
550	4.2.3.5	3	write-in; drum
561	4.2.3.5	3	drum
601	3.4.2.1.3	3	disgust rasa
609	3.4.1.3	3	wonder rasa
623	3.4.2.1.8	3	jealousy
626	3.4.2.1	2	write-in; grief
627	4.8.4.6	2	repentance
631	3.4.1.1	2	love/affection
652	3.5.6.4	2	smile
667	7.8.5	2	hole/cavity
670	8.3.3.2	3	darkness
674	1.6.1.3.1	3	snake
679	1.6.1.3.1	3	water-snake
689	2.5.3.2	3	poison
692	2.5.3.2	3	poison
