eid	code	source
7	4.9.2	agreed
25	4.9.7.5	adjudicated-A
29	4.9.2	adjudicated-A
31	4.9.1	adjudicated-A
39	4.8.3.7	adjudicated-A
62	4.8.3.7	agreed
67	4.9.1	adjudicated-A
76	4.9.4	adjudicated-A
122	4.9.2	agreed
156	6.8.1.4	adjudicated-A
163	1.1	agreed
164	1.6.1.2	adjudicated-A
168	8.5.2.8	agreed
176	4.9.1	adjudicated-A
191	4.9.1	adjudicated-A
194	4.9.2	adjudicated-A
196	4.9.2	adjudicated-A
234	8.1.6.1	agreed
241	2.3.1.8.1	agreed
247	1.1.1.2	agreed
265	1.1.1.3	agreed
314	4.9.4.7	agreed
322	8.4.1	adjudicated-A
340	8.4.1.4	adjudicated-A
344	8.4.1.5	adjudicated-A
356	8.4.1	agreed
362	4.3.1.1	agreed
370	1.2.2	agreed
376	2.6.3	agreed
381	3.2.1	agreed
392	4.3.3.1	agreed
409	2.3.3	agreed
426	8.3.3.3.2	adjudicated-A
430	8.3.3.3.4	agreed
433	8.3.3.3	adjudicated-B
436	8.3.3.3.7	adjudicated-A
448	4.9.3.1	agreed
449	3.2.2	agreed
450	3.5.3.1	agreed
456	3.2.1.5	agreed
464	3.5.1.8.4	adjudicated-A
472	4.9.4.4	agreed
480	3.5.1.2.6	agreed
485	3.3.3.8	agreed
539	2.3.2.3	agreed
550	4.2.3.5	agreed
561	4.2.3.5	agreed
601	3.4.2.1.3	agreed
609	3.4.1.3	agreed
623	3.4.2.1.8	agreed
626	3.4.2.1	agreed
627	3.4.2.2	adjudicated-A
631	3.4.1.1	agreed
652	3.5.6.4	agreed
667	7.8.5	agreed
670	8.3.3.2	agreed
674	4.9.2	adjudicated-A
679	1.6.1.3.1	agreed
689	2.5.3.2	agreed
692	2.5.3.2	agreed
702	4.9.6	agreed
704	4.9.6	agreed
705	4.9.6	agreed
708	4.9.2	agreed
712	2.5.6.1	agreed
732	1.3.2.1	adjudicated-A
755	6.4.5	agreed
757	5.1	adjudicated-A
768	1.6.1.5	agreed
784	1.6.1.3.4	agreed
787	1.6.1.3.2	agreed
806	1.3.1.1	agreed
809	1.3.1.1	agreed
810	1.3.1.1	agreed
832	1.3.1.3	agreed
863	4.6.7.1	agreed
868	4.6.7	adjudicated-A
870	4.6.7	agreed
877	1.2.2.2	agreed
882	6.2.9	adjudicated-A
887	1.2.1	agreed
899	6.5.4.1	agreed
907	6.8.4.8	agreed
910	6.5.2.1	adjudicated-A
923	4.9.8.2	adjudicated-A
931	6.5.1.1	agreed
932	6.5.1.1	adjudicated-A
944	1.2.2.2	agreed
954	6.5.2.4	agreed
973	1.2.1.1	agreed
977	1.2.1.1	agreed
979	1.2.1.1	agreed
984	1.2.1.1	agreed
990	1.2.1.5	agreed
994	6.6.2.1	adjudicated-A
1073	1.5.1	agreed
1075	1.5.1	agreed
1111	1.5.1	agreed
1129	1.5.1	agreed
1138	1.5.1	adjudicated-A
1139	1.5.3	agreed
1167	1.5.3	agreed
1212	1.5.3	agreed
1214	1.5.3	agreed
1230	1.5.3	agreed
1247	1.5.1	adjudicated-A
1272	1.5.3	adjudicated-A
1292	5.2.3.3.3	adjudicated-A
