dict	headwords	unique_to_dict	unique_share
AP	88744	35762	0.4030
BHS	17761	10434	0.5875
BUR	19135	4625	0.2417
CAE	38476	661	0.0172
CCS	28743	178	0.0062
GRA	11108	467	0.0420
INM	9431	2355	0.2497
MD	20095	399	0.0199
MW	193852	44156	0.2278
PWG	106054	2511	0.0237
PWK	151314	8155	0.0539
SCH	28431	8836	0.3108
SKD	40703	17333	0.4258
VCP	48583	6303	0.1297
VEI	3702	446	0.1205
