key1	status	homonyms	pwg_senses	supp_placed	supp_new	cancels
gA	OK	7	63	15	181	0
Cid	OK	5	63	13	54	0
Sam	OK	7	26	0	130	0
jIv	OK	2	18	3	37	0
rakz	OK	4	26	0	40	0
vraj	OK	1	24	0	76	0
yat	OK	2	38	0	95	0
DA	OK	12	105	36	412	1
Ap	OK	4	47	2	57	0
Bid	OK	4	37	18	104	0
Buj	OK	9	44	0	46	0
banD	OK	3	60	3	22	0
Sru	OK	3	38	2	8	0
viS	OK	3	97	22	304	0
siD	OK	2	60	3	102	0
