form_key	n_sources	whitneyroots	mws	cslorig_etym	sanskritlex	mwderiv	whitneyroots_mw_L	whitneyroots_class	whitneyroots_homonym	whitneyroots_records	mws_whitney_id	mws_dcs_status	cslorig_oracle_pairs	sanskritlex_rows	mwderiv_rows	mwderiv_classes	slp1_native
api	2	0	0	1	0	1				0			7	0	42	m:f:n:19;m:7;n:6;f:4;SEE:2	api
apprehend	1	0	0	0	1	0				0			0	1	0		
approach stealthily	1	0	0	0	1	0				0			0	1	0		
arb	2	1	0	0	0	1	16352	I		1			0	0	1	VERB:V:1	arb
arba	1	0	0	1	0	0				0			34	0	0		arba
arc	4	1	1	1	0	1	15701	I	1	1	15	matched	67	0	2	VERB:V:1;m:1	arc
arcca	1	0	0	1	0	0				0			2	0	0		arcca
ard	3	1	0	1	0	1	16095	I,VI,VII		1			66	0	1	VERB:V:1	ard
ardane	1	0	0	1	0	0				0			1	0	0		ardane
ardda	1	0	0	1	0	0				0			1	0	0		ardda
arddane	1	0	0	1	0	0				0			1	0	0		arddane
argh	2	0	0	1	0	1				0			1	0	1	VERB:V:1	arG
arh	4	1	1	1	0	1	16483	I		1	18	matched	77	0	1	VERB:V:1	arh
arhādyarthe	1	0	0	1	0	0				0			1	0	0		arhAdyarTe
arhārthe	1	0	0	1	0	0				0			3	0	0		arhArTe
arj	4	1	1	1	0	1	15739	I		1	16	unmatched	18	0	1	VERB:V:1	arj
arja	1	0	0	1	0	0				0			17	0	0		arja
ark	3	1	0	1	0	1	15571			1			40	0	1	NONE:1	ark
arpi	1	0	0	1	0	0				0			1	0	0		arpi
art	1	0	1	0	0	0				0	17	unmatched	0	0	0		
arth	3	1	0	1	0	1	15839	I,X		1			73	0	1	VERB:V:1	arT
arv	3	1	0	1	0	1	16408	I		1			1	0	1	VERB:V:1	arv
as	4	1	1	1	0	1	20353,20354	II,IV	1,2	2	22,23	homonym_shared	174	0	3	VERB:V:2;NONE:1	as
asakṣepe	1	0	0	1	0	0				0			1	0	0		asakzepe
asau	2	0	0	1	0	1				0			1	0	3	NONE:2;m:f:n:1	asO
ascend	1	0	0	0	1	0				0			0	1	0		
ask	1	0	0	0	1	0				0			0	2	0		
asta	2	0	0	1	0	1				0			2	0	35	m:f:n:11;m:11;n:5;NONE:3;f:2	asta
asu	2	0	0	1	0	1				0			77	0	20	m:8;m:f:n:5;n:2;SEE:2;m:n:1	asu
at	4	1	1	1	0	1	2490	I	2	1	10	matched	74	0	2	ind:1;VERB:V:1	at
atharvvan	1	0	0	1	0	0				0			1	0	0		aTarvvan
ati	2	0	0	1	0	1				0			51	0	506	m:f:n:230;m:111;f:66;n:43;ind:29	ati
attach	1	0	0	0	1	0				0			0	1	0		
attach (?)	1	0	0	0	1	0				0			0	1	0		
attack	1	0	0	0	1	0				0			0	1	0		
attain	1	0	0	0	1	0				0			0	2	0		
attend upon	1	0	0	0	1	0				0			0	1	0		
attend upon, adorn	1	0	0	0	1	0				0			0	1	0		
auṇādike	1	0	0	1	0	0				0			1	0	0		ORAdike
av	4	1	1	1	0	1	16938	I		1	19	matched	108	0	1	VERB:V:1	av
avadhīra	1	0	0	1	0	0				0			1	0	0		avaDIra
avasāde	1	0	0	1	0	0				0			1	0	0		avasAde
avatṝ	2	0	0	1	0	1				0			1	0	1	VERB:K:1	avatF
avayave	1	0	0	1	0	0				0			1	0	0		avayave
avyayī	2	0	0	1	0	1				0			1	0	2	m:2	avyayI
ay	3	0	1	1	0	1				0	14	unmatched	32	0	2	VERB:V:1;n:1	ay
ayukta	1	0	0	1	0	0				0			1	0	0		ayukta
ayā	2	0	0	1	0	1				0			1	0	2	ind:1;m:f:n:1	ayA
añc	3	1	0	1	0	1	2250	I,X	1	1			31	0	2	VERB:V:1;NONE:1	aYc
añj	4	1	1	1	0	1	2267	VII		1	7	matched	36	0	1	VERB:V:1	aYj
aś	4	1	1	1	0	1	19412,19416		1,2	2	20,21	homonym_shared	109	0	2	VERB:V:2	aS
aśū	1	0	0	1	0	0				0			29	0	0		aSU
aḍ	3	1	0	1	0	1	2386	I	1	1			2	0	1	VERB:V:1	aq
aḍa	1	0	0	1	0	0				0			14	0	0		aqa
aḍḍ	3	1	0	1	0	1	2388	I		1			40	0	1	VERB:V:1	aqq
aṃh	4	1	1	1	0	1	107,114	I,X	1,2	2	1	matched	2	0	2	VERB:V:2	aMh
aṃs	3	1	0	1	0	1	87			1			43	0	1	VERB:V:1	aMs
aṃt	1	0	0	1	0	0				0			1	0	0		aMt
aṃś	3	1	0	1	0	1	9	X		1			9	0	1	VERB:V:1	aMS
aṅg	4	1	1	1	0	1	1492	I,X		1	4	matched	20	0	1	VERB:V:1	aNg
aṅgh	2	1	0	0	0	1	1752	I		1			0	0	1	VERB:V:1	aNG
aṅgu	2	0	0	1	0	1				0			1	0	1	m:f:1	aNgu
aṅgāra	2	0	0	1	0	1				0			13	0	24	f:11;m:10;n:2;m:n:1	aNgAra
aṅgī	2	0	0	1	0	1				0			1	0	6	ICF:aNga:1;n:1;m:1;m:f:n:1;f:1	aNgI
aṅk	3	1	0	1	0	1	1408	I,X		1			26	0	1	VERB:V:1	aNk
aṅkh	3	1	0	1	0	1	1491	X		1			1	0	1	VERB:V:1	aNK
aṇ	3	1	0	1	0	1	2390	I,IV		1			55	0	1	VERB:V:1	aR
aṇṭh	3	1	1	0	0	1	2447	I		1	9	matched	0	0	1	VERB:V:1	aRW
aṣ	2	1	0	0	0	1	20163	I		1			0	0	1	VERB:V:1	az
aṭ	4	1	1	1	0	1	2337	I		1	8	matched	102	0	1	VERB:V:1	aw
aṭh	2	1	0	0	0	1	2383	I		1			0	0	2	VERB:V:2	aW
aṭṭ	3	1	0	1	0	1	2358	I,X		1			87	0	1	VERB:V:1	aww
bad	2	0	0	1	0	1				0			4	0	1	VERB:V:1	bad
badh	2	0	0	1	0	1				0			62	0	1	VERB:V:1	baD
bah	2	0	0	1	0	1				0			3	0	1	NONE:1	bah
bahi	1	0	0	1	0	0				0			8	0	0		bahi
bahulamiti	1	0	0	1	0	0				0			1	0	0		bahulamiti
baka	2	0	0	1	0	1				0			3	0	29	m:21;n:4;f:2;ind:1;m:f:n:1	baka
bal	3	0	1	1	0	1				0	495	unmatched	31	0	2	VERB:V:2	bal
bale	1	0	0	1	0	0				0			1	0	0		bale
balha	1	0	0	1	0	0				0			12	0	0		balha
bana	1	0	0	1	0	0				0			1	0	0		bana
bandh	4	1	1	1	0	1	142512	I,IV,IX		1	494	matched	188	0	1	VERB:V:1	banD
bandhane	1	0	0	1	0	0				0			4	0	0		banDane
bandhe	1	0	0	1	0	0				0			1	0	0		banDe
barba	1	0	0	1	0	0				0			6	0	0		barba
bargain	1	0	0	0	1	0				0			0	1	0		
barh	2	0	0	1	0	1				0			38	0	1	VERB:V:1	barh
bark	1	0	0	0	1	0				0			0	2	0		
basta	2	0	0	1	0	1				0			9	0	10	f:4;m:2;ind:1;m:f#I:n:1;n:1	basta
bathe	1	0	0	0	1	0				0			0	1	0		
baṃdh	1	0	0	1	0	0				0			1	0	0		baMD
baṃh	3	0	1	1	0	1				0	493	matched	3	0	1	VERB:V:1	baMh
baṇa	1	0	0	1	0	0				0			10	0	0		baRa
baṣka	1	0	0	1	0	0				0			15	0	0		bazka
be	1	0	0	0	1	0				0			0	2	0		
be abashed	1	0	0	0	1	0				0			0	1	0		
be able	1	0	0	0	1	0				0			0	1	0		
be abstinent	1	0	0	0	1	0				0			0	1	0		
be adapted	1	0	0	0	1	0				0			0	1	0		
be angry	1	0	0	0	1	0				0			0	4	0		
be ashamed	1	0	0	0	1	0				0			0	2	0		
be bleased	1	0	0	0	1	0				0			0	1	0		
be bright	1	0	0	0	1	0				0			0	1	0		
be busy	1	0	0	0	1	0				0			0	1	0		
be consecrated	1	0	0	0	1	0				0			0	1	0		
be content	1	0	0	0	1	0				0			0	1	0		
be conṛused	1	0	0	0	1	0				0			0	1	0		
be craṣed	1	0	0	0	1	0				0			0	1	0		
be eager	1	0	0	0	1	0				0			0	1	0		
be eḷhausted	1	0	0	0	1	0				0			0	1	0		
be eḷhilarated, eḷhilarate	1	0	0	0	1	0				0			0	1	0		
be gracious	1	0	0	0	1	0				0			0	1	0		
be greedy	1	0	0	0	1	0				0			0	1	0		
be hard	1	0	0	0	1	0				0			0	1	0		
be heated	1	0	0	0	1	0				0			0	1	0		
be hostile	1	0	0	0	1	0				0			0	2	0		
be hot	1	0	0	0	1	0				0			0	1	0		
be hungry	1	0	0	0	1	0				0			0	1	0		
be hurt	1	0	0	0	1	0				0			0	1	0		
be jubilant	1	0	0	0	1	0				0			0	1	0		
be kingly	1	0	0	0	1	0				0			0	1	0		
be lively	1	0	0	0	1	0				0			0	2	0		
be lustṛul	1	0	0	0	1	0				0			0	1	0		
be merry	1	0	0	0	1	0				0			0	1	0		
be narroṭ or distressing	1	0	0	0	1	0				0			0	1	0		
be ormake subject	1	0	0	0	1	0				0			0	1	0		
be pleased	1	0	0	0	1	0				0			0	2	0		
be pleased, enjoy	1	0	0	0	1	0				0			0	1	0		
be pointed (?)	1	0	0	0	1	0				0			0	1	0		
be relaḷed	1	0	0	0	1	0				0			0	1	0		
be rough or raṭ	1	0	0	0	1	0				0			0	1	0		
be sharp	1	0	0	0	1	0				0			0	1	0		
be situated (?)	1	0	0	0	1	0				0			0	1	0		
be startled (?)	1	0	0	0	1	0				0			0	1	0		
be stealthy	1	0	0	0	1	0				0			0	1	0		
be sticky	1	0	0	0	1	0				0			0	1	0		
be stirred up	1	0	0	0	1	0				0			0	2	0		
be stiṛṛ	1	0	0	0	1	0				0			0	1	0		
be strong	1	0	0	0	1	0				0			0	2	0		
be sṭiṛt	1	0	0	0	1	0				0			0	1	0		
be thirsty	1	0	0	0	1	0				0			0	1	0		
be unsteady	1	0	0	0	1	0				0			0	1	0		
be ḍuiet	1	0	0	0	1	0				0			0	2	0		
be ṛat	1	0	0	0	1	0				0			0	1	0		
be ṛirm(?)	1	0	0	0	1	0				0			0	1	0		
be ṭeary	1	0	0	0	1	0				0			0	3	0		
be ṭet	1	0	0	0	1	0				0			0	1	0		
be ṭondrous	1	0	0	0	1	0				0			0	1	0		
bear	1	0	0	0	1	0				0			0	1	0		
beat	1	0	0	0	1	0				0			0	1	0		
beg	1	0	0	0	1	0				0			0	1	0		
belloṭ	1	0	0	0	1	0				0			0	2	0		
bend	1	0	0	0	1	0				0			0	2	0		
bend, boṭ	1	0	0	0	1	0				0			0	1	0		
bhadi	1	0	0	1	0	0				0			22	0	0		Badi
bhaj	4	1	1	1	0	1	147598	I		1	505	matched	193	0	1	VERB:V:1	Baj
bhakṣ	4	1	1	1	0	1	147534	I,X		1	504	matched	43	0	1	VERB:V:1	Bakz
bhakṣakhe	1	0	0	1	0	0				0			1	0	0		BakzaKe
bhakṣaṇe	1	0	0	1	0	0				0			5	0	0		BakzaRe
bhakṣe	1	0	0	1	0	0				0			2	0	0		Bakze
bhakṣyate	1	0	0	1	0	0				0			1	0	0		Bakzyate
bhal	3	0	1	1	0	1				0	513	unmatched	13	0	1	VERB:V:1	Bal
bhall	2	0	0	1	0	1				0			17	0	1	VERB:V:1	Ball
bhan	2	0	1	0	0	1				0	509	matched	0	0	1	VERB:V:1	
bhand	4	1	1	1	0	1	148252	I		1	510	matched	5	0	1	VERB:V:1	Band
bhanja	1	0	0	1	0	0				0			2	0	0		Banja
bharts	4	1	1	1	0	1	148908	I,X		1	511	matched	13	0	1	VERB:V:1	Barts
bhartsa	2	0	0	1	0	1				0			4	0	1	NONE:1	Bartsa
bhartsane	1	0	0	1	0	0				0			1	0	0		Bartsane
bharv	3	0	1	1	0	1				0	512	matched	1	0	1	VERB:V:1	Barv
bhas	4	1	1	1	0	1	149289	III	1	1	515	matched	4	0	2	VERB:V:1;NONE:1	Bas
bhasa	1	0	0	1	0	0				0			37	0	0		Basa
bhavitavya	2	0	0	1	0	1				0			1	0	3	m:f:n:1;n:1;f:1	Bavitavya
bhañj	4	1	1	1	0	1	147928	VII	1	1	506	matched	24	0	2	VERB:V:2	BaYj
bhaḍi	1	0	0	1	0	0				0			23	0	0		Baqi
bhaṇ	4	1	1	1	0	1	148185	I		1	508	matched	13	0	1	VERB:V:1	BaR
bhaṣ	4	1	1	1	0	1	149277	I		1	514	matched	10	0	1	VERB:V:1	Baz
bhaṭ	3	0	1	1	0	1				0	507	unmatched	1	0	1	VERB:V:1	Baw
bhaṭa	2	0	0	1	0	1				0			10	0	8	m:3;n:3;f:2	Bawa
bheṣṛ	1	0	0	1	0	0				0			5	0	0		Bezf
bhid	4	1	1	1	0	1	150727	I,VII	1	1	521	matched	55	0	4	m:f:n:2;VERB:V:1;f:1	Bid
bhidyate'sau	1	0	0	1	0	0				0			1	0	0		Bidyate'sO
bhikṣ	4	1	1	1	0	1	150663	I		1	520	matched	3	0	1	VERB:V:1	Bikz
bhikṣa	1	0	0	1	0	0				0			31	0	0		Bikza
bhiṣaj	3	0	1	1	0	1				0	522	matched	4	0	4	m:2;VERB:V:1;m:f:n:1	Bizaj
bhlakṣa	1	0	0	1	0	0				0			32	0	0		Blakza
bhleṣṛ	1	0	0	1	0	0				0			2	0	0		Blezf
