lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8734	III	459-460	1	sAyakam	sandhi/diacritic-normalized	sAyaka	rule	1	sAyaka	1	
modern-IE	8735	III	460	0	sAyaRaH	sandhi/diacritic-normalized	sAyaRa	rule	1			
modern-IE	8736	III	460	0	sAyam	exact	sAyam	PWG-key1	1	sAya|sAyam	0	routes-disagree
modern-IE	8737	III	460	0	sAyayati	unmatched			0			
modern-IE	8738	III	460-461	0	sAraNgaH	sandhi/diacritic-normalized	sAraNga	rule	1	sAraNga	1	
modern-IE	8738	III	460-461	1	SAraNgaH	unmatched			0			
modern-IE	8739	III	461	0	sAram	sandhi/diacritic-normalized	sAra	rule	1	sAra	1	
modern-IE	8740	III	461	0	sArayaH	unmatched			0			
modern-IE	8741	III	461	0	sAraH	sandhi/diacritic-normalized	sAra	rule	1	sAra	1	
modern-IE	8742	III	461	0	sArikA	inflected-form->stem	sArika	dcs	1	sArika	same-route	
modern-IE	8742	III	461	1	sArI	exact	sArI	PWG-key1	1	sArI|sArin	0	routes-disagree
modern-IE	8743	III	461	0	sArtram	unmatched			0			
modern-IE	8744	III	461-462	0	sArTaH	sandhi/diacritic-normalized	sArTa	rule	1	sArTa	1	
modern-IE	8745	III	462	0	sArzwitA	exact	sArzwitA	PWG-key1	1			
modern-IE	8746	III	462	0	sAlAvfkaH	sandhi/diacritic-normalized	sAlAvfka	rule	1			
modern-IE	8747	III	462	0	sAlvAH	inflected-form->stem	SAlva	dcs	1	SAlva	same-route	
modern-IE	8747	III	462	1	SAlvAH	inflected-form->stem	SAlva	dcs	1	SAlva	same-route	
modern-IE	8748	III	462	0	sAsahiH	sandhi/diacritic-normalized	sAsahi	rule	1	sAsahi	1	
modern-IE	8749	III	462	0	sAsnA	exact	sAsnA	PWG-key1	1	sAsnA	1	
modern-IE	8750	III	462	0	sAhaH	sandhi/diacritic-normalized	sAha	rule	1	sAha	1	
modern-IE	8750	III	462	1	sAhatu	unmatched			0			bound-prefix-or-stem
modern-IE	8751	III	463	0	sAhaH	sandhi/diacritic-normalized	sAha	rule	1	sAha	1	
modern-IE	8752	III	463	0	si	exact	si	PWG-key1	1	si	1	bound-prefix-or-stem
modern-IE	8753	III	463	0	siMsipA	unmatched			0			
modern-IE	8754	III	463	0	siMhatuRqaH	sandhi/diacritic-normalized	siMhatuRqa	rule	1			
modern-IE	8755	III	463	0	siMhaH	sandhi/diacritic-normalized	siMha	rule	1	siMha	1	
modern-IE	8756	III	463	0	siMhAnam	unmatched			0			
modern-IE	8757	III	463-464	0	sikatA	exact	sikatA	PWG-key1	1	sikatA	1	
modern-IE	8758	III	464	0	sic	exact	sic	PWG-key1	1	sic	1	bound-prefix-or-stem
modern-IE	8759	III	464-465	0	siYcati	finite-form->root	sic	dcs	1	sic	same-route	
modern-IE	8760	III	465	0	siYcatikA	unmatched			0			
modern-IE	8761	III	465	0	sitaH	sandhi/diacritic-normalized	sita	rule	1	sita	1	
modern-IE	8761	III	465	1	sitaH	sandhi/diacritic-normalized	sita	rule	1	sita	1	
modern-IE	8762	III	465	0	sitaH	sandhi/diacritic-normalized	sita	rule	1	sita	1	
modern-IE	8763	III	465	0	sitAvaraH	sandhi/diacritic-normalized	sitAvara	rule	1			
modern-IE	8763	III	465	1	sitIvAra	unmatched			0			bound-prefix-or-stem
modern-IE	8764	III	465	0	siD	exact	siD	PWG-key1	1			bound-prefix-or-stem
