slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
nandin		3i			0	3	0	3	1	70	1830	0	ok	agree		
nandin		3k			0	1	0	3	1	70	1830	0	ok	agree		
nara		1a	vedic	dcs	0	18	13	1	1	-1000	1200	0	ok	agree	vedic	
nara		1b			0	1	0	1	1	-1000	1200	0	ok	agree		
nara		1c	early-medieval	dharmamitra	1	2	1	1	1	-1000	1200	0	ok	agree	early-medieval	
nara		1d	epic-sutra	hand:class	1	2	1	1	1	-1000	1200	0	ok	agree	epic-sutra	
nara		1e	classical	dharmamitra	0	2	2	1	1	-1000	1200	0	ok	agree	classical	
nara		1f	vedic	dcs	0	42	36	1	1	-1000	1200	0	ok	agree	vedic	
nara		1g	epic-sutra	dharmamitra	0	4	3	1	1	-1000	1200	0	ok	agree	epic-sutra	
nara		1h	early-medieval	hand:class	1	2	1	1	1	-1000	1200	0	ok	agree	early-medieval	
nara		1i	early-medieval	dcs	1	1	1	1	1	-1000	1200	0	ok	agree	early-medieval	
nara		1k	epic-sutra	dharmamitra	1	1	1	1	1	-1000	1200	0	ok	agree	epic-sutra	
nara		1l	classical	dharmamitra	1	1	1	1	1	-1000	1200	0	ok	agree	classical	
nara		1m	classical	dharmamitra	0	3	3	1	1	-1000	1200	0	ok	agree	classical	
nara		1n	classical	dharmamitra	0	2	2	1	1	-1000	1200	0	ok	agree	classical	
nara		1o	early-medieval	dharmamitra	0	3	3	1	1	-1000	1200	0	ok	agree	early-medieval	
nara		1p	vedic	dcs	1	1	1	1	1	-1000	1200	0	ok	agree	vedic	
nara		2	late-medieval	hand:class	1	2	1	2	1	1830	1830	0	ok	agree	late-medieval	
nawa		1a	epic-sutra	dcs+dharmamitra+hand:class	0	45	39	1	1	-400	1830	0	ok	agree	epic-sutra	
nawa		1b	epic-sutra	dcs	0	5	4	1	1	-400	1830	0	ok	agree	epic-sutra	
nawa		1c	late-medieval	hand:class	1	3	1	1	1	-400	1830	0	ok	agree	late-medieval	
nawa		1d	late-medieval	hand:class	1	3	1	1	1	-400	1830	0	ok	agree	late-medieval	
nawa		1e			0	4	0	1	1	-400	1830	0	ok	agree		
nawa		2			0	1	0	2	1	None	None	0	ok	agree		
nawa		3b	late-medieval	hand:class	1	2	1	3	1	450	1830	0	ok	agree	late-medieval	
nawa		3c	classical	dharmamitra	1	2	1	3	1	450	1830	0	ok	agree	classical	
nawa		3e			0	1	0	3	1	450	1830	0	ok	agree		
nivartana		1a	epic-sutra	dharmamitra	0	4	3	1	1	-1125	80	0	ok	agree	epic-sutra	
nivartana		1b	vedic	dcs	1	1	1	1	1	-1125	80	0	ok	agree	vedic	
nivartana		2a	vedic	dcs	0	16	15	2	1	-1125	1150	0	ok	agree	vedic	
nivartana		2b	epic-sutra	dcs+dharmamitra	0	11	9	2	1	-1125	1150	0	ok	agree	epic-sutra	
nivartana		2c	epic-sutra	dharmamitra	0	4	4	2	1	-1125	1150	0	ok	agree	epic-sutra	
nivartana		2d			0	1	0	2	1	-1125	1150	0	ok	agree		
nivartana		2e	epic-sutra	dharmamitra	0	7	4	2	1	-1125	1150	0	ok	agree	epic-sutra	
nivartana		2f	vedic	dcs	0	3	3	2	1	-1125	1150	0	ok	agree	vedic	
nivartana		2g	epic-sutra	hand:class	1	1	1	2	1	-1125	1150	0	ok	agree	epic-sutra	
nivartana		2h			0	1	0	2	1	-1125	1150	0	ok	agree		
nivartana		2i	classical	dharmamitra	1	4	1	2	1	-1125	1150	0	ok	agree	classical	
nivartana		2k	early-medieval	dharmamitra	1	1	1	2	1	-1125	1150	0	ok	agree	early-medieval	
nizWa		1a	early-medieval	dharmamitra	1	2	1	1	1	70	1150	0	ok	agree	early-medieval	
nizWa		1b	vedic	dcs	0	14	12	1	1	70	1150	1	evidence_base_citation_resolution	flag-only	vedic	no 'vedic' work among the attestation's dated set — the dating layer's 'vedic' citation was left unresolved by the year table (n_unresolved_citations=11) or vice versa; both claims survive
nizWa		1c	epic-sutra	dcs+dharmamitra	0	20	15	1	1	70	1150	0	ok	agree	epic-sutra	
nizWa		2a	epic-sutra	dharmamitra	0	6	5	2	1	-400	1200	0	ok	agree	epic-sutra	
nizWa		2b	early-medieval	dcs+hand:class	0	3	3	2	1	-400	1200	0	ok	agree	early-medieval	
nizWa		2c	epic-sutra	dcs+dharmamitra	0	30	26	2	1	-400	1200	0	ok	agree	epic-sutra	
nizWa		2d	epic-sutra	dharmamitra	0	4	4	2	1	-400	1200	0	ok	agree	epic-sutra	
nizWa		2e	vedic	dcs	0	4	3	2	1	-400	1200	0	ok	agree	vedic	
nizWa		2f	epic-sutra	hand:class	0	21	20	2	1	-400	1200	0	ok	agree	epic-sutra	
