source_key	class	mintable	resolved_same_source	no_locus_same_source	top_shapes	expansion	example_miss	example_hit	example_hit_href
SĀY	source	3	0	42	plain=3	SĀYAṆA.	<ls>SĀY. zu ṚV. 10,39,9</ls>		
UTTAR	source	3	0	0	plain=3	? [Cologne Addition]	<ls>UTTAR. 7,1</ls>		
UṆĀDIS	source	3	0	0	plain=2;multi_locus=1	? [Cologne Addition]	<ls>UṆĀDIS. 2,91</ls>		
VEṆĪS	source	3	0	0	plain=3	VEṆĪSAM̃HĀRA; nach Anführungen im ŚKDR.	<ls>VEṆĪS. 56,4.</ls>		
VIKRAMĀṄKAC	source	3	0	0	plain=3		<ls>VIKRAMĀṄKAC. 2,79</ls>		
VĀMANA	source	3	0	0	plain=2;multi_locus=1	? [Cologne Addition]	<ls>VĀMANA 5,2,76.</ls>		
VĀSAVAD	source	3	0	0	plain=3	? [Cologne Addition]	<ls>VĀSAVAD. 2,4.</ls>		
Vās	source	3	0	0	plain=3		<ls>Vās. 122,5.</ls>		
WIND	source	3	0	0	plain=3	? [Cologne Addition]	<ls>WIND. Sancara 109.</ls>		
YOGAS	source	3	0	0	plain=3	YOGASŪTRA (The Aphorisms of the Yoga Philosophy of Patan- jali. l. Allahabad 1852. II. ebe	<ls>YOGAS. 2,31.</ls>		
Yudh	source	3	0	0	plain=3		<ls>Yudh. 2,90.</ls>		
ĀRYABH	source	3	0	0	plain=3	? [Cologne Addition]	<ls>ĀRYABH. 4,28. 30.</ls>		
Śrīk	source	3	0	0	plain=3		<ls>Śrīk. 18,27</ls>		
1	structural	2	0	0	plain=2		<ls>1,111,3.</ls>		
AGNI-P	source	2	0	0	plain=2	AGNIPURĀṆA ? [Cologne Addition]	<ls>AGNI-P. 38,28. 30</ls>		
BAUDH	source	2	0	2	multi_locus=1;plain=1	BAUDHĀYANA.	<ls>BAUDH. 1,6,12,3</ls>		
BHĀMATĪ	source	2	0	0	plain=2		<ls>BHĀMATĪ 616,9</ls>		
BR	source	2	0	1	plain=2	? [Cologne Addition]	<ls>BR.) 22.</ls>		
Darpad	source	2	0	0	roman=2		<ls>Darpad. III,96.</ls>		
Dharmaśarm	source	2	0	0	plain=2		<ls>Dharmaśarm. 13,41.</ls>		
Govardh	source	2	0	0	plain=2		<ls>Govardh. 340</ls>		
HALĀY	format	2	28	3	plain=2	HALĀYUDHA, ein Lexicograph; nach Anführungen im ŚKDR.	<ls n="HALĀY.">168.</ls>	<ls>HALĀY. 2,171.</ls>	https://sanskrit-lexicon-scans.github.io/armh2/app1?2,171
HARAVIJAYA	source	2	0	0	plain=2		<ls>HARAVIJAYA 6,30</ls>		
Hem	source	2	0	0	plain=2		<ls>Hem. Par. 1,380.</ls>		
KIRĀT	source	2	0	0	plain=2	? [Cologne Addition]	<ls>KIRĀT. 5,47.</ls>		
KUHNʼs	source	2	0	0	plain=2		<ls>KUHNʼs Z. 27,281</ls>		
KUVALAY	source	2	0	0	plain=2	KUVALAYĀNANDA (Rhetorik) von APYADĪKṢITA mit dem ALAM̃- KĀRACANDRIKĀ genannten Commentar d	<ls>KUVALAY. 174,a,4.</ls>		
Kap	source	2	0	0	plain=2	? [Cologne Addition]	<ls>Kap. 1,80.</ls>		
Kaus	source	2	0	25	plain=2		<ls>Kaus. 3.</ls>		
Kaṃs	source	2	0	0	roman=2		<ls>Kaṃs. IV,17</ls>		
KĀTY	format	2	328	3	plain=1;multi_locus=1	KĀTYĀYANA.	<ls>KĀTY. ŚR. Comm. 56,3</ls>	<ls>KĀTY. ŚR. 22,6,16.</ls>	https://sanskrit-lexicon-scans.github.io/katyasr/app1?22,6,16
LĀTY	source	2	0	0	plain=2	? [Cologne Addition]	<ls>LĀTY. 2,11,9.</ls>		
MADHYAM	source	2	0	0	plain=2	MADHYAMAKAVṚTTI, handschriftlich in der Kais. Bibl. zu Paris, nach Mittheilungen von A. SC	<ls>MADHYAM. 4.</ls>		
MED	format	2	74	36	plain=2	MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Conso	<ls>MED. <is>avy</is>. 54.</ls>	<ls>MED. t. 3</ls>	https://sanskrit-lexicon-scans.github.io/medini/app1?t,3
MĀLAT	source	2	0	0	plain=1;range_fgg=1	MĀLATĪMĀDHAVA, ed. Calc. (GILD. Bibl. 210).	<ls>MĀLAT. 7,9.</ls>		
MĀRK	format	2	367	0	plain=2	? [Cologne Addition]	<ls>MĀRK. P. S. 660, Z. 6.</ls>	<ls>MĀRK. P. 101,8.</ls>	https://sanskrit-lexicon-scans.github.io/markandeyapurana/app1?101,8
NIDĀNAS	source	2	0	0	plain=2	? [Cologne Addition]	<ls>NIDĀNAS. 6,12</ls>		
Naiṣ	source	2	0	0	plain=2		<ls>Naiṣ. 8,89.</ls>		
PARIBH	source	2	0	0	plain=2	? [Cologne Addition]	<ls>PARIBH. 64</ls>		
PAÑCAT	format	2	640	1	roman=2	PAÑCATANTRA. Pantschatantrum sive quinquepartitum de moribus exponens, ex codicibus manusc	<ls>PAÑCAT. Bd. I, S. 581</ls>	<ls>PAÑCAT. 71,24.</ls>	https://sanskrit-lexicon-scans.github.io/pantankose/app2?71,24
PISCHEL	source	2	0	0	plain=2	? [Cologne Addition]	<ls>PISCHEL, Vedische Studien 72</ls>		
PRASAṄGĀBH	source	2	0	0	plain=2	? [Cologne Addition]	<ls>PRASAṄGĀBH. 12,b.</ls>		
Pūrṇabh	source	2	0	0	plain=2		<ls>Pūrṇabh. 165,2</ls>		
RATIM	source	2	0	1	plain=2	RATIMAÑJARĪ, ein Werk über Erotik; nach Anführungen im ŚKDR.	<ls n="RATIM.">16</ls>		
RATNĀV	source	2	0	0	plain=2	RATNĀVALĪ, ed. Calc. (GILD. Bibl. 214).	<ls>RATNĀV. 103,16.</ls>		
SUBHĀṢITĀV	source	2	0	0	plain=2		<ls>SUBHĀṢITĀV. 3075</ls>		
Sūryaś	source	2	0	0	plain=2		<ls>Sūryaś. 14</ls>		
Text	source	2	0	0	plain=2		<ls>Text zu Lot. de la b. l. 189</ls>		
TĀṆḌYA-BR	source	2	0	0	plain=2	TĀṆḌYABRĀHMAṆA ? [Cologne Addition]	<ls>TĀṆḌYA-BR. 9,1,1</ls>		
VIVĀDAC	source	2	0	0	plain=1;range_fgg=1	VIVĀDACINTĀMAṆI, ed. Calc. (GILD. Bibl. 351).	<ls>VIVĀDAC. 43,13</ls>		
VIṢṆUS	source	2	0	0	plain=2		<ls>VIṢṆUS. 98,50</ls>		
VĀGBHAṬĀLAṂKĀRA	source	2	0	0	plain=2		<ls>VĀGBHAṬĀLAṂKĀRA 1,20</ls>		
YAJÑAD	source	2	0	0	plain=2		<ls>YAJÑAD. 2,46</ls>		
ZDMG	source	2	0	0	plain=2		<ls>ZDMG 41,676.</ls>		
Ś	source	2	0	0	multi_locus=2	? [Cologne Addition]	<ls>Ś. 4,5,1. 5,2,20.</ls>		
ŚIŚUP	source	2	0	0	plain=2	? [Cologne Addition]	<ls>ŚIŚUP. 5,40.</ls>		
ŚRĪKAṆṬHAC	source	2	0	0	plain=2		<ls>ŚRĪKAṆṬHAC. 1,42</ls>		
Śiś	source	2	0	0	plain=2		<ls>Śiś. 18,5</ls>		
Śāṅkh	source	2	0	0	plain=2		<ls>Śāṅkh. Br. 13,9.</ls>		
15	structural	1	0	0	plain=1		<ls>15.</ls>		
231	structural	1	0	0	plain=1		<ls>231,16</ls>		
ARYABH	source	1	0	0	plain=1	? [Cologne Addition]	<ls>ARYABH. 2,7. 19.</ls>		
Amit	source	1	0	0	roman=1		<ls>Amit. XIII,14.</ls>		
AŚNA	source	1	0	0	plain=1	? [Cologne Addition]	<ls>AŚNA S. 344)</ls>		
AŚOKĀVAD	source	1	0	0	plain=1	AŚOKĀVADĀNA? [Cologne Addition]	<ls>AŚOKĀVAD. 32.</ls>		
AṢṬĀV	source	1	0	0	plain=1	? [Cologne Addition]	<ls>AṢṬĀV. 1,15.</ls>		
B	source	1	0	0	plain=1	BÖHTLINGK ? [Cologne Addition] usu. preceded by 'z.'	<ls>B. A. J. 10,127</ls>		
BHADRAB	source	1	0	0	multi_locus=1		<ls>BHADRAB. 1,21. 27. 31. 42. 44. 47. 50. 70. 127. 2,91. 3,59</ls>		
BHAR	source	1	0	3	plain=1	BHARATA, ein Autor über Schauspielkunst, verschieden vom Scholiasten zum AK. (dieser nach 	<ls>BHAR. NĀṬYAŚ. 34,4. 5.</ls>		
BHOJAPRAB	source	1	0	0	plain=1		<ls>BHOJAPRAB. 90,6.</ls>		
BHĀM	source	1	0	0	roman=1	BHĀMINĪVILĀSA ? [Cologne Addition]	<ls>BHĀM. V. 4,19</ls>		
BHĀTUP	source	1	0	0	plain=1	? [Cologne Addition]	<ls>BHĀTUP. 28,59.</ls>		
BHĀṬṬ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>BHĀṬṬ. 6,8.</ls>		
BRAHMOP	source	1	0	0	plain=1	BRAHMOPANIṢAD.	<ls>BRAHMOP. S. 250</ls>		
CANDRAKĪRTI	source	1	0	0	plain=1		<ls>CANDRAKĪRTI 41.</ls>		
Caraka	source	1	0	0	plain=1		<ls>Caraka 2,6.</ls>		
CĀT	source	1	0	0	plain=1	Gedicht vom Vogel Cātaka in der Zeitschrift für die Kunde des Morgenlandes, IV, S. 374--37	<ls>CĀT. 1.</ls>		
DH	source	1	0	0	roman=1		<ls>DH. V. 7,7</ls>		
DHŪRTAN	source	1	0	0	plain=1		<ls>DHŪRTAN. 37</ls>		
Daśak	source	1	0	1	plain=1		<ls>Daśak. 19,8.</ls>		
DĀYABH	source	1	0	0	plain=1	DĀYABHĀGA, ed. Calc. 1829 (GILD. Bibl. 344).	<ls>DĀYABH. 273,1.</ls>		
GOLĀDHY	source	1	0	1	plain=1	? [Cologne Addition]	<ls>GOLĀDHY. BHUVANAK. 26.</ls>		
Gopāl	source	1	0	0	plain=1		<ls>Gopāl. 118,3; 119,32.</ls>		
HARIR	source	1	0	0	plain=1	? [Cologne Addition]	<ls>HARIR. 589.</ls>		
Hariv	source	1	0	0	plain=1		<ls>Hariv. 2</ls>		
IL	structural	1	0	0	roman=1		<ls>IL. 3,221.</ls>		
INDṚ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>INDṚ. 5,4.</ls>		
J	source	1	0	4	roman=1	? [Cologne Addition]	<ls>J. A. O. S. Procc. Oct. 1885, XXVI. fg.</ls>		
JYOT	source	1	0	0	plain=1	JYOTIṢA.	<ls>JYOT. 27.</ls>		
JĀBĀLOP	source	1	0	1	plain=1	? [Cologne Addition]	<ls>JĀBĀLOP. S. 444</ls>		
KAT	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KAT. 72,168.</ls>		
KATHOP	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KATHOP. 5,3.</ls>		
KAURAP	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KAURAP. 33.</ls>		
KUHNʼS	source	1	0	0	range_fgg=1		<ls>KUHNʼS Z. 27,216. fg.</ls>		
Kalāv	source	1	0	0	roman=1		<ls>Kalāv. I,33</ls>		
Kauṣ	source	1	0	0	plain=1		<ls>Kauṣ. Up. 1,2.</ls>		
Kaṭhop	source	1	0	0	plain=1		<ls>Kaṭhop. 3,5</ls>		
Kuhn	source	1	0	0	plain=1		<ls>Kuhn's Z. 27,28</ls>		
KĀTHOP	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KĀTHOP. 6. 15.</ls>		
KĀVYA-PR	source	1	0	0	plain=1	KĀVYAPRAKĀŚA, ed. Calc. (GILD. Bibl. 265).	<ls>KĀVYA-PR. 185,7</ls>		
KĀVYAPR	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KĀVYAPR. 154,10</ls>		
Kār	source	1	0	0	plain=1	Kārikā.	<ls>Kār. 4. 8</ls>		
Kāty	source	1	0	0	plain=1		<ls>Kāty. Śr. 20,3,20.</ls>		
Kāṭh	source	1	0	0	plain=1		<ls>Kāṭh. 9,8</ls>		
KṚṢIS	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KṚṢIS. 7,26.</ls>		
KṚṢṆAJ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>KṚṢṆAJ. 279. 289.</ls>		
KṢURIKOP	source	1	0	0	plain=1		<ls>KṢURIKOP. 14. 19</ls>		
LASS	source	1	0	0	plain=1	? [Cologne Addition]	<ls>LASS. 23.</ls>		
LASSEN	source	1	0	1	plain=1	? [Cologne Addition]	<ls>LASSEN, Institutt. 7.</ls>		
M	format	1	1635	1	plain=1	MANU'S Gesetzbuch in der Ausg. von LOISELEUR DESLONGCHAMPS (GILD. Bibl. 289).	<ls>M. MÜLLER, Transl. 1,180.</ls>	<ls>M. 2,109.</ls>	https://sanskrit-lexicon-scans.github.io/manu/index.html?2,109
MAHĀN	source	1	0	0	plain=1	MAHĀNĀṬAKA (GILD. Bibl. 220).	<ls>MAHĀN. 552.</ls>		
MAHĀVASTU	source	1	0	0	plain=1		<ls>MAHĀVASTU 56,2</ls>		
MANTRABR	source	1	0	0	plain=1		<ls>MANTRABR. 1,2,5</ls>		
MBH	format	1	5737	16	plain=1	MAHĀBHĀRATA, ed. Calc. (GILD. Bibl. 93). Von S. 521 des Wörter- buchs sind die drei ersten	<ls n="MBH.">2.</ls>	<ls>MBH. 1,1090.</ls>	https://sanskrit-lexicon-scans.github.io/mbhcalc?1.1090
MUDHĀR	source	1	0	0	multi_locus=1	? [Cologne Addition]	<ls>MUDHĀR. 24,5. 25,8.</ls>		
Med	source	1	0	4	plain=1		<ls>Med. 1,57</ls>		
Mudrār	source	1	0	0	plain=1		<ls>Mudrār. 63,9</ls>		
MĀṆḌ	source	1	0	0	plain=1		<ls>MĀṆḌ. UP. 12.</ls>		
NIDĀNA	source	1	0	0	plain=1	? [Cologne Addition]	<ls>NIDĀNA 1,6,5</ls>		
NIRṆAYAS	source	1	0	0	range_fgg=1	? [Cologne Addition]	<ls>NIRṆAYAS. 30,a,6. fgg.</ls>		
NYĀYAM	source	1	0	0	plain=1		<ls>NYĀYAM. 1,1,26</ls>		
NĀGĀN	source	1	0	0	plain=1	? [Cologne Addition]	<ls>NĀGĀN. 19,10.</ls>		
NĀṬYAŚ	source	1	0	0	plain=1	NĀṬYAŚĀSTRA ? [Cologne Addition]	<ls>NĀṬYAŚ. 18,73.</ls>		
P	format	1	1034	15	plain=1	PĀṆINI'S acht Bücher grammatischer Regeln (GILD. Bibl. 244).	<ls>P. Einl. 2.</ls>	<ls>P. 6,4,57.</ls>	https://ashtadhyayi.com/sutraani/6/4/57
PRATYABDAŚ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>PRATYABDAŚ. 22.</ls>		
PRB	source	1	0	0	plain=1	? [Cologne Addition]	<ls>PRB. 60,2.</ls>		
Par	source	1	0	0	plain=1		<ls>Par. Sār. 27,5.</ls>		
Pischel	source	1	0	0	roman=1		<ls>Pischel, Ved. Stud. I,72.</ls>		
RATNAM	source	1	0	0	plain=1	RATNAMĀLĀ, ein Wörterbuch; nach Anführungen im ŚKDR.	<ls>RATNAM. 104</ls>		
RĀJA	source	1	0	0	plain=1	? [Cologne Addition]	<ls>RĀJA. 2,28.</ls>		
SMARADĪP	source	1	0	1	plain=1	? [Cologne Addition]	<ls n="SMARADĪP.">36</ls>		
SPAṢṬĀDH	source	1	0	0	plain=1	? [Cologne Addition]	<ls>SPAṢṬĀDH. 4.</ls>		
SUPARṆ	source	1	0	0	plain=1		<ls>SUPARṆ. 2,1</ls>		
Samay	source	1	0	1	roman=1		<ls>Samay. V,14.</ls>		
Sizzungsberichte	source	1	0	0	plain=1		<ls>Sizzungsberichte der phil.-hist. Klasse der Wiener Ak. 106,483</ls>		
Spruch	source	1	0	0	plain=1	? [Cologne Addition]	<ls>Spruch 5042.</ls>		
Suśr	source	1	0	0	plain=1		<ls n="Suśr.">2,488,21.</ls>		
SĀṂKHYAPR	source	1	0	0	plain=1	? [Cologne Addition]	<ls>SĀṂKHYAPR. S. 7, Z. 18.</ls>		
TARKASAM̃GR	source	1	0	0	plain=1	? [Cologne Addition]	<ls>TARKASAM̃GR. 58.</ls>		
TRIPR	source	1	0	0	plain=1	? [Cologne Addition]	<ls>TRIPR. 62.</ls>		
TĀRAN	source	1	0	0	plain=1	? [Cologne Addition]	<ls>TĀRAN. 4. 24.</ls>		
UP	source	1	0	0	multi_locus=1	? [Cologne Addition]	<ls>UP. 11,7,2,8.</ls>		
UPAK	source	1	0	0	plain=1	? [Cologne Addition]	<ls>UPAK. 73</ls>		
UPAL	source	1	0	0	plain=1	UPALEKHA de KRAMAPĀṬHA libellus. Ed. G. PERTSCH. Berolini 1854. 8º.	<ls>UPAL. 9,15.</ls>		
UTPALA	source	1	0	0	vol_marker=1	? [Cologne Addition]	<ls>UTPALA zu VARĀH. BṚH. 26 (24),4</ls>		
Uttamac	source	1	0	0	plain=1		<ls>Uttamac. 107. 285.</ls>		
Uttarar	source	1	0	0	roman=1		<ls>Uttarar. V,31</ls>		
VARARUCI	source	1	0	0	plain=1	? [Cologne Addition]	<ls>VARARUCI 10,2</ls>		
VIKR	format	1	99	0	plain=1	VIKRAMORVAŚĪ, ed. BOLLENSEN (GILD. Bibl. 206). Eine einfache Zahl verweist auf einen Śloka	<ls>VIKR. drāv. 654,24</ls>	<ls>VIKR. 11,11.</ls>	https://sanskrit-lexicon-scans.github.io/vikramor/app2?11,11
Vaij	source	1	0	0	plain=1		<ls>Vaij. 86,49</ls>		
Verz	source	1	0	0	plain=1		<ls>Verz. d. B. H. 278, Śl. 42.</ls>		
Viṣṇubh	source	1	0	0	roman=1		<ls>Viṣṇubh. III,31</ls>		
VĀGBH	source	1	0	0	plain=1	? [Cologne Addition]	<ls>VĀGBH. 26,9.</ls>		
VṚDDHACĀṆ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>VṚDDHACĀṆ. 13,14.</ls>		
WINDISCHMANN	source	1	0	0	plain=1	? [Cologne Addition]	<ls>WINDISCHMANN, Sancara 94.</ls>		
WISE	source	1	0	0	plain=1	Commentary on the Hindu System of Medicine, by T. A. WISE, M. D. Calcutta 1845. 8º.	<ls>WISE 293.</ls>		
YAJÑADATTAV	source	1	0	0	plain=1		<ls>YAJÑADATTAV. 2,54.</ls>		
YANTRĀDHY	source	1	0	0	plain=1	? [Cologne Addition]	<ls>YANTRĀDHY. 9.</ls>		
YOGAYĀTRĀ	source	1	0	0	plain=1	? [Cologne Addition]	<ls>YOGAYĀTRĀ 2,22</ls>		
YĀJN	source	1	0	0	multi_locus=1	? [Cologne Addition]	<ls>YĀJN. 1,162. 2,32.</ls>		
Yājñ	source	1	0	0	plain=1		<ls>Yājñ. 2,266.</ls>		
ebend	source	1	0	1	ibid=1		<ls>ebend. 407. 410</ls>		
{{MEGH	source	1	0	0	plain=1		<ls>{{MEGH. 28->MEGH. 29||20250521|Jim Funderburk|https://github.com/sanskrit-lexicon/csl-orig/issues/2758|}}</ls>		
{{ŚR	source	1	0	0	multi_locus=1		<ls>{{ŚR.1,8,4.9,2,4.->MĀN.ŚR.1,8,4.9,2,4.||20160118|Jim Funderburk.|https://github.com/sanskrit-lexicon/CORRECTIONS/issues/237|inferred}}</ls>		
{{‹ed	source	1	0	0	plain=1		<ls>{{‹ed.› Vardh.->MBH.ed.Vardh.||20160103|Dhaval Patel, Jim Funderburk.|https://github.com/sanskrit-lexicon/CORRECTIONS/issues/216|to match with Bibliography in Preface}} 7,41,8</ls>		
