source	occurrences
SUŚR	280
ŚĀṄKH	241
CHĀND	198
ĀŚV	197
PRAB	170
KAUŚ	157
MṚCCH	146
KĀM	128
LĀṬY	118
VET	114
ĀPAST	113
SARVADARŚANAS	107
Ind	95
ŚIŚ	85
PAÑCAV	85
DAŚAK	83
BṚH	77
JĀTAKAM	72
ṚT	69
KĀṬH	68
GOBH	64
KIR	54
CARAKA	53
MAITRYUP	45
Z	44
DIVYĀVAD	44
PĀR	41
MAITR	40
TAITT	39
ARJ	39
KAṬHOP	38
MUṆḌ	37
ŚVETĀŚV	35
SŪRYAS	35
DHŪRTAS	35
NAIṢ	34
KAUṢ	34
SĀV	33
PAT	32
KAP	31
LALIT	31
TS	30
LA	29
VS	29
DRAUP	28
KĀD	28
VĀLAKH	28
BRAHMA-P	27
PRAŚNOP	27
WEBER	26
Comm	25
BĀLAR	25
ŚUK	25
SADDH	24
Jātakam	23
MAHĀVY	23
SĀṂKHYAK	22
Sp	22
VARĀH	22
ŚĀK	21
AMAR	21
ŚRUT	21
VAJRACCH	20
Sch	20
Journ	20
CAMPAKA	20
INDR	19
ṢAḌV	19
KENOP	19
MĀN	19
S	18
MĀLATĪM	18
VEDĀNTAS	18
KĀRAṆḌ	18
HEM	18
ṚV	18
UTTARAR	18
SUND	17
AV	17
Divyāvad	16
BHĀVAPR	15
PRASANNAR	15
HIḌ	14
HEMĀDRI	14
GṚHY	14
AIT	14
SCHL	14
Nachtr	14
NALOD	14
ŚAṂK	14
SIDDH	13
JAIM	13
UTTARARĀMAC	13
MUIR	12
MÜLLER	12
HALL	12
BHĀṢĀP	11
H	11
Āpast	11
HARṢAC	11
ŚATR	11
ŚĀNTIŚ	10
SOM	10
VP	9
NĪLAK	9
ŚR	9
Mahāvy	9
NYĀYAS	9
Kir	8
WILSON	8
ĪŚOP	8
Verz	8
GAUT	8
Maitr	8
Kauṭ	8
RĀJAN	8
Lot	7
GOP	7
MATSYOP	7
TATTVAS	7
DAŚAR	7
SV	6
BĀLAB	6
ŚULBAS	6
MIT	6
VAITĀN	6
ed	6
HIT	6
VOP	6
BURNOUF	6
DEV	5
CĀṆ	5
BRĀHMAṆ	5
TARKAS	5
COLEBR	5
VYUTP	5
YOGAŚ	5
UPAG	5
VĀSAV	5
KĀVYĀD	5
{{CARARA->CARAKA||20160103|Dhaval	5
ŚIKṢĀ	5
KUSUM	5
Vajracch	4
Harṣac	4
GHAṬ	4
SAṂHITOPAN	4
{{MBH	4
PAÑCAD	4
DHARMAŚARM	4
MUDRĀR	4
MAHĀBH	4
VṚDDHA-CĀṆ	4
LAGHUJ	4
BURN	4
UTTAMAC	4
VASIṢṬHA	4
N	3
GṚHYASAṂGR	3
VĀSAVAD	3
YOGAS	3
SĀY	3
CHANDOM	3
VĀMANA	3
BHĀG	3
SĀMAVIDH	3
PRATĀPAR	3
R	3
WIND	3
Yudh	3
PĀRŚVANĀTHAK	3
VEṆĪS	3
ĀRYABH	3
SAṂSK	3
Śrīk	3
SĀMAV	3
VIKRAMĀṄKAC	3
BĀDAR	3
Vās	3
<is>Kār.</is>	3
UṆĀDIS	3
Kauś	3
UTTAR	3
KAṆ	3
Sam	3
Mat	3
Praty	3
Prabandh	3
ŚIŚUP	2
Naiṣ	2
Śiś	2
Ś	2
MĀRK	2
KUVALAY	2
VĀGBHAṬĀLAṂKĀRA	2
PISCHEL	2
Sūryaś	2
