source_key	citation_count
ed. Bomb	2685
Journ. of the Am	717
ed. Calc	708
Lot. de la b	587
padap	254
(I)	223
II,	220
BURNOUF, Intr	165
I,	149
III,	137
AUṢ	126
(II)	93
ed. orn	71
REINAUD, Mém. sur lʼInde	69
Bomb. Ausgg	66
IV,	62
v. u	53
V,	51
VII,	49
VI,	40
Bomb. Ausg	38
ebend. No	31
COL	29
ROTH, Zur L. u	28
IX,	27
VIII,	26
ed. SCHL	25
S	24
X,	21
Med	20
XI,	20
ad	19
XIII,	19
Bibl. ind	16
Hist. de la vie	16
Index	15
XIV,	15
ebend. N	14
Text	14
XII,	13
ebend. S	11
Th	11
Journ. of the As	10
ed. JOHNS	10
ed	10
WEBER, Ind. Lit	9
—	9
Monatsberr. d. K. Pr	9
XVIII,	8
Berichte d. k. s	8
VIŚVAPR	8
ed. BURN	8
Pref. zu VARĀH. BṚH	8
WEBER, KṚṢNAJ	8
WILSON, Th. of the	7
XVI,	7
Th. III, S	7
lith. Ausg	7
KĀṆVA-Rec	6
Calc	6
XV,	6
YAJÑAD	6
VIṢṆUʼs DHARMAŚ	6
ed. GORR	6
WILSON, Hindu Th	6
REINAUD, Mém. sur lʼInde,	5
DURGĀDĀSA	5
XVII,	5
II	5
L. JĀT	5
GOBHILA	5
ed. B	5
b, No	5
ed. Cow	5
Pariśiṣṭa zum SV	4
WILSON, Hindu Th. I,	4
ROTH, Einl. zu NIR	4
XIX,	4
YĀJÑA	4
ed. orn. I,	4
ed. TR	4
Spr.(II)	4
ed. TULLB	4
Kull	3
WEBER, LIT	3
WILSON, Hindu Th. II,	3
YĀJÑAVALKYAʼs Gesetzbuch	3
Intr	3
PATAÑJALI	3
Buch	3
Pravarādhy	3
Gel. Anzz. d. k	3
Suppl	3
n	3
Einl. zum DHĀTUP. II	3
Th. II, S	3
ṚV.-Rec	3
YAJÑ	3
r	3
Bomb	3
ed. LOIS	3
Orient und Occident	3
WEBER, Ind. Streifen	3
VIŚVAPR. a. a. O	3
CHAMB	2
ebend. II,	2
XXI,	2
Pariśiṣṭa zum AV	2
ROTH, Erll. zu NIR	2
KĀṬHAKA-Rec	2
Einl. zum AIT. BR	2
SCHIEFNER, Leb	2
p	2
HAUGHTON, A Dict. BENG	2
Einl. zum NIR. S	2
Erll. zu NIR. S	2
BHARATAM	2
t	2
St	2
XX,	2
ult	2
WILSON, A Gloss. of	2
Th. I, S	2
praef. zu den Radd	2
f	2
Ros	2
LASSENʼs Pentap	2
KULĀRṆAVATANTRA	2
IV	2
Praef. VIII	2
Verz. d. KOP. H	2
Vie de Hiouen-thsang	2
Mélanges asiatiques	2
DIEZ, Etym. Wört. der	2
