vs	lemma_slp1	lemma_iast	pujol_accented	pujol_vowel	cologne_accented	cologne_vowel	recommend
GRA	Baga	bhaga	bhagá	2	bhága	1	Cologne (RV)
GRA	Bavya	bhavya	bhavyá	2	bhávya	1	Cologne (RV)
MW	Danasani	dhanasani	dhanásani	2	dhanasáni	3	Cologne (MW)
GRA	Orva	aurva	aúrva	1	aurvá	2	Cologne (RV)
GRA	acetas	acetas	acétas	2	acetás	3	Cologne (RV)
MW	agrya	agrya	ágrya	1	agryá	2	Cologne (MW)
MW	ahina	ahina	áhina	1	ahína	2	Cologne (MW)
MW	ahirbuDnyas	ahirbudhnyas	ahirbudhnyás	4	áhirbudhnyás	1/4	Cologne (MW)
GRA	amatra	amatra	amatrá	3	ámatra	1	Cologne (RV)
MW	amba	amba	ambá	2	ámba	1	Cologne (MW)
GRA	apsu	apsu	apsú	2	ápsu	1	Cologne (RV)
GRA	arati	arati	árati	1	aratí	3	Cologne (RV)
GRA	aritra	aritra	arítra	2	árítra	1/2	Cologne (RV)
GRA	asapatna	asapatna	ásapatna	1	asapatná	4	Cologne (RV)
MW	askanda	askanda	askandá	3	áskanda	1	Cologne (MW)
MW	asruta	asruta	ásruta	1	asrutá	3	Cologne (MW)
GRA	avasa	avasa	avásá	2/3	avasá	3	Cologne (RV)
MW	daridra	daridra	darídra	2	dáridra	1	Cologne (MW)
GRA	dvara	dvara	dvára	1	dvará	2	Cologne (RV)
GRA	ekapad	ekapad	ekapád	3	ékapad	1	Cologne (RV)
MW	grahya	grahya	grahyá	2	gráhya	1	Cologne (MW)
MW	hira	hira	hirá	2	híra	1	Cologne (MW)
MW	hrasva	hrasva	hrásva	1	hrasvá	2	Cologne (MW)
MW	kartavya	kartavya	kartavyá	3	kártavya	1	Cologne (MW)
GRA	kaya	kaya	kayá	2	káya	1	Cologne (RV)
MW	kupa	kupa	kúpa	1	kupá	2	Cologne (MW)
GRA	meDas	medhas	médhas	1	medhás	2	Cologne (RV)
MW	naciketa	naciketa	naciketá	4	náciketa	1	Cologne (MW)
MW	nisara	nisara	nísara	1	nisará	3	Cologne (MW)
GRA	nivara	nivara	nivára	2	nivará	3	Cologne (RV)
MW	niyuta	niyuta	niyúta	2	níyuta	1	Cologne (MW)
GRA	revat	revat	révat	1	revát	2	Cologne (RV)
GRA	sOmya	saumya	saumyá	2	saúmya	1	Cologne (RV)
MW	sOva	sauva	sauva	0	sauvá	2	Cologne (MW)
MW	sTiti	sthiti	sthití	2	sthíti	1	Cologne (MW)
MW	saDana	sadhana	sádhana	1	sadhána	2	Cologne (MW)
GRA	saci	saci	sáci	0/1	sáci	1	Cologne (RV)
GRA	saka	saka	saka	0	saká	2	Cologne (RV)
MW	salva	salva	salva	0	sálva	1	Cologne (MW)
GRA	samana	samana	samaná	3	sámana	1	Cologne (RV)
GRA	sani	sani	sani	0	saní	2	Cologne (RV)
MW	sapa	sapa	sapa	0	sápa	1	Cologne (MW)
GRA	sapatna	sapatna	sapatná	3	sapátna	2	Cologne (RV)
GRA	sarin	sarin	sarin	0	sárin	1	Cologne (RV)
MW	sarira	sarira	sárira	0/1	sarirá	3	Cologne (MW)
MW	saru	saru	sáru	0/1	sáru	1	Cologne (MW)
GRA	sasra	sasra	sásra	1	sasrá	2	Cologne (RV)
MW	suka	suka	súka	0/1	súka	1	Cologne (MW)
MW	susasya	susasya	súsasya	1	susasyá	3	Cologne (MW)
GRA	svani	svani	svani	0	sváni	1	Cologne (RV)
GRA	svara	svara	svára	1	svará	2	Cologne (RV)
MW	svavat	svavat	svavat	0	svávat	1	Cologne (MW)
MW	svita	svita	svita	0	svitá	2	Cologne (MW)
GRA	sya	sya	sya	0	syá	1	Cologne (RV)
MW	tila	tila	tilá	2	tíla	1	Cologne (MW)
MW	uDan	udhan	údhan	1	udhán	2	Cologne (MW)
GRA	udita	udita	údita	1	uditá	3	Cologne (RV)
GRA	vanaspati	vanaspati	vanaspáti	3	vánaspáti	1/3	Cologne (RV)
GRA	vani	vani	váni	1	vaní	2	Cologne (RV)
GRA	vidya	vidya	vidyá	2	vídya	1	Cologne (RV)
MW	visalya	visalya	vísalya	1	visalyá	3	Cologne (MW)
MW	yahu	yahu	yahú	2	yáhu	1	Cologne (MW)
GRA	yuvati	yuvati	yuváti	2	yuvatí	3	Cologne (RV)
