# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
˜  √tumph                               	  tumP
˜ ā-√cakṣ                               	 Acakz
• pūrva-jāti-                           	 pUrvajAti
≈˜ pra-√sphuṭ                           	 prasPuw
¡˜ praty-ud-√vraj                       	 pratyudvraj
.asac-chāstra-                          	.asacCAstra
.avāk-śākha-                            	.avAkSAKa
.pāśupatāstra-                          	.pASupatAstra
ā-√st•                                  	Ast
bhasmāvaśeṣam + √kṛ                     	BasmAvaSezam + kf
Ê kan«nikā-                             	E kannikA
gh·ṇi-                                  	GRi
ĪÃ §pratikṛti-                          	IA pratikfti
īd·ś-                                   	IdS
īd·śa-                                  	IdSa
īd·kṣa-                                 	Idkza
khanit·-                                	Kanit
Ṛ≈UÊ āsphoṭā-                           	RUE AsPowA
śreyo-’bhikaṅkṣin-                      	SreyoBikaNkzin
ūṣÎ§ praty-ārdrī-√kṛ                    	UzI pratyArdrIkf
abhinet·-                               	aBinet
abhi-√p•                                	aBip
abhi-√t•                                	aBit
abhy-ava-√k•                            	aByavak
adharma.maya-                           	aDarma.maya
adhip≤-                                 	aDip
adhir≤j-                                	aDirj
adhiṣṭhāt·-                             	aDizWAt
adhiṣṭh≤na-                             	aDizWna
adhun≤                                  	aDun
abodha.gamya-                           	aboDa.gamya
akutra.bhaya-                           	akutra.Baya
anuvākyā` -                             	anuvAkyA` 
anuv≤c-                                 	anuvc
anu-vi-√ṣad (vi2+√sad1)                 	anuvizad
anuvyākhy≤na-                           	anuvyAKyna
apsaro’vakīrṇa-                         	apsarovakIrRa
apunar-āvṛtti-).                        	apunarAvftti).
arit·-                                  	arit
ati-√p•                                 	atip
ati-√t•                                 	atit
atitar≤m                                	atitarm
atiṣṭh≤-2                               	atizW
ava-√d•                                 	avad
ava-√g•                                 	avag
avalipta.tva-                           	avalipta.tva
bālhīka- =                              	bAlhIka =
bodhayit·-                              	boDayit
cūrṇa-śas + √kṛ                         	cUrRaSas + kf
c≥ḍa-2                                  	cqa
did·kṣu-                                	didkzu
dogdh·-                                 	dogD
duhit·-                                 	duhit
etād·kṣa-                               	etAdkza
hant·-                                  	hant
iyat.tva-                               	iyat.tva
janit·-                                 	janit
kaṇṭhya.svara-                          	kaRWya.svara
k·kāṭa-                                 	kkAwa
k«kaṭa-                                 	kkawa
kroṣṭ·-                                 	krozw
kṣatt·-                                 	kzatt
mānuṣa-daivika.                         	mAnuzadEvika.
mānuṣa-laukika.                         	mAnuzalOkika.
mānuṣa-rākṣasa.                         	mAnuzarAkzasa.
mānuṣa-tā.                              	mAnuzatA.
mānuṣa-tva.                             	mAnuzatva.
mano-’bhipraya-                         	manoBipraya
mano’haṃkṛtivikriyā-                    	manohaMkftivikriyA
niṣ-√?ap (√tap)                         	niz?ap
niṣpattra+√kṛ                           	nizpattra+kf
pari-√k¬p                               	parikp
paropajāpa.                             	paropajApa.
prāśit·-                                	prASit
praṇet·-                                	praRet
praśāst·-                               	praSAst
prajanayit·-                            	prajanayit
pra-√k¬p                                	prakp
prastot·-                               	prastot
pratihart·-                             	pratihart
pratiprasthāt·-                         	pratiprasTAt
pravadit·-                              	pravadit
proñc (pra+√uñc)                        	proYc
p·tanā-                                 	ptanA
p·tana-                                 	ptana
puṇya-k·t-                              	puRyakt
rakṣit·-                                	rakzit
saṃgrahīt·-                             	saMgrahIt
saṃprārth (pra+√arth)                   	saMprArT
saṃ-pra-√k¬p                            	saMprakp
saṃ-praty-adhī (adhi+√i3)               	saMpratyaDI
saṃ-prokṣ (pra+√ukṣ1)                   	saMprokz
sam-anu-√k¬p                            	samanukp
sam-avekṣa (ava+√īkṣ)                   	samavekza
sam-upa-√k¬p                            	samupakp
sarva-kāla.mitra-                       	sarvakAla.mitra
saúparṇa (sauparṇá-)                    	sauparRa
savit·-                                 	savit
snigdhāñjana.                           	snigDAYjana.
snigdha-bhinnāñjana.                    	snigDaBinnAYjana.
snigdha-jana.                           	snigDajana.
snigdha-mudga.                          	snigDamudga.
snigdha-nakha-tā.                       	snigDanaKatA.
snigdha-pāṇilekha-tā.                   	snigDapARileKatA.
snigdha-tā.                             	snigDatA.
snigdha-tama.                           	snigDatama.
snigdha-tva.                            	snigDatva.
snigdha-varṇa.                          	snigDavarRa.
spraṣṭ·-                                	sprazw
stot·-                                  	stot
udgāt·-                                 	udgAt
upā-√pracch (upa+ā2+√pracch)            	upApracC
upā-√stha (upa+ā2+√stha)                	upAsTa
upa-saṃ-√k¬p                            	upasaMkp
upottha (upa+ud1+√stha)                 	upotTa
urasi-ja-.                              	urasija.
utthāt·-                                	utTAt
ut-√t• (ud1+√t•)                        	utt
vavr°-                                  	vavr
viśast·-                                	viSast
vihant·-                                	vihant
vi-√k¬p                                 	vikp
voḍh·-                                  	voQ
yokt·-                                  	yokt
ṣÈ§«K kuḍya-                            	zEK kuqya

## simple  (1421)
ābhūtasaṃplava-                         	ABUtasaMplava
ābhiṣeca-                               	ABizeca
āchinna-                                	ACinna
ādhyātma-                               	ADyAtma
āṇavātman                               	ARavAtman
āśeddha-                                	ASedDa
āśramājira-                             	ASramAjira
ājanu                                   	Ajanu
ākāśī-                                  	AkASI
ākārākārita-                            	AkArAkArita
ālābus-                                 	AlAbus
ālakṣana-                               	Alakzana
ālekhanā-                               	AleKanA
āmāśraya-                               	AmASraya
āmbhasī-                                	AmBasI
āmayāvi-                                	AmayAvi
āmraka-                                 	Amraka
āptokta-                                	Aptokta
ārṇa-                                   	ArRa
ārṣokta-                                	Arzokta
āstaraṇī-                               	AstaraRI
āsurāyaná-                              	AsurAyana
ātmābhyāsa-                             	AtmAByAsa
ātmānātmavivecana-                      	AtmAnAtmavivecana
ātmaikyabodha-                          	AtmEkyaboDa
ātmoditāhaṃkṛti-                        	AtmoditAhaMkfti
ātmopamyena                             	Atmopamyena
āvám                                    	Avam
