L	key1	devanagari	translit	sense	pc	anchor
1	a	अ	a	1	1-0001	pc
2	a	अ	a	2	1-0001	pc
3	a	अ	a	3	1-0001	pc
4	a	अ	a	4	1-0003	pc
5	a	अ	a	5	1-0003	pc
7	aMSa	अंश	aṃśa	1	1-0003	pc
8	aMSa	अंश	aṃśa	2	1-0004	pc
9	aMSaka	अंशक	aṃśaka	1	1-0004	pc
10	aMSaka	अंशक	aṃśaka	2	1-0004	pc
11	aMSaka	अंशक	aṃśaka	3	1-0004	pc
12	aMSakaraRa	अंशकरण	aṃśakaraṇa		1-0004	pc
14	aMSala	अंशल	aṃśala		1-0004	pc
16	aMSahara	अंशहर	aṃśahara		1-0004	pc
18	aMSAvataraRa	अंशावतरण	aṃśāvataraṇa		1-0004	pc
19	aMSin	अंशिन्	aṃśin		1-0004	pc
20	aMSu	अंशु	aṃśu		1-0004	pc
21	aMSuka	अंशुक	aṃśuka		1-0005	pc
22	aMSuDara	अंशुधर	aṃśudhara		1-0005	pc
23	aMSupawwa	अंशुपट्ट	aṃśupaṭṭa		1-0005	pc
24	aMSupati	अंशुपति	aṃśupati		1-0005	pc
25	aMSumatI	अंशुमती	aṃśumatī		1-0005	pc
26	aMSumatPalA	अंशुमत्फला	aṃśumatphalā		1-0005	pc
29	aMSumAlA	अंशुमाला	aṃśumālā		1-0005	pc
30	aMSumAlin	अंशुमालिन्	aṃśumālin		1-0005	pc
31	aMSula	अंशुल	aṃśula		1-0005	pc
32	aMSuhasta	अंशुहस्त	aṃśuhasta		1-0005	pc
33	aMsa	अंस	aṃsa	1	1-0005	pc
34	aMsa	अंस	aṃsa	2	1-0005	pc
35	aMsakUwa	अंसकूट	aṃsakūṭa		1-0005	pc
36	aMsatra	अंसत्र	aṃsatra		1-0005	pc
37	aMsatrakoSa	अंसत्रकोश	aṃsatrakośa		1-0005	pc
38	aMsaDrI	अंसध्री	aṃsadhrī		1-0005	pc
39	aMsaBAra	अंसभार	aṃsabhāra		1-0006	pc
40	aMsaBArika	अंसभारिक	aṃsabhārika		1-0006	pc
42	aMsala	अंसल	aṃsala		1-0006	pc
44	aMseBAra	अंसेभार	aṃsebhāra		1-0006	pc
45	aMseBArika	अंसेभारिक	aṃsebhārika		1-0006	pc
46	aMsya	अंस्य	aṃsya		1-0006	pc
47	aMh	अंह्	aṃh	1	1-0006	pc
48	aMh	अंह्	aṃh	2	1-0006	pc
49	aMhati	अंहति	aṃhati	1	1-0006	pc
49	aMhati	अंहती	aṃhatī		1-0006	pc
50	aMhati	अंहति	aṃhati	2	1-0006	pc
52	aMhas	अंहस्	aṃhas		1-0006	pc
53	aMhasaspati	अंहसस्पति	aṃhasaspati		1-0007	pc
54	aMhiti	अंहिति	aṃhiti		1-0007	pc
55	aMhu	अंहु	aṃhu		1-0007	pc
57	aMhura	अंहुर	aṃhura		1-0007	pc
58	aMhUraRa	अंहूरण	aṃhūraṇa		1-0007	pc
59	aMhomuc	अंहोमुच्	aṃhomuc		1-0007	pc
60	aMhoyu	अंहोयु	aṃhoyu		1-0007	pc
61	aMhri	अंह्रि	aṃhri		1-0007	pc
62	aMhripa	अंह्रिप	aṃhripa		1-0007	pc
63	aMhriskanDa	अंह्रिस्कन्ध	aṃhriskandha		1-0007	pc
64	ak	अक्	ak	,	1-0007	pc
65	aka	अक	aka		1-0007	pc
66	akaca	अकच	akaca		1-0007	pc
67	akanizWa	अकनिष्ठ	akaniṣṭha		1-0007	pc
68	akanizWaga	अकनिष्ठग	akaniṣṭhaga		1-0007	pc
69	akanyA	अकन्या	akanyā		1-0007	pc
71	akampita	अकम्पित	akampita		1-0008	pc
72	akaraRi	अकरणि	akaraṇi		1-0008	pc
73	akarA	अकरा	akarā		1-0008	pc
74	akaruRa	अकरुण	akaruṇa		1-0008	pc
75	akarkaSa	अकर्कश	akarkaśa		1-0008	pc
76	akarRa	अकर्ण	akarṇa		1-0008	pc
77	akarRya	अकर्ण्य	akarṇya		1-0008	pc
78	akartana	अकर्तन	akartana		1-0008	pc
79	akarmaka	अकर्मक	akarmaka		1-0008	pc
80	akarman	अकर्मन्	akarman	1	1-0008	pc
81	akarman	अकर्मन्	akarman	2	1-0008	pc
82	akala	अकल	akala		1-0008	pc
83	akalka	अकल्का	akalkā		1-0008	pc
83	akalka	अकल्क	akalka		1-0008	pc
84	akalkatA	अकल्कता	akalkatā		1-0008	pc
85	akalkana	अकल्कन	akalkana		1-0008	pc
88	akalpa	अकल्प	akalpa		1-0008	pc
