subtype	op	direction	layer	count
restate_unplaced	restate	abridging	pw	4637
restate	restate	abridging	pw	562
pwg_internal_correction	amend	internal	pwg	322
nws_at_sense_unplaced	add	additive	nws	317
sch_star	add	additive	sch	148
a2a_unplaced	relocate	additive	pwkvn	112
foreign_fragment	add	additive	nws	109
derived_sense	add	additive	sch	55
derived_sense	add	additive	pwkvn	40
a2a	relocate	additive	pwkvn	10
nws_at_sense	add	additive	nws	6
sch_correct	correct	additive	sch	6
pw_correct	correct	abridging	pw	1
sch_cancel	delete	additive	sch	1
