slp1	n_dicts	dicts
A	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
E	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
F	7	AP BUR MW PWG PWK SKD VCP
I	10	AP BHS BUR INM MW PWG PWK SCH SKD VCP
O	7	AP BUR MW PWG PWK SKD VCP
U	9	BUR CAE CCS MD MW PWG PWK SKD VCP
X	7	AP BUR MW PWG PWK SKD VCP
a	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
e	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
f	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
i	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
n	1	PWK
o	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
u	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
x	7	AP BUR MW PWG PWK SKD VCP
AC	1	PWG
AH	2	AP SKD
AM	2	BUR SKD
AN	5	CCS MD PWK SKD VCP
AS	1	MW
Ac	4	CCS MD MW PWK
Af	1	MW
Ai	1	MW
Aj	1	MW
Ak	1	SCH
Al	1	PWG
Am	9	AP CAE CCS MD MW PWG PWK SCH VCP
An	1	PWG
Ap	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Ar	7	CAE CCS GRA MD MW PWG PWK
As	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
At	9	AP CAE CCS GRA MD MW PWG PWK VCP
Aw	3	MW PWG PWK
Az	2	PWG PWK
BA	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
BF	5	AP BUR MW SKD VCP
BI	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
BU	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
Ba	9	BUR CAE CCS MD MW PWG PWK SKD VCP
Bf	9	AP BUR CAE CCS GRA MD MW SKD VCP
Bo	7	BUR CAE CCS MD MW PWG PWK
Bu	7	CAE CCS GRA MD MW PWG PWK
CA	9	AP CAE CCS MD MW PWG PWK SKD VCP
Ca	8	AP BUR MW PWG PWK SCH SKD VCP
Ci	4	MW PWG PWK VCP
Co	6	AP BUR MW PWG SKD VCP
DA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
DF	2	BUR MW
DI	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
DU	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
Da	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
De	6	AP BUR MD MW SKD VCP
Df	8	AP BUR CAE GRA MD MW SKD VCP
Di	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Du	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ED	1	PWG
EH	2	AP SKD
Es	1	BUR
Et	1	BUR
FH	1	SKD
GA	5	AP MW PWK SKD VCP
Ga	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Gf	7	AP BUR CAE MD MW SKD VCP
Gi	1	BUR
Gu	8	AP BUR MD MW PWG PWK SKD VCP
IH	2	AP SKD
IK	3	AP MW PWK
IL	2	BUR MW
IS	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
Ih	9	AP BUR CAE CCS GRA MD MW PWG PWK
Ij	9	AP BUR CAE CCS GRA MD MW PWG PWK
Il	2	BUR MW
Im	9	AP CAE CCS GRA MD MW PWG PWK VCP
Iq	9	AP BUR CAE CCS GRA MD MW PWG PWK
Ir	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Is	1	PWG
Iz	9	AP BUR CAE CCS GRA MD MW PWG PWK
JA	2	AP MW
JF	4	AP BUR MW SKD
Ja	7	AP BUR MW PWG PWK SKD VCP
Jf	1	VCP
Ju	3	BUR MW SKD
KA	7	AP GRA MD MW PWG PWK VCP
KE	4	BUR MW SKD VCP
KI	1	BHS
Ka	12	BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP VEI
Ke	1	MW
Ko	1	BHS
Ku	8	AP BHS BUR MW PWG PWK SKD VCP
La	1	SKD
Na	7	AP BUR MW PWG PWK SKD VCP
Nu	7	AP BUR MW PWG PWK SKD VCP
OH	1	SKD
Om	4	AP MW PWG PWK
PA	5	AP MW PWG PWK VCP
Pa	7	AP BUR MW PWG PWK SKD VCP
Pi	5	BUR MW PWG PWK VCP
Pu	4	MW PWG PWK VCP
Qa	6	BUR MW PWG PWK SKD VCP
RA	2	AP BHS
RI	4	AP BHS SKD VCP
RU	2	SKD VCP
Ra	8	AP BUR MW PWG PWK SCH SKD VCP
Ri	3	CCS MD PWK
Ru	2	SKD VCP
SA	7	CAE CCS GRA MD PWG PWK SCH
SE	1	MW
SF	6	AP BUR MD MW SKD VCP
SI	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
SU	7	CAE CCS GRA MD MW PWG PWK
Sa	7	BUR MW PWG PWK SCH SKD VCP
Se	1	MD
Sf	3	BUR CAE MD
Si	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
So	5	AP BUR MW SKD VCP
Su	6	AP BHS BUR MW PWG PWK
Ta	6	BUR MW PWG PWK SKD VCP
UH	3	AP BUR SKD
UM	2	MW PWK
UW	4	AP MW PWG PWK
Uh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Um	7	AP BUR MW PWG PWK SKD VCP
Un	2	AP BUR
Uy	5	AP BUR MW PWG PWK
Uz	5	AP BUR MW PWG PWK
WA	1	BHS
Wa	6	BUR MW PWG PWK SKD VCP
We	1	BHS
XH	1	SKD
Ya	6	BUR MW PWG PWK SKD VCP
aB	2	BUR PWG
aD	1	PD
aG	4	AP BUR MW PD
aH	3	AP PD SKD
aM	2	PD SKD
aN	2	MD PD
aR	7	AP BUR MD MW PD PWG PWK
aS	9	AP BUR CAE CCS GRA MD MW PWG PWK
aW	6	AP BUR MW PD PWG PWK
aY	1	PD
ab	4	AP BUR MW PWG
ac	10	AP CAE CCS GRA MD MW PD PWG PWK SCH
ad	11	AP BUR CAE CCS GRA MD MW PD PWG PWK SCH
ag	5	AP BUR MW PD PWG
ah	9	AP BUR CAE CCS GRA MD MW PWG PWK
aj	11	AP BUR CAE CCS GRA MD MW PD PWG PWK SCH
ak	6	AP BUR MW PD PWG SCH
al	5	AP BUR MW PWG PWK
am	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
an	11	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK
ap	11	AP BUR CAE CCS GRA MD MW PD PWG PWK VCP
aq	6	AP BUR MW PD PWG PWK
ar	5	CCS GRA PWG PWK SCH
as	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
at	12	AP BUR CAE CCS GRA MD MW PD PWG PWK SCH VCP
av	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
aw	10	AP BUR CAE CCS MD MW PD PWG PWK SCH
ay	5	AP BUR MW PWG PWK
az	5	AP BUR MW PWG PWK
bA	1	BUR
bF	4	BUR MW SKD VCP
ba	6	BUR MW PWG PWK SKD VCP
ca	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ci	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
co	1	BHS
dA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
dE	6	AP BUR MD MW SKD VCP
dF	7	AP BUR CCS MD MW SKD VCP
dI	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
dU	9	AP CAE GRA MW PWG PWK SCH SKD VCP
da	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
de	5	AP BUR MW SKD VCP
df	9	AP BUR CAE CCS GRA MD MW SKD VCP
di	3	BHS PWG PWK
do	5	AP BUR MW SKD VCP
du	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
eD	9	AP BUR CAE CCS GRA MD MW PWG PWK
eH	2	AP SKD
eN	3	CCS MD PWK
eW	5	AP BUR MW PWG PWK
ed	5	CAE CCS MD MW PWK
ej	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
em	1	BHS
er	1	MW
ez	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
fC	4	BUR GRA MD MW
fD	6	AP BUR CAE GRA MD MW
fH	1	AP
fN	1	MW
fP	3	AP BUR MW
fR	3	AP BUR MW
fS	2	AP GRA
fc	11	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP
fd	2	CAE MD
fg	1	MW
fj	6	AP BUR CAE GRA MD MW
fk	3	BUR MW SKD
ft	3	AP BUR MW
fz	6	AP BUR CAE GRA MD MW
gA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
gE	6	AP BUR MD MW SKD VCP
gF	7	AP BUR CCS MD MW SKD VCP
gI	1	MW
gU	7	AP BUR MW PWG PWK SKD VCP
ga	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
gf	8	AP BUR CAE CCS MD MW SKD VCP
go	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI
gu	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
hA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
hE	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
hF	1	MW
hI	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
hO	7	AP BUR MW PWG PWK SKD VCP
hU	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD
ha	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
he	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
hf	9	AP BUR CAE CCS GRA MD MW SKD VCP
hi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ho	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
hu	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
iC	2	BUR PWG
iD	7	CAE CCS GRA MD MW PWG PWK
iH	2	AP SKD
iK	5	AP BUR MW PWG PWK
iN	1	VCP
iR	1	VCP
id	10	AP CAE CCS GRA MD MW PWG PWK VCP VEI
ig	1	BUR
ij	4	BUR GRA PWG PWK
ik	1	VCP
il	8	AP BUR CAE CCS MD MW PWG PWK
im	4	CAE MW PWK SCH
in	7	AP CCS GRA MD MW PWG PWK
iq	9	AP CAE CCS GRA MD MW PWG PWK VCP
ir	4	AP MW PWG PWK
is	8	AP BUR CAE GRA MW PWG PWK VCP
it	6	AP MD MW PWG PWK VCP
iv	1	BUR
iw	6	AP BUR MW PWG PWK SKD
iz	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
jA	10	AP CAE CCS GRA MD MW PWG PWK SKD VCP
jE	5	AP BUR MW SKD VCP
jF	7	AP BUR CCS MD MW SKD VCP
jI	3	MW PWG PWK
jU	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
ja	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
jf	8	AP BUR CAE CCS MD MW SKD VCP
ji	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ju	9	AP BUR CAE CCS MW PWG PWK SKD VCP
kA	10	AP BHS BUR CAE CCS GRA MD MW PWG PWK
kE	5	AP BUR MW SKD VCP
kF	7	AP BUR CCS MD MW SKD VCP
kI	3	BHS PWK VCP
kU	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ka	14	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
kf	9	AP BUR CAE CCS GRA MD MW SKD VCP
ki	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
ko	4	MD MW PWG PWK
ku	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
kx	1	VCP
lA	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
lI	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
lU	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
la	10	BUR CAE CCS MD MW PWG PWK SCH SKD VCP
lf	1	MW
li	5	AP BUR MW PWG PWK
lo	3	MW PWG PWK
lu	2	BUR PWK
mA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
mF	5	AP BUR MW SKD VCP
mI	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
mU	9	AP BUR GRA MD MW PWG PWK SKD VCP
ma	12	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
me	7	AP BUR MD MW PWK SKD VCP
mf	9	AP BUR CAE CCS GRA MD MW SKD VCP
mi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
mo	4	CAE CCS MD MW
mu	6	BUR MW PWG PWK SCH VCP
nA	10	AP BHS BUR CAE CCS MW PWG PWK SKD VCP
nE	1	MW
nF	5	AP BUR MW SKD VCP
nI	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
nO	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
nU	8	AP BUR CAE CCS GRA MW PWG PWK
na	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
nf	9	AP BUR CAE CCS GRA MD MW VCP VEI
ni	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
no	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
nu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
oH	1	SKD
oK	5	AP BUR MW PWG PWK
oM	1	BUR
oR	5	AP BUR MW PWG PWK
oj	5	AP BUR MW PWG PWK
om	9	AP CAE CCS MD MW PWG PWK SKD VCP
pA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
pE	5	AP BUR MW SKD VCP
pF	7	AP BUR CCS MD MW SKD VCP
pI	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
pU	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
pa	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
pe	1	BHS
pf	7	AP BUR CAE MD MW SKD VCP
pi	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
po	5	AP MW PWG PWK VCP
pu	2	MW PWK
qA	3	AP MW SKD
qI	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
qa	6	BUR MW PWG PWK SKD VCP
rA	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
rE	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
rI	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
ra	11	BHS BUR CAE CCS MD MW PWG PWK SCH SKD VCP
re	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ri	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
ru	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
sA	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
sE	4	AP BUR MW SKD
sF	5	AP BUR MW SKD VCP
sI	7	BHS BUR GRA MD MW PWG PWK
sU	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
sa	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
se	4	MD MW PWG PWK
sf	9	AP BUR CAE CCS GRA MD MW SKD VCP
si	10	AP BHS BUR CAE CCS GRA MD MW PWG PWK
so	7	AP BHS BUR MD MW PWG PWK
su	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
sv	2	PWG PWK
tA	5	AP BHS MW PWK SCH
tF	7	AP BUR CCS MD MW SKD VCP
tI	1	AP
tO	1	BUR
tU	1	PWK
ta	10	BUR CAE CCS GRA MD MW PWG PWK SKD VCP
te	7	AP BHS BUR MD PWK SKD VCP
tf	4	BHS CAE GRA MW
ti	5	BHS MW PWG PWK VCP
tu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
uB	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
uC	4	BUR MW PWG PWK
uH	2	AP SKD
uK	5	AP BUR MW PWG PWK
uS	1	BUR
uW	5	AP BUR MW PWG PWK
uc	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
ud	10	AP CAE CCS GRA MD MW PWG PWK SKD VCP
uh	8	AP BUR CAE CCS MD MW PWG PWK
uj	1	GRA
ul	3	AP MW PWG
um	7	AP BUR MW PWG PWK SKD VCP
uq	2	PWG PWK
ur	2	AP PWG
ut	7	AP BUR MW PWG PWK SKD VCP
uz	9	AP BUR CAE CCS GRA MD MW PWG PWK
vA	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
vE	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
vF	5	AP BUR MW SKD VCP
vI	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
va	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ve	11	AP BHS BUR CAE CCS GRA MD MW PWK SKD VCP
vf	10	AP BHS BUR CAE CCS GRA MD MW SKD VCP
vi	14	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI
vy	1	MW
wA	4	AP MW SKD VCP
wI	1	BHS
wa	6	BUR MW PWG PWK SKD VCP
wi	1	BHS
wu	4	BUR MW PWG PWK
xN	1	AP
xw	3	AP CCS MD
yA	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
yO	1	BUR
yU	5	AP BUR MW PWG PWK
ya	11	BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ye	1	BUR
yu	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
zE	2	SKD VCP
zF	1	VCP
zU	6	BUR MW PWG PWK SKD VCP
za	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
zi	3	BUR SKD VCP
zo	3	MW SKD VCP
zu	7	BUR MD MW PWG PWK SKD VCP
ABA	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ABU	8	AP CAE CCS GRA MD MW PWG PWK
ABa	2	BHS MW
ABf	2	AP MW
ABu	9	AP CAE CCS GRA MD MW PWG PWK VCP
ACa	2	SKD VCP
ADA	2	AP MW
ADI	7	AP CAE GRA MD MW PWG PWK
ADU	1	MW
ADf	2	AP MW
ADi	10	BUR CAE CCS GRA MD MW PWG PWK SCH VCP
ADu	2	AP MW
AGA	1	SKD
AGf	2	AP MW
AIr	1	MW
AIz	1	MW
AKA	3	MW PWG PWK
AKa	4	MW PWG PWK VCP
AKu	11	BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI
AQA	1	MW
ARA	1	BHS
ARa	1	BUR
ARi	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
ASA	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
ASI	8	AP BUR MW PWG PWK SCH SKD VCP
ASU	2	AP VCP
ASa	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP
ASi	4	CAE MW PWG PWK
ASu	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
AYC	8	AP BUR CAE CCS MD MW PWG PWK
AYc	1	MW
AYj	1	MW
Aca	4	MD MW PWG PWK
Aci	2	AP MW
AdA	2	AP MW
AdE	1	MW
AdF	2	AP MW
AdI	1	MW
AdO	3	AP BUR MW
Ada	4	AP MW PWG PWK
Adf	2	AP MW
Adi	11	AP BHS BUR CAE CCS INM MD MW PWG PWK VCP
Ado	1	MW
Adu	1	MW
AfD	1	MW
AgA	4	GRA MW PWG PWK
AgE	2	AP MW
AgF	1	MW
AgU	1	VCP
Aga	5	AP BUR MW PWG PWK
AhA	1	SCH
AhU	6	CAE GRA MW PWG PWK VCP
Aha	11	AP BHS BUR CCS MD MW PWG PWK SCH SKD VCP
Ahf	2	AP MW
Ahi	3	CCS MD MW
Aho	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
Ahu	2	AP MW
Aiz	1	MW
AjA	1	MW
AjU	3	AP BUR VCP
Aja	9	AP BUR CAE CCS MD MW PWG PWK VCP
Aji	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
AkA	1	MW
AkF	2	AP MW
AkU	1	MW
Aka	1	BUR
Ake	10	AP CAE CCS GRA MD MW PWG PWK SCH VCP
Akf	2	AP MW
Aku	1	SCH
AlI	6	AP BUR CAE MW PWK SKD
AlU	5	AP CAE MW PWG VCP
Ala	11	AP BUR CAE GRA MD MW PWG PWK SCH VCP VEI
Ali	10	AP BHS BUR CAE CCS MD MW PWG PWK VCP
Alu	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
AmA	1	MW
AmI	1	MW
Ama	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
Ami	1	MW
AnI	2	AP MW
Ana	10	BHS BUR CAE CCS GRA MD MW PWG PWK VCP
Anu	2	MW VCP
ApA	2	AP MW
ApF	2	AP MW
ApI	4	AP MW PWG VCP
ApU	1	MW
Apa	8	BHS BUR INM MW PWG PWK SKD VCP
Apf	1	MW
Api	9	CAE CCS GRA MD MW PWG PWK SCH VCP
Apo	1	MW
AqI	3	MW PWK SCH
AqU	5	BUR MW PWG PWK VCP
Aqi	5	BUR MW PWG PWK VCP
Aqu	3	MW PWG PWK
ArA	13	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI
ArC	1	MW
ArD	1	MW
ArI	3	MW PWG PWK
ArU	6	AP BUR MW PWG PWK VCP
Ara	11	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
Ard	1	BUR
Are	7	AP CAE CCS MD MW PWG PWK
Ari	2	PWK SCH
Aru	6	AP BUR MW PWG PWK VCP
Ary	1	PWG
AsA	3	AP PWG VCP
AsU	1	MW
Asa	12	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
Asf	1	MW
Asi	3	BUR MW SCH
Asu	2	AP MW
AtA	10	CAE CCS GRA MD MW PWG PWK SCH VCP VEI
AtF	2	AP MW
AtI	5	CAE MW PWG PWK SCH
Ata	6	AP BUR MW PWG PWK VCP
Ati	10	BUR CAE CCS GRA MD MW PWG PWK VCP VEI
Atu	5	BUR MW PWG PWK VCP
AvA	1	MW
AvI	8	AP CAE CCS MD MW PWG PWK VCP
Ava	7	BUR CAE CCS MD MW PWG PWK
Ave	1	MW
Avf	2	AP MW
Avi	6	CAE CCS MD MW PWG PWK
Awa	4	MW PWG PWK SCH
Awi	5	BUR MW PWG PWK VCP
AyA	2	AP MW
AyE	1	PWK
Aya	11	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP
Aye	3	AP BUR MW
Ayu	12	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI
BAH	1	SKD
BAR	4	CAE MW PWG PWK
BAj	8	AP BUR CAE CCS MD MW PWG PWK
BAm	7	AP CAE GRA MD MW PWG PWK
BAs	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD
BAz	9	AP BUR CAE CCS MD MW PWG PWK SCH
BEH	1	MD
BEs	4	BUR CCS MW PWK
BIH	1	SKD
BIs	1	GRA
BUH	2	AP SKD
BUh	1	PWK
BUr	8	AP CAE CCS MD MW PWG PWK VCP
BUt	1	BHS
BUz	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
BaH	2	AP SKD
BaM	1	SKD
BaR	8	AP BUR CAE CCS MD MW PWG PWK
Bad	1	BUR
Baj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Bal	9	AP BUR CAE CCS MD MW PWG PWK SCH
Ban	8	AP CAE CCS GRA MD MW PWG PWK
Bar	4	CCS PWG PWK SCH
Bas	9	AP BUR CAE CCS GRA MD MW PWG PWK
Baw	8	AP BUR CAE CCS MD MW PWG PWK
Baz	8	AP BUR CAE CCS MD MW PWG PWK
Bet	1	BUR
Bez	4	AP MW PWG PWK
BfS	5	AP BUR MW PWG PWK
Bfg	4	AP MW PWG PWK
Bfj	3	AP BUR MW
Bfq	1	MW
Bft	8	AP BUR CAE CCS MD MW PWG PWK
Bid	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
Bil	4	BUR MW PWG PWK
Bit	1	SKD
Biz	1	SKD
BoH	3	CAE MW SKD
Boj	3	MW PWG PWK
Bos	9	AP BUR CAE CCS MD MW PWG PWK VCP
BrI	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
BrU	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
Bra	1	MW
Bru	2	MW VCP
BuN	3	MW PWG PWK
Buj	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Buk	5	CAE CCS MW PWG PWK
Bur	7	CAE CCS GRA MD MW PWG PWK
Bva	2	MW PWK
CAH	1	SKD
CaH	2	AP SKD
CaM	1	SKD
Cad	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Cal	1	MW
Cam	5	AP BUR MW PWG PWK
Caz	5	AP BUR MW PWG PWK
Cfd	5	AP BUR CAE MD MW
Cfp	2	BUR MW
Cfz	1	AP
CiH	2	AP SKD
Cid	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
Cit	1	SKD
Cup	6	AP BUR MW PWG PWK SCH
Cuq	7	AP BUR CAE MD MW PWG PWK
Cur	9	AP BUR CAE CCS MD MW PWG PWK SCH
Cuw	9	AP BUR CAE CCS MD MW PWG PWK SCH
Cyu	7	AP BUR MW PWG PWK SKD VCP
DAH	1	SKD
DAv	9	AP BUR CAE CCS GRA MD MW PWG PWK
DIH	2	AP SKD
DIr	1	MW
DUH	3	AP SKD VCP
DUS	5	AP BUR MW PWG PWK
DUp	4	AP BUR GRA MW
DUr	5	AP BUR MW PWG PWK
DUs	3	AP MW PWK
DUz	4	AP MW PWG PWK
DaH	2	AP SKD
DaM	1	SKD
DaR	5	AP BUR MW PWG PWK
Dak	6	AP BUR MD MW PWG PWK
Dam	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH
Dan	9	AP BUR CAE CCS GRA MD MW PWG PWK
Dar	4	CCS PWG PWK SCH
Das	4	AP PWG PWK VCP
Dav	7	BUR CCS GRA MD MW PWG PWK
Dfj	3	AP BUR MW
Dfk	8	AP BUR CAE CCS MD MW PWG PWK
Dft	6	AP CCS MD MW PWG PWK
Dfz	7	AP BUR CAE GRA MD MW SCH
DiH	1	AP
Dig	1	MW
Dik	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
Div	1	BUR
Diy	2	PWG PWK
Diz	5	AP BUR MW PWG PWK
DmA	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Dma	4	MD MW PWG PWK
DoI	1	PWG
Dor	5	AP BUR MW PWG PWK
DrA	5	AP MW PWG PWK VCP
DrE	5	AP BUR MW SKD VCP
DrU	1	BUR
Dra	6	AP MD MW PWG PWK VCP
Dri	4	GRA MW PWG PWK
Dru	8	AP BUR GRA MW PWG PWK SKD VCP
DuH	2	AP SKD
Dun	1	PWK
Dur	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
Dvf	8	AP BUR CAE GRA MD MW SKD VCP
DyA	9	AP BUR CAE CCS GRA MW PWG PWK SCH
DyE	6	AP BUR MD MW SKD VCP
EBI	5	AP MW PWG SKD VCP
EBa	6	CAE CCS MD MW PWK SCH
EBi	1	AP
EDA	1	GRA
EDa	3	CAE MW PWK
ERa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
ESI	1	SKD
ESa	8	AP CAE CCS MD MW PWG PWK VCP
ESi	5	CAE MD MW PWK SCH
Eka	5	AP MW PWG PWK VCP
ElA	1	MW
Ela	9	BUR CAE CCS INM MD MW PWG PWK VCP
Eli	1	PWK
Ena	6	AP INM MW PWG PWK SCH
