l8_path	l8_url_slug	l8_headword	matched_variant	tier	cdsl_slp1	cdsl_iast	dcs_ids	dcs_lemma_iast	grammar	in_cdsl	revalidation
/definition/barhirjyotis	barhirjyotis	Barhirjyotis, Barhis-jyotis: 3 definitions	Barhirjyotis	1	barhirjyotis	barhirjyotis	153748	barhirjyotis	m	1	PASS
/definition/aisa	aisa	Aisa, Āīsa, Aiśa, Aisha: 13 definitions	Aiśa	1	ESa	aiśa	40010	aiśa	adj	1	PASS
/definition/kushtha	kushtha	Kushtha, Kuṣṭha: 33 definitions	Kuṣṭha	1	kuzWa	kuṣṭha	3063|3064|3066	kuṣṭha	mn	1	PASS
/definition/kashayavasika	kashayavasika	Kashayavasika, Kaṣāyavāsika, Kashaya-vasika: 3 definitions	Kaṣāyavāsika	1	kazAyavAsika	kaṣāyavāsika	13022	kaṣāyavāsika	m	1	PASS
/definition/jivanti	jivanti	Jivanti, Jiva-a-anti, Jivamti, Jīvantī, Jīvanti: 20 definitions	Jīvantī	1	jIvantI	jīvantī	89374	jīvantī	f	1	PASS
/definition/cikitsaprabhrita	cikitsaprabhrita	Cikitsaprabhrita, Cikitsāprābhṛta, Cikitsa-prabhrita: 1 definition	Cikitsāprābhṛta	1	cikitsAprABfta	cikitsāprābhṛta	206948	cikitsāprābhṛta	m	1	PASS
/definition/avisarada	avisarada	Avisarada, Avisārada: 3 definitions	Avisarada	4	aviSArada	aviśārada	207599	aviśārada	adj	1	PASS
/definition/trisama	trisama	Trisama, Tri-sama, Trisāmā, Trisāma, Trishama: 10 definitions	Trisama	1	trisama	trisama	84321	trisama	n	1	PASS
/definition/atiguna	atiguna	Atiguna, Atiguṇa: 8 definitions	Atiguṇa	1	atiguRa	atiguṇa	6866	atiguṇa	adj	1	PASS
/definition/vatsalya	vatsalya	Vatsalya, Vātsalya: 17 definitions	Vātsalya	1	vAtsalya	vātsalya	76555	vātsalya	n	1	PASS
/definition/randhaka	randhaka	Randhaka: 10 definitions	Randhaka	1	ranDaka	randhaka	66575	randhaka	mn	1	PASS
/definition/alambana	alambana	Alambana, Ālambana: 28 definitions	Ālambana	1	Alambana	ālambana	62269	ālambana	n	1	PASS
/definition/akshanti	akshanti	Akshanti, Akṣānti, Akshamti: 10 definitions	Akṣānti	1	akzAnti	akṣānti	5513	akṣānti	f	1	PASS
/definition/auttarabhaktika	auttarabhaktika	Auttarabhaktika, Auttara-bhaktika: 3 definitions	Auttarabhaktika	1	OttaraBaktika	auttarabhaktika	44	auttarabhaktika	adj	1	PASS
/definition/janika	janika	Janika, Janikā: 10 definitions	Janika	1	janika	janika	87578	janika	adj	1	PASS
/definition/kamam	kamam	Kamam, Kāmaṃ, Kāmam: 15 definitions	Kāmam	1	kAmam	kāmam	13979	kāmam	ind	1	PASS
/definition/smarahara	smarahara	Smarahara, Smara-hara: 6 definitions	Smarahara	1	smarahara	smarahara	114005	smarahara	m	1	PASS
/definition/vikuncita	vikuncita	Vikuncita, Vikuñcita: 2 definitions	Vikuñcita	1	vikuYcita	vikuñcita	47796	vikuñcita	adj	1	PASS
/definition/ajnakara	ajnakara	Ajnakara, Ajna-kara, Ājñākara: 11 definitions	Ājñākara	1	AjYAkara	ājñākara	57562	ājñākara	m	1	PASS
/definition/upanishkara	upanishkara	Upanishkara, Upaniṣkara, Upanitkara, Upaniṭkara: 7 definitions	Upaniṣkara	1	upanizkara	upaniṣkara	45171	upaniṣkara	mn	1	PASS
/definition/gunatraya	gunatraya	Gunatraya, Guna-traya, Guṇatraya: 11 definitions	Guṇatraya	1	guRatraya	guṇatraya	124510	guṇatraya	n	1	PASS
/definition/triparni	triparni	Triparni, Triparṇī, Tri-parni: 5 definitions	Triparṇī	1	triparRI	triparṇī	84034	triparṇī	f	1	PASS
/definition/raktakanthin	raktakanthin	Raktakanthin, Raktakaṇṭhin, Rakta-kanthin: 5 definitions	Raktakaṇṭhin	1	raktakaRWin	raktakaṇṭhin	65586	raktakaṇṭhin	adj	1	PASS
/definition/jatru	jatru	Jatru: 9 definitions	Jatru	1	jatru	jatru	87448|87449	jatru	mn	1	PASS
/definition/sammurch	sammurch	Sammurch, Sam-murch, Saṃmurch: 2 definitions	Sammurch	4	sammUrC	sammūrch	165596	sammūrch	1.P.	1	PASS
/definition/vasuki	vasuki	Vasuki, Vāsuki, Vāsukī: 39 definitions	Vāsuki	1	vAsuki	vāsuki	47056	vāsuki	m	1	PASS
/definition/laksha	laksha	Laksha, Lākṣā: 29 definitions	Lākṣā	1	lAkzA	lākṣā	81283	lākṣā	f	1	PASS
/definition/abhisampraya	abhisampraya	Abhisampraya, Abhisampra-ya, Abhisamprayā: 1 definition	Abhisamprayā	1	aBisamprayA	abhisamprayā	159156	abhisamprayā	2.P.	1	PASS
/definition/dhurya	dhurya	Dhurya, Dhuriya, Dhurīya: 13 definitions	Dhurya	1	Durya	dhurya	42767|42768|42769	dhurya	m	1	PASS
/definition/rantri	rantri	Rantri, Rantṛ: 3 definitions	Rantṛ	1	rantf	rantṛ	66743	rantṛ	adj	1	PASS
/definition/nisham	nisham	Nisham, Niśam, Ni-sham: 2 definitions	Niśam	1	niSam	niśam	161487	niśam	4.P.	1	PASS
/definition/laghvakshara	laghvakshara	Laghvakshara, Laghvakṣara, Laghv-akshara: 2 definitions	Laghvakṣara	1	laGvakzara	laghvakṣara	80656	laghvakṣara	adj	1	PASS
/definition/dharanamatrika	dharanamatrika	Dharanamatrika, Dhāraṇamātṛkā, Dharana-matrika: 6 definitions	Dhāraṇamātṛkā	1	DAraRamAtfkA	dhāraṇamātṛkā	42506	dhāraṇamātṛkā	f	1	PASS
/definition/jahati	jahati	Jahati: 5 definitions	Jahati	4	jahAti	jahāti	213838	jahāti	m	1	PASS
/definition/nirjihva	nirjihva	Nirjihva, Nir-jihva: 5 definitions	Nirjihva	1	nirjihva	nirjihva	34288	nirjihva	adj	1	PASS
/definition/avirati	avirati	Avirati: 10 definitions	Avirati	1	avirati	avirati	55102	avirati	f	1	PASS
/definition/aupagava	aupagava	Aupagava: 4 definitions	Aupagava	1	Opagava	aupagava	162|163	aupagava	adj	1	PASS
/definition/pracetana	pracetana	Pracetana, Pra-cetana: 3 definitions	Pracetana	1	pracetana	pracetana	150697	pracetana	adj	1	PASS
/definition/avalokana	avalokana	Avalokana: 20 definitions	Avalokana	1	avalokana	avalokana	54565	avalokana	n	1	PASS
/definition/pariharya	pariharya	Pariharya, Parihārya, Pārihārya: 14 definitions	Parihārya	1	parihArya	parihārya	19832	parihārya	m	1	PASS
/definition/nivedin	nivedin	Nivedin: 5 definitions	Nivedin	1	nivedin	nivedin	28040	nivedin	adj	1	PASS
/definition/vimokshana	vimokshana	Vimokshana, Vimōkṣaṇa, Vimokṣaṇa, Vimokṣaṇā: 11 definitions	Vimokṣaṇa	1	vimokzaRa	vimokṣaṇa	123157|123158	vimokṣaṇa	n	1	PASS
/definition/ksharashreshtha	ksharashreshtha	Ksharashreshtha, Kṣāraśreṣṭha, Kshara-shreshtha: 5 definitions	Kṣāraśreṣṭha	1	kzAraSrezWa	kṣāraśreṣṭha	135435|135436	kṣāraśreṣṭha	m	1	PASS
/definition/anavalobhana	anavalobhana	Anavalobhana, Anavalōbhana: 6 definitions	Anavalobhana	1	anavaloBana	anavalobhana	10134	anavalobhana	n	1	PASS
/definition/samvega	samvega	Samvega, Saṃvega: 19 definitions	Saṃvega	1	saMvega	saṃvega	8032	saṃvega	m	1	PASS
/definition/tarkshyashaila	tarkshyashaila	Tarkshyashaila, Tārkṣyaśaila, Tarkshya-shaila: 8 definitions	Tārkṣyaśaila	1	tArkzyaSEla	tārkṣyaśaila	97463	tārkṣyaśaila	n	1	PASS
/definition/bijavara	bijavara	Bijavara, Bījavara, Bija-vara: 7 definitions	Bījavara	1	bIjavara	bījavara	204802	bījavara	n	1	PASS
/definition/potrayudha	potrayudha	Potrayudha, Potra-ayudha, Potrāyudha: 6 definitions	Potrāyudha	1	potrAyuDa	potrāyudha	150281	potrāyudha	m	1	PASS
/definition/ashcarya	ashcarya	Ashcarya, Āścarya: 22 definitions	Āścarya	1	AScarya	āścarya	62714|62715	āścarya	n	1	PASS
/definition/udbhri	udbhri	Udbhri, Ud-bhri, Udbhṛ: 2 definitions	Udbhṛ	1	udBf	udbhṛ	160261	udbhṛ	1.P.,3.P.	1	PASS
