slp1	iast	pos	period_spread
indra	indra	m	7
mahat	mahat	adj	7
kf	kṛ	v	7
vac	vac	v	7
rasa	rasa	mn	7
agni	agni	m	7
deva	deva	m	7
rAjan	rājan	m	7
BU	bhū	v	7
as	as	v	7
rAma	rāma	m	6
Adi	ādi	m	7
arTa	artha	mn	7
dfS	dṛś	v	7
tva	tva	n	7
soma	soma	m	7
gam	gam	v	7
kzip	kṣip	v	6
DA	dhā	v	7
Atman	ātman	m	7
dina	dina	mn	4
div	div	m	6
Darma	dharma	mn	7
sUta	sūta	mn	6
vid	vid	v	7
putra	putra	m	7
loka	loka	m	7
dA	dā	v	7
ap	ap	m	7
Sru	śru	v	7
sva	sva	adj	7
marday	marday	v	2
i	i	v	7
brU	brū	v	7
pac	pac	v	6
yajYa	yajña	m	7
raTa	ratha	m	6
brahman	brahman	m	7
tA	tā	f	7
loha	loha	mn	4
go	go	mf	7
tri	tri	nr	7
jan	jan	v	7
rAkzasa	rākṣasa	m	6
sattva	sattva	n	6
karman	karman	n	7
muni	muni	m	6
sTA	sthā	v	7
rAGava	rāghava	m	3
SrI	śrī	f	7
rUpa	rūpa	n	7
cUrRa	cūrṇa	mn	3
han	han	v	7
bala	bala	mn	7
aMSa	aṁśa	m	7
pU	pū	v	7
yaj	yaj	v	7
kAla	kāla	m	7
tIrTa	tīrtha	mn	6
puwa	puṭa	mn	4
lakzmaRa	lakṣmaṇa	m	3
pARqava	pāṇḍava	m	3
Bagavant	bhagavant	m	5
Dam	dham	v	5
pfTivI	pṛthivī	f	7
Sara	śara	m	7
pitf	pitṛ	m	7
yA	yā	v	7
pattra	pattra	mn	6
vAc	vāc	f	7
rAvaRa	rāvaṇa	m	5
SuD	śudh	v	7
vAnara	vānara	m	5
ah	ah	v	7
ganDaka	gandhaka	mn	2
manas	manas	n	7
rudra	rudra	m	7
prAp	prāp	v	7
drava	drava	mn	2
vana	vana	n	7
nara	nara	m	7
smf	smṛ	v	6
bIja	bīja	mn	5
fzi	ṛṣi	m	7
Pala	phala	n	7
jYA	jñā	v	7
saptan	saptan	adj	7
prARa	prāṇa	m	7
kAma	kāma	m	7
tulya	tulya	adj	6
Sakti	śakti	f	7
hu	hu	v	7
vIra	vīra	m	7
mahAtman	mahātman	adj	5
pApa	pāpa	n	7
guRa	guṇa	mn	6
mUzA	mūṣā	f	2
Siva	śiva	m	7
vajra	vajra	mn	7
Bf	bhṛ	v	7
sItA	sītā	f	4
strI	strī	f	7
mantra	mantra	mn	7
yoga	yoga	m	7
bahu	bahu	adj	7
devI	devī	f	7
pala	pala	mn	3
vAkya	vākya	n	6
rAja	rāja	m	6
ISvara	īśvara	m	6
tattva	tattva	n	6
mf	mṛ	v	7
ahar	ahar	n	7
kzIra	kṣīra	n	5
varuRa	varuṇa	m	7
hari	hari	m	7
yuDizWira	yudhiṣṭhira	m	4
puruza	puruṣa	m	7
sUrya	sūrya	m	7
namas	namas	n	7
guru	guru	m	6
ganDa	gandha	mn	7
pA	pā	v	7
tapas	tapas	n	7
ityAdi	ityādi	adj	3
BAvay	bhāvay	v	5
hvA	hvā	v	2
brAhmaRa	brāhmaṇa	m	7
vizRu	viṣṇu	m	7
BAga	bhāga	m	7
su	su	v	2
anta	anta	m	7
mAtra	mātra	n	6
Sata	śata	mn	7
parama	parama	adj	7
jYAna	jñāna	n	6
roga	roga	mn	5
aSvin	aśvin	m	5
vipra	vipra	m	7
tAmra	tāmra	n	6
marut	marut	m	7
jana	jana	m	7
raRa	raṇa	m	6
uttama	uttama	adj	7
vAra	vāra	mn	5
nf	nṛ	m	7
grah	grah	v	7
vad	vad	v	7
pati	pati	m	7
iz	iṣ	v	7
priya	priya	adj	7
BIzma	bhīṣma	m	3
BUta	bhūta	mn	7
taila	taila	n	4
SaMs	śaṁs	v	7
yudDa	yuddha	n	5
daRqa	daṇḍa	mn	7
AKyA	ākhyā	f	6
Basman	bhasman	n	4
yuj	yuj	v	7
pracC	pracch	v	7
heman	heman	n	6
aSva	aśva	m	7
dvija	dvija	m	6
traya	traya	n	4
vAja	vāja	m	2
bAhu	bāhu	mf	7
maDya	madhya	n	7
vah	vah	v	7
fzaBa	ṛṣabha	m	5
sahasra	sahasra	mn	7
svarRa	svarṇa	n	4
BArata	bhārata	m	4
daitya	daitya	m	6
pravac	pravac	v	7
fta	ṛta	n	4
vacana	vacana	n	6
Bakti	bhakti	f	6
deha	deha	mn	6
ruD	rudh	v	7
rakzas	rakṣas	n	6
pArTa	pārtha	m	4
BrAtf	bhrātṛ	m	7
tejas	tejas	n	7
suta	suta	m	7
muKa	mukha	n	7
hotf	hotṛ	m	2
karRa	karṇa	m	7
BAva	bhāva	m	6
nAga	nāga	mn	6
av	av	v	2
man	man	v	7
laB	labh	v	7
doza	doṣa	mn	6
ja	ja	adj	7
jagant	jagant	n	7
pArada	pārada	mn	2
paSu	paśu	m	7
sugrIva	sugrīva	m	3
Barata	bharata	m	5
pUjay	pūjay	v	6
mitra	mitra	mn	7
duHKa	duḥkha	n	6
liNga	liṅga	mn	5
kzaRa	kṣaṇa	m	6
dvi	dvi	nr	7
vfD	vṛdh	v	7
Agam	āgam	v	7
nfpa	nṛpa	m	6
piz	piṣ	v	4
bfhat	bṛhat	adj	6
Beda	bheda	m	5
Aditya	āditya	m	7
vara	vara	adj	7
SuBa	śubha	adj	6
pada	pada	mn	7
uttara	uttara	adj	7
jAray	jāray	v	2
mUla	mūla	mn	7
vfzan	vṛṣan	m	2
banD	bandh	v	7
praTama	prathama	adj	7
snA	snā	v	7
jf	jṛ	v	6
maDu	madhu	n	7
paS	paś	v	7
veda	veda	m	7
uzas	uṣas	f	2
Bavat	bhavat	adj	7
varza	varṣa	mn	7
kaTay	kathay	v	6
viDi	vidhi	m	6
varRa	varṇa	mn	7
sTa	stha	adj	6
prajA	prajā	f	6
SrezWa	śreṣṭha	adj	7
Sabda	śabda	m	7
jala	jala	n	6
mAtf	mātṛ	f	7
mahAdeva	mahādeva	m	5
divya	divya	adj	7
vacas	vacas	n	7
droRa	droṇa	m	3
muc	muc	v	7
gfha	gṛha	mn	7
tAra	tāra	mn	2
mah	mah	adj	2
paYcan	pañcan	adj	7
puRya	puṇya	adj	7
catur	catur	nr	7
Uti	ūti	f	2
dravya	dravya	n	5
kuru	kuru	m	4
sidDi	siddhi	f	6
yam	yam	v	6
gaRa	gaṇa	m	7
viDA	vidhā	v	7
havis	havis	n	5
hanumant	hanumant	m	3
yAma	yāma	m	5
savitf	savitṛ	m	4
Baya	bhaya	n	7
kAraRa	kāraṇa	n	6
viza	viṣa	n	7
arjuna	arjuna	m	6
gir	gir	f	6
vizaya	viṣaya	mn	6
kArya	kārya	n	6
nija	nija	adj	4
aBra	abhra	mn	7
car	car	v	7
dAna	dāna	n	7
vAyu	vāyu	m	7
mfd	mṛd	v	5
amla	amla	n	2
stu	stu	v	7
indriya	indriya	n	7
maheSvara	maheśvara	m	5
puru	puru	adj	2
budDi	buddhi	f	6
hetu	hetu	m	6
sura	sura	m	6
waNkaRa	ṭaṅkaṇa	mn	2
Adya	ādya	adj	5
vahni	vahni	m	7
rayi	rayi	mf	2
pAda	pāda	m	7
dvaya	dvaya	n	5
juz	juṣ	v	6
vIrya	vīrya	n	7
nihan	nihan	v	6
maya	maya	adj	7
tyaj	tyaj	v	6
dru	dru	v	7
vasu	vasu	n	7
suKa	sukha	n	6
lip	lip	v	3
indu	indu	m	6
parvata	parvata	mn	7
dAnava	dānava	m	6
mAsa	māsa	mn	7
ji	ji	v	7
Soka	śoka	m	7
citta	citta	n	7
gati	gati	f	6
rasAyana	rasāyana	n	2
saKi	sakhi	m	6
darSana	darśana	n	6
aDyAya	adhyāya	m	4
daSan	daśan	adj	7
kapi	kapi	m	3
