slp1	iast	pos	period_spread
arjuna	arjuna	m	1
Gna	ghna	adj	1
kriyA	kriyā	f	1
maDura	madhura	adj	1
kuru	kuru	m	1
jvara	jvara	m	1
paSu	paśu	m	1
loha	loha	mn	1
citta	citta	n	1
droRa	droṇa	m	1
svarga	svarga	m	1
viSeza	viśeṣa	m	1
asura	asura	m	1
mUtra	mūtra	n	1
liNga	liṅga	mn	1
heman	heman	n	1
yaj	yaj	v	1
jYa	jña	adj	1
jIv	jīv	v	1
kanyA	kanyā	f	1
mftyu	mṛtyu	m	1
pac	pac	v	1
Sakra	śakra	m	1
alpa	alpa	adj	1
Cid	chid	v	1
sfj	sṛj	v	1
Bid	bhid	v	1
hita	hita	adj	1
Beda	bheda	m	1
nI	nī	v	1
parvata	parvata	mn	1
da	da	adj	1
sneha	sneha	mn	1
Soka	śoka	m	1
hfdaya	hṛdaya	n	1
vidyA	vidyā	f	1
siD	sidh	v	1
daRqa	daṇḍa	mn	1
kroDa	krodha	m	1
dakziRa	dakṣiṇa	adj	1
SAstra	śāstra	n	1
vijYA	vijñā	v	1
bARa	bāṇa	m	1
devatA	devatā	f	1
nAga	nāga	m	1
sahita	sahita	adj	1
tala	tala	mn	1
vaDa	vadha	m	1
Satru	śatru	m	1
hu	hu	v	1
antara	antara	n	1
rakz	rakṣ	v	1
cakra	cakra	n	1
BAryA	bhāryā	f	1
kzaRa	kṣaṇa	m	1
Ayus	āyus	n	1
dvaya	dvaya	n	1
tap	tap	v	1
vega	vega	m	1
vahni	vahni	m	1
sADu	sādhu	adj	1
pAtra	pātra	n	1
viviDa	vividha	adj	1
mAyA	māyā	f	1
Danus	dhanus	n	1
SIta	śīta	adj	1
AKyA	ākhyā	f	1
pARqu	pāṇḍu	m	1
yama	yama	m	1
Ap	āp	v	1
mitra	mitra	mn	1
udaka	udaka	n	1
sat	sat	adj	1
janman	janman	n	1
Aditya	āditya	m	1
vizaya	viṣaya	mn	1
SUra	śūra	m	1
Sak	śak	v	1
BIma	bhīma	m	1
Bartf	bhartṛ	m	1
kruD	krudh	v	1
pravft	pravṛt	v	1
ityAdi	ityādi	adj	1
vyaD	vyadh	v	1
manuzya	manuṣya	m	1
kAray	kāray	v	1
ASrama	āśrama	mn	1
sattama	sattama	adj	1
stu	stu	v	1
vastra	vastra	mn	1
praTama	prathama	adj	1
nf	nṛ	m	1
anvita	anvita	adj	1
kft	kṛt	adj	1
giri	giri	m	1
upe	upe	v	1
hara	hara	adj	1
arka	arka	m	1
SUla	śūla	mn	1
traya	traya	n	1
DAtu	dhātu	mn	1
snigDa	snigdha	adj	1
prakfti	prakṛti	f	1
pala	pala	mn	1
arDa	ardha	mn	1
pura	pura	n	1
avAp	avāp	v	1
ganDarva	gandharva	m	1
duryoDana	duryodhana	m	1
cakzus	cakṣus	n	1
DAray	dhāray	v	1
yoni	yoni	mf	1
nadI	nadī	f	1
snA	snā	v	1
aDika	adhika	adj	1
tAta	tāta	m	1
yuga	yuga	mn	1
Basman	bhasman	n	1
BAvay	bhāvay	v	1
amfta	amṛta	n	1
Bakti	bhakti	f	1
candra	candra	m	1
puwa	puṭa	mn	1
tamas	tamas	n	1
marday	marday	v	1
Suci	śuci	adj	1
gaja	gaja	m	1
vfkza	vṛkṣa	m	1
payas	payas	n	1
rajas	rajas	n	1
mfga	mṛga	m	1
SaMs	śaṁs	v	1
samara	samara	mn	1
upama	upama	adj	1
prasAda	prasāda	m	1
mArga	mārga	m	1
cintay	cintay	v	1
ram	ram	v	1
pARi	pāṇi	m	1
vftti	vṛtti	f	1
laGu	laghu	adj	1
pakza	pakṣa	m	1
varjay	varjay	v	1
As	ās	v	1
puMs	puṁs	m	1
pitAmaha	pitāmaha	m	1
maRqala	maṇḍala	mfn	1
yaSas	yaśas	n	1
rAtri	rātri	f	1
vah	vah	v	1
pArTiva	pārthiva	m	1
rakta	rakta	adj	1
kzatriya	kṣatriya	m	1
Sastra	śastra	n	1
