slp1	iast	pos	period_spread
kf	kṛ	v	1
BU	bhū	v	1
as	as	v	1
vac	vac	v	1
mahat	mahat	adj	1
deva	deva	m	1
gam	gam	v	1
indra	indra	m	1
agni	agni	m	1
Adi	ādi	m	1
dfS	dṛś	v	1
rAjan	rājan	m	1
rasa	rasa	mn	1
dA	dā	v	1
arTa	artha	mn	1
Atman	ātman	m	1
Sru	śru	v	1
jan	jan	v	1
tva	tva	n	1
loka	loka	m	1
sTA	sthā	v	1
putra	putra	m	1
Darma	dharma	mn	1
sva	sva	adj	1
karman	karman	n	1
han	han	v	1
tri	tri	nr	1
rUpa	rūpa	n	1
brU	brū	v	1
vid	vid	v	1
bala	bala	mn	1
ah	ah	v	1
pitf	pitṛ	m	1
yA	yā	v	1
kAla	kāla	m	1
manas	manas	n	1
go	go	mf	1
Pala	phala	n	1
soma	soma	m	1
yuj	yuj	v	1
Sata	śata	mn	1
brahman	brahman	m	1
jYA	jñā	v	1
yoga	yoga	m	1
tA	tā	f	1
kAma	kāma	m	1
DA	dhā	v	1
prAp	prāp	v	1
grah	grah	v	1
sahasra	sahasra	mn	1
puruza	puruṣa	m	1
devI	devī	f	1
SrI	śrī	f	1
priya	priya	adj	1
jana	jana	m	1
uttama	uttama	adj	1
nara	nara	m	1
fzi	ṛṣi	m	1
saptan	saptan	adj	1
parama	parama	adj	1
man	man	v	1
bahu	bahu	adj	1
pravac	pravac	v	1
ap	ap	m	1
muKa	mukha	n	1
anta	anta	m	1
vana	vana	n	1
dvi	dvi	nr	1
pA	pā	v	1
vAta	vāta	m	1
pati	pati	m	1
BUta	bhūta	mn	1
strI	strī	f	1
vIra	vīra	m	1
brAhmaRa	brāhmaṇa	m	1
i	i	v	1
tapas	tapas	n	1
sUrya	sūrya	m	1
iz	iṣ	v	1
maDya	madhya	n	1
muc	muc	v	1
hari	hari	m	1
paYcan	pañcan	adj	1
Agam	āgam	v	1
divya	divya	adj	1
vad	vad	v	1
vIrya	vīrya	n	1
varRa	varṇa	mn	1
mantra	mantra	mn	1
catur	catur	nr	1
prARa	prāṇa	m	1
vajra	vajra	mn	1
namas	namas	n	1
vAc	vāc	f	1
tejas	tejas	n	1
car	car	v	1
suta	suta	m	1
nAman	nāman	n	1
pAda	pāda	m	1
ja	ja	adj	1
aMSa	aṁśa	m	1
pfTivI	pṛthivī	f	1
ji	ji	v	1
BAga	bhāga	m	1
vipra	vipra	m	1
vizRu	viṣṇu	m	1
viza	viṣa	n	1
daSan	daśan	adj	1
mf	mṛ	v	1
mUla	mūla	mn	1
pada	pada	mn	1
ganDa	gandha	mn	1
pat	pat	v	1
Sara	śara	m	1
rudra	rudra	m	1
SuD	śudh	v	1
mAtf	mātṛ	f	1
maDu	madhu	n	1
gfha	gṛha	mn	1
paS	paś	v	1
aSva	aśva	m	1
vara	vara	adj	1
varza	varṣa	mn	1
laB	labh	v	1
BUmi	bhūmi	f	1
hasta	hasta	mn	1
gaRa	gaṇa	m	1
uttara	uttara	adj	1
nf	nṛ	m	1
vAyu	vāyu	m	1
aNga	aṅga	n	1
yaj	yaj	v	1
Sakti	śakti	f	1
pU	pū	v	1
banD	bandh	v	1
Baya	bhaya	n	1
hA	hā	v	1
maya	maya	adj	1
SrezWa	śreṣṭha	adj	1
viDA	vidhā	v	1
Bf	bhṛ	v	1
bAhu	bāhu	mf	1
Dana	dhana	n	1
puzpa	puṣpa	n	1
anna	anna	n	1
vahni	vahni	m	1
agra	agra	n	1
Sabda	śabda	m	1
pracC	pracch	v	1
pApa	pāpa	n	1
SarIra	śarīra	n	1
deSa	deśa	m	1
diS	diś	f	1
jagant	jagant	n	1
Gfta	ghṛta	n	1
vacas	vacas	n	1
hf	hṛ	v	1
nI	nī	v	1
ratna	ratna	mn	1
zaz	ṣaṣ	adj	1
kzaya	kṣaya	m	1
vah	vah	v	1
garBa	garbha	m	1
azwan	aṣṭan	adj	1
praviS	praviś	v	1
ahar	ahar	n	1
veda	veda	m	1
varuRa	varuṇa	m	1
Siras	śiras	n	1
praTama	prathama	adj	1
Buj	bhuj	v	1
indriya	indriya	n	1
satya	satya	n	1
sfj	sṛj	v	1
mAsa	māsa	mn	1
vft	vṛt	v	1
kula	kula	n	1
jIv	jīv	v	1
hu	hu	v	1
mftyu	mṛtyu	m	1
asura	asura	m	1
AdA	ādā	v	1
marut	marut	m	1
arh	arh	v	1
kft	kṛt	adj	1
parvata	parvata	mn	1
arka	arka	m	1
Gora	ghora	adj	1
paSu	paśu	m	1
SaMs	śaṁs	v	1
dAna	dāna	n	1
sTAna	sthāna	n	1
vfD	vṛdh	v	1
pAtra	pātra	n	1
dakziRa	dakṣiṇa	adj	1
karRa	karṇa	m	1
vas	vas	v	1
puRya	puṇya	adj	1
vijYA	vijñā	v	1
rAjya	rājya	n	1
mada	mada	m	1
Ayus	āyus	n	1
hfdaya	hṛdaya	n	1
dah	dah	v	1
Bagavat	bhagavat	adj	1
daRqa	daṇḍa	mn	1
stu	stu	v	1
vastra	vastra	mn	1
tap	tap	v	1
Ap	āp	v	1
kfzRa	kṛṣṇa	adj	1
antara	antara	adj	1
aBra	abhra	mn	1
devatA	devatā	f	1
mAyA	māyā	f	1
kanyA	kanyā	f	1
vidyA	vidyā	f	1
giri	giri	m	1
amfta	amṛta	n	1
cakra	cakra	n	1
jYa	jña	adj	1
Satru	śatru	m	1
rakz	rakṣ	v	1
candra	candra	m	1
rajas	rajas	n	1
Bid	bhid	v	1
Soka	śoka	m	1
svarga	svarga	m	1
vaDa	vadha	m	1
DI	dhī	f	1
citra	citra	adj	1
samudra	samudra	m	1
arDa	ardha	mn	1
citta	citta	n	1
janman	janman	n	1
Suci	śuci	adj	1
vfkza	vṛkṣa	m	1
yama	yama	m	1
DAray	dhāray	v	1
mati	mati	f	1
puMs	puṁs	m	1
sat	sat	adj	1
nadI	nadī	f	1
yoni	yoni	mf	1
Sakra	śakra	m	1
mAMsa	māṁsa	n	1
tamas	tamas	n	1
dru	dru	v	1
cakzus	cakṣus	n	1
mfga	mṛga	m	1
dvitIya	dvitīya	adj	1
pakza	pakṣa	m	1
Sak	śak	v	1
dfQa	dṛḍha	adj	1
rAtri	rātri	f	1
upama	upama	adj	1
Seza	śeṣa	mn	1
DAtu	dhātu	mn	1
upe	upe	v	1
udaka	udaka	n	1
ram	ram	v	1
UrDva	ūrdhva	adj	1
dIrGa	dīrgha	adj	1
payas	payas	n	1
Sveta	śveta	adj	1
hfd	hṛd	n	1
siD	sidh	v	1
As	ās	v	1
mad	mad	v	1
yuga	yuga	mn	1
jap	jap	v	1
snA	snā	v	1
dvAdaSan	dvādaśan	adj	1
ruD	rudh	v	1
Cid	chid	v	1
vaSa	vaśa	m	1
jyotis	jyotis	n	1
janay	janay	v	1
maRi	maṇi	m	1
Baj	bhaj	v	1
pf	pṛ	v	1
udara	udara	n	1
pARi	pāṇi	m	1
ga	ga	adj	1
naS	naś	v	1
Danus	dhanus	n	1
aha	aha	mn	1
sADu	sādhu	adj	1
Bakzay	bhakṣay	v	1
kavi	kavi	m	1
manuzya	manuṣya	m	1
utTA	utthā	v	1
Df	dhṛ	v	1
aS	aś	v	1
prAh	prāh	v	1
manu	manu	m	1
nitya	nitya	adj	1
graha	graha	mn	1
tftIya	tṛtīya	adj	1
mUrDan	mūrdhan	m	1
viS	viś	v	1
pradA	pradā	v	1
patnI	patnī	f	1
AkASa	ākāśa	mn	1
sampad	sampad	v	1
pfzWa	pṛṣṭha	n	1
vAsas	vāsas	n	1
dvAra	dvāra	n	1
uBaya	ubhaya	adj	1
DyA	dhyā	v	1
bali	bali	m	1
martya	martya	m	1
kzatriya	kṣatriya	m	1
navan	navan	adj	1
vapus	vapus	n	1
cetas	cetas	n	1
tf	tṛ	v	1
Bojana	bhojana	n	1
samBU	sambhū	v	1
nArI	nārī	f	1
vasu	vasu	mn	1
tanu	tanu	f	1
Sam	śam	v	1
Sastra	śastra	n	1
mahI	mahī	f	1
gA	gā	v	1
