edit_type,print-source,digitization,conversion-markup,undetermined
case,62,3743,0,8
diacritic,297,3693,15,780
digit,498,976,734,699
none,42,487,94,605
punctuation,19,2681,1082,5724
source-raw,0,0,1941,5911
spacing,129,1645,2607,5852
spelling,924,8374,386,1999
transposition,39,196,4,252
