hw_slp1	iast	pw_L	pw_pc	corr_n	corr_dicts	mahavy_refs	dcs_band	proposed_action	evidence	gloss
aMSukapallava	aṃśukapallava	209415	7-289-a	2	ben;sch		0	add-entry	B:aMSu;B:aMSuDAraya	
aMSumadBedasaMgraha	aṃśumadbhedasaṃgraha	209417	7-289-a	2	acc;sch		0	add-entry	B:aMSuDAraya;B:aMSUdaka	
akadvada	akadvada	209426	7-289-a	3	md;sch;stc		0	add-entry	B:akatTana	
akapilacCavi	akapilacchavi	209429	7-289-a	2	md;sch		0	add-entry		
akarAla	akarāla	209435	7-289-a	3	ben;sch;stc		2	add-entry	B:akaraRa;B:akarRa	
akarmaprApti	akarmaprāpti	209450	7-289-b	3	ben;md;sch		0	add-entry		
akarmavant	akarmavant	209451	7-289-b	2	sch;stc		0	add-entry	A:akali	
akaliprasara	akaliprasara	209455	7-289-b	2	md;sch		0	add-entry		
akalkakalila	akalkakalila	209458	7-289-b	2	md;sch		0	add-entry	B:akalpa	
akAku	akāku	209467	7-289-b	3	md;sch;stc		0	add-entry		
akfcCralaNGya	akṛcchralaṅghya	209509	7-289-d	2	md;sch		0	add-entry	B:akfcCrin	
akftalakzaRa	akṛtalakṣaṇa	209515	7-289-d	2	md;sch		0	add-entry		
akftAgas	akṛtāgas	209518	7-289-d	2	ben;sch		0	add-entry		
akfSAnekakaRwaka	akṛśānekakaṇṭaka	209524	7-289-d	2	sch;stc		0	add-entry	B:akfSalakzmI;A:akfzwa	
akfzwarohin	akṛṣṭarohin	209526	7-289-d	3	ap;lrv;sch		0	add-entry	A:akfzwa	
akopayant	akopayant	209531	7-289-d	3	cae;ccs;sch		0	add-entry	B:akopana	
akOsIdya	akausīdya	209534	7-289-d	2	bhs;sch		0	add-entry	B:akOSala;A:akkA	
akriyAka	akriyāka	209544	7-290-a	2	md;sch		0	add-entry	B:akriya	
akzetratara	akṣetratara	209625	7-290-b	3	ccs;md;sch		0	add-entry	B:akzetrajYa	
akzyupanizad	akṣyupaniṣad	209630	7-290-b	2	acc;sch		0	add-entry	B:akzRayAkfta	
aKaYja	akhañja	209631	7-290-b	2	md;sch		0	add-entry	A:aKaRqamaRqala	
aKaRqArTanirUpaRa	akhaṇḍārthanirūpaṇa	209633	7-290-b	2	acc;sch		0	add-entry	A:aKaRqamaRqala	
aKaRqitAjYa	akhaṇḍitājña	209634	7-290-c	2	md;sch		0	add-entry		
agaRayant	agaṇayant	209644	7-290-c	4	cae;ccs;sch;stc		0	add-entry		
agaRya	agaṇya	209645	7-290-c	9	ap;ap90;bhs;md;pwg;sch;stc;vcp;yat		2	add-entry		
agastyaniGaRwu	agastyanighaṇṭu	209662	7-290-c	2	acc;sch		0	add-entry		
agastyavawa	agastyavaṭa	209663	7-290-c	3	inm;mci;sch		0	add-entry	A:agastyaSAsta	
agfDnu	agṛdhnu	209684	7-290-d	4	ben;fri;md;sch		0	add-entry	B:agfha	
agnijananaviDi	agnijananavidhi	209707	7-290-d	2	acc;sch		0	add-entry	B:agnija;B:agnijihva	
agnipraskandana	agnipraskandana	209724	7-291-a	2	sch;vcp		0	add-entry	A:agnipraRayana	
