hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form	verdict	rec_score	recommendation	review_note
ABIrapallikA	ābhīrapallikā	pw	15098.1	1-179-a	0	23	0		0		2	2	lrv;pwg	0	0	confirmed-missing	4	add	
ABizikta	ābhiṣikta	pw	15090	1-178-c	0	56	0		0	aBizikta:1.000	2	2	pwg;vcp	0	0	confirmed-missing	2	add-check	vowel-length/case variant of MW headword 'aBizikta' (fold-twin - same lexeme or distinct word needs eyes)
ADAraRamudra	ādhāraṇamudra	pw	214115	7-318-a	1	118	1	21	0		1	1	sch	0	0	confirmed-missing	5	check	
ADArmika	ādhārmika	pw	14553	1-172-a	0	54	0		0	ADarmika:1.000	2	2	bur;pwg	0	0	confirmed-missing	2	add-check	vowel-length/case variant of MW headword 'ADarmika' (fold-twin - same lexeme or distinct word needs eyes)
AKAta	ākhāta	pw	206732	5-248-c	1	76	0		0	aKAta:1.000	9	8	armh;bur;lrv;mw72;pwg;sch;shs;wil;yat	0	0	confirmed-missing	17	add-check	vowel-length/case variant of MW headword 'aKAta' (fold-twin - same lexeme or distinct word needs eyes)
AKaRqayitar	ākhaṇḍayitar	pw	13549	1-160-b	0	70	0		0		1	1	pwg	0	0	confirmed-missing	3	check	
AKuPalA	ākhuphalā	pw	13574	1-160-c	0	119	0		0		1	1	ap	0	0	confirmed-missing	3	check	
AKunaKI	ākhunakhī	pw	13571	1-160-c	0	81	0		0		0	0		0	0	confirmed-missing	1	low-priority	
APUka	āphūka	pw	15032.1	1-178-b	0	23	0		0		4	3	lrv;mw72;pwg;vcp	1	0	confirmed-missing	10	add	
AQakIPala	āḍhakīphala	pw	14007	1-165-c	0	60	0		0		0	0		0	0	confirmed-missing	0	low-priority	
AQyaMBAvuka	āḍhyaṃbhāvuka	pw	14016.1	1-165-c	0	23	0		0	AQyamBAvuka:1.000	4	4	ap;ap90;lrv;sch	0	0	confirmed-missing	6	add-check	vowel-length/case variant of MW headword 'AQyamBAvuka' (fold-twin - same lexeme or distinct word needs eyes)
AQyaMBavizRu	āḍhyaṃbhaviṣṇu	pw	14016	1-165-c	0	78	0		0	AQyamBavizRu:1.000	4	4	ap;ap90;lrv;pwg	0	0	confirmed-missing	7	add-check	vowel-length/case variant of MW headword 'AQyamBavizRu' (fold-twin - same lexeme or distinct word needs eyes)
ARavay	āṇavay	pw	206759	5-248-c	1	129	0		0		2	2	pwg;sch	0	0	confirmed-missing	5	add	
ARipratyARInirhArayoga	āṇipratyāṇīnirhārayoga	pw	214004	7-317-c	1	81	1	245,460	0		0	0		0	0	confirmed-missing	3	low-priority	
ARqIra	āṇḍīra	pw	14034	1-166-a	1	50	0		0	aRqIra:1.000	11	10	ap;lrv;mw72;pui;pwg;sch;shs;stc;vcp;wil;yat	0	0	confirmed-missing	20	add-check	vowel-length/case variant of MW headword 'aRqIra' (fold-twin - same lexeme or distinct word needs eyes)
