mw_annexure_headword	in_sup7
ABIzaRa	Y
ABUka	N
ABaraRasTAna	N
ABijYAnika	Y
ABimuKyakaraRa	N
ABirAmika	Y
ABogin	Y
ABugnasakTa	N
AByantaranftta	N
ADArin	Y
ADArzwya	Y
ADiraTIya	N
ADistena	N
ADomuKya	Y
AGAraRa	N
AGAtakAla	N
AGarGaram	Y
AGarza	Y
AGawwalikA	N
AGoziRI	Y
AKaRqalASA	N
AKaRqala	Y
AKaRqalakakuB	Y
AKedana	Y
AKuhan	Y
AKuyAna	N
AKyAnavid	N
AKyAtottara	N
AKyAyanI	N
ANgalOkika	N
ANgirasa	Y
ANgula	Y
AQA	N
AQArikA	Y
AQika	N
ARqakoSa	Y
ARqapIta	Y
ARuka	N
ASASa	Y
ASAmuKa	Y
ASApAlIya	Y
ASApurA	Y
ASAsti	Y
ASAtanA	Y
ASAvarI	N
ASIna	Y
ASIvizA	N
ASIvizanadI	Y
ASIvizaparvata	Y
ASaMsa	Y
ASaNkita	Y
ASayatas	N
AScaryamaYjarI	N
AScaryarAmAyaRa	N
ASiKam	Y
ASocani	N
ASrAva	N
ASrAvitapratyASrAvita	N
ASramaviqambaka	N
ASrava	Y
ASravaRam	Y
ASretf	N
ASuganDa	Y
ASukavi	Y
ASvAsanI	Y
ASvAsanaSIla	N
ASvAsanaSIlatA	N
ASvIya	N
ASvameDikI	N
ASvameDika	Y
ASvapadika	Y
ASvika	N
ASvinAgra	N
ASvina	Y
ASyAma	Y
ASya	Y
AYCita	Y
AYjaneya	Y
AYjaneyapurARa	Y
AYjaneyastava	N
AYjaneyastotra	N
AbravantI	Y
AcAramaya	N
AcAryAsandI	N
AcArya	Y
AcAryamuzwi	Y
AcAryatarpaRa	N
AcCowita	N
AcaYcala	N
Acakzas	N
Acarita	N
AciKyAsopamA	N
Acitra	Y
Acumb	N
AdAna	N
AdaDIci	Y
AdaSAham	N
Adarin	N
AdeSa	Y
AdehadAham	Y
Adeya	Y
AdeyataratA	N
Adi	Y
AdiBavAnI	N
AdiSUra	N
AdidIpa	Y
AdigranTa	N
Adiguru	N
AdikeSavAzwaka	N
AdinAntam	N
AdipitAmaha	N
AdisTAyika	N
AdisiMha	N
Adisvarita	N
AditA	Y
AdityaDAman	Y
AdityaSakti	N
Adityagata	N
AdityakIlaka	Y
AdityarAma	N
AdityavAra	N
AdityavarDana	N
AdityaviDi	N
Adivaktf	N
AdivarAha	Y
AdiyAmala	N
AdyAdya	N
AdyakAlaka	N
AgAra	Y
AgArika	Y
AgIgrAma	N
AgIta	N
AgaDita	N
AgamacandrikA	N
AgamakOmudI	N
Agamakalpadruma	N
AgamaprakASa	N
Agamarahasya	N
AgamasaMhita	N
AgamatattvasaMgraha	N
AgamaviroDa	N
Agamika	N
Agamya	Y
AgarBam	N
Agara	N
Agasvin	Y
AgatAsTa	N
Agatavismaya	N
AgnIDrI	N
AgnIDra	N
Agneya	Y
AgraTana	N
AgranTana	N
AgrayaRIya	Y
AhInta	N
AhUrya	N
Ahasa	Y
AhavaSoBin	Y
Ahftya	Y
AhiRq	N
Ahita	Y
Ahiti	N
AhlAdalaharI	N
AhrIkya	Y
AhutIzahi	N
AhutiparimARa	N
AhvAnana	Y
AhvAtf	N
AjIrRAntam	N
AjakeSin	N
AjiBUmi	Y
AjiSoBin	Y
Ajihmita	N
AkASAnantyAyatana	N
AkASAnantyAyatanopaga	N
AkASacakra	N
AkASamaRi	Y
AkASaplavA	Y
AkASavacana	N
AkASopanyAsa	N
AkIwapataMgapipIlakam	N
Akaluza	Y
Akampra	Y
AkapiSa	N
AkarRaka	N
Akarza	Y
Ake	Y
Akf	N
Akftilozwa	Y
Akfzwa	Y
AkiMcanyAyatana	Y
AkiMcanyAyatanopaga	N
AkiMcanya	N
AkowanA	Y
Akowana	Y
AkozWam	Y
AkuqmalIkfta	N
Akuw	N
Akuwila	N
AkzepasUtra	N
Akzepavalana	N
AkzepiRI	N
Akzveqita	Y
AlAla	Y
AlAlamehin	N
Ala	Y
AlaMkArika	Y
AlajAla	Y
Alakzita	Y
Alapita	Y
Alaptaka	Y
Alasyavat	N
AliS	N
Allakeya	N
Alokakara	Y
AlokasTAna	N
AlokasuvegaDvaja	Y
AlolikA	Y
Aluka	N
AmAjIrRa	N
AmIvA	N
Ama	Y
AmaSrAdDa	Y
Amajjam	Y
AmalakI	N
Amamaya	N
AmantraRika	N
AmardakatIrTanATa	N
AmaviDi	N
Amezwaka	Y
AmikzApayasya	Y
Amitra	Y
AmitraSocani	Y
AmizadAna	N
AmlocantI	Y
AmnAyapara	N
AmnAyayoni	Y
Amowana	N
Amrakavi	N
AmraprasAda	N
Amreqitayamaka	N
AmuKa	Y
AmuktA	N
AnABi	Y
AnAya	N
AnDAsvara	N
AnIlanizaDAyata	Y
AnakadunduBi	N
Ananacara	N
Ananda	Y
AnandacidGana	N
Anantarya	Y
AnantaryasamADi	N
AndIqa	N
AndolikA	Y
Aneya	Y
Anftika	Y
AnoBadrasUkta	N
AntarAlika	N
AntrImuKa	N
AnubanDika	N
AnuyAjika	Y
Anuzak	Y
AnvIkzikI	Y
ApAdatalamastakam	Y
ApAdin	Y
ApArzRi	Y
ApAzWi	Y
ApIqakajAta	N
ApIqin	Y
ApaRIya	N
Apadika	N
Aparuza	Y
Apatanta	Y
Apati	N
ApatsahAya	Y
Apattos	N
Api	Y
ApiNgalAkza	N
ApiNgala	N
ApiNgalaka	N
Apoda	Y
AprAsa	N
Apravartana	N
AptacCandas	Y
Aptakft	N
Aptakriya	N
Aptastoma	N
AptavAda	Y
AptaviBaktika	N
Apti	Y
AptoryAma	N
Apya	N
Aqambarita	Y
AqindikA	N
AqvAlana	Y
Aqval	N
ArADyakarpUra	N
ArAdupakAraka	N
ArAgaya	N
ArAgita	N
ArAgrA	N
ArAmADipati	Y
ArAmaparigraha	N
ArAsa	Y
ArAva	Y
ArRava	Y
ArUQa	Y
ArUpya	Y
Ara	Y
Araba	N
ArabyayAminI	N
Aralu	N
AramBayajYa	Y
ArambaRa	N
ArambaRacCedana	Y
Arawwa	N
ArcIka	N
ArdrAnulepana	N
Ardrapada	N
ArdravAsas	Y
Arjika	N
Arka	Y
ArkzAkAyaRa	N
Aroha	Y
Aropa	N
ArtAyana	Y
ArtAyani	Y
Artos	N
AruRIyopanizad	N
AryA	N
AryApaYcASat	N
AryArAmAyaRa	N
AryAsaptaSatI	N
AryAtriSatI	N
AryaDana	N
AryaDarma	N
AryaSUra	N
Aryakarman	N
AryamArgapudgalanAyaka	N
AryapAla	N
AryarUpa	N
AryasTavira	Y
Aryavajra	Y
ArzeyabrAhmaRa	Y
AsAda	Y
AsAdanA	Y
AsAvin	N
AsPAnaka	N
AsPura	Y
AsTita	Y
AsaMjYika	Y
AsaNga	Y
AsaNgakAzWa	N
AsaPaKAna	N
Asakta	N
AsamApti	N
Asanapawwi	N
AsannakAlika	Y
AsannayoDin	Y
Asapuwa	N
Asaqa	N
AsarvA	N
Asawa	N
Asfzwi	N
AsrAva	Y
Asra	N
Asrava	N
AsurIkalpa	N
Asurasva	N
AsvAdanIya	Y
AsvAdya	N
AsvApana	Y
