pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
alabDanidrAkzaRa	6468	5-245-c	absent	N	Y	N	{#alabDanidrAkzaRa#}¦ Adj. {%keine Zeit zum Schlafen findend%} BHĀG. P. 5,14,21.
alabDanidrAkzaRa	12859	7-310-a	absent	N	Y	N	{#alabDanidrAkzaRa#}¦ 5.
alabDavya	6469	5-245-c	absent	N	Y	N	{#alabDavya#}¦ Adj. {%nicht zu erlangen, dessen man nicht theilhaftig werden soll, kann%} oder {%darf%} MBH. 5,114,4.
alabDavya	12861	7-310-a	absent	N	Y	N	{#alabDavya#} und {#alaBamAna#}¦ 5.
alajjAkara	3917	3-254-a	absent	N	Y	N	{#alajjAkara#}¦ Adj. {%keine Schande bringend%} Spr. 5911.
alajjAkara	12854	7-310-a	absent	N	Y	N	{#alajjAkara#}¦ 3.
alakzaRasaMpad	3914	3-254-a	absent	N	Y	N	{#alakzaRasaMpad#}¦ f. {%kein Vollauf von Kennzeichen%} VAJRACCH. 22,3. 5. 40,15.
alakzaRasaMpad	12835	7-309-d	absent	N	Y	N	{#alakzaRasaMpad#}¦ 3.
alakzaRya	6458	5-245-c	absent	N	Y	N	{#alakzaRya#}¦ Adj. {%Unglück verheissend%} MBH. 6,5209.
alakzaRya	12836	7-309-d	absent	N	Y	N	{#alakzaRya#} und {#alakzamARa#}¦ 5.
alakzamARa	6459	5-245-c	absent	N	Y	N	{#alakzamARa#}¦ Adj. {%nicht wahrnehmend, — inne werdend%} BHĀG. P. 3,16,12.
alakzamARa	12836	7-309-d	absent	N	Y	N	{{Lbody=12836}}
alamaka	6472	5-245-c	absent	N	Y	N	{#alamaka#}¦ m. v. l. für {#alimpaka#} ZACH. Beitr.
alamaka	12863	7-310-a	absent	N	Y	N	{#alamaka#}¦ 5.
alamelamaNgAstotra	2431	2-291-c	absent	N	Y	N	{#alamelamaNgAstotra#}¦ n. Titel eines Werkes OPP. Cat. 1.
alamelamaNgAstotra	12866	7-310-a	absent	N	Y	N	{#alamelamaNgAstotra#}¦ 2.
alantarAm	3918	3-254-a	absent	N	Y	N	{#alantarAm#}¦ Adv. {%in hohem Grade%} KUMĀRAS. 14,16. 15,28. Mit einem Infin. {%bedeutend besser%} ŚIŚ. 2,106.
alasay	12869	7-310-a	absent	N	Y	N	{#alasay#}¦, {#˚yati#} {%erschlaffen%} (trans.) SUBHĀṢITĀV. 1262.
aleKya	6484	5-246-a	absent	N	Y	N	{#aleKya#}¦ Adj. {%nicht zu rechnen —, nicht zu zählen zu%} (Loc.) Spr. 1536.
aleKya	12887	7-310-b	absent	N	Y	N	{#aleKya#}, 1. {#alepa#}, 2. {#alepa#} und {#alokavrata#}¦ 5.
aliNgasaMKya	1256	1-294-b	absent	N	Y	N	{#aliNgasaMKya#}¦ Adj. {%ohne Genus und Numerus%} Comm. zu GAṆAR. 2,68.
aliNgasaMKya	12877	7-310-a	absent	N	Y	N	{#aliNgasaMKya#}¦ 1.
alipta	12880	7-310-a	absent	Y	Y	N	{#*alipta#}¦ Adj. {%unbefleckt%} MAHĀVY. 19.
alivanda	2433	2-291-c	absent	N	Y	N	{#alivanda#}¦ m. neben {#balivanda#} ({#balivarda#}) KĀṬH. 5,12,1.
alivanda	12882	7-310-a	absent	N	Y	N	{#alivanda#}¦ 2.
aloBavant	2434	2-291-c	absent	N	Y	N	{#aloBavant#}¦ Adj. {%frei von Begierde%} ŚOBH. 77.
aloBavant	12890	7-310-b	absent	N	Y	N	{#aloBavant#}¦ 2.
alokavrata	6487	5-246-a	absent	N	Y	N	{#alokavrata#}¦ n. {%die nicht allgemeine Art und Weise zu leben%} BHĀG. P. 8,3,7.
alokavrata	12887	7-310-b	absent	N	Y	N	{{Lbody=12887}}
alomaSa	6489	5-246-a	absent	N	Y	N	{#alomaSa#}¦ Adj. (f. {#A#}) {%unbehaart%} R. 6,23,11.
alomaSa	12891	7-310-b	absent	N	Y	N	{#alomaSa#}¦ 5.
alopayant	6488	5-246-a	absent	N	Y	N	{#alopayant#}¦ Adj. {%nicht abbringend von%} (Abl.) RAGH. 12,9.
alopayant	12889	7-310-b	absent	N	Y	N	{#alopayant#}¦ 5.
alozWaka	3922	3-254-a	absent	N	Y	N	{#alozWaka#}¦ Adj. v. l. für {#alozwaka#}.
alozWaka	12892	7-310-b	absent	N	Y	N	{{Lbody=12892}}
alozwaka	3921	3-254-a	absent	N	Y	N	{#alozwaka#}¦ Adj. (f. {#A#}) {%frei von Erdklössen%}.
alozwaka	12892	7-310-b	absent	N	Y	N	{#alozwaka#} und {#alozWaka#}¦ 3.
alpaSruta	1267	1-294-b	absent	N	Y	N	{#alpaSruta#}¦ Adj. {%ungelehrt%} HEMĀDRI 1,529,18.
alpaSruta	12907	7-310-b	absent	N	Y	N	{{Lbody=12907}}
alpadarSin	2438	2-291-c	absent	N	Y	N	{#alpadarSin#}¦ Adj. {%von geringer Einsicht%}.
alpadarSin	12899	7-310-b	absent	N	Y	N	{#alpadarSin#}¦ 2.
alpajIvin	2437	2-291-c	absent	N	Y	N	{#alpajIvin#}¦ Adj. {%nicht lange lebend%} HARIV. 9320.
alpajIvin	12897	7-310-b	absent	N	Y	N	{{Lbody=12897}}
alpakAlika	3924	3-254-a	absent	N	Y	N	{#alpakAlika#}¦ Adj. {%eine kurze Zeit lang stattfindend%} Comm. zu ĀPAST. ŚR. 8,1,1.
alpakAlika	12896	7-310-b	absent	N	Y	N	{#alpakAlika#}¦ 3.
alpakfcCra	2436	2-291-c	absent	N	Y	N	{#alpakfcCra#}¦ n. Instr. {%mit geringer Mühe%}.
alpakfcCra	12897	7-310-b	absent	N	Y	N	{#alpakfcCra#} und {#alpajIvin#}¦ 2.
alpakleSa	22228	7-386-b	absent	N	Y	N	{#alpakleSa#}¦ Adj. {%mit geringen Leiden verbunden%} MṚCCH. 7,18.
alpanicaya	3925	3-254-a	absent	N	Y	N	{#alpanicaya#}¦ Adj. {%einen kleinen Vorrath habend%} R. GORR. 1,6,7.
alpanicaya	12900	7-310-b	absent	N	Y	N	{#alpanicaya#}, {#alpanidAna#} und {#alpaparikara#}¦ 3.
alpaparicCeda	12901	7-310-b	absent	N	Y	N	{#alpaparicCeda#}¦ Adj. DIVYĀVAD. 87,20 fehlerhaft für {#˚padicCada#} {%unbegütert, arm%}.
alpaparikara	3927	3-254-a	absent	N	Y	N	{#alpaparikara#}¦ Adj. {%wenige Dienerschaft habend, weniger D. als%} (Abl.) {%h.%}
alpaparikara	12900	7-310-b	absent	N	Y	N	{{Lbody=12900}}
alpapracAra	1263	1-294-b	absent	N	Y	N	{#alpapracAra#}¦ Adj. {%sich selten zeigend%}.
alpapracAra	12902	7-310-b	absent	N	Y	N	{#alpapracAra#}¦ 1.
alparADas	2439	2-291-c	absent	N	Y	N	{#alparADas#}¦ Adj. {%dem Weniges gelingt, unglücklich%}.
alparADas	12904	7-310-b	absent	N	Y	N	{#alparADas#}¦ 2.
alpasvamant	8435	6-295-c	absent	N	Y	N	{#alpasvamant#}¦ Adj. {%geringen Besitz habend%} ŚATR. 14,109.
alpasvamant	12908	7-310-b	absent	N	Y	N	{#alpasvamant#}¦ 6.
alpatapas	1262	1-294-b	absent	N	Y	N	{#alpatapas#}¦ Adj. {%der wenig Kasteiungen geübt hat%} VARĀH. YOGAY. 8,13.
alpatapas	12898	7-310-b	absent	N	Y	N	{#alpatapas#}¦ 1.
alpavIrya	1266	1-294-b	absent	N	Y	N	{#alpavIrya#}¦ Adj. {%schwach%} KĀLAC. 5,80.
alpavIrya	12907	7-310-b	absent	N	Y	N	{{Lbody=12907}}
alpavant	1264	1-294-b	absent	N	Y	N	{#alpavant#}¦ Adj. {%wenig besitzend%} HEMĀDRI 1,433,9.
alpavant	12905	7-310-b	absent	N	Y	N	{#alpavant#}¦ 1.
alpavijYAna	3929	3-254-a	absent	N	Y	N	{#alpavijYAna#}¦ Adj. {%von geringer Einsicht%} MBH. 3,29,34.
alpavijYAna	12906	7-310-b	absent	N	Y	N	{#alpavijYAna#}¦ 3.
alpavittavant	1265	1-294-b	absent	N	Y	N	{#alpavittavant#}¦ Adj. dass. ebend. 1,361,19.
alpavittavant	12907	7-310-b	absent	Y	Y	N	{#alpavittavant#}, {#alpavIrya#} und {#alpaSruta#}¦ ({%unwissend%} MAHĀVY. 127) 1.
alpotsuka	12913	7-310-b	absent	N	Y	N	{#alpotsuka#}¦ Adj. {%gleichgültig%} DIVYĀVAD. 41,23. 57,4. 86,12. 159,23.
aluBita	6482	5-246-a	absent	N	Y	N	{#aluBita#}¦ Adj. {%nicht in Unordnung gerathen%} ĀPAST. ŚR. 1,4,12.
aluBita	12885	7-310-b	absent	N	Y	N	{{Lbody=12885}}
amAnayant	22210	7-386-a	absent	N	Y	N	{#amAnayant#}¦ Adj. {%nicht ehrend%} MBH. 3,303,17.
amAnt	1136	1-293-a	absent	N	Y	N	{#amAnt#}¦ Adj. {%keinen Raum habend in%} (Loc.) ŚIŚ. 3,73. 13,2.
amAnt	12447	7-307-b	absent	N	Y	N	{#amAnt#}¦ 1.
amAtfjYa	12442	7-307-b	absent	Y	Y	N	{#*amAtfjYa#}¦ Adj. {%undankbar gegen die Mütter%} MAHĀVY. 127.
amAtfjYa	22209	7-386-a	absent	N	Y	N	{#amAtfjYa#}¦ 7. Lies {%Mutter%}.
amAtrA	5279	4-294-c	absent	N	Y	N	{#amAtrA#}¦ f. Instr. {%unmässig, in hohem Grade%} KATHĀS. 28,112.
amAtrA	12443	7-307-b	absent	N	Y	N	{#amAtrA#} und {#amAtsarya#}¦ 4.
amAyAvin	12449	7-307-c	absent	Y	Y	N	{#*amAyAvin#}¦ Adj. {%nicht hinterlistig%} MAHĀVY. 126.
amAyu	3838	3-253-a	absent	N	Y	N	{#amAyu#}¦ m. {%kein Gebrüll%} ĀPAST. ŚR. 7,16,6.
amAyu	12450	7-307-c	absent	N	Y	N	{#amAyu#}¦ 3.
amBaHprasftiMpaca	7867	5-261-a	absent	N	N	N	{{Lbody=7867}}
amBojanIlAy	22215	7-386-b	absent	N	Y	N	{#amBojanIlAy#}¦ {%eine Lotusblüthe darstellen%} DHARMAŚARM. 2,79.
amEtrI	5293	4-294-c	absent	N	Y	N	{#amEtrI#}¦ f. {%Mangel an Wohlwollen%} MBH. 14,36,14.
amEtrI	12492	7-307-d	absent	N	Y	N	{#amEtrI#} und {#amokzaRIya#}¦ 4.
amI	1141	1-293-a	absent	N	Y	Y	{#amI#}¦ Adv. mit {#kar#} {%mit dem Namen%} {#amA#} {%belegen%} [Page1-293-b] NAIṢ. 4,63.
amI	12457	7-307-c	absent	N	Y	Y	{#amI#}¦ I. 1.
amIlitadfS	5284	4-294-c	absent	N	Y	N	{#amIlitadfS#}¦ Adj. {%dessen Augen niemals geschlossen sind%} BHĀG. P. 3,8,10.
amIlitadfS	12459	7-307-c	absent	N	Y	N	{{Lbody=12459}}
amImAMsita	5283	4-294-c	absent	N	Y	N	{#amImAMsita#}¦ Adj. {%nicht erwogen%} BHĀG. P. 6,5,37.
amImAMsita	12459	7-307-c	absent	N	Y	N	{#amImAMsita#} und {#amIlitadfS#}¦ 4.
amUlaka	12467	7-307-c	absent	Y	Y	N	{#*amUlaka#}¦ n. {%eine unbegründete Anklage%} MAHĀVY. 258. {#amUlakAByAKyAna#} n. dass. 261.
amUlamantratantra	5287	4-294-c	absent	N	Y	N	{#amUlamantratantra#}¦ Adj. {%ohne Grundspruch und ohne Zauberformel%} HEM. YOG. 1,5.
amUlamantratantra	12468	7-307-c	absent	N	Y	N	{#amUlamantratantra#}, {#amUlya#}¦ (VIKRAMĀṄKAC. 8,8) und {#amfgya#} 4.
amaDyaMdinasAci	8411	6-295-b	absent	N	Y	N	{#amaDyaMdinasAci#}¦ Adj. {%die Mittagsfeier nicht begleitend, zu ihr nicht gehörend%} AIT. BR. 6,30,12.
amaDyaMdinasAci	12406	7-307-b	absent	N	Y	N	{#amaDyaMdinasAci#}¦ 6.
amaNgalika	5267	4-294-b	absent	N	Y	N	{#amaNgalika#}¦ Adj. {%infaustus%} MBH. 6,112,19. v. l. {#amANgalika#}.
amaNgalika	12397	7-307-a	absent	N	Y	N	{#amaNgalika#}¦ 4.
amadyamadyant	5275	4-294-c	absent	N	Y	N	{#amadyamadyant#}¦ Adj. {%ohne ein berauschendes Getränk munter seiend%} (Elephant) KĀM. NĪTIS. 16,33.
amadyamadyant	12405	7-307-a	absent	N	Y	N	{{Lbody=12405}}
amahAyajYayAjin	5278	4-294-c	absent	N	Y	N	{#amahAyajYayAjin#}¦ Adj. {%der kein grosses Opfer dargebracht hat%} MBH. 3,261,3.
amahAyajYayAjin	12438	7-307-b	absent	N	Y	N	{#amahAyajYayAjin#}¦ 4.
amajjana	5269	4-294-c	absent	N	Y	N	{#amajjana#}¦ n. {%das Nichtuntersinken%} KATHĀS. 46,143.
amajjana	12399	7-307-a	absent	N	Y	N	{#amajjana#}, {#amajjant#} und {#amaRiva#}¦ 4.
amajjant	5270	4-294-c	absent	N	Y	N	{#amajjant#}¦ Adj. {%nicht untertauchend%} KĀTY. ŚR. 5,5,31.
amajjant	12399	7-307-a	absent	N	Y	N	{{Lbody=12399}}
amanasikAra	12407	7-307-b	absent	Y	Y	N	{#*amanasikAra#}¦ m. {%Nichtbeachtung%} MAHĀVY. 68. 70.
amanasvin	2369	2-291-a	absent	N	Y	N	{#amanasvin#}¦ Adj. {%betrübt%} R. 2,48,1.
amanasvin	12408	7-307-b	absent	N	Y	N	{#amanasvin#}¦ 2.
amandahfdaya	1125	1-293-a	absent	N	Y	N	{#amandahfdaya#}¦ Adj. (f. {#A#}) {%muntern Herzens%} DAŚAK. 6,1.
amandahfdaya	12417	7-307-b	absent	N	Y	N	{#amandahfdaya#}¦ 1.
amanorama	6366	5-244-c	absent	N	Y	N	{#amanorama#}¦ Adj. {%nicht reizend%}. Nom. abstr. {#˚tA#} f. ŚIŚ. 20,15.
amanorama	12412	7-307-b	absent	N	Y	N	{#amanorama#}¦ 5.
amantar	1124	1-293-a	absent	N	Y	N	{#amanta/r#}¦.
amantar	12413	7-307-b	absent	N	Y	N	{#amanta/r#}¦ I. 1.
amantravarjam	3832	3-253-a	absent	N	Y	N	{#amantravarjam#}¦ Adv. {%nicht ohne die erforderlichen Sprüche%} KUMĀRAS. 7,72.
amantravarjam	12416	7-307-b	absent	N	Y	N	{#amantravarjam#}¦ 3.
amaraDunI	1127	1-293-a	absent	N	Y	N	{#amaraDunI#}¦ f. {%die%} Gaṅgā Ind. St. 15,296.
amaraDunI	12423	7-307-b	absent	N	Y	N	{#amaraDunI#} u. {#amaranATamAhAtmya#}¦ 1.
amaraSeza	2373	2-291-b	absent	N	Y	N	{#amaraSeza#} m. und {#amaruka#}¦ Titel zweier Werke OPP. Cat. 1.
amaraSeza	12430	7-307-b	absent	N	Y	N	{#amaraSeza#}¦ 2.
amarakoSabfhadvftti	2371	2-291-a	absent	N	Y	N	{{Lbody=2371}}
amarakoSabfhadvftti	12420	7-307-b	absent	N	Y	N	{{Lbody=12420}}
amarakoSapaYcikA	2371	2-291-a	absent	N	Y	N	{#amarakoSapaYcikA#} f., {#˚koSapadapArijAta#} m. und {#˚koSabfhadvftti#} f.¦ Titel von Commentaren zu AK. OPP. Cat. 1.
amarakoSapaYcikA	12420	7-307-b	absent	N	Y	N	{#amarakoSapaYcikA#}, {#˚koSapadapArijAta#} und {#˚koSabfhadvftti#}¦ 2.
amarakoSapadapArijAta	2371	2-291-a	absent	N	Y	N	{{Lbody=2371}}
amarakoSapadapArijAta	12420	7-307-b	absent	N	Y	N	{{Lbody=12420}}
amaranATamAhAtmya	1128	1-293-a	absent	N	Y	N	{#amaranATamAhAtmya#}¦ n. Titel eines Werkes BÜHLER, Rep. No. 48.
amaranATamAhAtmya	12423	7-307-b	absent	N	Y	N	{{Lbody=12423}}
amaraviveka	6369	5-244-c	absent	N	Y	N	{#amaraviveka#}¦ m. Titel eines Commentars zum Amarakośa.
amaraviveka	12429	7-307-b	absent	N	Y	N	{#amaraviveka#}¦ 5.
amareSvarakalpa	1133	1-293-a	absent	N	Y	N	{#amareSvarakalpa#} m., {#amareSvaramAhAtmya#} n. und {#amareSvarayAtrA#} f.¦ Titel von Werken BÜHLER, Rep. No. 49. fgg.
amareSvarakalpa	12433	7-307-b	absent	N	Y	N	{#amareSvarakalpa#}, {#amareSvaramAhAtmya#} und {#amareSvarayAtrA#}¦ 1.
amareSvaramAhAtmya	1133	1-293-a	absent	N	Y	N	{{Lbody=1133}}
amareSvaramAhAtmya	12433	7-307-b	absent	N	Y	N	{{Lbody=12433}}
amareSvarayAtrA	1133	1-293-a	absent	N	Y	N	{{Lbody=1133}}
amareSvarayAtrA	12433	7-307-b	absent	N	Y	N	{{Lbody=12433}}
amaruka	2373	2-291-b	absent	N	Y	N	{{Lbody=2373}}
amaruka	12432	7-307-b	absent	N	Y	N	{#amaruka#} und {#amaruparihita#}¦ 2.
amaruparihita	2374	2-291-b	absent	N	Y	N	{#amaruparihita#}¦ Adj. {%nicht von einer Sandöde umgeben%} GOBH. 4,7,8.
amaruparihita	12432	7-307-b	absent	N	Y	N	{{Lbody=12432}}
amasvarI	1134	1-293-a	absent	N	Y	N	{#a/masvarI#}¦ Adj. f. MAITR. S. 2,4,7. 8 st. {#tamasvarI#} der TS.
amasvarI	12437	7-307-b	absent	N	Y	N	{#a/masvarI#}¦ 1.
ambAstava	2381	2-291-b	absent	N	Y	N	{#ambAstava#}¦ m. Titel eines Werkes OPP. Cat. 1.
ambAstava	12505	7-307-d	absent	N	Y	N	{#ambAstava#}¦ 2.
ambudAgama	1163	1-293-b	absent	N	Y	N	{#ambudAgama#}¦ m. {%Beginn der Regenzeit%} NAIṢ. 2,46.
ambudAgama	12512	7-307-d	absent	N	Y	N	{#ambudAgama#}¦ 1.
ambujAta	1160	1-293-b	absent	N	Y	N	{#ambujAta#}¦ Adj. {%im Wasser geboren%}. Rudra-Śiva HEMĀDRI 1,207,21.
ambujAta	12510	7-307-d	absent	N	Y	N	{#ambujAta#}, {#ambujAsanA#} und {#ambujinI#}¦ 1.
ambukukkuwikA	1158	1-293-b	absent	N	Y	N	{#ambukukkuwikA#}¦ f. {%Wasserhuhn%} SUŚR. 1,205,14.
ambukukkuwikA	12508	7-307-d	absent	N	Y	N	{#ambukukkuwikA#}¦ 1.
amburuh	8416	6-295-b	absent	N	Y	N	{#amburuh#}¦ m. {%eine am Tage sich öffnende Lotusblüthe%} [Page6-295-c] ŚIŚ. 6,11.
amburuh	12516	7-307-d	absent	N	Y	N	{#amburuh#}¦ 6.
amburuhAkza	12517	7-307-d	absent	N	Y	N	{#amburuhAkza#}¦ Adj. {%lotusäugig%} TAKAM. 13,17.
amfdita	5290	4-294-c	absent	N	Y	N	{#amfdita#}¦ Adj. {%nicht heftig gedrückt, — angedrückt%} HARIV. 4395.
amfdita	12488	7-307-c	absent	N	Y	N	{#amfdita#} und {#amfdumayUKa#}¦ 4.
amfdumayUKa	5291	4-294-c	absent	N	Y	N	{#amfdumayUKa#}¦ Adj. {%heissstrahlig%} VARĀH. BṚH. S. 24,22.
amfdumayUKa	12488	7-307-c	absent	N	Y	N	{{Lbody=12488}}
amfgya	5289	4-294-c	absent	N	Y	N	{#amfgya#}¦ Adj. {%wonach man nicht trachten soll%}.
amftabindu	2378	2-291-b	absent	N	Y	N	{#amftabindu#}¦ m. {%ein best.%} Samādhi KĀRAṆḌ. 51,22.
amftabindu	12479	7-307-c	absent	N	Y	N	{#amftabindu#} und {#amftabinduskandopanizad#}¦ 2.
amftabinduskandopanizad	2379	2-291-b	absent	N	Y	N	{#amftabinduskandopanizad#}¦ f. Titel einer Upaniṣad OPP. Cat. 1.
amftabinduskandopanizad	12479	7-307-c	absent	N	Y	N	{{Lbody=12479}}
amftadatta	12474	7-307-c	absent	N	Y	N	{#amftadatta#}¦ m. N. pr. eines Dichters Festgr. 94.
amftakavala	6373	5-244-c	absent	N	Y	N	{#amftakavala#}¦ m. {%der Mond%} ALAṂKĀRAV. 66,a.
amftakavala	12470	7-307-c	absent	N	Y	N	{#amftakavala#}¦ 5.
amftanirgama	6374	5-244-c	absent	N	Y	N	{#*amftanirgama#}¦ m. desgl. ZACH. Beitr.
amftanirgama	12476	7-307-c	absent	N	Y	N	{#amftanirgama#}¦ 5.
amftapalASa	2377	2-291-b	absent	N	Y	N	{#amftapalASa#}¦ Adj. (f. {#A#}) {%mit unvergänglichem Laube%} ĀPAST. ŚR. 6,7,1.
amftapalASa	12477	7-307-c	absent	N	Y	N	{#amftapalASa#}¦ 2.
amftaprASa	1148	1-293-b	absent	N	Y	N	{#amftaprASa#}¦ n. {%eine best. Mixtur%} CARAKA 6,16.
amftaprASa	12478	7-307-c	absent	N	Y	N	{#amftaprASa#}¦ 1.
amftataraMga	12473	7-307-c	absent	N	Y	N	{{Lbody=12473}}
amftataraMgiRI	2376	2-291-b	absent	N	Y	Y	{#amftataraMgiRI#}¦ f. Titel eines Werkes OPP. Cat. 1.
amftataraMgiRI	12472	7-307-c	absent	N	Y	Y	{#amftataraMgiRI#}¦ I. 2.
amftaturaMga	8413	6-295-b	absent	N	Y	N	{#amftaturaMga#}¦ (wohl {#˚taraMga#}) m. Titel eines Werkes des Kṣemendra Sitzungsberichte der phil.-hist. Klasse der Wi
amftaturaMga	12473	7-307-c	absent	N	Y	N	{#amftaturaMga#} ({#˚taraMga#})¦ 6.
amftyuSaNkita	1154	1-293-b	absent	N	Y	N	{#amftyuSaNkita#}¦ Adj. {%den Tod nicht fürchtend%} NAIṢ. 9,57.
amftyuSaNkita	12487	7-307-c	absent	N	Y	N	{#amftyuSaNkita#}¦ 1.
amfzya	22213	7-386-a	absent	N	Y	N	{#amfzya#}¦ Adj. {%unerträglich%} RUDRAṬA, ŚṚṄGĀRAT. 2,97 [Page7-386-b] nach JACOBIʼs Conjectur. Ebend. ist auch {#kena#
amfzyant	5292	4-294-c	absent	N	Y	N	{#amfzyant#}¦ Adj. {%Etwas nicht geduldig ertragend, nicht ruhig hinnehmend%} MBH. 14,29,21. 60,31.
amfzyant	12490	7-307-d	absent	N	Y	N	{#amfzyant#}¦ 4.
amilant	6372	5-244-c	absent	N	Y	N	{#amilant#}¦ Adj. Pl. {%nicht zusammenkommend, sich getrennt haltend%}. {#parasparam#} HEM. PAR. 1,160.
amilant	12454	7-307-c	absent	N	Y	N	{#amilant#}¦ 5.
amoGI	12496	7-307-d	absent	N	Y	N	{#amoGI#}¦ Adv. mit {#kar#} {%fruchtbringend machen%} Festgr. 18.
amokzaRIya	5294	4-294-c	absent	N	Y	N	{#amokzaRIya#}¦ Adj. {%unvermeidlich%} MBH. 1,167,56.
amokzaRIya	12492	7-307-d	absent	N	Y	N	{{Lbody=12492}}
amotakaputraka	3849	3-253-b	absent	N	Y	N	{#amotakapu/traka#}¦ m. etwa {%Weberknabe%}.
amotakaputraka	6376	5-244-c	absent	N	Y	N	{#amotakapu/traka#} (Nachtr. 3)¦, lies {#amotapu/traka#}.
amotakaputraka	12498	7-307-d	absent	N	Y	N	{#amotakapu/traka#} und {#amotapu/traka#}¦ 3. 5.
amuYcamAna	1143	1-293-b	absent	N	Y	N	{#amuYcamAna#}¦ Adj. = {#amuYcant#} NAIṢ. 6,105.
amuYcamAna	12462	7-307-c	absent	N	Y	N	{#amuYcamAna#} und {#amutrArTa#}¦ 1.
amudita	12463	7-307-c	absent	N	Y	N	{#amudita#}¦ Adj. {%nicht froh, traurig%} R. ed. Bomb. 4,43,53.
amutrArTa	1144	1-293-b	absent	N	Y	N	{#amutrArTa#}¦ Adj. {%für das Jenseits nützlich%} MBH. 12,259,2.
amutrArTa	12462	7-307-c	absent	N	Y	N	{{Lbody=12462}}
amuzita	3843	3-253-a	absent	N	Y	N	{#a/muzita#}¦ Adj. {%nicht geplündert%} AV. 1,27,4.
amuzita	12465	7-307-c	absent	N	Y	N	{#a/muzita#}¦ 3.
anABAsa	641	1-288-b	absent	N	Y	N	{#anABAsa#}¦ Adj. {%lichtlos%} Kār. 48 zu MĀṆḌ. UP.
anABAsa	11000	7-298-c	absent	N	Y	N	{#anABAsa#}¦ 1.
anABava	2161	2-289-a	absent	N	Y	N	{#anABava#}¦ Adj. = {#a/nABU#} KAP. S. 4,6.
anABava	10999	7-298-c	absent	N	Y	N	{#anABava#}¦ 2.
anABu	6184	5-242-c	absent	N	Y	N	{#anABu#}¦ Adj. als Beiw. Rudraʼs MAITR. S. 1,8,5 (121,10). {#anArBava#} st. dessen ĀPAST. ŚR. 6,11,3.
anABu	11001	7-298-c	absent	N	Y	N	{#anABu#}¦ 5.
anADAra	637	1-288-b	absent	N	Y	N	{#anADAra#}¦ Adj. {%ohne Halt%} AGNI-P. 3,7.
anADAra	10989	7-298-b	absent	N	Y	N	{#anADAra#} und {#anAnamya#}¦ 1.
anANga	622	1-288-a	absent	N	Y	N	{#anANga#}¦ Adj. {%nicht das Thema betreffend%} P. 1,1,63, Sch.
anANga	10957	7-298-b	absent	N	Y	N	{{Lbody=10957}}
anASramaDarmin	659	1-288-b	absent	N	Y	N	{#anASramaDarmin#}¦ Adj. {%seinem%} Āśrama {%untreu%} PRAB. 97,4.
anASramaDarmin	11043	7-298-d	absent	N	Y	N	{#anASramaDarmin#}¦ 1.
anASrava	660	1-288-b	absent	N	Y	N	{#anASrava#}¦ Adj. (f. {#A#}) {%ungehorsam,%} mit Gen. RAGH. 19,49. NAIṢ. 6,88.
anASrava	11045	7-298-d	absent	N	Y	N	{#anASrava#}¦ I. 1.
anASvAsa	11046	7-298-d	absent	N	Y	N	{#anASvAsa#}¦ m. {%kein Vertrauen%} ANIRUDDHA zu SĀṂKHYAS. 1,56.
anATI	631	1-288-a	absent	N	Y	N	{#anATI#}¦ Adv. 1〉 mit {#kar#} {%schutzlos machen%} NĀGĀN. 70,5 (90,16). — 2〉 mit {#BU#} {%schutzlos werder, verwaisen%}
anATI	10972	7-298-b	absent	N	Y	N	{{Lbody=10972}}
anATakuwI	630	1-288-a	absent	N	Y	N	{#*anATakuwI#} und {#*anATasaBA#}¦ f. P. 2,4,24, Sch.
anATakuwI	10972	7-298-b	absent	N	Y	N	{#anATakuwI#}, {#anATasaBA#} u. {#anATI#}¦ 1.
anAcArya	623	1-288-a	absent	N	Y	N	{#anAcArya#}¦ m. {%kein Lehrer%} (mehr) ĀPAST.
anAcArya	10960	7-298-b	absent	N	Y	N	{#anAcArya#}, {#anAcAryasaMbanDa#} und {#anAcCAdita#}¦ 1.
anAcAryasaMbanDa	624	1-288-a	absent	N	Y	N	{#anAcAryasaMbanDa#}¦ m. {%keine Beziehung von Schüler zu Lehrer%} ĀPAST.
anAcAryasaMbanDa	10960	7-298-b	absent	N	Y	N	{{Lbody=10960}}
anAcCAdita	625	1-288-a	absent	N	Y	N	{#anAcCAdita#}¦ Adj. {%nicht unter Dach seiend%} VAITĀN.
anAcCAdita	10960	7-298-b	absent	N	Y	N	{{Lbody=10960}}
anAcCinnastuka	22134	7-385-b	absent	N	Y	N	{#a/nAcCinnastuka#}¦ Adj. {%mit nicht abgeschnittenen Stirnhaaren%} MAITR. S. 3,8,5 (101,4).
anAcarant	2151	2-289-a	absent	N	Y	N	{#anAcarant#}¦ Adj. R. 2,39,19 nach dem Comm. = {#kzudrAcArahIna#}.
anAcarant	10958	7-298-b	absent	N	Y	N	{#anAcarant#} und {#anAcarita#}¦ 2.
anAcarita	2152	2-289-a	absent	N	Y	N	{#anAcarita#}¦ Adj. {%nicht geübt, unterlassen%} MBH. 2,44,24.
anAcarita	10958	7-298-b	absent	N	Y	N	{{Lbody=10958}}
