pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
ASOcakARqa	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASOcakARqa	14425	7-320-b	absent	N	Y	N	{{Lbody=14425}}
ASOcaviDi	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASOcaviDi	14425	7-320-b	absent	N	Y	N	{{Lbody=14425}}
ASUra	1615	1-297-c	absent	N	Y	N	{#ASUra#}¦ Adj. SUŚR. 1,335,17 fehlerhaft fur {#Asura#}.
ASUra	14423	7-320-b	absent	N	Y	N	{{Lbody=14423}}
ASramadvezasaMkarin	8641	6-298-b	absent	N	Y	N	{#ASramadvezasaMkarin#}¦ Adj. {%der gegen die Stadien im religiösen Leben eine Abneigung hat und zu ihrer Vermischung be
ASramadvezasaMkarin	14428	7-320-b	absent	N	Y	N	{#ASramadvezasaMkarin#}¦ 6.
ASramavAda	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASramavAda	14429	7-320-b	absent	N	Y	N	{{Lbody=14429}}
ASramavAsaparvan	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASramavAsaparvan	14429	7-320-b	absent	N	Y	N	{#ASramavAsaparvan#} und {#ASramavAda#}¦ 2.
ASretar	8642	6-298-b	absent	N	Y	N	{#ASretar#}¦ Nom. ag. {%der sich an Jmd lehnt, auf Jmd stützt, sich in Jmds%} (Gen.) {%Schutz begiebt%} MBH. ed. Vardh. 
ASretar	14434	7-320-b	absent	N	Y	N	{#ASretar#}¦ 6.
ASrumay	14433	7-320-b	absent	N	Y	N	{#A/Srumay#}¦ (!), {#˚yati#} MAITR. S. 3,10,3 (133,14).
ASugI	1614	1-297-c	absent	N	Y	N	{#ASugI#}¦ Adv. mit {#BU#} {%zu Jmds%} (im Comp. vorangehend) {%Pfeil werden%} NAIṢ. 6,67.
ASugI	14423	7-320-b	absent	N	Y	N	{#ASugI#} und {#ASUra#}¦ 1.
ASvadakziRa	8644	6-298-b	absent	N	Y	N	{#A/SvadakziRa#}¦ m. Patron. Pl. MAITR. S. 4,2,6.
ASvadakziRa	14436	7-320-b	absent	N	Y	N	{#A/SvadakziRa#}¦ 6.
ASvalAyanaDarma	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanaDarma	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanaSrOta	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanaSrOta	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanaSrOtasUtra	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanaSrOtasUtra	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanadIpikA	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanadIpikA	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
ASvalAyanapUrvaprayoga	2657	2-294-b	absent	N	Y	N	{{Lbody=2657}}
ASvalAyanapUrvaprayoga	14439	7-320-b	absent	N	Y	N	{{Lbody=14439}}
