pwk_L	pwk_pc	slp1	iast	tier	rank	mw_fuzzy	evidence
209411	7-289-a	aMSagrAhin	aṃśagrāhin	nearform0.80		arTagrAhin	
209413	7-289-a	aMSitva	aṃśitva	nearform0.92		aMSitA	
209415	7-289-a	aMSukapallava	aṃśukapallava	NO-MATCH	B		B:aMSu;B:aMSuDAraya
209417	7-289-a	aMSumadBedasaMgraha	aṃśumadbhedasaṃgraha	NO-MATCH	B		B:aMSuDAraya;B:aMSUdaka
209424	7-289-a	akata	akata	nearform0.91		akzata	
209426	7-289-a	akadvada	akadvada	NO-MATCH	B		B:akatTana
209427	7-289-a	akapAla	akapāla	nearform0.93		aNkapAla	
209428	7-289-a	akapila	akapila	nearform1.00		Akapila	
209429	7-289-a	akapilacCavi	akapilacchavi	NO-MATCH	C		
209430	7-289-a	akampa	akampa	nearform1.00		Akampa	
209433	7-289-a	akampra	akampra	nearform1.00		Akampra	
209435	7-289-a	akarAla	akarāla	NO-MATCH	B		B:akaraRa;B:akarRa
209437	7-289-a	akarRagfhIta	akarṇagṛhīta	NO-MATCH	B		B:akarRa;B:akarRaDAra
209439	7-289-a	akarRaprAvfta	akarṇaprāvṛta	nearform0.80		Aryapravftta	
209441	7-289-a	akarta	akarta	stem			
209442	7-289-a	akartar	akartar	nearform0.86		akAtara	
209443	7-289-b	akartfka	akartṛka	nearform0.88		aBartfkA	
209444	7-289-b	akardama	akardama	nearform0.80		akramam	
209445	7-289-b	akarmakaraRa	akarmakaraṇa	NO-MATCH	C		
209446	7-289-b	akarmakAla	akarmakāla	nearform0.84		aparakAla	
209447	7-289-b	akarmakft	akarmakṛt	nearform0.82		AkAramat	
209448	7-289-b	akarmaRyatA	akarmaṇyatā	nearform0.82		aramaRIyatA	
209449	7-289-b	akarmaRyatva	akarmaṇyatva	NO-MATCH	C		
209450	7-289-b	akarmaprApti	akarmaprāpti	NO-MATCH	C		
209451	7-289-b	akarmavant	akarmavant	NO-MATCH	A		A:akali
209454	7-289-b	akalitAtman	akalitātman	NO-MATCH	A		A:akalita
209455	7-289-b	akaliprasara	akaliprasara	NO-MATCH	C		
209456	7-289-b	akaluza	akaluṣa	nearform1.00		Akaluza	
209457	7-289-b	akaluzAtman	akaluṣātman	NO-MATCH	C		
209458	7-289-b	akalkakalila	akalkakalila	NO-MATCH	B		B:akalpa
209466	7-289-b	akaSApa	akaśāpa	NO-MATCH	B		B:akavi
209467	7-289-b	akAku	akāku	NO-MATCH	C		
209468	7-289-b	akAYcana	akāñcana	nearform0.88		akiYcana	
209470	7-289-b	akApuruzavrata	akāpuruṣavrata	NO-MATCH	B		B:akAtara
209471	7-289-b	akAmayamAna	akāmayamāna	nearform0.86		amanyamAna	
209472	7-289-b	akAmayAna	akāmayāna	nearform0.89		AkASayAna	
209473	7-289-b	akAmavikriya	akāmavikriya	NO-MATCH	A		A:akAmasaMjYapana
209475	7-289-c	akAmAtman	akāmātman	nearform0.89		AkASAtman	
209477	7-289-c	akAmya	akāmya	nearform0.92		Akramya	
209479	7-289-c	akAraRaka	akāraṇaka	nearform0.94		akarRaka	
209480	7-289-c	akArpaRya	akārpaṇya	nearform0.89		AkAraRIya	
209481	7-289-c	akAryakzama	akāryakṣama	NO-MATCH	B		B:akArzRya
209485	7-289-c	akiMcinmaya	akiṃcinmaya	NO-MATCH	A		A:akAvaNka;A:akilina
209487	7-289-c	akilbiza	akilbiṣa	nearform0.88		akilviza	
209488	7-289-c	akIrtanIya	akīrtanīya	nearform0.80		anukIrtana	
209489	7-289-c	akuYcita	akuñcita	nearform1.00		AkuYcita	
209490	7-289-c	akuwila	akuṭila	nearform1.00		Akuwila	
209492	7-289-c	akuRWamaRqala	akuṇṭhamaṇḍala	NO-MATCH	B		B:akuRWaDizRya;B:akuRWita
209494	7-289-c	akuRqalin	akuṇḍalin	nearform0.82		akuRqala	
209497	7-289-c	akupAna	akupāna	nearform0.86		anupAna	
209498	7-289-c	akupita	akupita	nearform0.86		ayupita	
209503	7-289-c	akulaja	akulaja	nearform0.86		akulaka	
209508	7-289-c	akUwaka	akūṭaka	NO-MATCH	A		A:akUjana
209509	7-289-d	akfcCralaNGya	akṛcchralaṅghya	NO-MATCH	B		B:akfcCrin
209512	7-289-d	akftaka	akṛtaka	nearform0.86		aBftaka	
209514	7-289-d	akftaprajYa	akṛtaprajña	NO-MATCH	B		B:akftakftya
209515	7-289-d	akftalakzaRa	akṛtalakṣaṇa	NO-MATCH	C		
