pw_line	k1	hw_slp1	hom_pw	mw_main_max_hom	mw_all_max_hom	annexure_covers	pos	pos_set	sup_layer	dcs_band	corr_n	corr_outside_n	corr_outside	mahavy	dcs	verdict
487483	saMvara	saMvara	3	2	2	no	m.	m.+n.	0	3						
487635	saMvalana	saMvalana	2	0	0	no			0	2						
488220	saMSayita	saMSayita	2	0	0	no	adj.	adj.+n.	0	3						
488259	saMSita	saMSita	2	0	0	no	adj.	adj.+m.	0	4						
488390	saMSravas	saMSravas	2	0	0	no	m.	m.	0	0						
488738	saMsfzwa	saMsfzwa	3	0	0	no	adj.	adj.+m.+n.	0	2						
489581	saMhfti	saMhfti	2	0	0	no	m.	m.	0	3						
489791	sakalasidDi	sakalasidDi	2	0	0	no	adj.	adj.	0	0						
490178	sakzaRa	sakzaRa	2	0	0	no	adj.	adj.	0	2						
490331	sagara	sagara	3	2	2	no	m.	m.+f.	0	4						
490337	sagaras	sagaras	2	0	0	no	adj.	adj.	0	1						
490398	sagDi	sagDi	2	0	0	no	f.	f.	0	0						
490584	saMkalita	saMkalita	2	0	0	no	adj.	adj.+f.+n.	0	0						
490722	saMkIrRa	saMkIrRa	3	0	0	no	adj.	adj.+m.+f.+n.	0	2						
491248	saMga	saMga	2	0	0	no	m.	m.	0	2						
492189	saccarita	saccarita	2	0	0	no	adj.	adj.	0	0						
492304	sajanya	sajanya	2	0	0	no	n.	n.	0	2						
492439	sajjana	sajjana	2	0	0	no	n.	n.+f.	0	2						
492444	sajjana	sajjana	3	0	0	no	m.	m.+adj.	0	2						
492496	saYc	saYc	3	0	0	no			0	0						
492949	saMjanana	saMjanana	2	0	0	no	n.	n.+adj.+f.	0	3						
493396	satIna	satIna	2	0	0	no	m.	m.	0	3						
493401	satInaka	satInaka	2	0	0	no	m.	m.	0	2						
493427	satIla	satIla	2	0	0	no	m.	m.+f.	0	0						
493434	satIlaka	satIlaka	2	0	0	no	m.	m.	0	0						
493540	satkarman	satkarman	2	0	0	no	adj.	adj.+m.	0	1						
493577	satkIrti	satkIrti	2	0	0	no	adj.	adj.	0	0						
493583	satkula	satkula	2	0	0	no	adj.	adj.+f.	0	0						
493696	sattrAyaRa	sattrAyaRa	2	0	0	no	adj.	adj.+m.	0	2						
493863	satputra	satputra	2	0	0	no	adj.	adj.	0	0						
493980	satyakarman	satyakarman	2	0	0	no	adj.	adj.+m.	0	2						
494116	satyaDarma	satyaDarma	2	0	0	no	adj.	adj.+m.	0	0						
494323	satyavacana	satyavacana	2	0	0	no	adj.	adj.	0	2						
494376	satyavAkya	satyavAkya	2	0	0	no	adj.	adj.+f.	0	0						
494384	satyavAc	satyavAc	2	0	0	no	adj.	adj.+m.	0	2						
494437	satyavrata	satyavrata	2	0	0	no	adj.	adj.+f.+m.	0	3						
494466	satyaSravas	satyaSravas	2	0	0	no	m.	m.	0	2						
494649	satyASis	satyASis	2	0	0	no	adj.	adj.	0	0						
494675	satyottara	satyottara	2	0	0	no	adj.	adj.+f.	0	0						
495094	sada	sada	2	0	0	no	adj.	adj.+m.+n.	0	2						
495180	sadarTa	sadarTa	2	0	0	no	adj.	adj.	0	1						
495215	sadaSva	sadaSva	2	0	0	no	adj.	adj.+m.	0	2						
495301	sadAkArin	sadAkArin	2	0	0	no	adj.	adj.	0	0						
495310	sadAgati	sadAgati	2	0	0	no	adj.	adj.+m.	0	3						
495317	sadAgati	sadAgati	3	0	0	no	m.	m.	0	3						
495333	sadAcAra	sadAcAra	2	0	0	no	adj.	adj.+f.	0	3						
495386	sadAdAna	sadAdAna	3	2	2	no	adj.	adj.+m.	0	0						
