mw_key1	covered_flag	heritage_entry_anchor
a	0	
akAra	1	DICO/1.html#akaara
afRin	0	
aMS	1	
aMSa	1	DICO/1.html#a.mza
aMSakaraRa	0	
aMSakalpanA	0	
aMSaprakalpanA	0	
aMSapradAna	0	
aMSaBAgin	0	
aMSaBAj	0	
aMSaBU	0	
aMSaBUta	0	
aMSarUpiRI	0	
aMSavat	0	
aMSasavarRana	0	
aMSasvara	0	
aMSahara	1	DICO/1.html#a.mzahara
aMSahArin	0	
aMSAMSa	0	
aMSAMsi	0	
aMSAvataraRa	0	
aMSIkf	0	
aMSaka	1	DICO/1.html#a.mzaka#1
aMSala	0	
aMSin	0	
aMSitA	0	
aMSu	1	DICO/1.html#a.mzu
aMSujAla	0	
aMSuDara	0	
aMSuDAna	0	
aMSuDAraya	0	
aMSunadI	0	
aMSupawwa	0	
aMSupati	0	
aMSuBartf	0	
aMSumat	1	DICO/1.html#a.mzumat
aMSumatPalA	0	
aMSumAlA	0	
aMSumAlin	0	
aMSuvARa	0	
aMSuvimarda	0	
aMSuhasta	0	
aMSUdaka	0	
aMSvAdi	0	
aMSuka	1	DICO/1.html#a.mzuka
aMSula	0	
aMs	0	
aMsa	1	DICO/1.html#a.msa
aMsakUwa	0	
aMsatra	0	
aMsatrakoSa	0	
aMsadaGna	1	DICO/1.html#a.msadaghna
aMsaDrI	0	
aMsapIWa	0	
aMsapfzWa	0	
aMsaPalaka	0	
aMsaBAra	0	
aMseBAra	0	
aMsaBArika	0	
aMseBArika	0	
aMsamUla	0	
aMsoccaya	0	
aMsala	1	DICO/1.html#a.msala
aMsya	1	DICO/1.html#a.msya
aMh	0	
aMhri	1	DICO/1.html#a.mhri
aMhripa	1	DICO/1.html#a.mhripa
aMhriskanDa	0	
aMhriSiras	0	
aMhati	1	DICO/1.html#a.mhati
aMhana	0	
aMhas	1	DICO/1.html#a.mhas
aMhaspati	0	
aMhasaspati	0	
aMhaspatya	0	
aMhomuc	0	
aMholiNga	0	
aMhiti	0	
aMhu	1	DICO/1.html#a.mhu
aMhuBedI	0	
aMhura	0	
aMhUraRa	0	
aMhoyu	0	
ak	0	
aka	0	
akaca	1	DICO/1.html#akaca
akawuka	1	DICO/1.html#aka.tuka
akawuPala	0	
akaWora	1	DICO/1.html#aka.thora
akaqama	0	
akaqamacakra	0	
akaRaka	0	
akaRwaka	0	
akaRWa	0	
akatTana	1	DICO/1.html#akatthana
akaTaha	0	
akaTya	0	
akanizWa	1	DICO/1.html#akani.s.tha
akanizWaga	0	
akanizWapa	0	
akanyA	1	DICO/1.html#akanyaa
akapIvat	0	
akabara	0	
akabbara	0	
akampana	1	DICO/1.html#akampana
akampita	0	
akampya	1	DICO/1.html#akampya
akara	0	
akaraRa	0	
akaraRi	0	
akaraRIya	0	
akarizyat	0	
akaruRa	1	DICO/1.html#akaru.na
akaruRatva	1	DICO/1.html#akaru.natva
akarkaSa	0	
akarRa	1	DICO/1.html#akar.na
akarRaka	0	
akarRIya	0	
akarRya	0	
akarRaDAra	1	DICO/1.html#akar.nadhaara
akartana	0	
akartf	1	DICO/1.html#akart.r
akartftva	1	DICO/1.html#akart.rtva
akarman	1	DICO/1.html#akarman
akarmaBoga	0	
akarmAnvita	0	
akarmaka	1	DICO/1.html#akarmaka
akarmaRya	0	
akala	0	
akalaNka	1	DICO/1.html#akalafka
akali	0	
akalita	0	
akalka	0	
akalkatA	0	
akalkana	0	
akalkala	0	
akalpa	0	
akalpita	1	DICO/1.html#akalpita
akalmaza	1	DICO/1.html#akalma.sa
akalmAza	0	
akalya	0	
akalyARa	0	
akava	1	DICO/1.html#akava
akavAri	1	DICO/1.html#akavaari
akavaca	0	
akavara	0	
akavi	0	
akasmAt	1	DICO/1.html#akasmaat
akasyavid	0	
akARa	0	
akARqa	1	DICO/1.html#akaa.n.da
akARqapAtajAta	0	
akARqaSUla	0	
akAtara	0	
akAma	1	DICO/1.html#akaama
akAmakarSana	0	
akAmatas	0	
akAmatA	0	
akAmasaMjYapana	0	
akAmahata	0	
akAmin	0	
akAya	0	
akAyikA	0	
akAraRa	1	DICO/1.html#akaara.na
akAraRotpanna	0	
akArin	0	
akArRavezwakika	0	
