bhs_key2	mw_tier	pwg_tier	dcs_lemma_id	dcs_bhs_tokens	dcs_bhs_loci	dcs_tier	dcs_lemma_hits
(-)upaga	marker_strip	marker_strip	44846	4	Divyāvadāna;Laṅkāvatārasūtra	marker_strip	1
(-)upaka	marker_strip	marker_strip+form_key		0		unlinked	0
(1)	unlinked	unlinked		0		unlinked	0
(?) vipAcayati	unlinked	unlinked		0		unlinked	0
(SrI-)Siri-jAtaka	unlinked	unlinked		0		unlinked	0
(SrI-)kiMnarI-jAtaka	unlinked	unlinked		0		unlinked	0
(SuvetanA	unlinked	unlinked		0		unlinked	0
(a)samanupaSyana-tA	unlinked	unlinked		0		unlinked	0
(a)tisaMlayana	unlinked	unlinked		0		unlinked	0
(a-)kUhaka	unlinked	unlinked		0		unlinked	0
(a-)spfhaRa-tA	unlinked	unlinked		0		unlinked	0
(aBivyUhayati	unlinked	unlinked		0		unlinked	0
(aSate	unlinked	unlinked		0		unlinked	0
(ahirI	unlinked	unlinked		0		unlinked	0
(an-)unnahana(-tA)	unlinked	unlinked		0		unlinked	0
(anuKanati	unlinked	unlinked		0		unlinked	0
(avaBAs˚) oBAsarAja	unlinked	unlinked		0		unlinked	0
(avaBAs˚) oBAsasAgaraviyUha	unlinked	unlinked		0		unlinked	0
(avarUpayati	unlinked	unlinked		0		unlinked	0
(maRi-)vakkala	unlinked	unlinked		0		unlinked	0
(siMha-)viklamBita	unlinked	unlinked		0		unlinked	0
(su-)saMtutikA	unlinked	unlinked		0		unlinked	0
) aBivyUhita	unlinked	unlinked		0		unlinked	0
) ahrIka	marker_strip+form_key	marker_strip+form_key		0		unlinked	0
) anuKaneti	unlinked	unlinked		0		unlinked	0
) asate	unlinked	unlinked		0		unlinked	0
) orUpayati	unlinked	unlinked		0		unlinked	0
) suvetanA	unlinked	unlinked		0		unlinked	0
*-dekKiya	unlinked	unlinked		0		unlinked	0
*Asvapati	unlinked	unlinked		0		unlinked	0
*DyAyati	unlinked	unlinked		0		unlinked	0
*Iryati	unlinked	unlinked		0		unlinked	0
*UYA	unlinked	unlinked		0		unlinked	0
*UjYA	unlinked	unlinked		0		unlinked	0
*aDyavagacCati	unlinked	unlinked		0		unlinked	0
*anu-sahAya	unlinked	unlinked		0		unlinked	0
*apacayati	unlinked	unlinked		0		unlinked	0
*apakrAntaka	unlinked	unlinked		0		unlinked	0
*ava-kas-	unlinked	unlinked		0		unlinked	0
*avapunati	unlinked	unlinked		0		unlinked	0
*niSCavI-kftvA	unlinked	unlinked		0		unlinked	0
*nirdeSayati	unlinked	unlinked		0		unlinked	0
*samayati	unlinked	unlinked		0		unlinked	0
*samuttara	unlinked	unlinked		0		unlinked	0
*se-ti	unlinked	unlinked		0		unlinked	0
*svapnAntalokamuni	unlinked	unlinked		0		unlinked	0
*utkAreti	unlinked	unlinked		0		unlinked	0
*vijahayati	unlinked	unlinked		0		unlinked	0
*vyatikASa(ya)ti	unlinked	unlinked		0		unlinked	0
*vyatilokayati	unlinked	unlinked		0		unlinked	0
*vyatinamati	unlinked	unlinked		0		unlinked	0
*vyatisaMcarati	unlinked	unlinked		0		unlinked	0
*vyatisaMkrama	unlinked	unlinked		0		unlinked	0
--gocarika	unlinked	unlinked		0		unlinked	0
-ADAra	marker_strip	marker_strip	58214	2	Bodhicaryāvatāra;Laṅkāvatārasūtra	marker_strip	1
-ADAraka	marker_strip	marker_strip		0		unlinked	0
-ADarzaka	unlinked	unlinked		0		unlinked	0
-ASrayaka	unlinked	unlinked		0		unlinked	0
-Agatika	unlinked	unlinked		0		unlinked	0
-AjYaka	unlinked	unlinked		0		unlinked	0
-AkAra	marker_strip	marker_strip	61822	65	Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda;Saṅghabhedavastu;Viṃśatikāvṛtti;Āryāsaptaśatī	marker_strip	2
-Akara	marker_strip+form_key	marker_strip	61859	7	Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Laṅkāvatārasūtra;Saundarānanda;Āryāsaptaśatī	marker_strip	1
-AkramaRatA	unlinked	unlinked		0		unlinked	0
-AlApaka	unlinked	unlinked		0		unlinked	0
-Alambaka	unlinked	unlinked		0		unlinked	0
-Alopaka	unlinked	unlinked		0		unlinked	0
-AmantraRaka	unlinked	unlinked		0		unlinked	0
-Ananaka	unlinked	unlinked		0		unlinked	0
-ApaRika	marker_strip	marker_strip		0		unlinked	0
-Apatti-ka	unlinked	unlinked		0		unlinked	0
-ArabDa	marker_strip	marker_strip		0		unlinked	0
-Atmaka	marker_strip	marker_strip	163752	51	Abhidharmakośa;Bodhicaryāvatāra;Buddhacarita;Laṅkāvatārasūtra;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda;Viṃśatikāvṛtti	marker_strip	2
-AttamIya	unlinked	unlinked		0		unlinked	0
-Ayatanika	unlinked	unlinked		0		unlinked	0
-Ayuzika	unlinked	unlinked		0		unlinked	0
-BARin	unlinked	unlinked	220631	1	Aṣṭasāhasrikā	marker_strip	1
-BAgIya	marker_strip	unlinked	49540	2	Divyāvadāna	marker_strip	1
-BAgIyaka	unlinked	unlinked		0		unlinked	0
-BAjaka	marker_strip	marker_strip		0		unlinked	0
-BAryAka	unlinked	unlinked		0		unlinked	0
-BAsinikA	unlinked	unlinked		0		unlinked	0
-BUmika	unlinked	unlinked	205279	1	Saddharmapuṇḍarīkasūtra	marker_strip	1
-BUta	marker_strip+form_key	marker_strip	25207	57	Abhidharmakośa;Avadānaśataka;Aṣṭasāhasrikā;Bodhicaryāvatāra;Buddhacarita;Divyāvadāna;Lalitavistara;Laṅkāvatārasūtra;Saundarānanda;Viṃśatikākārikā;Viṃśatikāvṛtti;Āryāsaptaśatī;Śikṣāsamuccaya	marker_strip	2
-BUziRikA	unlinked	unlinked		0		unlinked	0
-BakzikA	marker_strip	unlinked	48354	1	Divyāvadāna	marker_strip	1
-BavanetrI-ka	unlinked	unlinked		0		unlinked	0
-Bedanaka	marker_strip	marker_strip		0		unlinked	0
-Bfkuwika	unlinked	unlinked		0		unlinked	0
-Bojika	marker_strip	marker_strip		0		unlinked	0
-BrUkuwika	unlinked	unlinked		0		unlinked	0
-CAda	marker_strip	marker_strip		0		unlinked	0
-Cana	unlinked	unlinked		0		unlinked	0
-Ciwi	marker_strip	unlinked		0		unlinked	0
-DAna	marker_strip+form_key	marker_strip	42354	6	Saddharmapuṇḍarīkasūtra	marker_strip	1
-DAtuka	marker_strip	marker_strip	175666	1	Saddharmapuṇḍarīkasūtra	marker_strip	2
-DarmaBARin	unlinked	unlinked		0		unlinked	0
-Darman	marker_strip+form_key	marker_strip+form_key	92345	30	Buddhacarita;Divyāvadāna;Lalitavistara;Mūlamadhyamakārikāḥ;Saddharmapuṇḍarīkasūtra;Saundarānanda	marker_strip	2
-Darmita	unlinked	unlinked		0		unlinked	0
-Darzika	unlinked	unlinked		0		unlinked	0
-Deya	marker_strip	marker_strip		0		unlinked	0
-GAta(ka)	marker_strip	marker_strip	161129	18	Bodhicaryāvatāra;Divyāvadāna;Saundarānanda	marker_strip	1
-GAtyA	unlinked	unlinked		0		unlinked	0
-GAwaka	marker_strip	unlinked		0		unlinked	0
-KadA	marker_strip	unlinked		0		unlinked	0
-KattaM	unlinked	unlinked		0		unlinked	0
-KattuM	unlinked	unlinked		0		unlinked	0
-KuttaM	unlinked	unlinked		0		unlinked	0
-Kutto	unlinked	unlinked		0		unlinked	0
-SASvatika	marker_strip	marker_strip		0		unlinked	0
-SakalA	unlinked	marker_strip		0		unlinked	0
-SakawikA	marker_strip	marker_strip		0		unlinked	0
-Sollaka	unlinked	unlinked		0		unlinked	0
-UruRikA	unlinked	unlinked		0		unlinked	0
-aBilagna	unlinked	unlinked		0		unlinked	0
-aBilokana	unlinked	unlinked		0		unlinked	0
-aBirucitaka	unlinked	unlinked		0		unlinked	0
-aBisaMBava	marker_strip+form_key	unlinked		0		unlinked	0
-aBisaMBuRa	unlinked	unlinked		0		unlinked	0
-aBisaMbudDana	unlinked	unlinked		0		unlinked	0
-aBisaMpravarzaRa-tA	unlinked	unlinked		0		unlinked	0
-aBivarzika	unlinked	unlinked		0		unlinked	0
-aDaraka	unlinked	unlinked		0		unlinked	0
-aDikArika	unlinked	unlinked		0		unlinked	0
-aDimoca	unlinked	unlinked		0		unlinked	0
-aDimuktaka	unlinked	unlinked		0		unlinked	0
-aDimuktika	marker_strip	marker_strip	9507	8	Aṣṭasāhasrikā;Bodhicaryāvatāra;Lalitavistara;Saddharmapuṇḍarīkasūtra	marker_strip	1
-aDimuktika-tA	unlinked	unlinked		0		unlinked	0
-aDyayitA	unlinked	unlinked		0		unlinked	0
-aMSika	unlinked	unlinked		0		unlinked	0
-aNgika	unlinked	unlinked		0		unlinked	0
