source_set	n	in_annexure	annexure_share_pct	in_main	main_share_pct	enrichment	status
pw:sup_7	13094	1798	29.6	7157	3.8	7.785374067636833	OK
pw:sup	14401	1956	32.2	7659	4.1	7.914392689390719	OK
pwkvn	14995	1971	32.5	7787	4.1	7.84399419444642	OK
bhs	17777	413	6.8	6128	3.3	2.0885847806543207	OK
<<<<<<< HEAD
pwg	106082	1001	16.5	93778	49.9	0.3307911829319413	OK
=======
ap90	34277	330	5.4	16846	9.0	0.6070688620703306	OK
ap	88872	556	9.2	37651	20.0	0.45763485054063957	OK
sch	28455	2060	34.0	12463	6.6	5.1223050590717705	OK
vcp	48636	655	10.8	38408	20.4	0.5284944379513814	OK
skd	40817	66	1.1	8789	4.7	0.23271548641339831	OK
mw72	51159	672	11.1	45184	24.0	0.460898624472428	OK
>>>>>>> 3d0ab2482 (H5059: native dicts (ap90/ap/sch/vcp/skd/mw72) vs MW99 annexure — 6x2 enrichment matrix with publication years (epic E009))
