form_slp1	flag	heritage_stems	kosha_lemmas	heritage_category	kosha_sources	disagreement_class
ABAByAm	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAn	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAnAm	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAni	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAsanA	disagree	ABAsana	ABAsi	nominal	vidyut	genuine-or-ambiguous
ABAsate	disagree	ABAsatA	ABAs	nominal	dcs	stem-granularity
ABAsi	disagree	ABAs|ABAsin	ABA	nominal	dcs	stem-granularity
ABAt	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAti	disagree	ABAti	ABA	iic-compound|nominal	dcs	stem-granularity
ABAyAm	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAyE	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAya	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABAzI	disagree	ABAza	ABAzin	iiv-compound	dcs	genuine-or-ambiguous
ABAze	disagree	ABAza	ABAz	nominal	dcs	stem-granularity
ABIrI	disagree	ABIra	ABIrI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
ABO	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABU	disagree	ABU	ABu	iic-compound	vidyut	genuine-or-ambiguous
ABasya	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABe	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABena	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABezu	disagree	ABA	ABa	nominal	dcs	genuine-or-ambiguous
ABu	disagree	ABU	ABu	iic-compound|nominal	dcs	genuine-or-ambiguous
AByas	disagree	idam	Asi	nominal	vidyut	genuine-or-ambiguous
ADyas	disagree	ADI	ADA	nominal	vidyut	genuine-or-ambiguous
AGrAya	disagree	AGra	AGrA	nominal	dcs	genuine-or-ambiguous
ANgam	disagree	aNg	AaYj	finite-verb	vidyut	genuine-or-ambiguous
ANkta	disagree	aYj	AYj	finite-verb	dcs	genuine-or-ambiguous
AQakI	disagree	AQaka	AQakI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
AQakyAm	disagree	AQaka	AQakI	nominal	dcs	genuine-or-ambiguous
ASAsti	disagree	ASAsti	ASAs	iic-compound|nominal	dcs	stem-granularity
ASIs	disagree	ASis	ASI	nominal	dcs	genuine-or-ambiguous
ASaMsA	disagree	ASaMsa	ASaMsA	nominal	dcs	genuine-or-ambiguous
ASaMsAyAm	disagree	ASaMsa	ASaMsA	nominal	dcs	genuine-or-ambiguous
ASaMsa	disagree	ASaMsa	ASaMs	iic-compound|nominal	dcs	stem-granularity
ASaMsam	disagree	ASaMsa	ASaMsA	nominal	dcs	genuine-or-ambiguous
