layer	n_unique	in_mw72	in_mw99	new_in_mw99	new_via_annexure	new_via_main	skipped_by_both
1	1755	342	991	655	281	374	758
2	1464	259	757	502	192	310	703
3	1712	361	1136	778	198	580	573
4	1016	180	669	489	94	395	347
5	2192	564	1568	1013	248	765	615
6	1229	264	808	545	117	428	420
7	13094	2892	8955	6090	1474	4616	4112
