pwkvn_k1	pc	mw_L	mw_pc	in_mw_sup
A	5-248-b	22015	125,2	main
ABAsa	7-318-d	25259	145,2	main
ABIla	5-249-b	25326	145,3	main
ABIra	2-294-a	25317	145,3	main
ABIzaRa	7-318-d	25329	1319,3	sup
ABiSasya	2-294-a	25302	145,3	main
ABicArika	7-318-d	25272	145,2	main
ABijYAnika	1-297-b	25280	1319,3	sup
ABimAnika	7-318-d	25292	145,2	main
ABirAmika	1-297-b	25297	1319,3	sup
ABiyogika	2-294-a	25297	145,3	main
ABoga	1-297-b	25372	146,1	main
ABogin	7-318-d	25377	146,1	sup
ABra	1-297-b	25391	146,1	main
ADAna	2-293-c	24113	138,2	main
ADAraka	1-297-a	24233	139,1	main
ADArin	6-298-a	24234	1319,2	sup
ADArzwya	2-293-c	24237	1319,2	sup
ADItayajus	1-297-a	24192	139,1	main
ADarmika	7-318-a	24094	138,2	main
ADavana	4-296-a	24199	139,1	main
ADikArika	1-297-a	24171	138,3	main
ADitsu	3-255-c	24132	138,3	main
ADomuKya	6-298-a	24256	1319,2	sup
AGUrRana	7-386-c	22801	131,1	main
AGarGaram	1-296-c	22772	1319,1	sup
AGarza	5-248-c	22772	1319,1	sup
AGawwanA	3-255-b	22766	130,3	main
AGoza	3-255-b	22808	131,1	main
AGoziRI	2-293-b	22797	1319,1	sup
AKaRqala	5-248-c	22471	129,1	sup
AKaRqalakakuB	5-248-c	22472	1319,1	sup
AKaRqalasUnu	3-255-b	22475	129,1	main
AKara	3-255-b	22441	129,1	main
AKedana	4-295-c	22494	1319,1	sup
AKida	1-296-c	22482	129,1	main
AKu	5-248-c	22485	129,1	main
AKuhan	6-297-c	22464	1319,1	sup
AKyA	1-296-c	22503	129,1	main
AKyApaka	6-297-c	22520	129,2	main
AKyAtika	3-255-b	22512	129,2	main
ANgirasa	5-248-c	22846	1319,1	sup
ANgirasapavitra	4-296-a	22848	131,2	main
ANgula	6-297-c	22850	1319,1	sup
AQArikA	7-317-c	23287	1319,2	sup
AQaka	3-255-c	23282	134,1	main
AQyacara	2-293-c	23295	134,1	main
AQyapadi	5-248-c	23297	134,1	main
ARqakoSa	2-293-c	23321	1319,2	sup
ARqapIta	5-248-c	23322	1319,2	sup
ASASa	6-298-b	27448	1320,2	sup
ASAmuKa	4-296-b	27446	1320,2	sup
ASApAlIya	7-320-a	27444	1320,2	sup
ASApAla	1-297-c	27443	157,2	main
ASApati	1-297-c	27442	157,2	main
ASApurA	1-297-c	27390	1320,2	sup
ASAsti	3-256-a	27455	1320,2	sup
ASAtanA	2-294-b	27450	1320,2	sup
ASIna	3-256-a	27516	1320,2	sup
ASIviza	7-320-b	27490	157,3	main
ASIvizanadI	7-320-b	27490	1320,2	sup
ASIvizaparvata	7-320-b	27490	1320,2	sup
ASIyas	1-297-c	27567	158,1	main
