hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form
asitavallI	asitavallī	pw	12607	1-149-c	0	89	0		0		0	0		0	0
asmay	asmay	pw	12996	1-154-a	0	75	0		1		1	1	pwg	0	0
asrAy	asrāy	pw	13032	1-154-b	0	68	0		1		0	0		0	0
asraGna	asraghna	pw	13020	1-154-a	0	204	0		0		0	0		0	0
asrakaRWa	asrakaṇṭha	pw	13017	1-154-a	0	80	0		0		5	5	pwg;shs;vcp;wil;yat	0	0
asramAtar	asramātar	pw	13026	1-154-b	0	82	0		0		0	0		0	0
asrareRu	asrareṇu	pw	13027	1-154-b	0	66	0		0		0	0		0	0
astAga	astāga	pw	12837	1-152-b	0	98	0		0	astAGa:1.000	2	1	mw72;pwg	0	0
astAra	astāra	pw	12840	1-152-b	0	63	0		0	AstAra:1.000	0	0		0	0
astamatI	astamatī	pw	12811	1-152-a	0	76	0		0	asamAti:0.933	8	7	bur;mw72;pwg;shs;skd;vcp;wil;yat	0	0
astamitAvavAda	astamitāvavāda	pw	213711	7-315-c	1	119	1	261	0		1	1	sch	0	0
astaraRa	astaraṇa	pw	12825	1-152-a	0	91	0		0	AstaraRa:1.000	2	2	pwg;vcp	0	0
astarkzaRa	astarkṣaṇa	pw	12827	1-152-a	0	72	0		0		2	1	mw72;pwg	0	0
astibala	astibala	pw	12847	1-152-b	0	85	0		0	atibala:0.933	0	0		0	0
astimant	astimant	pw	12848	1-152-b	0	54	0		0	astimat:0.933	1	1	pwg	0	0
astraKadira	astrakhadira	pw	206699	5-248-b	1	124	0		0	asraKadira:0.952	1	1	sch	0	0
asuBagaMBavizRu	asubhagaṃbhaviṣṇu	pw	12682	1-150-c	0	77	0		0		0	0		0	0
asukzaRa	asukṣaṇa	pw	12656	1-150-b	0	70	0		0	asUrkzaRa:0.941	5	4	mw72;pwg;shs;wil;yat	0	0
asurkzaRa	asurkṣaṇa	pw	12715	1-151-a	0	71	0		0	asUrkzaRa:1.000	3	3	pwg;shs;wil	0	0
atalesparSa	atalesparśa	pw	1615.2	1-019-c	0	22	0		0		0	0		0	0
atanavant	atanavant	pw	1595.1	1-019-c	0	22	0		0	atanavat:0.941	0	0		0	0
atfptikft	atṛptikṛt	pw	202054	2-287-c	1	89	0		0		1	1	sch	0	0
atiBavatI	atibhavatī	pw	1898	1-023-a	0	37	0		0		1	1	pwg	0	0
atiSUka	atiśūka	pw	2090	1-025-a	0	65	0		0	atiSukla:0.933	0	0		0	0
atiSUkaja	atiśūkaja	pw	2091	1-025-a	0	75	0		0		0	0		0	0
