hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form
ABIrapallikA	ābhīrapallikā	pw	15098.1	1-179-a	0	23	0		0		2	2	lrv;pwg	0	0
ABizikta	ābhiṣikta	pw	15090	1-178-c	0	56	0		0	aBizikta:1.000	2	2	pwg;vcp	0	0
ADAraRamudra	ādhāraṇamudra	pw	214115	7-318-a	1	118	1	21	0		1	1	sch	0	0
ADArmika	ādhārmika	pw	14553	1-172-a	0	54	0		0	ADarmika:1.000	2	2	bur;pwg	0	0
AKAta	ākhāta	pw	206732	5-248-c	1	76	0		0	aKAta:1.000	9	8	armh;bur;lrv;mw72;pwg;sch;shs;wil;yat	0	0
AKaRqayitar	ākhaṇḍayitar	pw	13549	1-160-b	0	70	0		0		1	1	pwg	0	0
AKuPalA	ākhuphalā	pw	13574	1-160-c	0	119	0		0		1	1	ap	0	0
AKunaKI	ākhunakhī	pw	13571	1-160-c	0	81	0		0		0	0		0	0
APUka	āphūka	pw	15032.1	1-178-b	0	23	0		0		4	3	lrv;mw72;pwg;vcp	0	0
AQakIPala	āḍhakīphala	pw	14007	1-165-c	0	60	0		0		0	0		0	0
AQyaMBAvuka	āḍhyaṃbhāvuka	pw	14016.1	1-165-c	0	23	0		0	AQyamBAvuka:1.000	4	4	ap;ap90;lrv;sch	0	0
AQyaMBavizRu	āḍhyaṃbhaviṣṇu	pw	14016	1-165-c	0	78	0		0	AQyamBavizRu:1.000	4	4	ap;ap90;lrv;pwg	0	0
ARavay	āṇavay	pw	206759	5-248-c	1	129	0		0		2	2	pwg;sch	0	0
ARipratyARInirhArayoga	āṇipratyāṇīnirhārayoga	pw	214004	7-317-c	1	81	1	245,460	0		0	0		0	0
ARqIra	āṇḍīra	pw	14034	1-166-a	1	50	0		0	aRqIra:1.000	11	10	ap;lrv;mw72;pui;pwg;sch;shs;stc;vcp;wil;yat	0	0
ARqIvant	āṇḍīvant	pw	14035.1	1-166-a	0	23	0		0	ARqIvat:0.933	0	0		0	0
ARqIvata	āṇḍīvata	pw	14035	1-166-a	0	87	0		0	ARqIvat:0.933	2	2	pwg;vcp	0	0
ARqavant	āṇḍavant	pw	206761	5-248-c	1	108	0		0		2	2	pwg;sch	0	0
ASApurasaMBava	āśāpurasaṃbhava	pw	16100	1-190-c	0	81	0		0	ASApurasamBava:1.000	0	0		0	0
AScary	āścary	pw	16181	1-191-b	0	53	0		1	AScarya:0.923	2	2	pwg;sch	0	0
ASmaBArika	āśmabhārika	pw	16193	1-191-c	0	87	0		0		2	2	ap;pwg	0	0
ASmaki	āśmaki	pw	16190	1-191-c	0	67	0		0	aSmakI:1.000	1	1	pwg	0	0
ASmanya	āśmanya	pw	16192	1-191-c	0	52	0		0	asAmanya:0.933	2	2	pwg;vcp	0	0
ASudDya	āśuddhya	pw	16157	1-191-b	0	64	0		0	aSudDa:0.923	0	0		0	0
ASukarman	āśukarman	pw	16147	1-191-a	0	66	0		0	aSrukarman:0.947	1	1	pwg	0	0
ASvAvatAna	āśvāvatāna	pw	16269	1-192-c	0	80	0		0	aSvAvatAna:1.000	2	2	pwg;vcp	0	0
ASvatTIya	āśvatthīya	pw	16247	1-192-b	0	56	0		0	aSvatTIya:1.000	1	1	pwg	0	0
ASvatTikIya	āśvatthikīya	pw	16246	1-192-b	0	60	0		0		0	0		0	0
AYjanikya	āñjanikya	pw	13965	1-165-b	0	76	0		0	AjAnikya:0.941	2	2	pwg;vcp	0	0
AcArAtikrama	ācārātikrama	pw	13794	1-163-b	0	69	0		0		2	2	armh;pwg	0	0
AcCAdanaPala	ācchādanaphala	pw	13831	1-163-c	0	84	0		0		0	0		0	0
AcCowa	ācchoṭa	pw	13838	1-164-a	0	92	0		0		1	1	sch	0	0
AdIDyaka	ādīdhyaka	pw	14486	1-171-b	0	98	0		0		1	1	pwg	0	0
AdIDyana	ādīdhyana	pw	14486.1	1-171-b	0	23	0		0	aDIyAna:0.933	0	0		0	0
AdarSamuKa	ādarśamukha	pw	214068	7-317-d	1	115	1	167	0		2	2	bhs;sch	0	0
AdeSanAprAtihArya	ādeśanāprātihārya	pw	214097	7-318-a	1	146	1	16	0		1	1	sch	0	0
Adftatva	ādṛtatva	pw	206785	5-249-a	1	107	0		0		1	1	sch	0	0
Adivfkza	ādivṛkṣa	pw	14474	1-171-a	0	89	0		0		0	0		0	0
AdyavasAna	ādyavasāna	pw	14519	1-171-c	0	102	0		0	aDyavasAna:1.000	0	0		0	0
AgnimAruti	āgnimāruti	pw	13675	1-161-c	0	97	0		1	agnimAruti:1.000	0	0		0	0
Ahananavant	āhananavant	pw	16521	1-196-b	0	71	0		0		1	1	pwg	0	0
AharacelA	āharacelā	pw	16526.1	1-196-b	0	23	0		0		1	1	ap	0	0
AhicCattrIya	āhicchattrīya	pw	16559	1-196-c	0	62	0		0		0	0		0	0
Ahikam	āhikam	pw	16556	1-196-c	0	40	0		1		2	1	mw72;pwg	0	0
AhitTa	āhittha	pw	16567	1-197-a	0	53	0		0		1	1	pwg	0	0
Ahvaray	āhvaray	pw	16614	1-197-b	0	73	0		0	Ahvara:0.923	1	1	pwg	0	0
AjYApanIya	ājñāpanīya	pw	213978	7-317-b	1	112	1	20,27	0		1	1	sch	0	0
AjYeya	ājñeya	pw	213980	7-317-b	1	90	1	20	0	ajYeya:1.000	2	2	bhs;sch	0	0
AjakarORa	ājakarauṇa	pw	13845	1-164-a	0	73	0		0	AjakaroRa:1.000	1	1	pwg	0	0
AjinIya	ājinīya	pw	13895	1-164-b	0	52	0		0		2	2	pwg;vcp	0	0
AkASAsaNgavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	pw	213861	7-316-c	1	133	1	21	0		2	2	bhs;sch	0	0
AkASajananin	ākāśajananin	pw	13412	1-158-c	0	60	0		0	AkASajananI:0.957	5	5	ap;pwg;shs;wil;yat	0	0
AkASapawala	ākāśapaṭala	pw	13415	1-159-a	0	67	0		0		0	0		0	0
AkASasParaRa	ākāśaspharaṇa	pw	213859	7-316-c	1	118	1	21	0		2	2	bhs;sch	0	0
AkArABinirhAra	ākārābhinirhāra	pw	213849	7-316-c	1	100	0		0		2	2	bhs;sch	0	0
AkArAnapakAra	ākārānapakāra	pw	213848	7-316-c	1	119	1	21	0		1	1	sch	0	0
AkArakaraBa	ākārakarabha	pw	13390	1-158-c	0	71	0		0		1	1	sch	0	0
AkArika	ākārika	pw	13394	1-158-c	0	65	0		0	Akarika:1.000	1	1	pwg	0	0
AkalI	ākalī	pw	13370	1-158-b	0	74	0		1	akali:1.000	0	0		0	0
Akampya	ākampya	pw	213834	7-316-b	1	113	1	24	0	akampya:1.000	2	2	bhs;sch	0	0
AkarAkara	ākarākara	pw	13352	1-158-a	0	69	0		0	akzarakara:0.947	0	0		0	0
AkaraRA	ākaraṇā	pw	13350.1	1-158-a	0	23	0		0	AkAraRA:1.000	1	1	ap90	0	0
AkaraRa	ākaraṇa	pw	13350	1-158-a	0	95	0		0	AkAraRa:1.000	2	1	mw72;pwg	0	0
Akfzwimant	ākṛṣṭimant	pw	213868	7-316-c	1	99	1	143	0	Akfzwiman:0.947	2	2	bhs;sch	0	0
AlabDI	ālabdhī	pw	15790.1	1-186-c	0	23	0		1		0	0		0	0
AlabDi	ālabdhi	pw	15790	1-186-c	0	74	0		1		2	2	pwg;vcp	0	0
AlajI	ālajī	pw	15785.1	1-186-c	0	23	0		1	Alaji:1.000	0	0		0	0
AlakzI	ālakṣī	pw	15783.1	1-186-c	0	23	0		1	Alakzi:1.000	0	0		0	0
Alasyavant	ālasyavant	pw	206813	5-249-b	1	95	0		0	Alasyavat:0.947	1	1	sch	0	0
AliNgi	āliṅgi	pw	15850	1-187-c	0	92	0		1	AliNgin:0.923	0	0		0	0
Alindaka	ālindaka	pw	15856.1	1-187-c	0	23	0		0	alindaka:1.000	3	3	pwg;sch;stc	0	0
AmIla	āmīla	pw	15203	1-180-a	0	76	0		1		1	1	pwg	0	0
AmaGnI	āmaghnī	pw	15130	1-179-b	0	66	0		0		0	0		0	0
Amala	āmala	pw	15168	1-179-c	0	81	0		0	amala:1.000	2	2	pwg;sch	0	0
Amantrayitar	āmantrayitar	pw	15145	1-179-b	0	78	0		0		1	1	pwg	0	0
AmapattrikA	āmapattrikā	pw	15150	1-179-c	0	77	0		0		0	0		0	0
AmiDI	āmidhī	pw	15193	1-180-a	0	129	0		0		0	0		0	0
AmizakiMcitka	āmiṣakiṃcitka	pw	214234	7-319-a	1	138	1	261,26	0		1	1	sch	0	0
AmraganDaDfk	āmragandhadhṛk	pw	15248.2	1-180-c	0	23	0		0		0	0		0	0
AmraganDaDft	āmragandhadhṛt	pw	15248.3	1-180-c	0	23	0		0		0	0		0	0
AmraganDakft	āmragandhakṛt	pw	15248.1	1-180-c	0	23	0		0		0	0		0	0
AmratIrTa	āmratīrtha	pw	214246	7-319-a	1	115	1	167	0		2	2	bhs;sch	0	0
AmuzyakulIna	āmuṣyakulīna	pw	15213	1-180-a	0	42	0		0		1	1	vcp	0	0
Amuzyakulaka	āmuṣyakulaka	pw	15212	1-180-a	0	115	0		0		3	2	mw72;pwg;vcp	0	0
Amuzyaputraka	āmuṣyaputraka	pw	15214	1-180-a	0	115	0		0	AmuzyaputrikA:0.923	1	1	pwg	0	0
AnApAnasmfti	ānāpānasmṛti	pw	214136	7-318-b	1	121	1	53	0		1	1	sch	0	0
Anaki	ānaki	pw	14611	1-172-c	0	34	0		1		0	0		0	0
Anayuga	ānayuga	pw	14697	1-173-c	0	57	0		0		1	1	pwg	0	0
AntarAhati	āntarāhati	pw	14811	1-175-a	0	105	0		0		0	0		0	0
AntarIpa	āntarīpa	pw	14813	1-175-a	0	69	0		0	antarIpa:1.000	0	0		0	0
Anulepika	ānulepika	pw	14768	1-174-b	0	58	0		0	anulepikA:1.000	4	4	ap;ap90;pwg;vcp	0	0
Anumati	ānumati	pw	14759	1-174-b	0	102	0		1	anumati:1.000	0	0		0	0
Anuseya	ānuseya	pw	14788	1-174-c	0	89	0		0	anusEnya:0.933	1	1	pwg	0	0
AnuzaRqaka	ānuṣaṇḍaka	pw	14780.1	1-174-c	0	23	0		0		0	0		0	0
ApAri	āpāri	pw	14929	1-177-a	0	95	0		0	apARi:1.000	0	0		0	0
Apaccika	āpaccika	pw	14852	1-176-b	0	69	0		0		3	3	ap;pwg;vcp	0	0
Apakziti	āpakṣiti	pw	14849	1-176-b	0	102	0		0		2	2	pwg;vcp	0	0
Apanika	āpanika	pw	14880	1-176-c	0	143	0		0	apAnika:1.000	7	6	lrv;mw72;pwg;shs;vcp;wil;yat	0	0
ApiSalyA	āpiśalyā	pw	14942	1-177-a	0	52	0		0	ApiSala:0.933	0	0		0	0
ArAkara	ārākara	pw	15467	1-183-a	0	65	0		0	agrakara:0.933	0	0		0	0
ArAmavallikA	ārāmavallikā	pw	15495	1-183-b	0	91	0		0		0	0		0	0
ArDadroRika	ārdhadroṇika	pw	15674.3	1-185-b	0	23	0		0	ArDadrORika:1.000	0	0		0	0
ArDapura	ārdhapura	pw	15679	1-185-c	0	80	0		0	arDapUrRa:0.941	1	1	pwg	0	0
ArDavAhanika	ārdhavāhanika	pw	15684	1-185-c	0	69	0		0		1	1	pwg	0	0
ArDavAhika	ārdhavāhika	pw	15685	1-185-c	0	112	0		0		0	0		0	0
ArISvIya	ārīśvīya	pw	15514	1-183-c	0	81	0		0		0	0		0	0
ArIhaRaka	ārīhaṇaka	pw	15515	1-183-c	0	88	0		0		2	2	pwg;vcp	0	0
AraRyamudrA	āraṇyamudrā	pw	15431	1-182-c	0	78	0		0		0	0		0	0
AragvAyanabanDakI	āragvāyanabandhakī	pw	15410	1-182-b	0	76	0		0		1	1	pwg	0	0
ArambaRaka	ārambaṇaka	pw	214284	7-319-b	1	95	1	226	0		2	2	bhs;sch	0	0
AramuKI	āramukhī	pw	15448	1-183-a	0	90	0		0		0	0		0	0
Araraka	āraraka	pw	15460	1-183-a	0	55	0		0	ararakA:1.000	1	1	pwg	0	0
Ararakya	ārarakya	pw	15461	1-183-a	0	70	0		0	ararakA:0.933	1	1	pwg	0	0
Arcana	ārcana	pw	15599	1-184-c	0	80	0		0	arcana:1.000	0	0		0	0
ArdrapadI	ārdrapadī	pw	15657	1-185-b	0	71	0		1		2	2	ap;vcp	0	0
ArhantI	ārhantī	pw	15777	1-186-c	0	104	0		0	ahanti:0.923	4	4	ap;lrv;pwg;vcp	0	0
Ari	āri	pw	214296	7-319-b	1	104	0		1	ARi:1.000	1	1	sch	0	0
AriSmIya	āriśmīya	pw	15511	1-183-c	0	82	0		0		1	1	pwg	0	0
ArikA	ārikā	pw	15506	1-183-c	0	62	0		0		1	1	sch	0	0
ArizwIya	āriṣṭīya	pw	15512	1-183-c	0	54	0		0		0	0		0	0
Arjawa	ārjaṭa	pw	15606	1-184-c	0	92	0		0		0	0		0	0
Arji	ārji	pw	15610	1-184-c	0	38	0		0		1	1	pwg	0	0
ArjunAda	ārjunāda	pw	15614	1-184-c	0	133	0		0		0	0		0	0
ArjunAvaka	ārjunāvaka	pw	15617	1-184-c	0	75	0		0		1	1	pwg	0	0
Arohavant	ārohavant	pw	15578	1-184-b	0	54	0		0		1	1	pwg	0	0
AryaSis	āryaśis	pw	15739	1-186-b	0	66	0		0		1	1	pwg	0	0
AryaSveta	āryaśveta	pw	15741	1-186-b	0	94	0		0	aryaSveta:1.000	1	1	pwg	0	0
AryabrahmaviSezacittaparipfcCA	āryabrahmaviśeṣacittaparipṛcchā	pw	214332	7-319-c	1	115	1	65	0		1	1	sch	0	0
AryasTAna	āryasthāna	pw	15749	1-186-b	0	67	0		0	AyasTAna:0.941	0	0		0	0
ArzamBya	ārṣambhya	pw	15768	1-186-c	0	94	0		0	ArzaBya:0.933	0	0		0	0
Arzika	ārṣika	pw	15769	1-186-c	0	68	0		0	Arzikya:0.923	1	1	pwg	0	0
AsParaRakasamADi	āspharaṇakasamādhi	pw	214470	7-320-c	1	131	1	67	0		2	2	bhs;sch	0	0
Asevitin	āsevitin	pw	16425	1-195-a	0	59	0		0		1	1	pwg	0	0
AsibanDaki	āsibandhaki	pw	16388.1	1-194-c	0	23	0		0		1	1	vcp	0	0
AsrAyaRa	āsrāyaṇa	pw	16500	1-196-a	0	71	0		0	ASrayaRa:1.000	1	1	pwg	0	0
AstIkArTada	āstīkārthada	pw	16448	1-195-b	0	109	0		0	AstikArTada:1.000	0	0		0	0
AsurAhati	āsurāhati	pw	16410	1-195-a	0	104	0		0		0	0		0	0
AsutIya	āsutīya	pw	16403	1-195-a	0	51	0		0		1	1	pwg	0	0
Asutimant	āsutimant	pw	16402	1-195-a	0	68	0		0	Asutimat:0.941	1	1	pwg	0	0
AsyaPala	āsyaphala	pw	16488	1-196-a	0	86	0		0	ASApAla:0.933	0	0		0	0
Asyandanavant	āsyandanavant	pw	16484	1-196-a	0	63	0		0		0	0		0	0
Asyapuzpa	āsyapuṣpa	pw	16487	1-196-a	0	77	0		0		0	0		0	0
AtaNkaka	ātaṅkaka	pw	14040	1-166-a	0	61	0		0		0	0		0	0
Atapatraka	ātapatraka	pw	14054	1-166-b	0	53	0		0		4	4	pwg;shs;wil;yat	0	0
AtapatrapattrA	ātapatrapattrā	pw	14055	1-166-b	0	88	0		0		0	0		0	0
AtaptakArin	ātaptakārin	pw	214011	7-317-c	1	106	1	98	0		2	2	bhs;sch	0	0
AtiSvAyana	ātiśvāyana	pw	14098	1-166-c	0	57	0		0	AtisvAyana:1.000	2	2	pwg;vcp	0	0
Atmacintana	ātmacintana	pw	14148	1-167-b	0	72	0		0		0	0		0	0
AtmaganDaka	ātmagandhaka	pw	14140	1-167-b	0	69	0		0		0	0		0	0
AtmaganDiharidrA	ātmagandhiharidrā	pw	14141	1-167-b	0	92	0		0	AmraganDiharidrA:0.938	0	0		0	0
AvAsita	āvāsita	pw	15974	1-189-b	0	67	0		0	Avasita:1.000	1	1	pwg	0	0
AvAya	āvāya	pw	15969	1-189-b	0	58	0		0	Avaya:1.000	1	1	pwg	0	0
AvantyaSmaka	āvantyaśmaka	pw	15909	1-188-b	0	147	0		0	avantyaSmaka:1.000	0	0		0	0
AvapanizkirA	āvapaniṣkirā	pw	15912	1-188-b	0	84	0		0		2	2	pwg;vcp	0	0
AvartamaRi	āvartamaṇi	pw	15941	1-188-c	0	95	0		0		0	0		0	0
AvartapUlikA	āvartapūlikā	pw	15940	1-188-c	0	95	0		0		0	0		0	0
AvawyAyanI	āvaṭyāyanī	pw	15897	1-188-a	0	69	0		0	avawyAyanI:1.000	0	0		0	0
AvayAsIya	āvayāsīya	pw	15922	1-188-b	0	104	0		0		0	0		0	0
AvayAtaka	āvayātaka	pw	15921	1-188-b	0	101	0		0		0	0		0	0
Avevyaka	āvevyaka	pw	16036	1-190-a	0	70	0		0		1	1	pwg	0	0
AvezaRa	āveṣaṇa	pw	16041	1-190-a	0	71	0		0	anvezaRa:0.933	0	0		0	0
AvizpIta	āviṣpīta	pw	16009	1-189-c	0	72	0		0		0	0		0	0
AwarUzaka	āṭarūṣaka	pw	13978.2	1-165-b	0	23	0		0		3	3	armh;sch;stc	0	0
Awaru	āṭaru	pw	13978	1-165-b	0	106	0		0		0	0		0	0
Awavakayakza	āṭavakayakṣa	pw	213992	7-317-b	1	133	1	169	0		1	1	sch	0	0
AyAvasIya	āyāvasīya	pw	15323	1-181-b	0	135	0		0		0	0		0	0
AyaHSulika	āyaḥśulika	pw	15306	1-181-b	0	108	0		0	AyaHSUlika:1.000	0	0		0	0
AyuDi	āyudhi	pw	15345	1-181-c	0	114	0		1		0	0		0	0
AyuDya	āyudhya	pw	15347	1-181-c	0	82	0		0	ayuDya:1.000	2	2	pwg;vcp	0	0
Ayuzay	āyuṣay	pw	15367	1-182-a	0	63	0		1	Ayuzaya:0.923	1	1	pwg	0	0
AzAQapUrvaja	āṣāḍhapūrvaja	pw	16290	1-193-a	0	73	0		0		0	0		0	0
AzwamAtura	āṣṭamātura	pw	16303	1-193-a	0	64	0		0		1	1	pwg	0	0
Azwi	āṣṭi	pw	16306	1-193-a	0	64	0		0	azwi:1.000	1	1	pwg	0	0
BAHKara	bhāḥkhara	pw	79243	4-257-b	0	84	0		0	BAHkara:1.000	2	1	mw72;pwg	0	0
BAHPeru	bhāḥpheru	pw	79243.2	4-257-b	0	23	0		0		0	0		0	0
BAHkaraRa	bhāḥkaraṇa	pw	79241	4-257-a	0	57	0		0		1	1	pwg	0	0
BAHpati	bhāḥpati	pw	79243.1	4-257-b	0	23	0		0	Bapati:0.923	0	0		0	0
BARqalI	bhāṇḍalī	pw	79361.1	4-259-a	0	23	0		0		0	0		0	0
BARqala	bhāṇḍala	pw	79361	4-259-a	0	60	0		0		2	2	pwg;vcp	0	0
BARqava	bhāṇḍava	pw	79362	4-259-a	0	53	0		0	BaRqatva:0.933	2	2	pwg;vcp	0	0
BAgamAtar	bhāgamātar	pw	79267	4-257-c	0	77	0		0		1	1	pwg	0	0
BAjanavant	bhājanavant	pw	79333	4-258-c	0	70	0		0	BAjanavat:0.947	1	1	pwg	0	0
BAkuwa	bhākuṭa	pw	79244	4-257-b	0	64	0		0	BAkUwa:1.000	3	2	mw72;pwg;vcp	0	0
BAnuBawwa	bhānubhaṭṭa	pw	79415	4-259-c	0	67	0		0		2	2	acc;pwg	0	0
BAtkUwa	bhātkūṭa	pw	207986	5-262-b	1	104	0		0	BAkUwa:0.923	1	1	sch	0	0
BAvaBawa	bhāvabhaṭa	pw	220158	7-365-b	1	120	1	177,7	0	BAvaBawwa:0.941	1	1	sch	0	0
BUmant	bhūmant	pw	80491	4-278-b	0	52	0		0		2	2	pwg;sch	0	0
BUmimant	bhūmimant	pw	80557	4-279-a	0	58	0		0	BUmimat:0.933	1	1	pwg	0	0
BUmisaMBavA	bhūmisaṃbhavā	pw	80571	4-279-b	0	75	0		0	BUmisamBavA:1.000	3	3	ap;lrv;pwg	0	0
BUnetar	bhūnetar	pw	80449	4-277-c	0	53	0		0		1	1	pwg	0	0
BaNkArI	bhaṅkārī	pw	78509	4-245-b	0	47	0		0	bakAri:0.923	8	7	ap;mw72;pwg;shs;skd;vcp;wil;yat	0	0
BadrAyanIya	bhadrāyanīya	pw	78785.1	4-250-a	0	23	0		0	BadrayAnIya:1.000	0	0		0	0
BadrAyana	bhadrāyana	pw	78785	4-250-a	0	101	0		0	BadrayAna:1.000	0	0		0	0
BadramAtar	bhadramātar	pw	78725	4-249-b	0	56	0		0		1	1	pwg	0	0
BallAtakI	bhallātakī	pw	79014.2	4-253-c	0	23	0		1		2	2	sch;skd	0	0
Banda	bhanda	pw	207974	5-262-a	1	58	0		1	BAnda:1.000	2	2	sch;vcp	0	0
Bar	bhar	pw	78865	4-251-c	0	95	0		1	BaR:1.000	4	4	ccs;fri;pwg;sch	0	0
BarS	bharś	pw	78989	4-253-b	0	54	0		0		2	1	mw72;pwg	0	0
BaraRy	bharaṇy	pw	78879	4-252-a	0	51	0		1	BaraRya:0.923	1	1	pwg	0	0
Bedura	bhedura	pw	80888	4-283-c	0	50	0		0		8	7	ap90;lrv;mw72;pwg;shs;vcp;wil;yat	0	0
BeraRqa	bheraṇḍa	pw	80898	4-283-c	0	65	0		0		4	4	ben;bhs;pwg;stc	0	0
BfRIy	bhṛṇīy	pw	80820	4-282-b	0	52	0		1		1	1	pwg	0	0
BfSI	bhṛśī	pw	80849	4-282-c	0	60	0		1	bfsI:1.000	1	1	pui	0	0
BiRqamAla	bhiṇḍamāla	pw	79797	4-265-c	0	80	0		0		0	0		0	0
BiRqipAla	bhiṇḍipāla	pw	220167	7-365-b	1	91	1	238,33	0		2	2	bhs;sch	0	0
Bikzy	bhikṣy	pw	79795	4-265-c	0	52	0		1		1	1	pwg	0	0
BindamAla	bhindamāla	pw	79818.1	4-267-a	0	23	0		0		0	0		0	0
BindapAla	bhindapāla	pw	79818	4-267-a	0	73	0		0		5	4	bur;mw72;pwg;wil;yat	0	0
BindumAla	bhindumāla	pw	79821	4-267-a	0	67	0		0		0	0		0	0
BizaNmAtar	bhiṣaṅmātar	pw	79884	4-267-c	0	130	0		0		1	1	pwg	0	0
BogAvatI	bhogāvatī	pw	81027	4-285-b	0	71	0		0	BogavatI:1.000	1	1	pwg	0	0
Bogaka	bhogaka	pw	80993	4-285-a	0	64	0		0	BOgaka:1.000	2	2	pwg;vcp	0	0
Bojaduhitar	bhojaduhitar	pw	81053	4-285-c	0	79	0		0		1	1	pwg	0	0
Bojam	bhojam	pw	81081	4-286-b	0	95	0		1		0	0		0	0
BojyasaMBava	bhojyasaṃbhava	pw	81099	4-286-b	0	52	0		0	BojyasamBava:1.000	2	2	lrv;pwg	0	0
BrAtfSvara	bhrātṛśvara	pw	81272	4-289-c	0	70	0		0		0	0		0	0
BrAturjAyA	bhrāturjāyā	pw	81245	4-289-b	0	60	0		0		2	2	lrv;pwg	0	0
BrAtuzputra	bhrātuṣputra	pw	81246	4-289-b	0	61	0		0		2	2	pwg;vcp	0	0
BrENgarika	bhraiṅgarika	pw	81338	4-290-c	0	58	0		0		2	2	bhs;pwg	0	0
BrUkuwi	bhrūkuṭi	pw	81314	4-290-b	0	73	0		1	BrUkuwI:1.000	7	7	ben;lrv;pwg;sch;shs;wil;yat	0	0
BrUkuwika	bhrūkuṭika	pw	220249	7-366-a	1	113	1	126,56	0		2	2	bhs;sch	0	0
BraMSakalA	bhraṃśakalā	pw	81162	4-287-c	0	70	0		0		2	2	pwg;vcp	0	0
BramAy	bhramāy	pw	81209	4-289-a	0	84	0		1	BramAya:0.923	1	1	pwg	0	0
BramatkuwI	bhramatkuṭī	pw	81185	4-288-c	0	85	0		1	Bramatkuwi:1.000	9	9	ap;ben;lrv;pwg;shs;skd;vcp;wil;yat	0	0
Braq	bhraḍ	pw	81177	4-288-a	0	48	0		0		1	1	pwg	0	0
BujaMgadamaMnI	bhujaṃgadamaṃnī	pw	80071	4-270-c	0	75	0		0	BujaMgadamanI:0.963	0	0		0	0
Buktvasuhita	bhuktvasuhita	pw	80042	4-270-a	0	74	0		0	BuktvAsuhita:1.000	0	0		0	0
BuvaMmanya	bhuvaṃmanya	pw	80191	4-272-a	0	40	0		0		1	1	pwg	0	0
CAgaBojin	chāgabhojin	pw	41024	2-243-b	0	69	0		0		7	7	ap;lrv;pwg;shs;vcp;wil;yat	0	0
CAyABartar	chāyābhartar	pw	41094	2-244-a	0	66	0		0		0	0		0	0
CaRqikAvArika	chaṇḍikāvārika	pw	217394	7-342-b	1	120	1	274,20	0		1	1	sch	0	0
CandadAyaka	chandadāyaka	pw	217405	7-342-b	1	112	1	281,207	0		1	1	sch	0	0
CandapariSudDi	chandapariśuddhi	pw	217406	7-342-b	1	119	1	265,19	0		1	1	sch	0	0
CandapratyudDAra	chandapratyuddhāra	pw	217407	7-342-b	1	147	1	261,57	0		1	1	sch	0	0
CandavAsin	chandavāsin	pw	217408	7-342-b	1	123	1	281,248	0		1	1	sch	0	0
CardApanikA	chardāpanikā	pw	40985	2-242-c	0	81	0		0	CardApanIkA:1.000	2	1	mw72;pwg	0	0
Carp	charp	pw	40994	2-242-c	0	67	0		0		1	1	pwg	0	0
Cepya	chepya	pw	41196	2-246-a	0	32	0		0		1	1	pwg	0	0
CidrAnta	chidrānta	pw	41135	2-245-a	0	68	0		0	CidrAntar:0.941	0	0		0	0
CidrApay	chidrāpay	pw	41136	2-245-a	0	51	0		1	CidrApaya:0.941	1	1	pwg	0	0
Cinnaplotika	chinnaplotika	pw	217426	7-342-c	1	111	1	63,27	0		1	1	sch	0	0
DAnyakozWaka	dhānyakoṣṭhaka	pw	55163	3-157-a	0	56	0		0	DAnyakozwaka:1.000	6	6	armh;lrv;pwg;shs;vcp;wil	0	0
DAnyamAtar	dhānyamātar	pw	55180	3-157-b	0	83	0		0		1	1	pwg	0	0
DArAkadambaka	dhārākadambaka	pw	55275	3-158-c	0	72	0		0		4	4	bur;shs;wil;yat	0	0
DAritaka	dhāritaka	pw	55320.1	3-159-a	0	23	0		0		0	0		0	0
DAtuBat	dhātubhat	pw	55083	3-156-b	0	45	0		0		0	0		0	0
DAtusaMBava	dhātusaṃbhava	pw	55110	3-156-b	0	35	0		0	DAtusamBava:1.000	2	2	lrv;pwg	0	0
DAyaka	dhāyaka	pw	55232	3-157-c	0	62	0		0	dAyaka:1.000	3	3	ap;ap90;pwg	0	0
DOtakOSoya	dhautakauśoya	pw	55830.1	3-167-b	0	23	0		0		0	0		0	0
DUHpati	dhūḥpati	pw	55516	3-163-b	0	50	0		0		1	1	pwg	0	0
DUlaka	dhūlaka	pw	55680	3-165-b	0	44	0		0		8	7	bur;lrv;mw72;pwg;shs;vcp;wil;yat	0	0
DUrpati	dhūrpati	pw	55669	3-165-b	0	50	0		0		1	1	pwg	0	0
DUrvant	dhūrvant	pw	55673	3-165-b	0	50	0		0	durvAnta:0.933	1	1	pwg	0	0
DUsI	dhūsī	pw	55705	3-165-c	0	47	0		1		2	2	pwg;vcp	0	0
DUstarA	dhūstarā	pw	55706	3-165-c	0	64	0		0	dustara:1.000	2	2	pwg;vcp	0	0
DanAka	dhanāka	pw	54437	3-141-b	0	90	0		0	DAnAka:1.000	1	1	pwg	0	0
DanIy	dhanīy	pw	54464	3-141-c	0	61	0		1		2	2	ccs;pwg	0	0
Dananetar	dhananetar	pw	54395	3-141-a	0	68	0		0		0	0		0	0
DanuzkalApaka	dhanuṣkalāpaka	pw	218426	7-350-b	1	108	1	217,33	0		2	2	bhs;sch	0	0
DanuzketakI	dhanuṣketakī	pw	218427	7-350-b	1	111	1	240,34	0	DanuketakI:0.952	2	2	bhs;sch	0	0
