hw_slp1	iast	dcs_band	bhs_class	bhs_L	bhs_pc	bhs_mvy_refs	pw_mahavy_refs	corr_n	corr_dicts	evidence	proposed_action
EhipaSyika	aihipaśyika	0	full	4169	158,2	1296	63	2	bhs;sch	B:EzAvIra	add-entry
Gowakamfga	ghoṭakamṛga	0	full	5980	220,2	4798	213,29	2	bhs;sch	B:GftAhuti	add-entry
KAdyakacAraka	khādyakacāraka	0	full	5503	205,1	9059	274,4	2	bhs;sch	B:KAdanIya;B:KAnam	add-entry
KaYjAhva	khañjāhva	0	full	5426	202,2	4911	213,140	2	bhs;sch	B:KaYja;B:KawakA	add-entry
KalupaScAdBaktika	khalupaścādbhaktika	0	full	5483	204,1	1133	49	2	bhs;sch	B:Kalu;A:KalekapotanyAya	add-entry
KamBIrapati	khambhīrapati	0	full	5460	203,2	3702	186,33	2	bhs;sch	A:KanyavAdin;B:Karajru	add-entry
UrDvaBAgIya	ūrdhvabhāgīya	0	full	3976	150,2	2155	109	2	bhs;sch	A:UrDvaBAgahara;B:UrDvaBAsin	add-entry
aBilapanatA	abhilapanatā	0	full	1618	056,1	2795	138	2	bhs;sch	B:aBilakzaRa;B:aBilazaRa	add-entry
aBisamitAvin	abhisamitāvin	0	full	1677	058,2	2884	142	2	bhs;sch		add-entry
aNgadinna	aṅgadinna	0	full	158	006,1			2	bhs;sch		add-entry
aNgulIPaRahastaka	aṅgulīphaṇahastaka	0	full	174	006,1	8776		2	bhs;sch	B:aNgulivezwaka;A:aNgulIBaNga	add-entry
aSuBaBAvanA	aśubhabhāvanā	0	full	2318	080,1	1155; 1156—64; 4; 1; 2; 3; 5; 6; 7; 9; 8; 7	52	2	bhs;sch	A:aSuBacintaka	add-entry
abahumAna	abahumāna	0	full	1443	049,2			2	bhs;sch		add-entry
akOsIdya	akausīdya	0	full	52	002,2			2	bhs;sch	B:akOSala;A:akkA	add-entry
alpotsuka	alpotsuka	0	full	2015	069,1			2	bhs;sch	B:alpeSAKya;B:avaka	add-entry
amanasikAra	amanasikāra	0	full	1779	062,2		68	2	bhs;sch		add-entry
anAdarSaka	anādarśaka	0	full	656	022,2			2	bhs;sch		add-entry
anAkftsnagatA	anākṛtsnagatā	0	full	641	022,1			2	bhs;sch	B:anAkula	add-entry
anaBilapya	anabhilapya	0	full	596	020,2			2	bhs;sch	B:anaBilakzita	add-entry
anaDimUrCita	anadhimūrchita	0	full	528	019,2			2	bhs;sch	B:anaDikArin	add-entry
apratiSaraRa	apratiśaraṇa	0	full	1393	048,1		63	2	bhs;sch	B:apratiSAsana	add-entry
apratipudgala	apratipudgala	0	full	1380	047,2	42	1	2	bhs;sch	B:apratipatti	add-entry
apratyudAvartya	apratyudāvartya	0	full	1413	048,2	357	278	2	bhs;sch	A:apratyutTAyuka	add-entry
apratyudDArya	apratyuddhārya	0	full	1414	048,2		278	2	bhs;sch	A:aptur	add-entry
araRasamavasaraRa	araṇasamavasaraṇa	0	full	1868	065,1	617	21	2	bhs;sch	B:araqA;A:araRAvihArin	add-entry
arajovirajonayayukta	arajovirajonayayukta	0	full	1866	064,2	616	21	2	bhs;sch	A:arajovittA	add-entry
aravAqa	aravāḍa	0	full	1878	065,1	3282	167	2	bhs;sch	B:arare	add-entry
asaMprajanya	asaṃprajanya	0	full	2430	083,2	1978	104	2	bhs;sch		add-entry
avalokitalakzmI	avalokitalakṣmī	0	full	2161	074,2			2	bhs;sch	A:avalokanaka;A:avalopa	add-entry
avaraBAgIya	avarabhāgīya	0	full	2135	073,2	2156	109	2	bhs;sch	B:avaratas	add-entry
avaragodAnIya	avaragodānīya	0	full	2134	073,2		154	2	bhs;sch	B:avara	add-entry
avirajas	avirajas	0	full	2257	078,1	8195	251	2	bhs;sch	B:avimokza;B:avirata	add-entry
boDipakzanirdeSa	bodhipakṣanirdeśa	0	full	11018	402,2	1382	65,57	2	bhs;sch	B:boDicittavivaraRa;B:boDisattvacaryA	add-entry
cApodara	cāpodara	0	full	6199	227,2	5207	223,133	2	bhs;sch	B:cApaveda;B:cAmara	add-entry
cakawi	cakaṭi	0	full	5995	221,1			2	bhs;sch	B:GrA	add-entry
catuzkumBikA	catuṣkumbhikā	0	full	6067	223,2	9311	281,111	2	bhs;sch	B:catuzkizku;B:catuzpaTa	add-entry
ekAvacAraka	ekāvacāraka	0	full	4084	154,2	7615; 7615	245,1027	2	bhs;sch	A:ekArzeya	add-entry
ekavIcika	ekavīcika	0	full	4058	153,2	1013	46	2	bhs;sch	A:ekavfkzIya	add-entry
eqAkzipuzpa	eḍākṣipuṣpa	0	full	4102	155,1	6177		2	bhs;sch	B:eRaka	add-entry
eqameqa	eḍameḍa	0	crossref	4101	155,1			2	bhs;sch	B:eqa	add-entry
fRaDara	ṛṇadhara	0	full	3997	151,1			2	bhs;sch	B:fRa	add-entry
gamBIraGozasvaranAdita	gambhīraghoṣasvaranādita	0	full	5666	210,1	686	23,42	2	bhs;sch	B:gamBara	add-entry
gocarapariSudDa	gocarapariśuddha	0	full	5841	215,2	1376	65,51	2	bhs;sch	A:gocara	add-entry
indraSrI	indraśrī	0	full	3171	115,1			2	bhs;sch	B:indrasava	add-entry
