layer	entries_unique	in_pw_main_body	new_headword	hom_tagged	in_mw72	in_mw99	skipped_by_both
sup_1	1755	765	990	62	342	991	758
sup_2	1464	530	934	40	259	757	703
sup_3	1712	707	1005	70	361	1136	573
sup_4	1016	359	657	45	180	669	347
sup_5	2192	1056	1136	140	564	1568	615
sup_6	1229	522	707	70	264	808	420
sup_7	13094	4688	8406	541	2892	8955	4112
