safety	dcs_band	slp1	iast	in_catalan	in_huet
DCS-only	3	aByasUy	abhyasūy		
DCS-only	3	aByudyA	abhyudyā		
DCS-only	3	aByupAgam	abhyupāgam		
DCS-only	3	aDaHpAtanayantra	adhaḥpātanayantra		
DCS-only	3	aDyAhf	adhyāhṛ		
DCS-only	3	aMSikA	aṃśikā		
DCS-only	3	acintayat	acintayat		
DCS-only	3	acintayitvA	acintayitvā		
DCS-only	3	adravyavat	adravyavat		
DCS-only	3	ahaMSabda	ahaṃśabda		
DCS-only	3	anaBizyandin	anabhiṣyandin		
DCS-only	3	anasUyat	anasūyat		
DCS-only	3	anuprASana	anuprāśana		
DCS-only	3	anusnAna	anusnāna		
DCS-only	3	arDarcaSaH	ardharcaśaḥ		
DCS-only	3	arTatA	arthatā		
DCS-only	3	aryaputra	aryaputra		
DCS-only	3	asamBrAnta	asambhrānta		
DCS-only	3	asmAhaka	asmāhaka		
DCS-only	3	atipravfD	atipravṛdh		
DCS-only	3	atyakta	atyakta		
DCS-only	3	avijita	avijita		
DCS-only	3	ayakzman	ayakṣman		
DCS-only	3	azwAdaSaviDa	aṣṭādaśavidha		
DCS-only	3	azwAviMSat	aṣṭāviṃśat		
DCS-only	3	azwottaraSata	aṣṭottaraśata		
DCS-only	3	azwottarasahasra	aṣṭottarasahasra		
DCS-only	3	badbaD	badbadh		
DCS-only	3	bahurUpI	bahurūpī		
DCS-only	3	balAtEla	balātaila		
DCS-only	3	balivasA	balivasā		
DCS-only	3	bfhattara	bṛhattara		
DCS-only	3	bilvAdi	bilvādi		
DCS-only	3	bola	bola		
DCS-only	3	budDavarman	buddhavarman		
DCS-only	3	caN	caṅ		
DCS-only	3	caSabda	caśabda		
DCS-only	3	candrahAsya	candrahāsya		
DCS-only	3	candrodaka	candrodaka		
DCS-only	3	capalatva	capalatva		
DCS-only	3	carkar	carkar		
DCS-only	3	catuzpala	catuṣpala		
DCS-only	3	cekit	cekit		
DCS-only	3	cetasya	cetasya		
DCS-only	3	ciR	ciṇ		
DCS-only	3	cullikA	cullikā		
DCS-only	3	cvi	cvi		
DCS-only	3	dIpikAyantra	dīpikāyantra		
DCS-only	3	dIrGaMjIvitIya	dīrghaṃjīvitīya		
DCS-only	3	darSivat	darśivat		
DCS-only	3	dardar	dardar		
DCS-only	3	davidyut	davidyut		
DCS-only	3	dedIpy	dedīpy		
DCS-only	3	devadeveSI	devadeveśī		
DCS-only	3	dfQodyama	dṛḍhodyama		
DCS-only	3	dfkkriyA	dṛkkriyā		
DCS-only	3	doDUy	dodhūy		
DCS-only	3	dolikAyantra	dolikāyantra		
DCS-only	3	drutadrAva	drutadrāva		
DCS-only	3	drutasUta	drutasūta		
DCS-only	3	dugDaka	dugdhaka		
DCS-only	3	dvEDIkAra	dvaidhīkāra		
DCS-only	3	dvaMdvamelApaka	dvaṃdvamelāpaka		
DCS-only	3	dvandvamelApa	dvandvamelāpa		
DCS-only	3	ekaguRa	ekaguṇa		
DCS-only	3	ekonapaYcASat	ekonapañcāśat		
DCS-only	3	ekonatriMSat	ekonatriṃśat		
DCS-only	3	ekonaviMSa	ekonaviṃśa		
DCS-only	3	eraRqIsaMgama	eraṇḍīsaṃgama		
DCS-only	3	fkzaSfNga	ṛkṣaśṛṅga		
DCS-only	3	fzidattA	ṛṣidattā		
DCS-only	3	gArA	gārā		
DCS-only	3	gaNgadattA	gaṅgadattā		
DCS-only	3	ganDakatEla	gandhakataila		
DCS-only	3	garBavat	garbhavat		
DCS-only	3	garBayantra	garbhayantra		
DCS-only	3	gartaka	gartaka		
DCS-only	3	giriRqa	giriṇḍa		
DCS-only	3	girisindUra	girisindūra		
DCS-only	3	grAsamAna	grāsamāna		
DCS-only	3	haMsapAka	haṃsapāka		
DCS-only	3	hantama	hantama		
DCS-only	3	hemABra	hemābhra		
DCS-only	3	hemarAji	hemarāji		
DCS-only	3	hitatama	hitatama		
DCS-only	3	hvaya	hvaya		
DCS-only	3	ini	ini		
DCS-only	3	jAjval	jājval		
DCS-only	3	jAtucit	jātucit		
DCS-only	3	jaNGan	jaṅghan		
DCS-only	3	jawAyuza	jaṭāyuṣa		
DCS-only	3	johav	johav		
DCS-only	3	kAdi	kādi		
DCS-only	3	kAntABra	kāntābhra		
DCS-only	3	kArttikaprasaNga	kārttikaprasaṅga		
DCS-only	3	kAzWodumbarikA	kāṣṭhodumbarikā		
DCS-only	3	kacCapayantra	kacchapayantra		
