fem_slp1	fem_iast	masc_slp1	masc_iast	ending
dIpinI	dīpinī	dIpin	dīpin	ī
dantinI	dantinī	dantin	dantin	ī
deSinI	deśinī	deSin	deśin	ī
dehinI	dehinī	dehin	dehin	ī
dvIpinI	dvīpinī	dvIpin	dvīpin	ī
ekAdaSinI	ekādaśinī	ekAdaSin	ekādaśin	ī
gATinI	gāthinī	gATin	gāthin	ī
gAlinI	gālinī	gAlin	gālin	ī
ganDamAlinI	gandhamālinī	ganDamAlin	gandhamālin	ī
ganDinI	gandhinī	ganDin	gandhin	ī
gehinI	gehinī	gehin	gehin	ī
gfhameDinI	gṛhamedhinī	gfhameDin	gṛhamedhin	ī
gulminI	gulminī	gulmin	gulmin	ī
hAsinI	hāsinī	hAsin	hāsin	ī
haMsanAdinI	haṃsanādinī	haMsanAdin	haṃsanādin	ī
haMsinI	haṃsinī	haMsin	haṃsin	ī
halinI	halinī	halin	halin	ī
hastinI	hastinī	hastin	hastin	ī
hiraRyinI	hiraṇyinī	hiraRyin	hiraṇyin	ī
hlAdinI	hlādinī	hlAdin	hlādin	ī
hominI	hominī	homin	homin	ī
hrAdinI	hrādinī	hrAdin	hrādin	ī
hradinI	hradinī	hradin	hradin	ī
jAlakinI	jālakinī	jAlakin	jālakin	ī
jAlinI	jālinī	jAlin	jālin	ī
jalajIvinI	jalajīvinī	jalajIvin	jalajīvin	ī
jvAlinI	jvālinī	jvAlin	jvālin	ī
kAlinI	kālinī	kAlin	kālin	ī
kAminI	kāminī	kAmin	kāmin	ī
kUlinI	kūlinī	kUlin	kūlin	ī
kaNkAlinI	kaṅkālinī	kaNkAlin	kaṅkālin	ī
kaPinI	kaphinī	kaPin	kaphin	ī
kaRwakinI	kaṇṭakinī	kaRwakin	kaṇṭakin	ī
kakudminI	kakudminī	kakudmin	kakudmin	ī
kalApinI	kalāpinī	kalApin	kalāpin	ī
kalyARinI	kalyāṇinī	kalyARin	kalyāṇin	ī
kapAlinI	kapālinī	kapAlin	kapālin	ī
kapardinI	kapardinī	kapardin	kapardin	ī
kapawinI	kapaṭinī	kapawin	kapaṭin	ī
karRinI	karṇinī	karRin	karṇin	ī
keSinI	keśinī	keSin	keśin	ī
kimIdinI	kimīdinī	kimIdin	kimīdin	ī
kledinI	kledinī	kledin	kledin	ī
kroDinI	krodhinī	kroDin	krodhin	ī
kuRqalinI	kuṇḍalinī	kuRqalin	kuṇḍalin	ī
kuRqinI	kuṇḍinī	kuRqin	kuṇḍin	ī
kulAyinI	kulāyinī	kulAyin	kulāyin	ī
kulinI	kulinī	kulin	kulin	ī
kumBinI	kumbhinī	kumBin	kumbhin	ī
kuwumbinI	kuṭumbinī	kuwumbin	kuṭumbin	ī
kuwwinI	kuṭṭinī	kuwwin	kuṭṭin	ī
kzaRinI	kṣaṇinī	kzaRin	kṣaṇin	ī
lANgUlinI	lāṅgūlinī	lANgUlin	lāṅgūlin	ī
lANgalinI	lāṅgalinī	lANgalin	lāṅgalin	ī
lAlinI	lālinī	lAlin	lālin	ī
lambinI	lambinī	lambin	lambin	ī
liNgavarDinI	liṅgavardhinī	liNgavarDin	liṅgavardhin	ī
