slp1	iast	n_dicts	dicts	gender	fem_fold
A	ā	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
E	ai	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	mn	
F	ṝ	7	AP BUR MW PWG PWK SKD VCP	fmn	
I	ī	9	AP BUR INM MW PWG PWK SCH SKD VCP	fmn	
O	au	7	AP BUR MW PWG PWK SKD VCP	fmn	
U	ū	9	BUR CAE CCS MD MW PWG PWK SKD VCP	fmn	
X	ḹ	7	AP BUR MW PWG PWK SKD VCP	fm	
a	a	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
e	e	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
f	ṛ	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
i	i	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	fmn	
n	n	1	PWK	-	
o	o	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP	mn	
u	u	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP	mn	
x	ḷ	7	AP BUR MW PWG PWK SKD VCP	m	
AC	āch	1	PWG	-	
AH	āḥ	2	AP SKD	-	
AM	āṃ	2	BUR SKD	-	
AN	āṅ	5	CCS MD PWK SKD VCP	-	
AS	āś	1	MW	-	
Ac	āc	4	CCS MD MW PWK	-	
Af	āṛ	1	MW	-	
Ai	āi	1	MW	-	
Aj	āj	1	MW	-	
Ak	āk	1	SCH	-	
Al	āl	1	PWG	-	
Am	ām	9	AP CAE CCS MD MW PWG PWK SCH VCP	n	
An	ān	1	PWG	-	
Ap	āp	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH	mn	
Ar	ār	7	CAE CCS GRA MD MW PWG PWK	-	
As	ās	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP	mn	
At	āt	9	AP CAE CCS GRA MD MW PWG PWK VCP	-	
Aw	āṭ	3	MW PWG PWK	-	
Az	āṣ	2	PWG PWK	-	
BA	bhā	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	fmn	
BF	bhṝ	5	AP BUR MW SKD VCP	-	
