dcs_band	kind	slp1	iast
5	nominal	enad	enad
5	verb-deriv	AsAday	āsāday
5	verb-deriv	Bakzay	bhakṣay
5	verb-deriv	DAray	dhāray
5	verb-deriv	cintay	cintay
5	verb-deriv	darSay	darśay
5	infl?	jagant	jagant
5	verb-deriv	janay	janay
5	verb-deriv	kAray	kāray
5	indecl?	kvacid	kvacid
5	verb-deriv	marday	marday
5	verb-deriv	pUjay	pūjay
5	verb-deriv	sTApay	sthāpay
5	verb-deriv	varjay	varjay
4	nominal	saced	saced
4	nominal	samanvAgam	samanvāgam
4	nominal	taptaKalva	taptakhalva
4	nominal	uttf	uttṛ
4	nominal	vajramUzA	vajramūṣā
4	nominal	vyavasA	vyavasā
4	verb-deriv	ASvAsay	āśvāsay
4	verb-deriv	AcCAday	ācchāday
4	verb-deriv	AjYApay	ājñāpay
4	verb-deriv	AliNgay	āliṅgay
4	verb-deriv	Alokay	ālokay
4	verb-deriv	Amantray	āmantray
4	verb-deriv	ApUray	āpūray
4	verb-deriv	ApyAyay	āpyāyay
4	verb-deriv	ArADay	ārādhay
4	verb-deriv	Aropay	āropay
4	verb-deriv	AvAhay	āvāhay
4	verb-deriv	Avartay	āvartay
4	verb-deriv	BUzay	bhūṣay
4	verb-deriv	Bojay	bhojay
4	verb-deriv	BrAmay	bhrāmay
4	verb-deriv	CAday	chāday
4	bija/letter	IM	īṃ
4	verb-deriv	Ipsay	īpsay
4	verb-deriv	Iray	īray
4	verb-deriv	Samay	śamay
4	verb-deriv	Sikzay	śikṣay
4	verb-deriv	SoBay	śobhay
4	verb-deriv	SoDay	śodhay
4	verb-deriv	Sozay	śoṣay
4	verb-deriv	SrAvay	śrāvay
4	verb?	SuSrUz	śuśrūṣ
4	verb-deriv	aBimantray	abhimantray
4	verb-deriv	aBipUjay	abhipūjay
4	prefixed-verb?	aBisaMbuD	abhisaṃbudh
4	verb-deriv	aBivAday	abhivāday
4	verb-deriv	aDivAsay	adhivāsay
4	verb-deriv	arcay	arcay
4	verb-deriv	arday	arday
4	verb-deriv	arjay	arjay
4	verb-deriv	avaDAray	avadhāray
4	verb-deriv	avalokay	avalokay
4	verb-deriv	avaropay	avaropay
4	verb-deriv	avatAray	avatāray
4	prefixed-verb?	avatf	avatṛ
4	verb-deriv	banDay	bandhay
4	verb-deriv	boDay	bodhay
4	bija/letter	c	c
4	verb-deriv	cAlay	cālay
4	verb-deriv	cAray	cāray
4	verb-deriv	coday	coday
4	verb-deriv	dApay	dāpay
4	verb-deriv	dAray	dāray
4	verb-deriv	daMSay	daṃśay
4	verb-deriv	darpay	darpay
4	verb-deriv	deSay	deśay
4	verb-deriv	drAvay	drāvay
4	verb-deriv	gAlay	gālay
4	verb-deriv	gamay	gamay
4	verb-deriv	grAhay	grāhay
4	bija/letter	hAM	hāṃ
4	verb-deriv	harzay	harṣay
4	bija/letter	hrIM	hrīṃ
4	verb-deriv	jIvay	jīvay
4	verb-deriv	jvAlay	jvālay
4	verb-deriv	kAmay	kāmay
4	indecl?	kaTaMcana	kathaṃcana
4	indecl?	kaTaMcid	kathaṃcid
4	indecl?	kadAcid	kadācid
4	verb-deriv	kalpay	kalpay
4	verb-deriv	kampay	kampay
4	verb-deriv	karSay	karśay
4	indecl?	kiMtu	kiṃtu
4	verb-deriv	kzAlay	kṣālay
4	verb-deriv	kzapay	kṣapay
4	verb-deriv	kzoBay	kṣobhay
4	verb-deriv	laNGay	laṅghay
4	verb-deriv	lepay	lepay
4	verb-deriv	mAnay	mānay
4	verb-deriv	mAray	māray
4	verb-deriv	mUrCay	mūrchay
4	verb-deriv	maRqay	maṇḍay
4	verb-deriv	melay	melay
4	verb-deriv	mocay	mocay
4	verb-deriv	mohay	mohay
4	verb-deriv	nASay	nāśay
4	verb-deriv	nAday	nāday
4	verb?	namaskf	namaskṛ
4	verb-deriv	niDApay	nidhāpay
4	verb-deriv	niSAmay	niśāmay
4	verb-deriv	nipAtay	nipātay
4	verb-deriv	nivAray	nivāray
4	verb-deriv	nivartay	nivartay
4	verb-deriv	niveSay	niveśay
4	verb-deriv	niveday	niveday
4	verb-deriv	niyojay	niyojay
4	verb-deriv	pAcay	pācay
4	verb-deriv	pAtay	pātay
4	verb-deriv	pAyay	pāyay
4	verb-deriv	pIqay	pīḍay
4	verb-deriv	pariRAmay	pariṇāmay
4	verb-deriv	parikIrtay	parikīrtay
4	verb-deriv	parikalpay	parikalpay
4	verb-deriv	paripAlay	paripālay
4	prefixed-verb?	paripf	paripṛ
4	verb-deriv	parivAray	parivāray
4	verb-deriv	parivarjay	parivarjay
4	verb-deriv	pezay	peṣay
4	verb-deriv	prArTay	prārthay
4	verb-deriv	pracCAday	pracchāday
4	verb-deriv	pracoday	pracoday
4	verb-deriv	pradApay	pradāpay
4	verb-deriv	pradarSay	pradarśay
4	verb-deriv	prajvAlay	prajvālay
4	verb-deriv	prakIrtay	prakīrtay
4	verb-deriv	prakalpay	prakalpay
4	verb-deriv	prakzAlay	prakṣālay
4	verb-deriv	pralepay	pralepay
4	verb-deriv	prapUjay	prapūjay
4	verb-deriv	prasAday	prasāday
4	verb-deriv	prasAray	prasāray
4	verb-deriv	pratipAday	pratipāday
4	verb-deriv	pratipUjay	pratipūjay
4	verb-deriv	pratizWApay	pratiṣṭhāpay
4	verb-deriv	pravartay	pravartay
4	verb-deriv	praveSay	praveśay
4	verb-deriv	prayojay	prayojay
4	verb-deriv	preray	preray
4	verb-deriv	prezay	preṣay
4	verb-deriv	raYjay	rañjay
4	verb-deriv	racay	racay
4	verb-deriv	ramay	ramay
4	verb-deriv	rocay	rocay
4	verb-deriv	sAday	sāday
4	verb-deriv	saMcintay	saṃcintay
4	verb-deriv	saMdarSay	saṃdarśay
4	verb-deriv	saMkalpay	saṃkalpay
4	verb-deriv	saMlakzay	saṃlakṣay
4	verb-deriv	saMmarday	saṃmarday
4	verb-deriv	saMsTApay	saṃsthāpay
4	verb-deriv	saMtarpay	saṃtarpay
4	verb-deriv	saMyojay	saṃyojay
4	verb-deriv	samASvAsay	samāśvāsay
4	prefixed-verb?	samAdis	samādis
4	verb-deriv	samAsAday	samāsāday
4	verb-deriv	samBAvay	sambhāvay
4	verb-deriv	samarpay	samarpay
4	verb-deriv	sampAday	sampāday
4	verb-deriv	sampUjay	sampūjay
4	verb-deriv	secay	secay
4	verb-deriv	snApay	snāpay
4	verb-deriv	stamBay	stambhay
4	verb-deriv	sveday	sveday
4	bija/letter	t	t
4	verb-deriv	tApay	tāpay
4	verb-deriv	tAqay	tāḍay
4	verb-deriv	tAray	tāray
4	verb-deriv	tarpay	tarpay
4	verb-deriv	tozay	toṣay
4	verb-deriv	trAsay	trāsay
4	verb-deriv	uccAray	uccāray
4	verb-deriv	udIray	udīray
4	verb-deriv	upaSoBay	upaśobhay
4	verb-deriv	upalakzay	upalakṣay
4	verb-deriv	upapAday	upapāday
