hint	n_shared_dicts	fem_slp1	fem_iast	fem_gloss_MW	masc_slp1	masc_iast	masc_gloss_MW	ending
likely-distinct	1	ciratiktA	ciratiktā	a species of wild cucumber	ciratikta	ciratikta	Agathotes Chirayta	ā
likely-distinct	1	dEvI	daivī	a woman married according to the Daiva rite	dEvin	daivin	(not in MW)	ī
likely-distinct	1	daRqapAtA	daṇḍapātā	(not in MW)	daRqapAta	daṇḍapāta	= -nipAtana, v, 22, 17	ā
likely-distinct	1	devejyA	devejyā	(not in MW)	devejya	devejya	‘teacher of the g˚’, N. of Bṛhas-pati i.e. the planet Jupiter	ā
likely-distinct	1	dvArapAlikA	dvārapālikā		dvArapAlika	dvārapālika	metron. fr. -pAlI (g. revaty-Adi).	ā
likely-distinct	1	dvIpasamBavA	dvīpasambhavā	a kind of date	dvIpasamBava	dvīpasambhava	the largest sort of raisin, cubebs	ā
likely-distinct	1	dvayI	dvayī	couple, pair	dvayin	dvayin	comrade, fellow (cf. asad-dvayin add.	ī
likely-distinct	1	gaDA	gadhā	a particular part of a cart	gaDa	gadha	(not in MW)	ā
likely-distinct	1	ganDottamA	gandhottamā	spirituous or vinous liquor	ganDottama	gandhottama	N. of a Tathāgata	ā
likely-distinct	1	garBasaMBavA	garbhasaṃbhavā	(not in MW)	garBasaMBava	garbhasaṃbhava	(not in MW)	ā
likely-distinct	1	garBasamBavA	garbhasambhavā	a kind of cardamoms	garBasamBava	garbhasambhava	the production of a foetus, becoming pregnant	ā
likely-distinct	1	gopikA	gopikā	a cowherd's wife, cowherdess	gopika	gopika	the Mokṣaka tree	ā
likely-distinct	1	harI	harī	N. of the mythical mother of the monkeys	harin	harin	a monkey	ī
likely-distinct	1	hastiSuRqA	hastiśuṇḍā	id.	hastiSuRqa	hastiśuṇḍa	an el˚'s trunk	ā
likely-distinct	1	hastikA	hastikā	a kind of stringed instrument	hastika	hastika	a multitude of elephants (or m. ‘an elephant’	ā
likely-distinct	1	hemadugDI	hemadugdhī	= svarRa-kzIrI	hemadugDin	hemadugdhin	2641931304,3hemadugDinhema—dugDin3 {{Lbody=264192}}	ī
likely-distinct	1	hiraRyakeSI	hiraṇyakeśī	id.	hiraRyakeSin	hiraṇyakeśin	N. of the author of certain Sūtras	ī
likely-distinct	1	izvA	iṣvā	offspring	izva	iṣva	desire	ā
likely-distinct	1	jANgalI	jāṅgalī	Mucuna pruritus	jANgalin	jāṅgalin	id.	ī
likely-distinct	1	jArI	jārī	N. of Durgā	jArin	jārin	one whose wife has a paramour	ī
likely-distinct	1	jamBI	jambhī	N. of a goddess	jamBin	jambhin	the citron tree	ī
likely-distinct	1	jumbakA	jumbakā	(not in MW)	jumbaka	jumbaka	N. of a Varuṇa	ā
likely-distinct	1	kASyapI	kāśyapī	a female descendant of Kaśyapa	kASyapin	kāśyapin	the school of Kāśyapa	ī
likely-distinct	1	kAhalI	kāhalī	a young woman	kAhalin	kāhalin	N. of a Ṛṣi	ī
likely-distinct	1	kAkocI	kākocī	id.	kAkocin	kākocin	id.	ī
likely-distinct	1	kAzAyI	kāṣāyī	a sort of fly or wasp	kAzAyin	kāṣāyin	‘wearing a brown-red garment’, a Buddhist monk	ī
likely-distinct	1	kaRqUyA	kaṇḍūyā	scratching, itching Comm. on	kaRqUya	kaṇḍūya	42594246,1kaRqUyakaRqUya2 kaRqUya Nom. P. Ā. kaRqUya/ti, -te, to scratch, scrape, rub	ā
likely-distinct	1	kalakaRWI	kalakaṇṭhī	the female of that goose	kalakaRWin	kalakaṇṭhin	the Indian cuckoo	ī
likely-distinct	1	kanakasenA	kanakasenā	(not in MW)	kanakasena	kanakasena	N. of a king	ā
likely-distinct	1	kanakastamBA	kanakastambhā	‘having a golden stem’, a species of Musa	kanakastamBa	kanakastambha	a golden column or stem	ā
likely-distinct	1	karawI	karaṭī	a crow	karawin	karaṭin	an elephant	ī
likely-distinct	1	kasanA	kasanā	a kind of venomous snake (or spider, lUtA	kasana	kasana	cough (= kAsa	ā
likely-distinct	1	kfzRAjinA	kṛṣṇājinā	(not in MW)	kfzRAjina	kṛṣṇājina	the skin of the black antelope	ā
likely-distinct	1	kilAwI	kilāṭī	id.	kilAwin	kilāṭin	‘having white juice like kilAwa milk’, a bamboo	ī
likely-distinct	1	kroqI	kroḍī	a sow	kroqin	kroḍin	(not in MW)	ī
likely-distinct	1	kuWArikA	kuṭhārikā	a small axe	kuWArika	kuṭhārika	a wood-cutter	ā
likely-distinct	1	kuberI	kuberī	(not in MW)	kuberin	kuberin	N. of a mixed caste.	ī
likely-distinct	1	kurarI	kurarī	a female osprey	kurarin	kurarin	N. of a mountain	ī
likely-distinct	1	kzemaMkarI	kṣemaṃkarī	Durgā	kzemaMkarin	kṣemaṃkarin	the Brāhmaṇī kite or Coromandel eagle (bird of good omen), Falco pondicerianus	ī
likely-distinct	1	kzetrasamBavA	kṣetrasambhavā	a kind of gourd (= SaSARqulI	kzetrasamBava	kṣetrasambhava	‘growing on the fields’, Abelmoschus esculentus	ā
likely-distinct	1	lAlikA	lālikā	a rope round the nostrils of a horse	lAlika	lālika	a buffalo (cf. lAvika	ā
likely-distinct	1	lagaRA	lagaṇā	the heart pea, Cardiospermum Halicacabum	lagaRa	lagaṇa	a partic. disease of the eyelid	ā
likely-distinct	1	mAkandikA	mākandikā	N. of a city (= mAkandI	mAkandika	mākandika	metron. fr. makandikA	ā
likely-distinct	1	mAyUrikA	māyūrikā	a partic. Rāgiṇī	mAyUrika	māyūrika	a peacock-catcher	ā
likely-distinct	1	maDukArI	madhukārī	a female bee	maDukArin	madhukārin	a bee	ī
likely-distinct	1	maDukarI	madhukarī	a female bee	maDukarin	madhukarin	a bee	ī
likely-distinct	1	maDyamikA	madhyamikā	a marriageable woman	maDyamika	madhyamika	156569782,3maDyamikamaDyamika2 maDyamika prob. w.r. for mADyamika, q.v.	ā
likely-distinct	1	mahASalkA	mahāśalkā	a kind of sweet citron	mahASalka	mahāśalka	‘large-scaled’, a kind of prawn or sea crab	ā
likely-distinct	1	mahApakzI	mahāpakṣī	an owl	mahApakzin	mahāpakṣin	the hooting owl	ī
likely-distinct	1	mahApattrA	mahāpattrā	Uraria Lagopodioides	mahApattra	mahāpattra	‘having large leaves’, a kind of pot-herb	ā
likely-distinct	1	mahIsutA	mahīsutā	N. of Sītā	mahIsuta	mahīsuta	‘son of the earth’, the planet Mars	ā
likely-distinct	1	mahallikA	mahallikā	a female attendant in the women's apartments	mahallika	mahallika	= mahalla	ā
likely-distinct	1	marUdBavA	marūdbhavā	Alhagi Maurorum	marUdBava	marūdbhava	‘produced in a d˚’, a kind of ill-scented Mimosa	ā
likely-distinct	1	mataMgajA	mataṃgajā	a partic. Mūrchanā	mataMgaja	mataṃgaja	an elephant (-tva n.	ā
likely-distinct	1	meTikA	methikā	See next.	meTika	methika	the 17th or lowest cubit (aratni) from the top of the sacrificial post	ā
likely-distinct	1	mfgANkaleKA	mṛgāṅkalekhā	N. of the daughter of a king of the Vidyā-dharas	mfgANkaleKa	mṛgāṅkalekha	N. of wk.	ā
likely-distinct	1	mfgalocanA	mṛgalocanā	a fawn-eyed woman	mfgalocana	mṛgalocana	‘deer-eyed’, the moon	ā
likely-distinct	1	mocikA	mocikā	a species of plant	mocika	mocika	a tanner or shoemaker (cf. Hind. mochī	ā
likely-distinct	1	mukA	mukā	N. of a town	muka	muka	the smell of cow-dung	ā
likely-distinct	1	nAgamudrA	nāgamudrā	a seal-ring showing a serpent	nAgamudra	nāgamudra	N. of a Buddhist Sthavira	ā
likely-distinct	1	pArASarI	pārāśarī	See s.v.	pArASarin	pārāśarin	a mendicant of the order of Pārāśarya	ī
likely-distinct	1	pOrRimA	paurṇimā	prec.	pOrRima	paurṇima	an ascetic	ā
likely-distinct	1	paYcapakzI	pañcapakṣī	N. of sev. wks. on astrology	paYcapakzin	pañcapakṣin	or n. (?), N. of a small wk. containing auguries ascribed to Śiva (in which the 5 vowels a	ī
likely-distinct	1	pallavikA	pallavikā	a kind of scarf	pallavika	pallavika	= (or v.l. for) pallavaka m.	ā
likely-distinct	1	parIzahA	parīṣahā	= pari-z˚ (under pari-zah	parIzaha	parīṣaha	(not in MW)	ā
likely-distinct	1	parikzA	parikṣā	clay, mud, dirt	parikza	parikṣa	(not in MW)	ā
likely-distinct	1	pattrikA	pattrikā	See below	pattrika	pattrika	g. purohitAdi	ā
likely-distinct	1	pawwI	paṭṭī	a forehead ornament	pawwin	paṭṭin	a kind of Lodhra	ī
likely-distinct	1	pelA	pelā	(not in MW)	pela	pela	a small part	ā
likely-distinct	1	pftanyA	pṛtanyā	an army	pftanya	pṛtanya	128354645,3pftanyapftanya2 pftanya Nom. P. ˚ya/ti, to attack, assail, fight against (acc.	ā
likely-distinct	1	plIhA	plīhā	= plIhan	plIha	plīha	141453715,1plIhaplIha2 plIha in comp. for plIhan.	ā
likely-distinct	1	potrI	potrī	N. of Durgā	potrin	potrin	‘snouted’, a wild boar	ī
likely-distinct	1	powikA	poṭikā	a species of plant	powika	poṭika	a pustule, boil	ā
likely-distinct	1	prAGUrRikA	prāghūrṇikā	hospitable reception	prAGUrRika	prāghūrṇika	id.	ā
likely-distinct	1	prApaRikA	prāpaṇikā	a bold girl unfit for marriage	prApaRika	prāpaṇika	fr. -paRa; but cf.	ā
likely-distinct	1	prabAlikA	prabālikā	N. of a woman	prabAlika	prabālika	a kind of purslain	ā
likely-distinct	1	pratisarabanDA	pratisarabandhā	a female servant	pratisarabanDa	pratisarabandha	a partic. nuptial ceremony	ā
likely-distinct	1	rAmAryA	rāmāryā	N. of a poem by Rāma-candra	rAmArya	rāmārya	N. of the Guru of Śaṃkara	ā
likely-distinct	1	rUkzaRIyA	rūkṣaṇīyā	Coix Barbata	rUkzaRIya	rūkṣaṇīya	rum, spirit distilled from molasses	ā
likely-distinct	1	rUpikA	rūpikā	swallow-wort, Asclepias Lactifera	rUpika	rūpika	or n. (?) coined gold or silver, money	ā
likely-distinct	1	raTANgI	rathāṅgī	a species of medicinal plant	raTANgin	rathāṅgin	‘one who possesses a discus’, N. of Viṣṇu	ī
likely-distinct	1	raktAkzI	raktākṣī	N. of a Yoginī	raktAkzin	raktākṣin		ī
likely-distinct	1	raktapAtA	raktapātā	a leech	raktapAta	raktapāta	bloodshed, spilling of blood	ā
likely-distinct	1	sAgaragamBIrA	sāgaragambhīrā	N. of a serpent-maiden	sAgaragamBIra	sāgaragambhīra	a partic. Samādhi	ā
likely-distinct	1	sAtalA	sātalā	= saptalA	sAtala	sātala	N. of a poet	ā
likely-distinct	1	sTAyA	sthāyā	the earth	sTAya	sthāya	= sTAman	ā
likely-distinct	1	sUzA	sūṣā	a parturient woman	sUza	sūṣa	strength, vigour, energy	ā
likely-distinct	1	saMgaTA	saṃgathā	confluence	saMgaTa	saṃgatha	meeting-place, centre	ā
likely-distinct	1	saMjA	saṃjā	a she-goat	saMja	saṃja	‘universal Creator’, N. of Brahmā or Śiva	ā
likely-distinct	1	sakfdgarBA	sakṛdgarbhā	a woman who is pregnant only once	sakfdgarBa	sakṛdgarbha	‘having only one conception’, a mule	ā
likely-distinct	1	samAsArTA	samāsārthā	the part of a stanza given for completion (= sam-asyA	samAsArTa	samāsārtha	the sense of a comp˚	ā
likely-distinct	1	samBAzA	sambhāṣā	id.	samBAza	sambhāṣa	discourse, talk, conversation with (gen. or instr. with or without saha, or comp.	ā
likely-distinct	1	sammohA	sammohā	a kind of metre	sammoha	sammoha	stupefaction, bewilderment, confusion, insensibility, unconsciousness, ignorance, folly, i	ā
likely-distinct	1	sampIqA	sampīḍā	pain, torture	sampIqa	sampīḍa	pressing or squeezing together, pressure	ā
likely-distinct	1	saptacCadA	saptacchadā	id.	saptacCada	saptacchada	‘7 leaved’, a kind of tree	ā
likely-distinct	1	sarvaDArI	sarvadhārī	N. of the 22nd year of Jupiter's cycle of 60 years, accord. to some	sarvaDArin	sarvadhārin	‘all-holder’, N. of Śiva	ī
likely-distinct	1	sevanI	sevanī	a needle	sevanin	sevanin	a ploughman (?	ī
likely-distinct	1	sfRIkA	sṛṇīkā	spittle, saliva	sfRIka	sṛṇīka	only	ā
likely-distinct	1	siMhavijfmBitA	siṃhavijṛmbhitā	(not in MW)	siMhavijfmBita	siṃhavijṛmbhita	a kind of Samādhi	ā
likely-distinct	1	stamBakI	stambhakī	N. of a goddess	stamBakin	stambhakin	a kind of musical instrument covered with leather	ī
likely-distinct	1	sucCattrA	succhattrā	the river Śata-dru or Sutlej	sucCattra	succhattra	N. of Śiva	ā
likely-distinct	1	suparRI	suparṇī	a partic. personification (mentioned together with Kadrū, sometimes identified with Vāc an	suparRin	suparṇin	Garuḍa	ī
likely-distinct	1	suraparRikA	suraparṇikā	Rottleria Tinctoria	suraparRika	suraparṇika	a kind of Puṃ-nāga tree	ā
likely-distinct	1	suravallaBA	suravallabhā	white Dūrvā grass	suravallaBa	suravallabha	Rottleria Tinctoria	ā
likely-distinct	1	syUnA	syūnā	a ray of light	syUna	syūna	only	ā
likely-distinct	1	tARqavikA	tāṇḍavikā	a dancing, mistress	tARqavika	tāṇḍavika	(not in MW)	ā
likely-distinct	1	tElapAyikA	tailapāyikā	= -pA	tElapAyika	tailapāyika	= -pA (or ‘N. of a bird’ Sch.	ā
likely-distinct	1	tuRqI	tuṇḍī	a kind of gourd	tuRqin	tuṇḍin	a bird	ī
likely-distinct	1	tuRqikerI	tuṇḍikerī	= ˚keSI	tuRqikerin	tuṇḍikerin	N. of a venomous insect, v, 8, 3.	ī
likely-distinct	1	utkArikA	utkārikā	a poultice	utkArika	utkārika	(not in MW)	ā
likely-distinct	1	uttaMsikA	uttaṃsikā	(not in MW)	uttaMsika	uttaṃsika	N. of a Nāga	ā
likely-distinct	1	vAgurA	vāgurā	a net (for catching deer or wild animals), trap, toils, snare, noose	vAgura	vāgura	the son of a Vaiśya and a Veṇī	ā
likely-distinct	1	vAtApI	vātāpī	N. of a town (also called ˚pi-purI	vAtApin	vātāpin	(not in MW)	ī
likely-distinct	1	vAyusamBavA	vāyusambhavā	a red cow	vAyusamBava	vāyusambhava	‘wind-born’, N. of Hanumat	ā
likely-distinct	1	vESAKI	vaiśākhī	the day of full moon in the month Vaiśākha	vESAKin	vaiśākhin	a partic. part of an elephant's forefoot	ī
likely-distinct	1	vEtAlI	vaitālī	a kind of metre	vEtAlin	vaitālin	N. of one of Skanda's attendants	ī
likely-distinct	1	vIkzA	vīkṣā	id.	vIkza	vīkṣa	sight, seeing	ā
likely-distinct	1	vIraRI	vīraṇī	a side-glance, leer	vIraRin	vīraṇin	N. of a teacher	ī
likely-distinct	1	vIvaDA	vīvadhā	a yoke (fig.) i.e. chain, fetters (cf. vfdDa-v˚).	vIvaDa	vīvadha	199980.1987,1vIvaDavI-vaDa1 {{Lbody=199980}}	ā
likely-distinct	1	vaRijA	vaṇijā	traffic, commerce	vaRija	vaṇija	= vaRij, a merchant, trader	ā
likely-distinct	1	valgulA	valgulā	a species of night-bird	valgula	valgula	the flying fox	ā
likely-distinct	1	vanarakzakA	vanarakṣakā	N. of a woman, Vṛṣabha.n.	vanarakzaka	vanarakṣaka	a forest-keeper	ā
likely-distinct	1	varABiDA	varābhidhā	sorrel	varABiDa	varābhidha	one who has a good name	ā
likely-distinct	1	varANgI	varāṅgī	turmeric	varANgin	varāṅgin	sorrel	ī
likely-distinct	1	vastraBUzaRA	vastrabhūṣaṇā	a kind of pl˚	vastraBUzaRa	vastrabhūṣaṇa	a kind of plant	ā
likely-distinct	1	vasuDarA	vasudharā	N. of a goddess	vasuDara	vasudhara	N. of a poet	ā
likely-distinct	1	vawikA	vaṭikā	id.	vawika	vaṭika	a pawn (at chess	ā
likely-distinct	1	vewA	veṭā	the abode of the Vaiśya tribe (?	vewa	veṭa	a kind of tree (= pIlu-vFkza	ā
likely-distinct	1	vftrahatyA	vṛtrahatyā	id.	vftrahatya	vṛtrahatya	the slaying of V˚ or of enemies, victorious fight	ā
likely-distinct	1	viBAsA	vibhāsā	shining brightly, light, lustre	viBAsa	vibhāsa	N. of one of the 7 suns	ā
likely-distinct	1	viDamA	vidhamā	N. of a female demon	viDama	vidhama	196476967,2viDamavi-Dama2 vi-Dama (2. sg. Impv.	ā
likely-distinct	1	viSAlikA	viśālikā	Odina Pinnata	viSAlika	viśālika	endearing forms of names beginning with viSAla	ā
likely-distinct	1	viSalA	viśalā	N. of a town	viSala	viśala	N. of the son of Abja	ā
likely-distinct	1	vidyuddyotA	vidyuddyotā	N. of a princess	vidyuddyota	vidyuddyota	the brightness of l˚	ā
likely-distinct	1	vikarRI	vikarṇī	a kind of brick	vikarRin	vikarṇin	a kind of arrow	ī
likely-distinct	1	vikarRikA	vikarṇikā		vikarRika	vikarṇika	N. of a people	ā
likely-distinct	1	vikuRWanA	vikuṇṭhanā	inward glance, mental concentration	vikuRWana	vikuṇṭhana	N. of a son of Hastin	ā
likely-distinct	1	vipA	vipā	speech (= vAc	vipa	vipa	a learned man (= meDAvin	ā
likely-distinct	1	viwakA	viṭakā	a room where Viṭas meet.	viwaka	viṭaka	N. of a people	ā
likely-distinct	1	vratacaryA	vratacaryā	the practice of any religious observance or vow	vratacarya	vratacarya	a rel˚ student	ā
likely-distinct	1	vyaDA	vyadhā	bleeding	vyaDa	vyadha	piercing, hitting, striking, a stroke, wound	ā
likely-distinct	0	AkASajananI	ākāśajananī	a loophole, casement, embrasure	AkASajananin	ākāśajananin	(not in MW)	ī
likely-distinct	0	DarmitA	dharmitā	the being endowed with any ch˚ m˚ or a˚ (ifc.	Darmita	dharmita	(not in MW)	ā
likely-distinct	0	PaRikA	phaṇikā	Ficus Oppositifolia	PaRika	phaṇika	(not in MW)	ā
likely-distinct	0	PalendrA	phalendrā	a species of Jambū	Palendra	phalendra	(not in MW)	ā
likely-distinct	0	SArNgaravI	śārṅgaravī	N. of a woman	SArNgaravin	śārṅgaravin	(not in MW)	ī
likely-distinct	0	SivApriyA	śivāpriyā	‘dear to the jackals’, a goat	SivApriya	śivāpriya	(not in MW)	ā
likely-distinct	0	SlezmaGanA	śleṣmaghanā	(not in MW)	SlezmaGana	śleṣmaghana	Pandanus Odoratissimus	ā
likely-distinct	0	SuBradantI	śubhradantī	N. of the female of the elephants Puṣpa-danta (cf. SuBa-dantI) and Sārvabhauma	SuBradantin	śubhradantin	(not in MW)	ī
likely-distinct	0	ahiganDA	ahigandhā	(not in MW)	ahiganDa	ahigandha	(not in MW)	ā
likely-distinct	0	ambuDArA	ambudhārā	(not in MW)	ambuDAra	ambudhāra	a cloud	ā
likely-distinct	0	amotaputrakA	amotaputrakā	(not in MW)	amotaputraka	amotaputraka	a child protected at home [a weaver's boy	ā
likely-distinct	0	arkAtmajA	arkātmajā	‘daughter of the Sun’, N. of Yamunā	arkAtmaja	arkātmaja	(not in MW)	ā
likely-distinct	0	bAlavatsA	bālavatsā	(not in MW)	bAlavatsa	bālavatsa	one whose child is still a boy	ā
likely-distinct	0	bahirmudrA	bahirmudrā	(not in MW)	bahirmudra	bahirmudra	N. of a form of devotion (opp. to antar-m˚	ā
likely-distinct	0	cAryA	cāryā	(not in MW)	cArya	cārya	espionage	ā
likely-distinct	0	cakrabAlA	cakrabālā	Hibiscus cannabinus	cakrabAla	cakrabāla	(not in MW)	ā
likely-distinct	0	dArumatsyAhvayA	dārumatsyāhvayā	(not in MW)	dArumatsyAhvaya	dārumatsyāhvaya	a lizard	ā
likely-distinct	0	dArumuKyAhvayA	dārumukhyāhvayā	(not in MW)	dArumuKyAhvaya	dārumukhyāhvaya	= matsyAhvaya	ā
likely-distinct	0	dIrGakaMDarA	dīrghakaṃdharā	= -kaRWaka	dIrGakaMDara	dīrghakaṃdhara	(not in MW)	ā
likely-distinct	0	dinakarAtmajA	dinakarātmajā	(not in MW)	dinakarAtmaja	dinakarātmaja	‘daughter of the sun’, patr. of the Yamunā	ā
likely-distinct	0	dvIpikA	dvīpikā	Asparagus Racemosus	dvIpika	dvīpika	(not in MW)	ā
likely-distinct	0	ganDotkawA	gandhotkaṭā	(not in MW)	ganDotkawa	gandhotkaṭa	Artemisia Abrotanum	ā
likely-distinct	0	gardaBI	gardabhī	a she-ass	gardaBin	gardabhin	(not in MW)	ī
likely-distinct	0	golikA	golikā	a small ball or globule	golika	golika	(not in MW)	ā
likely-distinct	0	gopItilakA	gopītilakā	(not in MW)	gopItilaka	gopītilaka	a kind of bird	ā
likely-distinct	0	hayI	hayī	(not in MW)	hayin	hayin	a horseman, rider	ī
likely-distinct	0	izwakA	iṣṭakā	a brick in general	izwaka	iṣṭaka	(not in MW)	ā
likely-distinct	0	jakzA	jakṣā	chewing	jakza	jakṣa	(not in MW)	ā
likely-distinct	0	jalakAmukA	jalakāmukā	‘fond of water’, the plant kuwumbinI	jalakAmuka	jalakāmuka	(not in MW)	ā
likely-distinct	0	kAraRI	kāraṇī	(not in MW)	kAraRin	kāraṇin	(not in MW)	ī
likely-distinct	0	kfmilikA	kṛmilikā	linen cloth dyed with red colour	kfmilika	kṛmilika	(not in MW)	ā
likely-distinct	0	krAntikakzA	krāntikakṣā	the sun's course, ecliptic.	krAntikakza	krāntikakṣa	(not in MW)	ā
likely-distinct	0	lAjI	lājī	N. of a place	lAjin	lājin	(not in MW)	ī
likely-distinct	0	mUzikAhvayA	mūṣikāhvayā	Anthericum Tuberosum	mUzikAhvaya	mūṣikāhvaya	(not in MW)	ā
likely-distinct	0	maDucCadA	madhucchadā	(not in MW)	maDucCada	madhucchada	Flacourtia Sapida	ā
likely-distinct	0	medogalA	medogalā	(not in MW)	medogala	medogala	a species of plant resembling the Mimosa Pudica	ā
likely-distinct	0	mezAhvayA	meṣāhvayā	Cassia Thora	mezAhvaya	meṣāhvaya	(not in MW)	ā
likely-distinct	0	mukundA	mukundā	(not in MW)	mukunda	mukunda	N. of Viṣṇu (sometimes transferred to Śiva	ā
likely-distinct	0	pARqavikA	pāṇḍavikā	(not in MW)	pARqavika	pāṇḍavika	a kind of sparrow	ā
likely-distinct	0	pAlikA	pālikā	the tip of the ear	pAlika	pālika	(not in MW)	ā
likely-distinct	0	pAnIyapfzWajA	pānīyapṛṣṭhajā	(not in MW)	pAnIyapfzWaja	pānīyapṛṣṭhaja	‘w˚-surface-born’, Pistia Stratiotes	ā
likely-distinct	0	pAwahikA	pāṭahikā	Abrus Precatorius (a small shrub	pAwahika	pāṭahika	(not in MW)	ā
likely-distinct	0	paSuyUkA	paśuyūkā	(not in MW)	paSuyUka	paśuyūka	a louse which infests cattle	ā
likely-distinct	0	pariBakzA	paribhakṣā	passing over any one at a meal, N. of a partic. observance	pariBakza	paribhakṣa	(not in MW)	ā
likely-distinct	0	peYjUzA	peñjūṣā	the wax of the ear	peYjUza	peñjūṣa	(not in MW)	ā
likely-distinct	0	pippIkA	pippīkā	a species of bird	pippIka	pippīka	(not in MW)	ā
likely-distinct	0	prahelikA	prahelikā	an enigma, riddle, puzzling question.	prahelika	prahelika	(not in MW)	ā
likely-distinct	0	puzpalAvI	puṣpalāvī	a female f˚-gatherer	puzpalAvin	puṣpalāvin	(not in MW)	ī
likely-distinct	0	sUkzmamakzikA	sūkṣmamakṣikā	(not in MW)	sUkzmamakzika	sūkṣmamakṣika	. ) a small fly, musquito, gnat	ā
likely-distinct	0	saMyamanI	saṃyamanī	N. of the city or residence of Yama (fabled to be situated on Mount Meru	saMyamanin	saṃyamanin	(not in MW)	ī
likely-distinct	0	sarvaDarmamudrA	sarvadharmamudrā	(not in MW)	sarvaDarmamudra	sarvadharmamudra	a partic. Samādhi	ā
likely-distinct	0	sipunA	sipunā	a kind of plant	sipuna	sipuna	(not in MW)	ā
likely-distinct	0	sitakarRikA	sitakarṇikā	Gendarussa Vulgaris.	sitakarRika	sitakarṇika	(not in MW)	ā
likely-distinct	0	suKamAlikA	sukhamālikā	(not in MW)	suKamAlika	sukhamālika	N. of the superintendent of a monastery	ā
likely-distinct	0	tanutvacA	tanutvacā	(not in MW)	tanutvaca	tanutvaca	Premna spinosa	ā
likely-distinct	0	tfRanimbA	tṛṇanimbā	the Nepalese Nimba	tfRanimba	tṛṇanimba	(not in MW)	ā
likely-distinct	0	vAnavAsikA	vānavāsikā	a kind of metre	vAnavAsika	vānavāsika	(not in MW)	ā
likely-distinct	0	vArUQA	vārūḍhā	only	vArUQa	vārūḍha	(not in MW)	ā
likely-distinct	0	varvA	varvā	(not in MW)	varva	varva	or n. (prob.) a partic. coin	ā
likely-distinct	0	veSijAtA	veśijātā	(not in MW)	veSijAta	veśijāta	a kind of creeper (= putra-dAtrI	ā
likely-distinct	0	vedamuKyA	vedamukhyā	(not in MW)	vedamuKya	vedamukhya	a sort of insect, the winged bug	ā
likely-distinct	0	vfkyA	vṛkyā	(not in MW)	vfkya	vṛkya	(not in MW)	ā
likely-distinct	0	vfzwitA	vṛṣṭitā	the condition of rain	vfzwita	vṛṣṭita	(not in MW)	ā
likely-distinct	0	viSvaBujA	viśvabhujā	N. of a goddess	viSvaBuja	viśvabhuja	(not in MW)	ā
likely-distinct	0	viheWA	viheṭhā	(not in MW)	viheWa	viheṭha	hurt, injury	ā
likely-distinct	0	vipAsA	vipāsā	(not in MW)	vipAsa	vipāsa	(not in MW)	ā
likely-distinct	0	wakkarA	ṭakkarā	a blow on the head, v f.	wakkara	ṭakkara	(not in MW)	ā
likely-distinct	0	yAnapAtrikA	yānapātrikā		yAnapAtrika	yānapātrika	(not in MW)	ā
