hint	n_shared_dicts	fem_slp1	fem_iast	fem_gloss_MW	masc_slp1	masc_iast	masc_gloss_MW	ending
likely-distinct	3	bAlacaryA	bālacaryā	the behaviour of a child	bAlacarya	bālacarya	‘behaving like a child’, N. of Skanda	ā
likely-distinct	3	balasenA	balasenā	a strong army, an army, host	balasena	balasena	N. of a warrior	ā
likely-distinct	3	cEtrI	caitrī	the day of full moon in month Caitra, sacrifice offered on that day	cEtrin	caitrin	id.	ī
likely-distinct	3	devamAyA	devamāyā	d˚ illusion	devamAya	devamāya	N. of a prince	ā
likely-distinct	3	dikkarI	dikkarī	a young woman	dikkarin	dikkarin	‘elephant of the q˚’, one of the mythical elephants which stand in the four or eight quart	ī
likely-distinct	3	dvArI	dvārī	door	dvArin	dvārin	d˚-keeper	ī
likely-distinct	3	gAtraBaNgA	gātrabhaṅgā	a kind of cowach	gAtraBaNga	gātrabhaṅga	= -BaYjana	ā
likely-distinct	3	izIkA	iṣīkā	a reed, rush, stem or stalk of grass used as an arrow	izIka	iṣīka	N. of a people (= EzIka	ā
likely-distinct	3	kApAlI	kāpālī	the Embelia Ribes	kApAlin	kāpālin	‘adorned with skulls’, N. of Śiva	ī
likely-distinct	3	kalikA	kalikā	the sixteenth part of the moon	kalika	kalika	a curlew	ā
likely-distinct	3	kandI	kandī	See mAMsa-k˚.	kandin	kandin	Amorphophallus Campanulatus	ī
likely-distinct	3	koSI	kośī	‘a bud’, see arka-	koSin	kośin	the mango tree	ī
likely-distinct	3	kulakzayA	kulakṣayā	a sort of cowach (Mucuna pruritus	kulakzaya	kulakṣaya	decay of a race or family	ā
likely-distinct	3	lajjA	lajjā	See below.	lajja	lajja	N. of a man	ā
likely-distinct	3	leKanikA	lekhanikā	182410901,2leKanikAleKanikA2 leKanikA See citra-l˚.	leKanika	lekhanika	one who makes a deputy sign a document, signing by proxy or making a mark (from inability 	ā
likely-distinct	3	mAlAguRA	mālāguṇā	a species of venomous spider	mAlAguRa	mālāguṇa	the string of a g˚, necklace	ā
likely-distinct	3	madanotsavA	madanotsavā	a courtezan of Svarga	madanotsava	madanotsava	Kāma-deva's festival (= ˚na-maha) the holy or vernal f˚	ā
likely-distinct	3	mahAmeDA	mahāmedhā	‘great intelligence’, N. of Durgā	mahAmeDa	mahāmedha	a gr˚ sacrifice	ā
likely-distinct	3	malanA	malanā	the long cucumber	malana	malana	a tent	ā
likely-distinct	3	nAsikA	nāsikā	a nostril	nAsika	nāsika	or n. N. of a place (cf. below and nAsikya	ā
likely-distinct	3	nidA	nidā	blame, contempt	nida	nida	or n. poison, venom	ā
likely-distinct	3	nirvARI	nirvāṇī	N. of a deity who executes the commands of the 16th Arhat of the present Ava-sarpiṇī.	nirvARin	nirvāṇin	N. of 2nd Arhat of past Utsarpiṇī	ī
likely-distinct	3	prASA	prāśā	ardent desire or longing for	prASa	prāśa	eating, feeding upon (cf. Gfta-, DUma-pr˚	ā
likely-distinct	3	praDA	pradhā	134885680,3praDApra-DA1 pra-√ 1. DA Ā. -Datte, to place or set before, offer	praDa	pradha		ā
likely-distinct	3	praSnI	praśnī	137683.1696,1praSnIpraSnI1 {{Lbody=137683}}	praSnin	praśnin	a questioner, interrogator	ī
likely-distinct	3	puroDA	purodhā	126083635,2puroDApuro—DA3 puro—√ DA P. Ā. -daDAti, -Datte, (Ā.) to place before or at the 	puroDa	purodha	‘placed at the head’, chief priest of a king, domestic chaplain	ā
likely-distinct	3	puzpasArA	puṣpasārā	holy basil	puzpasAra	puṣpasāra	the nectar or honey of f˚	ā
likely-distinct	3	rezA	reṣā	id.	reza	reṣa	injury, hurt	ā
likely-distinct	3	susvaDA	susvadhā	welfare, prosperity	susvaDa	susvadha	N. of a partic. class of deceased ancestors	ā
likely-distinct	3	turagI	turagī	a mare	turagin	turagin	a horseman	ī
likely-distinct	3	ulUpI	ulūpī	N. of a daughter of the Nāga Kauravya (married to Arjuna	ulUpin	ulūpin	37452218,2ulUpinulUpin2 {{Lbody=37451}}	ī
likely-distinct	3	upadiSA	upadiśā	id.	upadiSa	upadiśa	N. of a son of Vasu-deva	ā
likely-distinct	3	urA	urā	a ewe	ura	ura	(not in MW)	ā
likely-distinct	3	utKalI	utkhalī	N. of a Buddhist goddess.	utKalin	utkhalin	N. of a Buddhist deity.	ī
likely-distinct	3	vAriDArA	vāridhārā	. ) a torrent of w˚ (galad-aSru-v˚, a t˚ of flowing tears	vAriDAra	vāridhāra	N. of a mountain	ā
likely-distinct	3	vAsA	vāsā	(not in MW)	vAsa	vāsa	perfuming, perfume	ā
likely-distinct	3	vEratA	vairatā	enmity, hostility	vErata	vairata	N. of a people	ā
likely-distinct	3	vIracaryA	vīracaryā	the deeds of a hero, adventurous exploits	vIracarya	vīracarya	N. of a king	ā
likely-distinct	3	vartikA	vartikā	id.	vartika	vartika	= vartaka, a quail	ā
likely-distinct	3	vidyunmAlA	vidyunmālā	a wreath of l˚	vidyunmAla	vidyunmāla	N. of a monkey	ā
