lemma_slp1	root_slp1	how
ABA	BA	suffix
ABAs	BAs	suffix
ABAsIBU	BU	suffix
ABAsay	BAsay	suffix
ABAz	BAz	suffix
ABU	BU	suffix
ABUz	BUz	suffix
ABaj	Baj	suffix
ABaraRAy	ABaraRAy	self
ABf	Bf	suffix
ABid	Bid	suffix
ABrAj	BrAj	suffix
ABrAmay	BrAmay	suffix
ABraMSay	BraMSay	suffix
ABuj	Buj	suffix
ACoray	Coray	suffix
ADA	DA	suffix
ADApay	DApay	suffix
ADArIkf	kf	suffix
ADAray	DAray	suffix
ADAv	DAv	suffix
ADI	DI	suffix
ADIkf	kf	suffix
ADU	DU	suffix
ADUmay	ADUmay	self
ADUpay	ADUpay	self
ADam	Dam	suffix
ADarzay	Darzay	suffix
ADf	Df	suffix
ADfz	Dfz	suffix
ADits	Dits	suffix
ADmApay	DmApay	suffix
ADvaMs	DvaMs	suffix
ADyA	DyA	suffix
ADyAyay	DyAyay	suffix
AGAray	GAray	suffix
AGAtay	GAtay	suffix
AGUrR	GUrR	suffix
AGawway	Gawway	suffix
AGf	Gf	suffix
AGozay	Gozay	suffix
AGrA	GrA	suffix
AGrApay	GrApay	suffix
AGuz	Guz	suffix
AKAd	KAd	suffix
AKid	Kid	suffix
AKyA	KyA	suffix
AKyApay	KyApay	suffix
AQAlay	QAlay	suffix
AQOkay	QOkay	suffix
AS	AS	unresolved
ASA	SA	suffix
ASAs	SAs	suffix
ASI	SI	suffix
ASaMs	SaMs	suffix
ASaMsay	SaMsay	suffix
ASaNk	SaNk	suffix
ASak	Sak	suffix
ASay	ASay	self
AScary	AScary	self
AScotay	Scotay	suffix
AScut	Scut	suffix
ASf	Sf	suffix
ASlezay	Slezay	suffix
ASliz	Sliz	suffix
ASoDay	SoDay	suffix
ASrAvay	SrAvay	suffix
ASrI	SrI	suffix
ASram	Sram	suffix
ASramay	Sramay	suffix
ASrayIBU	BU	suffix
ASri	Sri	suffix
ASriz	Sriz	suffix
ASru	Sru	suffix
ASuc	Suc	suffix
ASuz	Suz	suffix
ASvAsay	SvAsay	suffix
ASvas	Svas	suffix
ASyA	SyA	suffix
ASyAnay	SyAnay	suffix
AYC	AYC	self
AYc	AYc	unresolved
AYj	AYj	unresolved
AYjay	AYjay	unresolved
AbAD	bAD	suffix
AbanD	banD	suffix
AbfMh	AbfMh	self
AboDay	boDay	suffix
AbrU	brU	suffix
AbuD	buD	suffix
AcAlay	cAlay	suffix
AcAmay	cAmay	suffix
AcAray	cAray	suffix
AcCAday	CAday	suffix
AcCad	Cad	suffix
AcCanday	Canday	suffix
AcCfd	Cfd	suffix
AcCid	Cid	suffix
AcCo	AcCo	unresolved
AcUrRay	cUrRay	suffix
AcUz	cUz	suffix
Acakz	cakz	suffix
Acam	cam	suffix
Acamay	camay	suffix
Acar	car	suffix
AcaraRy	caraRy	suffix
Acezw	cezw	suffix
Acezway	cezway	suffix
Acft	cft	suffix
Aci	ci	suffix
AciKyAs	AciKyAs	self
AcikIrz	cikIrz	suffix
Acintay	cintay	suffix
Acit	cit	suffix
Acoday	coday	suffix
Acumb	cumb	suffix
AcyAvay	cyAvay	suffix
Acyu	cyu	suffix
AdA	dA	suffix
AdAhay	dAhay	suffix
AdApay	dApay	suffix
AdIp	dIp	suffix
AdIpay	dIpay	suffix
AdaB	daB	suffix
AdaG	daG	suffix
AdaMS	daMS	suffix
Adah	dah	suffix
AdanIkf	kf	suffix
AdarSay	darSay	suffix
Adardar	dardar	suffix
Aday	Aday	self
AdeSay	deSay	suffix
AdediS	dediS	suffix
Adf	df	suffix
AdfS	dfS	suffix
AdiS	diS	suffix
Adih	dih	suffix
Adikf	kf	suffix
Adits	dits	suffix
Ado	do	suffix
Adru	dru	suffix
Adu	du	suffix
Aduh	duh	suffix
Adyut	dyut	suffix
AgA	gA	suffix
AgaD	gaD	suffix
Agal	gal	suffix
Agam	gam	suffix
Agamay	gamay	suffix
AganIgam	ganIgam	suffix
Agaskf	kf	suffix
Agf	gf	suffix
Agrah	grah	suffix
AgranT	granT	suffix
Agras	gras	suffix
Agup	gup	suffix
Agur	gur	suffix
AhAray	AhAray	self
Ahan	han	suffix
Aharay	haray	suffix
Ahf	hf	suffix
Ahfz	hfz	suffix
Ahi	hi	suffix
AhiMs	hiMs	suffix
AhiRq	hiRq	suffix
AhlAday	hlAday	suffix
Ahu	hu	suffix
AhutIkf	kf	suffix
AhvA	hvA	suffix
AhvAnay	hvAnay	suffix
AhvApay	AhvApay	self
AhvAyay	hvAyay	suffix
Aj	Aj	unresolved
AjIv	jIv	suffix
AjIvay	jIvay	suffix
AjYA	jYA	suffix
AjYApay	jYApay	suffix
AjYapay	jYapay	suffix
AjaNGan	jaNGan	suffix
Ajan	jan	suffix
Ajanay	janay	suffix
Ajap	jap	suffix
Aji	ji	suffix
Ajigamiz	jigamiz	suffix
AjihIrz	jihIrz	suffix
AjijIviz	jijIviz	suffix
Ajinv	jinv	suffix
Ajohav	johav	suffix
Ajugups	jugups	suffix
Ajuz	juz	suffix
AjvAlay	jvAlay	suffix
AkANkz	kANkz	suffix
AkAS	kAS	suffix
AkAray	kAray	suffix
AkU	kU	suffix
AkURay	kURay	suffix
AkUj	kUj	suffix
AkaR	AkaR	self
Akal	kal	suffix
Akalay	kalay	suffix
Akalpay	kalpay	suffix
Akam	kam	suffix
Akamp	kamp	suffix
Akampay	kampay	suffix
Akan	kan	suffix
AkarRay	AkarRay	self
Akarikf	karikf	suffix
Akarzay	karzay	suffix
Akawway	kawway	suffix
Akf	kf	suffix
Akft	kft	suffix
Akfz	kfz	suffix
Akleday	kleday	suffix
Aklid	klid	suffix
Akoway	koway	suffix
AkrAmay	krAmay	suffix
AkrI	krI	suffix
AkrIq	krIq	suffix
Akram	kram	suffix
Akramay	kramay	suffix
Akrand	krand	suffix
Akranday	kranday	suffix
AkruD	kruD	suffix
AkruS	kruS	suffix
AkuYc	kuYc	suffix
AkuYcay	kuYcay	suffix
AkulIBU	BU	suffix
AkulIkf	kf	suffix
Akulay	Akulay	self
AkzAlay	kzAlay	suffix
AkzAray	kzAray	suffix
AkzRu	kzRu	suffix
Akzan	kzan	suffix
Akzepay	kzepay	suffix
Akzi	kzi	suffix
Akzip	kzip	suffix
AlApay	lApay	suffix
AlI	lI	suffix
AlU	lU	suffix
AlaB	laB	suffix
Alag	lag	suffix
Alakzay	lakzay	suffix
AlamBay	lamBay	suffix
Alamb	lamb	suffix
AlambanIBU	BU	suffix
AlambanIkf	kf	suffix
Alambay	lambay	suffix
Alap	lap	suffix
Alaz	laz	suffix
Alepay	lepay	suffix
AliK	liK	suffix
AliNg	liNg	suffix
AliNgay	liNgay	suffix
Alih	lih	suffix
Alip	lip	suffix
Alips	lips	suffix
Alocay	locay	suffix
Alok	lok	suffix
Alokay	lokay	suffix
Alolay	lolay	suffix
Aloqay	loqay	suffix
AluB	luB	suffix
AluYc	luYc	suffix
Alul	lul	suffix
AluloBay	luloBay	suffix
Alup	lup	suffix
Aluq	luq	suffix
AmI	mI	suffix
AmIlay	mIlay	suffix
AmIv	AmIv	self
AmUrC	mUrC	suffix
AmaT	maT	suffix
Amad	mad	suffix
AmahIy	AmahIy	self
Amahay	Amahay	self
Amajj	majj	suffix
Aman	man	suffix
AmanTay	manTay	suffix
Amantray	mantray	suffix
Amarday	marday	suffix
Amarzay	marzay	suffix
Amay	Amay	self
Amemy	memy	suffix
Amf	mf	suffix
AmfS	mfS	suffix
Amfd	mfd	suffix
Amfj	mfj	suffix
Amfz	mfz	suffix
AmlA	mlA	suffix
AmnA	mnA	suffix
Amoday	moday	suffix
Amreqay	mreqay	suffix
AmuKIBU	BU	suffix
AmuKIkf	kf	suffix
Amuc	muc	suffix
Amuz	muz	suffix
AnAday	nAday	suffix
AnAmay	nAmay	suffix
AnAyay	nAyay	suffix
AnI	nI	suffix
Anad	nad	suffix
Anah	nah	suffix
Anakz	nakz	suffix
Anam	nam	suffix
Anamay	namay	suffix
Anand	nand	suffix
Ananday	nanday	suffix
Anard	nard	suffix
Anartay	nartay	suffix
Andolay	Andolay	self
Anft	nft	suffix
Anizad	ad	suffix
Anu	nu	suffix
Ap	Ap	self
ApA	pA	suffix
ApARqurIBU	BU	suffix
ApAday	pAday	suffix
ApAray	pAray	suffix
ApAtay	pAtay	suffix
ApAway	pAway	suffix
ApAyay	pAyay	suffix
ApIqay	pIqay	suffix
ApItay	ApItay	self
ApU	pU	suffix
ApUjay	pUjay	suffix
ApUray	pUray	suffix
ApUy	pUy	suffix
ApaS	paS	suffix
Apad	pad	suffix
ApanIPaR	panIPaR	suffix
Apat	pat	suffix
Apay	Apay	self
Apf	pf	suffix
ApfR	pfR	suffix
Apfc	pfc	suffix
ApiS	piS	suffix
Apibd	pibd	suffix
Apipayiz	Apipayiz	self
Apiz	piz	suffix
AplAvay	plAvay	suffix
Aplu	plu	suffix
Apluz	pluz	suffix
ApoTay	poTay	suffix
AprA	prA	suffix
AprI	prI	suffix
ApraTay	praTay	suffix
ApracC	pracC	suffix
ApratI	ApratI	unresolved
Apratinivft	vft	suffix
Aprayam	yam	suffix
Apru	pru	suffix
ApruzAy	pruzAy	suffix
ApyA	pyA	suffix
ApyAyay	pyAyay	suffix
Ap￞	Ap￞	unresolved
Ar	Ar	self
ArAD	rAD	suffix
ArADay	rADay	suffix
ArAgay	rAgay	suffix
ArC	ArC	unresolved
ArD	ArD	unresolved
AraB	raB	suffix
AraYj	raYj	suffix
Aracay	racay	suffix
Arakz	rakz	suffix
Aram	ram	suffix
AramBay	ramBay	suffix
ArambaRIkf	kf	suffix
Aras	ras	suffix
Araw	raw	suffix
ArdrIkf	kf	suffix
Ardray	Ardray	self
Ari	ri	suffix
AriP	riP	suffix
AriS	riS	suffix
Aric	ric	suffix
Arih	rih	suffix
Arips	rips	suffix
Ariz	riz	suffix
AroDay	roDay	suffix
Arocay	rocay	suffix
ArogyApay	ArogyApay	self
Arogyay	Arogyay	self
Arohay	rohay	suffix
Aropay	ropay	suffix
Arozay	rozay	suffix
Arpay	pay	suffix
ArtIy	ArtIy	self
Aru	ru	suffix
AruD	ruD	suffix
Aruc	ruc	suffix
Aruh	ruh	suffix
Aruj	ruj	suffix
Arurukz	rurukz	suffix
As	As	unresolved
AsAday	sAday	suffix
AsAray	sAray	suffix
AsIv	sIv	suffix
AsPAlay	sPAlay	suffix
AsPoway	sPoway	suffix
AsTA	sTA	suffix
AsTApay	sTApay	suffix
AsU	sU	suffix
AsUtray	sUtray	suffix
AsaMgrah	grah	suffix
AsaMji	ji	suffix
AsaYj	saYj	suffix
AsaYjay	saYjay	suffix
Asac	sac	suffix
Asad	sad	suffix
Asan	san	suffix
AsanIkf	kf	suffix
AsannIBU	BU	suffix
Asay	Asay	self
AseDay	seDay	suffix
Asecay	secay	suffix
Asev	sev	suffix
Asevay	sevay	suffix
Asf	sf	suffix
Asfj	sfj	suffix
Asfp	sfp	suffix
AsiD	siD	suffix
AsiYj	siYj	suffix
Asic	sic	suffix
AsisaNkz	AsisaNkz	self
AsizAs	sizAs	suffix
AskaB	AskaB	unresolved
Askand	skand	suffix
Asku	sku	suffix
AspadIBU	BU	suffix
AspadIkf	kf	suffix
Aspand	spand	suffix
Aspf	spf	suffix
AspfS	spfS	suffix
AsrAvay	srAvay	suffix
Asru	sru	suffix
