form_slp1	lemma_slp1	pos	n_entries
AdediSAna	AdediS	noun	2
Adedizwa	AdediS	verb	2
Adeha	Adehi	noun	8
AdevI	Adiv	noun	1
AdiBUta	AdiBUta	noun	2
AdiSAm	AdiS	noun	7
AdiSarIra	AdiSarIra	noun	2
Adid	Aditsi	noun	21
AdikAle	AdikAla	noun	9
AdikAraRa	AdikAraRa	noun	2
Adikartf	Adikartf	noun	3
Adimattva	Adimattva	noun	2
Adinava	Adinava	noun	2
AdirUpeRa	AdirUpa	noun	2
Adit	Aditsi	noun	21
Adite	AditA	noun	14
Adityadevata	Adityadevata	noun	2
Adityagata	Adityagata	noun	2
AdityajUta	AdityajUta	noun	2
Adityajyotis	Adityajyotis	noun	9
Adityaketu	Adityaketu	noun	3
Adityaloka	Adityaloka	noun	2
AdityamaRqala	AdityamaRqala	noun	2
AdityamaRqalam	AdityamaRqala	noun	3
AdityatIrTa	AdityatIrTa	noun	2
Adityatva	Adityatva	noun	2
Adityatvam	Adityatva	noun	3
AdityavarRa	AdityavarRa	noun	4
AdityavarRam	AdityavarRa	noun	6
AdityavarRena	AdityavarRa	noun	4
AdivaMSa	AdivaMSa	noun	2
Adivat	ad	noun	3
Adyanta	Adyanta	noun	4
Adyantavanti	Adyantavat	noun	3
Adyantavat	Adyantavat	noun	3
Ag	Aci	noun	7
AgAmin	Agam	noun	2
AgAtf	AgE	noun	6
AgacCamAna	Agam	noun	2
Agam	ag	noun	3
AgamApAyin	AgamApAyin	noun	2
AgamasaMhita	AgamasaMhita	noun	2
Agamin	AgAmi	noun	4
AgamizWa	AgamizWa	noun	2
Agamyase	AgAmi	verb	4
Agantavya	Agam	noun	2
Agantf	Agam	noun	3
AgatAgama	AgatAgama	noun	2
AgatAgamam	AgatAgama	noun	3
AgatAsTa	AgatAsTa	noun	2
AgatavismayAni	Agatavismaya	noun	3
AgniveSi	AgniveSi	noun	3
AgniveSya	AgniveSya	noun	4
AgrayaRaka	AgrayaRaka	noun	2
AhAraSudDi	AhAraSudDi	noun	3
AhAraSudDyA	AhAraSudDi	noun	1
AhArasamBavam	AhArasaMBava	noun	3
AhAraya	AhAri	verb	2
AhArita	AhAri	noun	2
AhArzu	AhAri	noun	3
AhUrya	AhUrya	noun	2
AhUyantAm	Ahu	verb	1
AhUyate	Ahu	verb	1
Aham	Ahi	noun	8
Ahan	Ahan	verb	2
Ahanas	Ahanas	noun	5
AhanyamAnAnAm	Ahan	noun	3
AhanyamAna	Ahan	noun	2
Ahanyata	Ahan	verb	1
Ahare	Ahf	noun	27
AhatalakzaRa	AhatalakzaRa	noun	2
AhavaSoBin	AhavaSoBin	noun	2
AhavaSoBinA	AhavaSoBin	noun	2
AhavaSoBinam	AhavaSoBin	noun	1
Aheya	Ahi	noun	2
Ahfti	Ahf	noun	12
