form_slp1	primary_lemma	primary_upos	primary_n	alt_lemma	alt_upos	alt_n
A	A	ADP	5722	as	VERB	22
ABA	ABa	ADJ	73	ABA	NOUN	8
ABAH	ABa	ADJ	117	ABA	NOUN	3
ABam	ABa	ADJ	388	ABA	NOUN	1
ABara	ABf	VERB	35	ABara	NOUN	1
ADeya	ADA	VERB	11	ADeya	NOUN	7
AGUrRita	AGUrR	VERB	17	AGUrRita	ADJ	1
AKyA	AKyA	NOUN	217	AKya	ADJ	7
AKyAtA	AKyA	VERB	26	AKyAtf	NOUN	4
AKyAta	AKyA	VERB	30	AKyAta	NOUN	6
AKyAtaM	AKyA	VERB	106	AKyAta	NOUN	1
AKyAtam	AKyA	VERB	142	AKyAta	NOUN	3
AKyAti	AKyA	VERB	20	AKyAti	NOUN	1
AKyAtu	AKyA	VERB	11	AKyAtu	NOUN	2
AKyaH	AKyA	NOUN	360	AKya	ADJ	28
ANgirasI	ANgirasa	ADJ	6	ANgirasI	NOUN	1
ANgirasa	ANgirasa	NOUN	13	ANgirasa	ADJ	4
ANgirasaH	ANgirasa	NOUN	37	ANgirasa	ADJ	5
ANgirasaM	ANgirasa	NOUN	10	ANgirasa	ADJ	5
ANgirasam	ANgirasa	NOUN	8	ANgirasa	ADJ	6
ANgirasena	ANgirasa	NOUN	2	ANgirasa	ADJ	1
ASI	ASin	ADJ	197	ASI	NOUN	12
ASa	aS	VERB	7	ASa	NOUN	2
ASaNke	ASaNk	VERB	3	ASaNkA	NOUN	2
ASaya	ASaya	NOUN	93	ASay	VERB	1
ASaye	ASaya	NOUN	40	ASI	VERB	8
AScarya	AScarya	NOUN	125	AScarya	ADJ	25
AScaryaM	AScarya	NOUN	98	AScarya	ADJ	12
AScaryam	AScarya	NOUN	138	AScarya	ADJ	18
ASlizwa	ASliz	VERB	5	ASlizwa	NOUN	2
ASrAvya	ASrAvay	VERB	170	ASrAvya	NOUN	1
ASraya	ASraya	NOUN	171	ASri	VERB	7
ASrayaH	ASraya	NOUN	176	ASri	VERB	2
ASrita	ASri	VERB	33	ASrita	NOUN	1
ASu	ASu	ADV	885	ASu	ADJ	364
ASuH	ASu	ADJ	8	aS	VERB	1
ASvinIH	ASvina	ADJ	2	ASvinI	NOUN	2
ATarvaRa	ATarvaRa	NOUN	7	ATarvaRa	ADJ	1
ATarvaRam	ATarvaRa	NOUN	5	ATarvaRa	ADJ	4
ATarvaRena	ATarvaRa	ADJ	3	ATarvaRa	NOUN	2
AYjana	AYjana	NOUN	16	AYjana	ADJ	6
AYjanena	AYjana	ADJ	3	AYjana	NOUN	1
AcAma	AcAma	NOUN	9	Acam	VERB	5
Acarita	Acar	VERB	9	Acarita	NOUN	1
Acaritam	Acar	VERB	39	Acarita	NOUN	6
Acarite	Acar	VERB	9	Acarita	NOUN	1
Acaritena	Acar	VERB	3	Acarita	NOUN	1
Acarya	Acar	VERB	5	Acarya	NOUN	1
AcitA	Aci	VERB	24	Acit	ADJ	1
Acita	Aci	VERB	25	Acita	NOUN	6
AcitaH	Aci	VERB	15	Acit	ADJ	1
AdAya	AdA	VERB	1779	Ada	ADJ	18
Ada	Ada	ADJ	3	ad	VERB	1
AdaH	Ada	ADJ	159	AdA	VERB	1
Adad	ad	VERB	3	AdA	VERB	2
Adam	Ada	ADJ	33	ad	VERB	1
AdeSam	AdeSa	NOUN	30	AdiS	VERB	3
AdftAH	Adf	VERB	26	Adfta	ADJ	5
Adfta	Adf	VERB	13	Adfta	ADJ	4
Adi	Adi	NOUN	6483	Adin	ADJ	5
AdiSaH	AdiS	NOUN	6	AdiS	VERB	1
AdiSaM	AdiS	NOUN	1	AdiS	VERB	1
AdiSam	AdiS	NOUN	4	AdiS	VERB	4
