slp1	freq_band	poly_band	arm	chrf_mw	chrf_fr	chrf_ru	chrf_multi2	chrf_multi3	token_f1_mw	token_f1_fr	token_f1_ru
AyA	high	mono	A0_random_floor	22.23	9.73	0.00	22.23	22.23	0.1379	0.0000	0.0000
catur	high	mono	A0_random_floor	5.86	8.24	0.46	8.24	8.24	0.0299	0.0000	0.0000
prada	high	mono	A0_random_floor	9.85	8.27	0.45	9.85	9.85	0.0000	0.0690	0.0000
aTa	high	mono	A0_random_floor	18.33	13.25	0.00	18.33	18.33	0.0323	0.0000	0.0000
spfS	high	mono	A0_random_floor	3.63	2.46	0.00	3.63	3.63	0.0559	0.0123	0.0000
paW	high	mono	A0_random_floor	17.32	13.68	0.16	17.32	17.32	0.1111	0.0144	0.0000
nagara	high	mono	A0_random_floor	13.05	8.76	0.00	13.05	13.05	0.0667	0.0000	0.0000
lip	high	mono	A0_random_floor	30.10	15.03	0.33	30.10	30.10	0.2561	0.0000	0.0000
SuB	high	mono	A0_random_floor	23.57	17.33	0.63	23.57	23.57	0.3636	0.0000	0.0000
tyaj	high	mono	A0_random_floor	11.01	10.11	0.00	11.01	11.01	0.1333	0.0000	0.0000
azwan	high	mono	A0_random_floor	5.88	6.12	0.00	6.12	6.12	0.0000	0.0000	0.0000
udAhf	high	mono	A0_random_floor	6.82	5.34	0.00	6.82	6.82	0.0000	0.0000	0.0000
pratigrah	high	mono	A0_random_floor	11.00	13.10	0.28	13.10	13.10	0.1062	0.0000	0.0000
sadA	high	mono	A0_random_floor	13.57	9.73	0.00	13.57	13.57	0.0000	0.0000	0.0000
tvar	high	mono	A0_random_floor	24.18	15.17	0.58	24.18	24.18	0.2393	0.0000	0.0000
aYj	high	mono	A0_random_floor	5.32	4.64	0.00	5.32	5.32	0.0000	0.0000	0.0000
vraj	high	mono	A0_random_floor	25.56	17.48	0.50	25.56	25.56	0.2890	0.0335	0.0000
soma	high	mono	A0_random_floor	11.47	6.36	0.00	11.47	11.47	0.1019	0.0000	0.0000
sma	high	mono	A0_random_floor	2.78	2.45	2.07	2.78	2.78	0.0698	0.0274	0.0000
saMyuj	high	mono	A0_random_floor	6.50	9.38	0.00	9.38	9.38	0.0915	0.0000	0.0000
prapad	high	mono	A0_random_floor	4.35	4.70	0.00	4.70	4.70	0.0148	0.0000	0.0000
KAd	high	mono	A0_random_floor	7.49	4.71	0.00	7.49	7.49	0.0976	0.0000	0.0000
sItA	high	mono	A0_random_floor	18.86	17.78	0.37	18.86	18.86	0.1279	0.0000	0.0000
prakzip	high	mono	A0_random_floor	12.62	7.94	0.00	12.62	12.62	0.1111	0.0000	0.0000
avasTA	high	mono	A0_random_floor	2.36	2.17	0.42	2.36	2.36	0.0725	0.0000	0.0000
vIkz	high	mono	A0_random_floor	19.45	14.48	0.45	19.45	19.45	0.1190	0.0000	0.0000
prasad	high	mono	A0_random_floor	2.64	4.09	0.00	4.09	4.09	0.0208	0.0000	0.0000
Agam	high	mono	A0_random_floor	8.11	7.79	0.00	8.11	8.11	0.0698	0.0000	0.0000
dviviDa	high	mono	A0_random_floor	8.15	10.50	0.00	10.50	10.50	0.0833	0.0351	0.0000
vyAp	high	mono	A0_random_floor	5.32	2.33	0.00	5.32	5.32	0.0000	0.0000	0.0000
mil	high	mono	A0_random_floor	7.37	4.60	0.00	7.37	7.37	0.1250	0.0000	0.0000
ASin	high	mono	A0_random_floor	9.10	6.37	0.28	9.10	9.10	0.0000	0.0000	0.0000
sampad	high	mono	A0_random_floor	9.10	9.12	0.00	9.12	9.12	0.1146	0.0000	0.0000
prahfz	high	mono	A0_random_floor	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000
nipat	high	mono	A0_random_floor	4.61	8.74	0.00	8.74	8.74	0.0851	0.0000	0.0000
car	high	mono	A0_random_floor	13.00	7.72	0.22	13.00	13.00	0.0784	0.0000	0.0000
pre	high	mono	A0_random_floor	10.87	11.61	0.00	11.61	11.61	0.0312	0.0000	0.0000
BrU	high	mono	A0_random_floor	12.75	15.05	0.00	15.05	15.05	0.0833	0.0000	0.0000
visfj	high	mono	A0_random_floor	3.54	6.92	0.00	6.92	6.92	0.0160	0.0000	0.0000
roza	high	mono	A0_random_floor	16.26	12.20	0.36	16.26	16.26	0.1250	0.0000	0.0000
aDunA	high	mono	A0_random_floor	4.21	9.58	0.15	9.58	9.58	0.0000	0.0000	0.0000
prajan	high	mono	A0_random_floor	7.22	10.82	0.00	10.82	10.82	0.0612	0.0000	0.0000
han	high	mono	A0_random_floor	0.26	0.18	0.00	0.26	0.26	0.0000	0.0000	0.0000
mf	high	mono	A0_random_floor	12.60	6.21	0.00	12.60	12.60	0.0833	0.0000	0.0000
Ayam	high	mono	A0_random_floor	2.27	3.07	0.00	3.07	3.07	0.0263	0.0000	0.0000
Acar	high	mono	A0_random_floor	4.80	4.87	0.00	4.87	4.87	0.0588	0.0588	0.0000
upAdA	high	mono	A0_random_floor	6.50	8.33	0.00	8.33	8.33	0.0645	0.0000	0.0000
upapad	high	mono	A0_random_floor	16.91	15.41	0.00	16.91	16.91	0.1925	0.0000	0.0000
vyaT	high	mono	A0_random_floor	1.39	1.56	0.00	1.56	1.56	0.0449	0.0000	0.0000
yAc	high	mono	A0_random_floor	5.77	5.38	0.00	5.77	5.77	0.0952	0.0000	0.0000
Df	high	mono	A0_random_floor	12.06	9.28	0.00	12.06	12.06	0.0899	0.0204	0.0000
rakz	high	poly2_4	A0_random_floor	3.22	2.67	0.00	3.22	3.22	0.0561	0.0233	0.0000
janapada	high	poly2_4	A0_random_floor	18.30	16.64	0.00	18.30	18.30	0.1724	0.0000	0.0000
