folder	basename	text_formats	media_formats	topic_tags	text_bytes_total
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2016-2017-гг-Лекция-9-05112016	txt	(none-in-same-folder)	russian_diachrony	8540
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Аудиозапись-лекции-2-23092017	txt	(none-in-same-folder)	russian_diachrony	10500
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-1-16092017	txt	(none-in-same-folder)	russian_diachrony	6600
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-10-18112017	txt	(none-in-same-folder)	russian_diachrony	8600
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-11-25112017	txt	(none-in-same-folder)	russian_diachrony	8120
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-12-02122017	txt	(none-in-same-folder)	russian_diachrony	8260
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-13-09122017	txt	(none-in-same-folder)	russian_diachrony	9320
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-14-последняя-16122017	txt	(none-in-same-folder)	russian_diachrony	6360
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-3-30092017	txt	(none-in-same-folder)	russian_diachrony	5580
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-4-07102017	txt	(none-in-same-folder)	russian_diachrony	7960
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-5-14102017	txt	(none-in-same-folder)	russian_diachrony	7580
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-6-21102017	txt	(none-in-same-folder)	russian_diachrony	9280
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-7-28102017	txt	(none-in-same-folder)	russian_diachrony	6620
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-8-06112017	txt	(none-in-same-folder)	russian_diachrony	9720
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-История-русского-ударения-2017-г-Лекция-9-11112017	txt	(none-in-same-folder)	russian_diachrony	8080
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Начало-лекции-11-декабря-2010-г-МГУ	txt	(none-in-same-folder)	other_unclassified	680
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Начало-лекции-по-санскриту-18-декабря-2010-г	txt	(none-in-same-folder)	sanskrit_vedic	560
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-10-21112015	txt	(none-in-same-folder)	sanskrit_vedic	9200
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-11-28112015	txt	(none-in-same-folder)	sanskrit_vedic	8520
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-12-05122015	txt	(none-in-same-folder)	sanskrit_vedic	10660
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-13-12122015	txt	(none-in-same-folder)	sanskrit_vedic	7920
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-13-30042016	txt	(none-in-same-folder)	sanskrit_vedic	9280
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-14-19122015	txt	(none-in-same-folder)	sanskrit_vedic	6720
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-15-13022016	txt	(none-in-same-folder)	sanskrit_vedic	6300
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-16-22022016	txt	(none-in-same-folder)	sanskrit_vedic	10240
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-17-27022016	txt	(none-in-same-folder)	sanskrit_vedic	9100
таймкоды-речи-канал-Анна-Осанкина	А-А-Зализняк-Строй-ведийского-языка-2015-2016-гг-Лекция-18-05032016	txt	(none-in-same-folder)	sanskrit_vedic	7720
