dict,lang,headword_iast,headword_slp1,register,field,latin_gloss,sanskrit_example_iast,citation
PW,de,aṅkuśa,aNkuSa,CLINICAL,clitoris,clitoris,ā,GAL.
PW,de,bhagāṅkura,BagANkura,CLINICAL,clitoris,clitoris,bhagāṅkura,
PWG,de,bhagāṅkura,BagANkura,CLINICAL,clitoris,clitoris,a˚,ŚABDĀRTHAK.
PW,de,gula,gula,CLINICAL,clitoris,clitoris,ā,
PWG,de,gula,gula,CLINICAL,clitoris,clitoris,ā,H. 611
PWG,de,yoniliṅga,yoniliNga,CLINICAL,clitoris,clitoris,yoniliṅga,WILSON
SCH,de,adhorata,aDorata,CLINICAL,coitus,coitus,,
PW,de,aharṣaṇa,aharzaRa,CLINICAL,coitus,coitus,aharṣaṇa,"CARAKA. 8,13"
SCH,de,aibha,EBa,CLINICAL,coitus,coitus,,
SCH,de,aiṇa,ERa,CLINICAL,coitus,coitus,,
PW,de,aiṇeya,EReya,CLINICAL,coitus,coeundi,eṇa,
PWG,de,aiṇeya,EReya,CLINICAL,coitus,coitus,eṇa,"H. an. 3,484"
SCH,de,aiṇeya,EReya,CLINICAL,coitus,coitus,,
SCH,de,antaḥsaṃdaṃśa,antaHsaMdaMSa,CLINICAL,coitus,coitus,,
PWG,de,aratatrapa,aratatrapa,CLINICAL,coitus,coitus,rata — trapā,"TRIK. 2,10,6"
SCH,de,ardhanipīḍita,arDanipIqita,CLINICAL,coitus,coitus,,
SCH,de,ardhapadmāsana,arDapadmAsana,CLINICAL,coitus,coitus,,
SCH,de,ardhapīḍita,arDapIqita,CLINICAL,coitus,coitus,,
SCH,de,ardhapīḍitaka,arDapIqitaka,CLINICAL,coitus,coitus,,
PW,de,asaṃvartamāna,asaMvartamAna,CLINICAL,coitus,coitu,asaṃvartamāna,
SCH,de,avagiraṇa,avagiraRa,CLINICAL,coitus,coitus,,
SCH,de,avalambita,avalambita,CLINICAL,coitus,coitus,,
SCH,de,avalambitaka,avalambitaka,CLINICAL,coitus,coitus,,
SCH,de,avamardana,avamardana,CLINICAL,coitus,coitus,,
SCH,de,avidārita,avidArita,CLINICAL,coitus,coitus,,
SCH,de,aṅgulipīḍana,aNgulipIqana,CLINICAL,coitus,coitus,,
SCH,de,aṅgulīrata,aNgulIrata,CLINICAL,coitus,coitus,,
SCH,de,bakapīḍaka,bakapIqaka,CLINICAL,coitus,coitus,,
SCH,de,bandharāja,banDarAja,CLINICAL,coitus,coitus,,
SCH,de,bandhurita,banDurita,CLINICAL,coitus,coitus,,
SCH,de,bhramaraka,Bramaraka,CLINICAL,coitus,coitus,,
SCH,de,bhramaṇa,BramaRa,CLINICAL,coitus,coitus,,
SCH,de,bhrāmara,BrAmara,CLINICAL,coitus,coitus,,
SCH,de,bhrāmaraka,BrAmaraka,CLINICAL,coitus,coitus,,
SCH,de,bhugna,Bugna,CLINICAL,coitus,coitus,,
SCH,de,bhugnaka,Bugnaka,CLINICAL,coitus,coitus,,
PWG,de,bhū,BU,CLINICAL,coitus,coire,patyā saṃ bhaveha,"TS. 5,5,2,1"
SCH,de,bībhatsa,bIBatsa,CLINICAL,coitus,coitus,,
SCH,de,cakrabandha,cakrabanDa,CLINICAL,coitus,coitus,,"MBh. 7,191,22."
SCH,de,candrābharaṇabhandha,candrABaraRaBanDa,CLINICAL,coitus,coitus,,
PW,de,casamāsa,casamAsa,CLINICAL,coitus,copulatives,casamāsa,
PWG,de,casamāsa,casamAsa,CLINICAL,coitus,copulatives,sa˚,"Verz. d. Oxf. H. 175,a,5"
PW,de,catuṣpada,catuzpada,CLINICAL,coitus,coeundi,ā,
PWG,de,catuṣpada,catuzpada,CLINICAL,coitus,coitus,strīṇāṃ karaṇabhede,RĀJAN.
SCH,de,caṭakavilasita,cawakavilasita,CLINICAL,coitus,coitus,,
SCH,de,caṭakavilāsa,cawakavilAsa,CLINICAL,coitus,coitus,,
PW,de,ceṣṭaka,cezwaka,CLINICAL,coitus,coeundi,ceṣṭaka,
PWG,de,ceṣṭaka,cezwaka,CLINICAL,coitus,coitus,pādamekaṃ hṛdi nyasya itareṇaiva ceṣṭayet . kāntaḥ kroḍe sthitāṃ nārīṃ bandho 'yaṃ ceṣṭako mataḥ ..,SMARADĪPIKĀ
SCH,de,chāgala,CAgala,CLINICAL,coitus,coitus,,
SCH,de,cumbitaka,cumbitaka,CLINICAL,coitus,coitus,,
