dict,headword_iast,headword_slp1,category,german_word,citation
PWG,saṃstha,saMsTa,urination,harniSAsaMsTAM,"MBH. 12,1992"
PW,sikatāmeha,sikatAmeha,urination,Harn,
PWG,sikatāmeha,sikatAmeha,urination,Harn,WISE 360
PW,sru,sru,urination,pissen,"Comm. zu ĀPAST. 1,5,2"
PWG,sru,sru,urination,pissen,"ŚAT. BR. 4,2,4,7"
PW,sāndramūtra,sAndramUtra,urination,Harn,"CARAKA. 409,2"
PW,ukṣ,ukz,urination,harnen,"GOBH. 1,3,11. 8,26"
PWG,ukṣ,ukz,urination,harnen,"BHĀG. P. 11,28,31"
PW,āghāta,AGAta,urination,Harn,
PWG,āghāta,AGAta,urination,Harn,"SUŚR. 2,192,5"
PW,ālāla,AlAla,urination,Harn,ebend.
PWK,ālāla,AlAla,urination,Harn,ebend.
SCH,ālāla,AlAla,urination,Harn,"Caraka 2,4."
PW,śoṇitamehin,SoRitamehin,urination,harnend,
PWG,śoṇitamehin,SoRitamehin,urination,harnend,"SUŚR. 1,272,20"
PW,śvetamūtra,SvetamUtra,urination,Harn,
