num	pada	status	dcs_sentence_id	dcs_sent_id_label	chapter_ref	dcs_text_norm
1	1	unattested				
1	2	unattested				
2	1	unattested				
2	2	unattested				
3	1	unattested				
3	2	unattested				
4	1	unattested				
4	2	unattested				
5	1	pada	326438	218702	MBh, 5, 37	akarmaśīlaṃcamahāśanaṃcalokadviṣṭaṃbahumāyaṃnṛśaṃsam
5	2	unattested				
6	1	unattested				
6	2	unattested				
7	1	unattested				
7	2	pada	299212	191096	MBh, 3, 33	taṃhaṭhenetimanyantesahiyatnonakasyacit
8	1	pada	326305	218569	MBh, 5, 36	akasmādevakupyantiprasīdantyanimittataḥ
8	2	pada	326306	218570	MBh, 5, 36	śīlametadasādhūnāmabhraṃpāriplavaṃyathā
9	1	unattested				
9	2	unattested				
10	1	unattested				
10	2	unattested				
11	1	unattested				
11	2	unattested				
12	1	unattested				
12	2	unattested				
13	1	unattested				
13	2	unattested				
14	1	unattested				
14	2	unattested				
15	1	pada	557137	132600	Rām, Su, 20	akāmāṃkāmayānasyaśarīramupatapyate
15	2	unattested				
16	1	unattested				
16	2	unattested				
17	1	unattested				
17	2	pada	325984	218248	MBh, 5, 34	akālemantrabhedāccayenamādyennatatpibet
18	1	unattested				
18	2	unattested				
19	1	unattested				
19	2	unattested				
20	1	unattested				
20	2	unattested				
21	1	unattested				
21	2	unattested				
22	1	pada	172971	354292	Hitop, 4	akālayuktasainyastuhanyatekālayodhinā
22	2	pada	172972	354293	Hitop, 4	kauśikenahatajyotirniśīthaivavāyasaḥ
23	1	pada	172610	353931	Hitop, 3	akālasahamatyalpaṃmūrkhavyasanināyakam
23	2	unattested				
24	1	unattested				
24	2	pada	393287	285724	MBh, 12, 136	tadevakālaārabdhaṃmahaterthāyakalpate
25	1	unattested				
25	2	unattested				
26	1	pada	69932	97447	BhāgPur, 11, 14	akiñcanasyadāntasyaśāntasyasamacetasaḥ
26	2	unattested				
27	1	unattested				
27	2	unattested				
28	1	unattested				
28	2	pada	326656	218920	MBh, 5, 39	hantinityaṃkṣamākrodhamācārohantyalakṣaṇam
29	1	unattested				
29	2	unattested				
30	1	unattested				
30	2	unattested				
31	1	unattested				
31	2	unattested				
