fem_slp1	fem_iast	masc_slp1	masc_iast
A	ā	a	a
ABA	ābhā	ABa	ābha
AGawwanA	āghaṭṭanā	AGawwana	āghaṭṭana
AKA	ākhā	AKa	ākha
AKaRqalA	ākhaṇḍalā	AKaRqala	ākhaṇḍala
ASA	āśā	ASa	āśa
ASApurA	āśāpurā	ASApura	āśāpura
ASI	āśī	ASin	āśin
ASIvizA	āśīviṣā	ASIviza	āśīviṣa
ASaMsA	āśaṃsā	ASaMsa	āśaṃsa
ASaNkA	āśaṅkā	ASaNka	āśaṅka
ASlezA	āśleṣā	ASleza	āśleṣa
ASrezA	āśreṣā	ASreza	āśreṣa
AYjanAByaYjanA	āñjanābhyañjanā	AYjanAByaYjana	āñjanābhyañjana
AYjanAByaYjanIyA	āñjanābhyañjanīyā	AYjanAByaYjanIya	āñjanābhyañjanīya
AbADA	ābādhā	AbADa	ābādha
AcArI	ācārī	AcArin	ācārin
AcAryA	ācāryā	AcArya	ācārya
AcyA	ācyā	Acya	ācya
AdA	ādā	Ada	āda
AdI	ādī	Adin	ādin
AdityA	ādityā	Aditya	āditya
AdityaparRinI	ādityaparṇinī	AdityaparRin	ādityaparṇin
AdyA	ādyā	Adya	ādya
AgA	āgā	Aga	āga
AgnIDrA	āgnīdhrā	AgnIDra	āgnīdhra
AgneyEndrA	āgneyaindrā	AgneyEndra	āgneyaindra
AhanasyA	āhanasyā	Ahanasya	āhanasya
AhvA	āhvā	Ahva	āhva
AjA	ājā	Aja	āja
AjAnA	ājānā	AjAna	ājāna
AkANkzA	ākāṅkṣā	AkANkza	ākāṅkṣa
AkAlikA	ākālikā	AkAlika	ākālika
AkAraRA	ākāraṇā	AkAraRa	ākāraṇa
AkarzikA	ākarṣikā	Akarzika	ākarṣika
AkowanA	ākoṭanā	Akowana	ākoṭana
AkrayA	ākrayā	Akraya	ākraya
AlApA	ālāpā	AlApa	ālāpa
AlApinI	ālāpinī	AlApin	ālāpin
AlI	ālī	Alin	ālin
AlambA	ālambā	Alamba	ālamba
AliNganA	āliṅganā	AliNgana	āliṅgana
AmA	āmā	Ama	āma
