slp1	iast
ABAsatA	ābhāsatā
ABIrI	ābhīrī
ABIrapallI	ābhīrapallī
ABerI	ābherī
ABiDA	ābhidhā
ADA	ādhā
ADAnakArikA	ādhānakārikā
ADArakArikA	ādhārakārikā
ADArarUpA	ādhārarūpā
ADAratA	ādhāratā
ADAyitA	ādhāyitā
ADI	ādhī
ADitA	ādhitā
ADmA	ādhmā
ADmAnI	ādhmānī
ADyA	ādhyā
AGarzaRI	āgharṣaṇī
AGawwalikA	āghaṭṭalikā
AGozaRA	āghoṣaṇā
AGoziRI	āghoṣiṇī
AGrA	āghrā
AKaRqalASA	ākhaṇḍalāśā
AKaRqiSAlA	ākhaṇḍiśālā
AKewakAwavI	ākheṭakāṭavī
AKukarRI	ākhukarṇī
AKukarRaparRikA	ākhukarṇaparṇikā
AKuparRI	ākhuparṇī
AKuparRikA	ākhuparṇikā
AKuvizApahA	ākhuviṣāpahā
AKuvizahA	ākhuviṣahā
AKyA	ākhyā
AKyAnakI	ākhyānakī
AKyAyanI	ākhyāyanī
AKyAyikA	ākhyāyikā
AKyayA	ākhyayā
ANgI	āṅgī
ANgadI	āṅgadī
ANgeyI	āṅgeyī
ANgirasI	āṅgirasī
ANkzI	āṅkṣī
AQA	āḍhā
AQArikA	āḍhārikā
AQakI	āḍhakī
AQyatA	āḍhyatā
ARqI	āṇḍī
ASAparA	āśāparā
ASApiSAcikA	āśāpiśācikā
ASAtanA	āśātanā
ASAvarI	āśāvarī
ASAvarItarI	āśāvarītarī
ASIrdA	āśīrdā
ASIrdAyA	āśīrdāyā
ASIvizanadI	āśīviṣanadī
AScaryamaYjarI	āścaryamañjarī
AScaryaratnamAlA	āścaryaratnamālā
AScaryatA	āścaryatā
ASikzA	āśikṣā
ASokA	āśokā
ASrI	āśrī
ASukriyA	āśukriyā
ASupattrI	āśupattrī
ASuyA	āśuyā
ASvAsanI	āśvāsanī
ASvAsanaSIlatA	āśvāsanaśīlatā
ASvalAyanaSAKA	āśvalāyanaśākhā
ASvalAyanagfhyakArikA	āśvalāyanagṛhyakārikā
ASvameDikI	āśvamedhikī
ASvayujI	āśvayujī
ASvinI	āśvinī
AYjanI	āñjanī
AYjanIkArI	āñjanīkārī
AbravantI	ābravantī
AcAracandrikA	ācāracandrikā
AcAravedI	ācāravedī
AcAryAnI	ācāryānī
AcAryAsandI	ācāryāsandī
AcAryajAyA	ācāryajāyā
AcAryatA	ācāryatā
AcCAdayitvA	ācchādayitvā
AcCedanI	ācchedanī
AcamanI	ācamanī
AciKyAsA	ācikhyāsā
AciKyAsopamA	ācikhyāsopamā
AdAnI	ādānī
AdArabimbI	ādārabimbī
AdAribimbI	ādāribimbī
AdeyataratA	ādeyataratā
AdiBavAnI	ādibhavānī
AdikarRI	ādikarṇī
AditA	āditā
AditsA	āditsā
AdityaBaktA	ādityabhaktā
AdityakAntA	ādityakāntā
AdityaparRikA	ādityaparṇikā
AdityapuzpikA	ādityapuṣpikā
AdityasTAlI	ādityasthālī
AdityavallaBA	ādityavallabhā
AdivipulA	ādivipulā
AdyagaNgA	ādyagaṅgā
AgAragoDikA	āgāragodhikā
AgamaSazkulI	āgamaśaṣkulī
AgamacandrikA	āgamacandrikā
AgamakOmudI	āgamakaumudī
AgastI	āgastī
AglA	āglā
AgnIDrI	āgnīdhrī
AgneyI	āgneyī
AgneyapAvamAnI	āgneyapāvamānī
AgneyyEndrI	āgneyyaindrī
AgnipAtnIvatI	āgnipātnīvatī
AgnipAvamAnI	āgnipāvamānī
AgrahAyaRI	āgrahāyaṇī
AgrayaRI	āgrayaṇī
AgrayaRasTAlI	āgrayaṇasthālī
AhAryaSoBA	āhāryaśobhā
AharacewA	āharaceṭā
AharakarawA	āharakaraṭā
AharanivapA	āharanivapā
AharanizkirA	āharaniṣkirā
AharasenA	āharasenā
AharavanitA	āharavanitā
AharavasanA	āharavasanā
AharavitanA	āharavitanā
AhatavisargatA	āhatavisargatā
AhavakAmyA	āhavakāmyā
AhlAdalaharI	āhlādalaharī
AhnikacandrikA	āhnikacandrikā
AhnikamaYjarI	āhnikamañjarī
AhopuruzikA	āhopuruṣikā
AhukI	āhukī
AhutI	āhutī
AhutIzwakA	āhutīṣṭakā
AhutizwakA	āhutiṣṭakā
AhvAyikA	āhvāyikā
AjYA	ājñā
AjYAkarI	ājñākarī
AjijYAsenyA	ājijñāsenyā
AjijityA	ājijityā
AjyaDAnI	ājyadhānī
AjyasTAlI	ājyasthālī
AjyavilApanI	ājyavilāpanī
AkA	ākā
AkASagaNgA	ākāśagaṅgā
AkASajananI	ākāśajananī
AkASakakzA	ākāśakakṣā
AkASamAMsI	ākāśamāṃsī
AkASamUlI	ākāśamūlī
AkASaplavA	ākāśaplavā
AkASavARI	ākāśavāṇī
AkASavallI	ākāśavallī
AkASayoginI	ākāśayoginī
AkAlikI	ākālikī
AkIrRatA	ākīrṇatā
AkarzaRI	ākarṣaṇī
AkarzakArikA	ākarṣakārikā
AkarzakrIqA	ākarṣakrīḍā
AkarziRI	ākarṣiṇī
AkftI	ākṛtī
AkfticCattrA	ākṛticchattrā
AklI	āklī
AkrAntanAyakA	ākrāntanāyakā
AkrI	ākrī
AkulI	ākulī
AkulatA	ākulatā
AkurvatI	ākurvatī
AkzAraRA	ākṣāraṇā
AkzakI	ākṣakī
AkzepiRI	ākṣepiṇī
AkzepopamA	ākṣepopamā
AkzikI	ākṣikī
AkziptikA	ākṣiptikā
AlambanaparIkzA	ālambanaparīkṣā
AleKanI	ālekhanī
AleKyadevatA	ālekhyadevatā
AleKyaleKA	ālekhyalekhā
AligI	āligī
AligavyAyanI	āligavyāyanī
AlokagadADarI	ālokagadādharī
AlokanIyatA	ālokanīyatā
AlolikA	ālolikā
AlozwI	āloṣṭī
AlukI	ālukī
AmBfRI	āmbhṛṇī
AmI	āmī
AmIkzA	āmīkṣā
AmIvA	āmīvā
AmahIyA	āmahīyā
AmalakI	āmalakī
AmarAkzasI	āmarākṣasī
AmatA	āmatā
AmikzA	āmikṣā
AmizI	āmiṣī
AmizatA	āmiṣatā
AmlIkA	āmlīkā
AmlavallI	āmlavallī
AmlikA	āmlikā
AmlocantI	āmlocantī
AmnA	āmnā
AmodajananI	āmodajananī
AmohanikA	āmohanikā
AmrAtakI	āmrātakī
AmrAvatI	āmrāvatī
AmraganDiharidrA	āmragandhiharidrā
AmraniSA	āmraniśā
AmrapAlI	āmrapālī
AmrapeSI	āmrapeśī
AmuktikA	āmuktikā
AmuzyakulikA	āmuṣyakulikā
AmuzyaputrikA	āmuṣyaputrikā
AnDrI	āndhrī
AnI	ānī
AnIlI	ānīlī
AnadDavastitA	ānaddhavastitā
AnakasTalI	ānakasthalī
AnandaBEravI	ānandabhairavī
AnandadIpikA	ānandadīpikā
AnandakalikA	ānandakalikā
AnandalaharI	ānandalaharī
AnandamAlA	ānandamālā
AnandapraBA	ānandaprabhā
AnandatA	ānandatā
AnandavallI	ānandavallī
AnantaryatftIyA	ānantaryatṛtīyā
AndolikA	āndolikā
AnilI	ānilī
AntikA	āntikā
AntratantI	āntratantī
AnuviDitsA	ānuvidhitsā
AnvIkzikI	ānvīkṣikī
ApARqutA	āpāṇḍutā
ApAnaSAlA	āpānaśālā
ApAnagozWI	āpānagoṣṭhī
ApAtalikA	āpātalikā
ApI	āpī
ApaRadevatA	āpaṇadevatā
ApaRavedikA	āpaṇavedikā
ApaTI	āpathī
ApadA	āpadā
ApadevI	āpadevī
ApagA	āpagā
ApannasattvA	āpannasattvā
ApastamBinI	āpastambhinī
ApayA	āpayā
ApfcCA	āpṛcchā
ApfzwvA	āpṛṣṭvā
ApomAtrA	āpomātrā
AprI	āprī
AprItapA	āprītapā
ApratI	āpratī
AptagarBA	āptagarbhā
ApvA	āpvā
ApyAyanI	āpyāyanī
AqI	āḍī
AqindikA	āḍindikā
ArAjYI	ārājñī
ArAmaSItalA	ārāmaśītalā
ArAvalI	ārāvalī
ArGA	ārghā
ArI	ārī
AraBawI	ārabhaṭī
AraRyamudgA	āraṇyamudgā
ArabyayAminI	ārabyayāminī
AraktapuzpI	āraktapuṣpī
AramBarucitA	ārambharucitā
AramBatA	ārambhatā
ArdramAzA	ārdramāṣā
ArdramaYjarI	ārdramañjarī
ArdrapawI	ārdrapaṭī
ArdratA	ārdratā
ArdravastratA	ārdravastratā
ArkzyAyaRI	ārkṣyāyaṇī
ArogyaSAlA	ārogyaśālā
ArogyamAlA	ārogyamālā
ArogyatA	ārogyatā
ArtatA	ārtatā
ArtavI	ārtavī
ArtnI	ārtnī
ArtveyI	ārtveyī
AruzI	āruṣī
AryAsaptaSatI	āryāsaptaśatī
AryAtriSatI	āryātriśatī
AryakulyA	āryakulyā
AryamaRI	āryamaṇī
AryastrI	āryastrī
AryatA	āryatā
AryikA	āryikā
ArzI	ārṣī
ArzaBI	ārṣabhī
ArzoQA	ārṣoḍhā
AsAraSarkarA	āsāraśarkarā
AsItakI	āsītakī
AsPowanI	āsphoṭanī
AsTA	āsthā
AsTAnI	āsthānī
AsTAyikA	āsthāyikā
AsanI	āsanī
AsandI	āsandī
AsandikA	āsandikā
AsannaprasavA	āsannaprasavā
AsannataratA	āsannataratā
AsarvA	āsarvā
AsayA	āsayā
AsecanI	āsecanī
AsevA	āsevā
AspadatA	āspadatā
AsurI	āsurī
AtAlI	ātālī
AtI	ātī
AtiTeyI	ātitheyī
AtiTyasatkriyA	ātithyasatkriyā
AtmABimAnitA	ātmābhimānitā
AtmaDAraRI	ātmadhāraṇī
AtmaSalyA	ātmaśalyā
AtmacintA	ātmacintā
AtmadA	ātmadā
AtmadevatA	ātmadevatā
AtmagatyA	ātmagatyā
AtmaguptA	ātmaguptā
AtmahatyA	ātmahatyā
AtmamUlI	ātmamūlī
AtmanA	ātmanā
AtmanikA	ātmanikā
AtmanindA	ātmanindā
AtmapUjA	ātmapūjā
AtmapraSaMsA	ātmapraśaṃsā
AtmarakzA	ātmarakṣā
AtmasamBAvanA	ātmasambhāvanā
AtmatA	ātmatā
AtmavaDyA	ātmavadhyā
AtmavaYcanA	ātmavañcanā
AtmavattA	ātmavattā
AtmaviDitsA	ātmavidhitsā
AtmavidyA	ātmavidyā
AtmavittA	ātmavittā
AtmecCA	ātmecchā
AtreyI	ātreyī
