slp1	iast
BUlatA	bhūlatā
BUmA	bhūmā
BUmI	bhūmī
BUmayI	bhūmayī
BUmiKarjjUrI	bhūmikharjjūrī
BUmiKarjjUrikA	bhūmikharjjūrikā
BUmijA	bhūmijā
BUmijIvI	bhūmijīvī
BUmijambUkA	bhūmijambūkā
BUmikA	bhūmikā
BUmimaRqapaBUzaRA	bhūmimaṇḍapabhūṣaṇā
BUmisamBavA	bhūmisambhavā
BUmyAmalI	bhūmyāmalī
BUmyAmalakI	bhūmyāmalakī
BUnetA	bhūnetā
BUpAwalI	bhūpāṭalī
BUpadI	bhūpadī
BUputtrI	bhūputtrī
BUriPenA	bhūriphenā
BUribalA	bhūribalā
BUridAvA	bhūridāvā
BUridugDA	bhūridugdhā
BUriganDA	bhūrigandhā
BUrimallI	bhūrimallī
BUripalitadA	bhūripalitadā
BUripremA	bhūripremā
BUripuzpA	bhūripuṣpā
BUruRqI	bhūruṇḍī
BUtA	bhūtā
BUtAlI	bhūtālī
BUtAtmA	bhūtātmā
BUtaDAtrI	bhūtadhātrī
BUtaGnI	bhūtaghnī
BUtabrahmA	bhūtabrahmā
BUtacaturddaSI	bhūtacaturddaśī
BUtadrAvI	bhūtadrāvī
BUtaganDA	bhūtagandhā
BUtahantrI	bhūtahantrī
BUtajawA	bhūtajaṭā
BUtakeSI	bhūtakeśī
BUtalikA	bhūtalikā
BUtamArI	bhūtamārī
BUtanAyikA	bhūtanāyikā
BUtapUrRimA	bhūtapūrṇimā
BUtapatrI	bhūtapatrī
BUtasaYcArI	bhūtasañcārī
BUtaveSI	bhūtaveśī
BUtavikriyA	bhūtavikriyā
BUvadarI	bhūvadarī
BUyuktA	bhūyuktā
BaNgA	bhaṅgā
BaNgArI	bhaṅgārī
BaNgI	bhaṅgī
BaNgavAsA	bhaṅgavāsā
BaNgimA	bhaṅgimā
BaNgurA	bhaṅgurā
BaNkArI	bhaṅkārī
BaNktA	bhaṅktā
BaRqI	bhaṇḍī
BaRqIrI	bhaṇḍīrī
BaRqIralatikA	bhaṇḍīralatikā
BaRqItakI	bhaṇḍītakī
BaRqahAsinI	bhaṇḍahāsinī
BaRqikA	bhaṇḍikā
BaRwAkI	bhaṇṭākī
BaYjA	bhañjā
BadrA	bhadrā
BadrAlI	bhadrālī
BadrAlapatrikA	bhadrālapatrikā
BadrAvatI	bhadrāvatī
