slp1	iast
citrapatrikA	citrapatrikā
citrapuzpI	citrapuṣpī
citrataRqulA	citrataṇḍulā
citravallI	citravallī
citrayoDI	citrayodhī
citriRI	citriṇī
cittaprasannatA	cittaprasannatā
cityA	cityā
civillikA	civillikā
codanA	codanā
colakI	colakī
corA	corā
corapuzpI	corapuṣpī
corapuzpikA	corapuṣpikā
corikA	corikā
cowI	coṭī
cuRwA	cuṇṭā
cuRwI	cuṇṭī
cuYculI	cuñculī
cuYcurI	cuñcurī
cukrA	cukrā
cukrAmlA	cukrāmlā
cukrikA	cukrikā
cullI	cullī
cullakI	cullakī
culukI	culukī
culumpI	culumpī
cundI	cundī
curI	curī
dAQA	dāḍhā
dAQikA	dāḍhikā
dAkzAyaRI	dākṣāyaṇī
dAkzikanTA	dākṣikanthā
dAlA	dālā
dAlI	dālī
dAlikA	dālikā
dAmanI	dāmanī
dArA	dārā
dArI	dārī
dArikA	dārikā
dAruganDA	dārugandhā
dArugarBA	dārugarbhā
dAruharidrA	dāruharidrā
dArukA	dārukā
dArukadalI	dārukadalī
dArumuKyAhvayA	dārumukhyāhvayā
dAruniSA	dāruniśā
dArupItA	dārupītā
dArupatrI	dārupatrī
dAruputtrikA	dāruputtrikā
dArusitA	dārusitā
dArustrI	dārustrī
dArvvI	dārvvī
dArvvikA	dārvvikā
dArvvipatrikA	dārvvipatrikā
dAsI	dāsī
dAsanandinI	dāsanandinī
dAseyI	dāseyī
dAsikA	dāsikā
dAtA	dātā
dAtrI	dātrī
dAyAdI	dāyādī
dEnikI	dainikī
dEtyA	daityā
dEtyamAtA	daityamātā
dEvI	daivī
dEvajYA	daivajñā
dEvakI	daivakī
dEvakovidA	daivakovidā
dEvavARI	daivavāṇī
dI	dī
dIDI	dīdhī
dIkzitA	dīkṣitā
dIkzitAyanI	dīkṣitāyanī
dInA	dīnā
dIpAlI	dīpālī
dIpAnvitA	dīpānvitā
dIpaKorI	dīpakhorī
dIpaSfNKalA	dīpaśṛṅkhalā
dIpaSiKA	dīpaśikhā
dIpakUpI	dīpakūpī
dIpanI	dīpanī
dIpavatI	dīpavatī
dIpikA	dīpikā
dIpitA	dīpitā
dIptA	dīptā
dIptajihvA	dīptajihvā
dIrGA	dīrghā
dIrGaPalA	dīrghaphalā
dIrGaSAKikA	dīrghaśākhikā
dIrGabAlA	dīrghabālā
dIrGadaRqI	dīrghadaṇḍī
dIrGadarSI	dīrghadarśī
dIrGakARqA	dīrghakāṇḍā
dIrGakaRA	dīrghakaṇā
dIrGakandikA	dīrghakandikā
dIrGakoSikA	dīrghakośikā
dIrGakozikA	dīrghakoṣikā
dIrGamUlA	dīrghamūlā
dIrGamUlI	dīrghamūlī
dIrGanidrA	dīrghanidrā
dIrGaparRI	dīrghaparṇī
dIrGapatrA	dīrghapatrā
dIrGapatrI	dīrghapatrī
dIrGapatrikA	dīrghapatrikā
dIrGapawolikA	dīrghapaṭolikā
dIrGarAgA	dīrgharāgā
dIrGaromA	dīrgharomā
dIrGasUtrI	dīrghasūtrī
dIrGatimizA	dīrghatimiṣā
dIrGatuRqA	dīrghatuṇḍā
dIrGavacCikA	dīrghavacchikā
dIrGavallI	dīrghavallī
dIrGavfntA	dīrghavṛntā
dIrGavfntikA	dīrghavṛntikā
dIrGikA	dīrghikā
dUlI	dūlī
dUlikA	dūlikā
dUradarSI	dūradarśī
dUraveDI	dūravedhī
dUrvvA	dūrvvā
dUrvvAzwamI	dūrvvāṣṭamī
dUtI	dūtī
dUtIkA	dūtīkā
dUtaGnI	dūtaghnī
dUtikA	dūtikā
dUzI	dūṣī
dUzIkA	dūṣīkā
dUzikA	dūṣikā
dUzitA	dūṣitā
dUzyA	dūṣyā
daDikUrccikA	dadhikūrccikā
daDipuzpI	dadhipuṣpī
daDipuzpikA	dadhipuṣpikā
daDyAnI	dadhyānī
daMSI	daṃśī
daMzwrA	daṃṣṭrā
daMzwrI	daṃṣṭrī
daMzwrikA	daṃṣṭrikā
daRqI	daṇḍī
daRqaQakkA	daṇḍaḍhakkā
daRqakA	daṇḍakā
daRqarI	daṇḍarī
daRqatAmrI	daṇḍatāmrī
daRqavAdI	daṇḍavādī
daRqavAsI	daṇḍavāsī
daRqayAtrA	daṇḍayātrā
daRqikA	daṇḍikā
daRqotpalA	daṇḍotpalā
daSAkarzI	daśākarṣī
daSAruhA	daśāruhā
daSaBujA	daśabhujā
daSaDA	daśadhā
daSaharA	daśaharā
daSamI	daśamī
daSanAQyA	daśanāḍhyā
daSavAjI	daśavājī
dadrunASinI	dadrunāśinī
dadrurogI	dadrurogī
dagDA	dagdhā
dagDaruhA	dagdharuhā
dagDezwakA	dagdheṣṭakā
dagDikA	dagdhikā
dahanapriyA	dahanapriyā
dakzajA	dakṣajā
dakzakanyA	dakṣakanyā
dakziRA	dakṣiṇā
dakziRApaTajanmA	dakṣiṇāpathajanmā
dakziRAvarttakI	dakṣiṇāvarttakī
dakziRakAlikA	dakṣiṇakālikā
dakziRapUrvvA	dakṣiṇapūrvvā
dakziRermmA	dakṣiṇermmā
dalanI	dalanī
dalapuzpA	dalapuṣpā
dalasAriRI	dalasāriṇī
dalasnasA	dalasnasā
damI	damī
damanI	damanī
damayantI	damayantī
dampatI	dampatī
dantAlikA	dantālikā
dantI	dantī
dantaPalA	dantaphalā
dantaSaWA	dantaśaṭhā
dantaSarkarA	dantaśarkarā
dantaSirA	dantaśirā
dantacCadopamA	dantacchadopamā
dantamUlikA	dantamūlikā
dantijA	dantijā
dantikA	dantikā
dantinI	dantinī
darSayAminI	darśayāminī
darSayitA	darśayitā
darakaRwikA	darakaṇṭikā
darddurA	darddurā
dardrUrogI	dardrūrogī
daridrA	daridrā
daridritA	daridritā
darvvI	darvvī
darvvikA	darvvikā
dasradevatA	dasradevatā
dattAtmA	dattātmā
dayitA	dayitā
deSAKI	deśākhī
deSI	deśī
deSakArI	deśakārī
deSinI	deśinī
dehAtmavAdI	dehātmavādī
dehI	dehī
dehadurganDatA	dehadurgandhatā
dehalA	dehalā
dehalI	dehalī
dehayAtrA	dehayātrā
dehikA	dehikā
devABIzwA	devābhīṣṭā
devAlA	devālā
devArhA	devārhā
devAtmA	devātmā
devI	devī
devaSreRI	devaśreṇī
devabalA	devabalā
devabrahmA	devabrahmā
devadAlI	devadālī
devadAlikA	devadālikā
devadAnI	devadānī
devadAsI	devadāsī
devadUtI	devadūtī
devadaRqA	devadaṇḍā
devadroRI	devadroṇī
devagAnDArI	devagāndhārī
devaganDA	devagandhā
devagirI	devagirī
devajIvI	devajīvī
devakAtmajA	devakātmajā
devakI	devakī
devakirI	devakirī
devakurumbA	devakurumbā
devalANgulikA	devalāṅgulikā
devalatA	devalatā
devamAtA	devamātā
devanA	devanā
devanandI	devanandī
devapatnI	devapatnī
devaputtrI	devaputtrī
devaputtrikA	devaputtrikā
devasaBA	devasabhā
devasahA	devasahā
devasenA	devasenā
devasfzwA	devasṛṣṭā
devatA	devatā
devawwI	devaṭṭī
devayAnI	devayānī
devayAtrA	devayātrā
devezwA	deveṣṭā
devikA	devikā
dfQabanDinI	dṛḍhabandhinī
dfQagAtrikA	dṛḍhagātrikā
dfQakARqA	dṛḍhakāṇḍā
dfQakzurA	dṛḍhakṣurā
dfQalatA	dṛḍhalatā
dfQalomA	dṛḍhalomā
dfQapAdA	dṛḍhapādā
dfQapAdI	dṛḍhapādī
dfQapatrI	dṛḍhapatrī
dfQaraNgA	dṛḍharaṅgā
dfQasUtrikA	dṛḍhasūtrikā
dfQatfRA	dṛḍhatṛṇā
dfQavalkA	dṛḍhavalkā
dfSI	dṛśī
dfSadvatI	dṛśadvatī
dfkprasAdA	dṛkprasādā
dfkpriyA	dṛkpriyā
dftA	dṛtā
digambarI	digambarī
dikkarI	dikkarī
dikkaravAsinI	dikkaravāsinī
dikkarikA	dikkarikā
dinakarAtmajA	dinakarātmajā
dinamUrdDA	dinamūrddhā
dinikA	dinikā
divAnDA	divāndhā
divAnDakI	divāndhakī
divAsvApA	divāsvāpā
divI	divī
divodBavA	divodbhavā
divyA	divyā
divyAdivyA	divyādivyā
divyaganDA	divyagandhā
divyalatA	divyalatā
divyapuzpA	divyapuṣpā
divyapuzpikA	divyapuṣpikā
divyayamunA	divyayamunā
dizwyA	diṣṭyā
dogDA	dogdhā
dogDrI	dogdhrī
dohadAnvitA	dohadānvitā
dohadavatI	dohadavatī
dohalI	dohalī
dohalavatI	dohalavatī
dohanI	dohanī
dohaqikA	dohaḍikā
dolA	dolā
dolI	dolī
dolikA	dolikā
dozA	doṣā
dozAkleSI	doṣākleśī
dozI	doṣī
dozagrAhI	doṣagrāhī
drA	drā
drADimA	drādhimā
drAvikA	drāvikā
drAviqI	drāviḍī
drOpadI	draupadī
draQimA	draḍhimā
dravantI	dravantī
dravarasA	dravarasā
dravatpatrI	dravatpatrī
draviqI	draviḍī
droRA	droṇā
droRI	droṇī
droRaGA	droṇaghā
droRaduGA	droṇadughā
droRadugDA	droṇadugdhā
droRaganDikA	droṇagandhikā
droRamAnA	droṇamānā
droRapuzpI	droṇapuṣpī
droRikA	droṇikā
drohI	drohī
druRI	druṇī
druhI	druhī
drupadA	drupadā
duHKI	duḥkhī
duHKadohyA	duḥkhadohyā
duHsADI	duḥsādhī
duHsahA	duḥsahā
duHsparSA	duḥsparśā
duScarmmA	duścarmmā
dugDASmA	dugdhāśmā
dugDAbDitanayA	dugdhābdhitanayā
dugDI	dugdhī
dugDaPenI	dugdhaphenī
dugDabIjA	dugdhabījā
dugDakUpikA	dugdhakūpikā
dugDapucCI	dugdhapucchī
dugDikA	dugdhikā
dugDinikA	dugdhinikā
duhitA	duhitā
dulI	dulī
durADarzA	durādharṣā
durAlaBA	durālabhā
durAlamBA	durālambhā
durArohA	durārohā
durAruhA	durāruhā
durBagA	durbhagā
durDarzA	durdharṣā
durIzaRA	durīṣaṇā
duraBigrahA	durabhigrahā
durbbalA	durbbalā
durdDarzA	durddharṣā
durdritA	durdritā
durgA	durgā
durgAnavamI	durgānavamī
durganDI	durgandhī
durgapuzpI	durgapuṣpī
durgatinASinI	durgatināśinī
duritadamanI	duritadamanī
durjarA	durjarā
durlaBA	durlabhā
durmmarA	durmmarā
durnAmnI	durnāmnī
duzpraDarzA	duṣpradharṣā
duzpraDarzaRI	duṣpradharṣaṇī
duzpraDarziRI	duṣpradharṣiṇī
duzpraveSA	duṣpraveśā
duzwA	duṣṭā
dvAHsTitadarSI	dvāḥsthitadarśī
dvAdaSAtmA	dvādaśātmā
dvAdaSI	dvādaśī
dvAparayugAdyA	dvāparayugādyā
dvArAvatI	dvārāvatī
dvArI	dvārī
dvArakA	dvārakā
dvArapiRqI	dvārapiṇḍī
dvAravatI	dvāravatī
dvArikA	dvārikā
dvAtriMSadakzarI	dvātriṃśadakṣarī
dvEtavAdI	dvaitavādī
dvEzaRIyA	dvaiṣaṇīyā
dvIpI	dvīpī
dvIpavatI	dvīpavatī
dvIpikA	dvīpikā
dvandvacArI	dvandvacārī
dveDA	dvedhā
dvezI	dveṣī
dvezwA	dveṣṭā
dviDA	dvidhā
dvidAmnI	dvidāmnī
dvihA	dvihā
dvihAyanI	dvihāyanī
dvijA	dvijā
dvijANgI	dvijāṅgī
dvijAyanI	dvijāyanī
dvijaliNgI	dvijaliṅgī
dvijanmA	dvijanmā
dvijaprapA	dvijaprapā
dvijapriyA	dvijapriyā
dvimuKA	dvimukhā
dvipAyI	dvipāyī
dviparRI	dviparṇī
dvitIyA	dvitīyā
dvitIyABA	dvitīyābhā
dvivAhikA	dvivāhikā
dvivarzA	dvivarṣā
dvivarzikA	dvivarṣikā
dviveSarA	dviveśarā
dyAvABUmI	dyāvābhūmī
dyUtapOrRamAsI	dyūtapaurṇamāsī
dyUtapUrRimA	dyūtapūrṇimā
dyumayI	dyumayī
dyunivAsI	dyunivāsī
dyuvA	dyuvā
ekA	ekā
ekAbdA	ekābdā
ekAdaSI	ekādaśī
ekAkI	ekākī
ekAnaMSA	ekānaṃśā
ekAntI	ekāntī
ekAvalI	ekāvalī
ekAzWIlA	ekāṣṭhīlā
ekaDA	ekadhā
ekacArI	ekacārī
ekadA	ekadā
ekahAyanI	ekahāyanī
ekajanmA	ekajanmā
ekajawA	ekajaṭā
ekamUlA	ekamūlā
ekapadI	ekapadī
ekaparRikA	ekaparṇikā
ekapatnI	ekapatnī
ekapatrikA	ekapatrikā
ekatA	ekatā
ekatIrTI	ekatīrthī
ekavarRI	ekavarṇī
ekavarzikA	ekavarṣikā
ekayazwikA	ekayaṣṭikā
ekoSikA	ekośikā
elA	elā
elAparRI	elāparṇī
elIkA	elīkā
eqakA	eḍakā
eraRqA	eraṇḍā
eraRqaPalA	eraṇḍaphalā
eraRqapatrikA	eraṇḍapatrikā
erakA	erakā
ezaRI	eṣaṇī
ezaRikA	eṣaṇikā
fRI	ṛṇī
fcCarA	ṛccharā
fkzaganDA	ṛkṣagandhā
fkzaganDikA	ṛkṣagandhikā
ftIyA	ṛtīyā
ftaDAmA	ṛtadhāmā
ftumatI	ṛtumatī
fzaBI	ṛṣabhī
fzijANgalikI	ṛṣijāṅgalikī
fzikulyA	ṛṣikulyā
fziproktA	ṛṣiproktā
fzyaganDA	ṛṣyagandhā
fzyagatA	ṛṣyagatā
fzyaproktA	ṛṣyaproktā
gANgerukI	gāṅgerukī
gANgezWI	gāṅgeṣṭhī
gAQAvawI	gāḍhāvaṭī
gARqIvI	gāṇḍīvī
gATA	gāthā
gAlinI	gālinī
gAnDArI	gāndhārī
gAndinI	gāndinī
gAninI	gāninī
gAntrI	gāntrī
gArgI	gārgī
gAruqI	gāruḍī
gArutmatapattrikA	gārutmatapattrikā
gAtA	gātā
gAtrAnulepanI	gātrānulepanī
gAtraBaNgA	gātrabhaṅgā
gAtramArjjanI	gātramārjjanī
gAtrasaNkocI	gātrasaṅkocī
gAyattrI	gāyattrī
gErI	gairī
gIrdevI	gīrdevī
gIrlatA	gīrlatā
gItA	gītā
gItamodI	gītamodī
gORI	gauṇī
gOqI	gauḍī
gOrA	gaurā
gOrI	gaurī
gOrikA	gaurikā
gOtamI	gautamī
gOtamasamBavA	gautamasambhavā
gUQasAkzI	gūḍhasākṣī
gUQavallikA	gūḍhavallikā
gUzaRA	gūṣaṇā
gaBIrikA	gabhīrikā
gaNgA	gaṅgā
gaNgAcillI	gaṅgācillī
gaNgAkA	gaṅgākā
gaNgApatrI	gaṅgāpatrī
gaNgakA	gaṅgakā
gaNgikA	gaṅgikā
gaRadIkzI	gaṇadīkṣī
gaRadevatA	gaṇadevatā
gaRakI	gaṇakī
gaRakarRikA	gaṇakarṇikā
gaRanA	gaṇanā
gaRanAyikA	gaṇanāyikā
gaRarUpI	gaṇarūpī
gaRatA	gaṇatā
gaRerukA	gaṇerukā
gaRikA	gaṇikā
gaRikArI	gaṇikārī
gaRikArikA	gaṇikārikā
gaRipiwakA	gaṇipiṭakā
gaRqAlI	gaṇḍālī
gaRqIrI	gaṇḍīrī
gaRqUpadI	gaṇḍūpadī
gaRqUzA	gaṇḍūṣā
gaRqadUrvvA	gaṇḍadūrvvā
gaRqakAlI	gaṇḍakālī
gaRqakArI	gaṇḍakārī
gaRqakI	gaṇḍakī
gaRqamAlA	gaṇḍamālā
gaRqamAlikA	gaṇḍamālikā
gaYjA	gañjā
gaYjikA	gañjikā
gadI	gadī
gahanA	gahanā
gahvarI	gahvarī
gajASanA	gajāśanā
gajAhvA	gajāhvā
gajaBakzA	gajabhakṣā
gajaBakzyA	gajabhakṣyā
gajaQakkA	gajaḍhakkā
gajabanDanI	gajabandhanī
gajacCAyA	gajacchāyā
gajacirBawA	gajacirbhaṭā
gajacirBiwA	gajacirbhiṭā
gajadantaPalA	gajadantaphalā
gajakUrmmASI	gajakūrmmāśī
gajapippalI	gajapippalī
gajapriyA	gajapriyā
gajatA	gajatā
gajavallaBA	gajavallabhā
gajezwA	gajeṣṭā
gajozaRA	gajoṣaṇā
galaSuRqikA	galaśuṇḍikā
galameKalA	galamekhalā
galantikA	galantikā
galastanI	galastanī
galestanI	galestanī
gallacAturI	gallacāturī
galyA	galyā
gamBArI	gambhārī
gamBArikA	gambhārikā
gamBIravedI	gambhīravedī
gamI	gamī
ganDAQyA	gandhāḍhyā
ganDASmA	gandhāśmā
ganDAlA	gandhālā
ganDAlI	gandhālī
ganDAmlA	gandhāmlā
ganDaBadrA	gandhabhadrā
ganDaPalA	gandhaphalā
ganDaPalI	gandhaphalī
ganDaSawI	gandhaśaṭī
ganDaSuRqinI	gandhaśuṇḍinī
ganDabIjA	gandhabījā
ganDabahulA	gandhabahulā
ganDacelikA	gandhacelikā
ganDadalA	gandhadalā
ganDahArikA	gandhahārikā
ganDajYA	gandhajñā
ganDakAlI	gandhakālī
ganDakAlikA	gandhakālikā
ganDakArikA	gandhakārikā
ganDakelikA	gandhakelikā
ganDakokilA	gandhakokilā
ganDakusumA	gandhakusumā
ganDakuwI	gandhakuṭī
ganDalolupA	gandhalolupā
ganDamAMsI	gandhamāṃsī
ganDamAdanI	gandhamādanī
ganDamAlatI	gandhamālatī
ganDamAlinI	gandhamālinī
ganDamAtA	gandhamātā
ganDamUlA	gandhamūlā
ganDamUlI	gandhamūlī
ganDamUlikA	gandhamūlikā
ganDamUzI	gandhamūṣī
ganDamohinI	gandhamohinī
ganDanAkulI	gandhanākulī
ganDanAlI	gandhanālī
ganDanAmA	gandhanāmā
ganDanAmnI	gandhanāmnī
ganDaniSA	gandhaniśā
ganDanilayA	gandhanilayā
ganDapItA	gandhapītā
ganDapalASI	gandhapalāśī
ganDapalASikA	gandhapalāśikā
ganDapatrA	gandhapatrā
ganDapatrI	gandhapatrī
ganDapatrikA	gandhapatrikā
ganDapiSAcikA	gandhapiśācikā
ganDapuzpA	gandhapuṣpā
ganDarAjI	gandharājī
ganDavAhA	gandhavāhā
ganDavahA	gandhavahā
ganDavallI	gandhavallī
ganDavallarI	gandhavallarī
ganDavatI	gandhavatī
ganDinI	gandhinī
ganDolI	gandholī
ganDotkawA	gandhotkaṭā
ganDottamA	gandhottamā
gantA	gantā
gantrI	gantrī
gaqqarikA	gaḍḍarikā
garA	garā
garAgarI	garāgarī
garBaGAtinI	garbhaghātinī
garBaSayyA	garbhaśayyā
garBadAtrI	garbhadātrī
garBapAkI	garbhapākī
garBapAtanI	garbhapātanī
garBapAtinI	garbhapātinī
garBasrAvI	garbhasrāvī
garBavatI	garbhavatī
garBiRI	garbhiṇī
garBopaGAtinI	garbhopaghātinī
garI	garī
garaGnI	garaghnī
garddaBI	garddabhī
garddaBaSAKI	garddabhaśākhī
garddaBaSAkA	garddabhaśākā
garddaBikA	garddabhikā
gargarI	gargarī
garhyavAdI	garhyavādī
garimA	garimā
garmmUwikA	garmmūṭikā
garmmowikA	garmmoṭikā
garttikA	garttikā
garudyoDI	garudyodhī
garuqASmA	garuḍāśmā
gatArttavA	gatārttavā
gatilA	gatilā
gavAcI	gavācī
gavAdanI	gavādanī
gavAkzI	gavākṣī
gavAzikA	gavāṣikā
gavayI	gavayī
gaveDukA	gavedhukā
gaveSakA	gaveśakā
gavezaRA	gaveṣaṇā
gavyA	gavyā
gayA	gayā
gehI	gehī
gehenarddI	gehenarddī
gfDnutA	gṛdhnutā
gfDrARI	gṛdhrāṇī
gfDranaKI	gṛdhranakhī
gfDrapatrA	gṛdhrapatrā
gfDrasI	gṛdhrasī
gfhASayA	gṛhāśayā
gfhASmA	gṛhāśmā
gfhAlikA	gṛhālikā
gfhAvagrahaRI	gṛhāvagrahaṇī
gfhI	gṛhī
gfhaRI	gṛhaṇī
gfhagoDA	gṛhagodhā
gfhagoDikA	gṛhagodhikā
gfhagolikA	gṛhagolikā
gfhakArI	gṛhakārī
gfhakanyA	gṛhakanyā
gfhakarttA	gṛhakarttā
gfhamAcikA	gṛhamācikā
gfhameDI	gṛhamedhī
gfhameDinI	gṛhamedhinī
gfhatawI	gṛhataṭī
gfhavAwikA	gṛhavāṭikā
gfhiRI	gṛhiṇī
gfholikA	gṛholikā
gfhyA	gṛhyā
girA	girā
giriSAlinI	giriśālinī
girijA	girijā
girikA	girikā
girikadalI	girikadalī
girikarRI	girikarṇī
girikarRikA	girikarṇikā
girimallikA	girimallikā
giripriyA	giripriyā
girisutA	girisutā
girivAsI	girivāsī
glAtA	glātā
goDA	godhā
goDApadI	godhāpadī
goDApadikA	godhāpadikā
goDUmI	godhūmī
goDikA	godhikā
goDinI	godhinī
goRI	goṇī
godA	godā
godAvarI	godāvarī
godohanI	godohanī
godugDadA	godugdhadā
gohAliyA	gohāliyā
goharItakI	goharītakī
gohatyA	gohatyā
gojA	gojā
gojAparRI	gojāparṇī
gojihvA	gojihvā
gojihvikA	gojihvikā
gokarRI	gokarṇī
gokirAwI	gokirāṭī
gokirAwikA	gokirāṭikā
golA	golā
golomI	golomī
golomikA	golomikā
gomI	gomī
gomUtrikA	gomūtrikā
gomakzikA	gomakṣikā
gomatI	gomatī
gomatallikA	gomatallikā
gomayacCatrikA	gomayacchatrikā
gomayotTA	gomayotthā
gomuKI	gomukhī
gonandI	gonandī
gopA	gopā
gopAlI	gopālī
gopAlakarkawI	gopālakarkaṭī
gopAlikA	gopālikā
gopAnasI	gopānasī
gopAzwamI	gopāṣṭamī
gopI	gopī
gopaBadrA	gopabhadrā
gopaBadrikA	gopabhadrikā
gopaGoRwA	gopaghoṇṭā
gopakanyA	gopakanyā
gopavallI	gopavallī
gopikA	gopikā
gopinI	gopinī
goptA	goptā
gopuwA	gopuṭā
goqumbA	goḍumbā
goqumbikA	goḍumbikā
gorAwI	gorāṭī
gorAwikA	gorāṭikā
gorakzI	gorakṣī
gorakzadugDA	gorakṣadugdhā
gorakzakarkawI	gorakṣakarkaṭī
gorakzataRqulA	gorakṣataṇḍulā
gorakzatumbI	gorakṣatumbī
gorikA	gorikā
gorocanA	gorocanā
gosahasrI	gosahasrī
gosamBavA	gosambhavā
gostanA	gostanā
gostanI	gostanī
gosvAmI	gosvāmī
gotrA	gotrā
govaSA	govaśā
govandanI	govandanī
govatsAdI	govatsādī
govindadvAdaSI	govindadvādaśī
govizWA	goviṣṭhā
gozWAzwamI	goṣṭhāṣṭamī
gozWI	goṣṭhī
grAhI	grāhī
grAhiRI	grāhiṇī
grAmI	grāmī
grAmIRA	grāmīṇā
grAmajanizpAvI	grāmajaniṣpāvī
grAmamadgurikA	grāmamadgurikā
grAmatA	grāmatā
grAmeyA	grāmeyā
grAmiRI	grāmiṇī
grAmyA	grāmyā
grAmyakarkawI	grāmyakarkaṭī
grAmyamadgurikA	grāmyamadgurikā
grAmyavallaBA	grāmyavallabhā
grAvA	grāvā
grEzmI	graiṣmī
grIvA	grīvā
grIvI	grīvī
grIzmI	grīṣmī
grIzmaBavA	grīṣmabhavā
grIzmajA	grīṣmajā
grIzmapuzpI	grīṣmapuṣpī
grIzmodBavA	grīṣmodbhavā
grahASI	grahāśī
grahItA	grahītā
grahaRI	grahaṇī
granTakarttA	granthakarttā
granTakuwI	granthakuṭī
granTanA	granthanā
granTidUrvvA	granthidūrvvā
granTidalA	granthidalā
granTilA	granthilā
granTimUlA	granthimūlā
granTiparRA	granthiparṇā
granTiparRI	granthiparṇī
granTivarhI	granthivarhī
guRI	guṇī
guRalayanI	guṇalayanī
guRalayanikA	guṇalayanikā
guRanI	guṇanī
guRanikA	guṇanikā
guRqAlA	guṇḍālā
guRqArocanikA	guṇḍārocanikā
guRqAsinI	guṇḍāsinī
guRqicA	guṇḍicā
guYjA	guñjā
guYjikA	guñjikā
gucCI	gucchī
gucCaPalA	gucchaphalā
gucCabaDrA	gucchabadhrā
gucCadantikA	gucchadantikā
gucCamUlikA	gucchamūlikā
gucCapuzpI	gucchapuṣpī
guhazazWI	guhaṣaṣṭhī
gujjarI	gujjarī
gulA	gulā
gulI	gulī
gulmI	gulmī
gulmavallI	gulmavallī
gulminI	gulminī
gundrA	gundrā
gundramUlA	gundramūlā
guptA	guptā
guqAkA	guḍākā
guqUcI	guḍūcī
guqaBA	guḍabhā
guqaSarkarA	guḍaśarkarā
guqacI	guḍacī
guqakarI	guḍakarī
guqikA	guḍikā
guqodBavA	guḍodbhavā
guqucI	guḍucī
gurjjarI	gurjjarī
guruhA	guruhā
gurupatrA	gurupatrā
gurvvI	gurvvī
gurvviRI	gurvviṇī
guwikA	guṭikā
hAPikA	hāphikā
hAlA	hālā
hAlAhalA	hālāhalā
hAlAhalI	hālāhalī
hAlI	hālī
hAlinI	hālinī
hAputtrI	hāputtrī
hAputtrikA	hāputtrikā
hArAvalI	hārāvalī
hArI	hārī
hArahArA	hārahārā
hArahUrA	hārahūrā
hArddI	hārddī
hAsikA	hāsikā
hEmA	haimā
hEmI	haimī
hEmavatI	haimavatī
hI	hī
hIhI	hīhī
hInANgI	hīnāṅgī
hInavAdI	hīnavādī
hIrA	hīrā
haMsADirUQA	haṃsādhirūḍhā
haMsArUQA	haṃsārūḍhā
haMsI	haṃsī
haMsagAminI	haṃsagāminī
haMsagadgadA	haṃsagadgadā
haMsamAlA	haṃsamālā
haMsamAzA	haṃsamāṣā
haMsanAdinI	haṃsanādinī
haMsapAdI	haṃsapādī
haMsapAdikA	haṃsapādikā
haMsapadI	haṃsapadī
haMsavatI	haṃsavatī
haMsikA	haṃsikā
haRqA	haṇḍā
haRqI	haṇḍī
haRqikA	haṇḍikā
haWI	haṭhī
haWaparRI	haṭhaparṇī
haYjA	hañjā
haYjikA	hañjikā
haddA	haddā
halI	halī
halISA	halīśā
haladdI	haladdī
halinI	halinī
halipriyA	halipriyā
halyA	halyā
hamBA	hambhā
hambA	hambā
hapuzA	hapuṣā
harIzA	harīṣā
haraSeKarA	haraśekharā
haragOrI	haragaurī
harahUrA	harahūrā
hariBAviRI	haribhāviṇī
hariRAkzI	hariṇākṣī
hariRI	hariṇī
haridrA	haridrā
harikrAntA	harikrāntā
haripriyA	haripriyā
haritA	haritā
haritAlI	haritālī
haritAlikA	haritālikā
haritakI	haritakī
haritapatrikA	haritapatrikā
harivallaBA	harivallabhā
harttA	harttā
harziRI	harṣiṇī
hasanI	hasanī
hasantI	hasantī
hasantikA	hasantikā
hastA	hastā
hastI	hastī
hastiGozA	hastighoṣā
hastiGozAtakI	hastighoṣātakī
hastiSAlA	hastiśālā
hastiSuRqA	hastiśuṇḍā
hastiSuRqI	hastiśuṇḍī
hasticAriRI	hasticāriṇī
hastidantaPalA	hastidantaphalā
hastinI	hastinī
hastiparRI	hastiparṇī
hastiparRikA	hastiparṇikā
hastivizARI	hastiviṣāṇī
hatyA	hatyā
havanI	havanī
havirganDA	havirgandhā
havitrI	havitrī
havuzA	havuṣā
hawwavilAsinI	haṭṭavilāsinī
hayASanA	hayāśanā
hayI	hayī
hayaSAlA	hayaśālā
hayaganDA	hayagandhā
hayagrIvA	hayagrīvā
hayagrIvahA	hayagrīvahā
hayakAtarA	hayakātarā
hayakAtarikA	hayakātarikā
hayapriyA	hayapriyā
hayapucCI	hayapucchī
hekkA	hekkā
helaYcI	helañcī
hemAhvA	hemāhvā
hemaPalA	hemaphalā
hemaSiKA	hemaśikhā
hemadugDA	hemadugdhā
hemadugDI	hemadugdhī
hemaganDinI	hemagandhinī
hemaketakI	hemaketakī
hemakzIrI	hemakṣīrī
hemalatA	hemalatā
hemamAlA	hemamālā
hemamAlI	hemamālī
hemapuzpI	hemapuṣpī
hemapuzpikA	hemapuṣpikā
hemarAgiRI	hemarāgiṇī
hemayUTikA	hemayūthikā
herambajananI	herambajananī
hetutA	hetutā
hezI	heṣī
hfRIyA	hṛṇīyā
hfRiyA	hṛṇiyā
hfdayAtmA	hṛdayātmā
hfdayI	hṛdayī
hfdayeSA	hṛdayeśā
hfdrogavErI	hṛdrogavairī
hfdyA	hṛdyā
