a_slp1	a_iast	b_slp1	b_iast
ASAQa	āśāḍha	AzAQa	āṣāḍha
AbADA	ābādhā	AvADA	āvādhā
AbaD	ābadh	AvaD	āvadh
Abarha	ābarha	Avarha	āvarha
Abarham	ābarham	Avarham	āvarham
Abarhin	ābarhin	Avarhin	āvarhin
Abarhita	ābarhita	Avarhita	āvarhita
Abfh	ābṛh	Avfh	āvṛh
Abila	ābila	Avila	āvila
Abilakanda	ābilakanda	Avilakanda	āvilakanda
Abutta	ābutta	Avutta	āvutta
Adimattva	ādimattva	Adimatva	ādimatva
AjAneya	ājāneya	AjAneyya	ājāneyya
AkAya	ākāya	AkAyya	ākāyya
AmarSa	āmarśa	Amarza	āmarṣa
AmfS	āmṛś	Amfz	āmṛṣ
AnAya	ānāya	AnAyya	ānāyya
Ana	āna	Anna	ānna
AnuSUka	ānuśūka	AnuzUka	ānuṣūka
Apana	āpana	Apanna	āpanna
Apati	āpati	Apatti	āpatti
ApiS	āpiś	Apiz	āpiṣ
ApyAya	āpyāya	ApyAyya	āpyāyya
ArADaya	ārādhaya	ArADayya	ārādhayya
ArSa	ārśa	Arza	ārṣa
Araba	āraba	Arava	ārava
Arawa	āraṭa	Arawwa	āraṭṭa
AriS	āriś	Ariz	āriṣ
AryaBawa	āryabhaṭa	AryaBawwa	āryabhaṭṭa
Asana	āsana	Asanna	āsanna
Ata	āta	Atta	ātta
Avfta	āvṛta	Avftta	āvṛtta
Avfti	āvṛti	Avftti	āvṛtti
AviS	āviś	Aviz	āviṣ
Ayata	āyata	Ayatta	āyatta
Ayati	āyati	Ayatti	āyatti
BAlUka	bhālūka	BAllUka	bhāllūka
BAla	bhāla	BAlla	bhālla
BAlluka	bhālluka	BAluka	bhāluka
BAwa	bhāṭa	BAwwa	bhāṭṭa
BImaBawa	bhīmabhaṭa	BImaBawwa	bhīmabhaṭṭa
BUBawa	bhūbhaṭa	BUBawwa	bhūbhaṭṭa
Bal	bhal	Ball	bhall
Bala	bhala	Balla	bhalla
Barb	bharb	Barv	bharv
Bavaddeva	bhavaddeva	Bavadeva	bhavadeva
BawA	bhaṭā	BawwA	bhaṭṭā
BawIya	bhaṭīya	BawwIya	bhaṭṭīya
Bawa	bhaṭa	Bawwa	bhaṭṭa
BawadIpikA	bhaṭadīpikā	BawwadIpikA	bhaṭṭadīpikā
BawaprakASa	bhaṭaprakāśa	BawwaprakASa	bhaṭṭaprakāśa
Baya	bhaya	Bayya	bhayya
Betavya	bhetavya	Bettavya	bhettavya
Bfj	bhṛj	Bfjj	bhṛjj
Braj	bhraj	Brajj	bhrajj
Calita	chalita	Callita	challita
DAnyabIja	dhānyabīja	DAnyavIja	dhānyavīja
DAnyakoSa	dhānyakośa	DAnyakoza	dhānyakoṣa
DAya	dhāya	DAyya	dhāyya
DUS	dhūś	DUz	dhūṣ
Dak	dhak	Dakk	dhakk
DarmabARijika	dharmabāṇijika	DarmavARijika	dharmavāṇijika
DarmabAhya	dharmabāhya	DarmavAhya	dharmavāhya
DarmakoSa	dharmakośa	Darmakoza	dharmakoṣa
DukA	dhukā	DukkA	dhukkā
ESa	aiśa	Eza	aiṣa
Gaw	ghaṭ	Gaww	ghaṭṭ
GawA	ghaṭā	GawwA	ghaṭṭā
GawI	ghaṭī	GawwI	ghaṭṭī
Gawa	ghaṭa	Gawwa	ghaṭṭa
GawanA	ghaṭanā	GawwanA	ghaṭṭanā
Gawana	ghaṭana	Gawwana	ghaṭṭana
Gawita	ghaṭita	Gawwita	ghaṭṭita
GfR	ghṛṇ	GfRR	ghṛṇṇ
GuR	ghuṇ	GuRR	ghuṇṇ
Guwi	ghuṭi	Guwwi	ghuṭṭi
IS	īś	Iz	īṣ
ISA	īśā	IzA	īṣā
ISa	īśa	Iza	īṣa
JAbuka	jhābuka	JAvuka	jhāvuka
JalarI	jhalarī	JallarI	jhallarī
Kal	khal	Kall	khall
KalI	khalī	KallI	khallī
Kala	khala	Kalla	khalla
Kali	khali	Kalli	khalli
KaliSa	khaliśa	KalliSa	khalliśa
KaqqukA	khaḍḍukā	KaqukA	khaḍukā
