a_slp1	a_iast	b_slp1	b_iast
bAhumUlaM	bāhumūlaṃ	vAhumUlaM	vāhumūlaṃ
bAhyendriyaM	bāhyendriyaṃ	vAhyendriyaM	vāhyendriyaṃ
bAlUkaH	bālūkaḥ	vAlUkaH	vālūkaḥ
bAlaH	bālaḥ	vAlaH	vālaḥ
bAlakaH	bālakaḥ	vAlakaH	vālakaḥ
bAleyaH	bāleyaḥ	vAleyaH	vāleyaḥ
bAlmIkiH	bālmīkiḥ	vAlmIkiH	vālmīkiḥ
bAluH	bāluḥ	vAluH	vāluḥ
bAluNgI	bāluṅgī	vAluNgI	vāluṅgī
bAluNgikA	bāluṅgikā	vAluNgikA	vāluṅgikā
bAluNkI	bāluṅkī	vAluNkI	vāluṅkī
bAlukA	bālukā	vAlukA	vālukā
bAlukAgaqaH	bālukāgaḍaḥ	vAlukAgaqaH	vālukāgaḍaḥ
bAlukAmayaM	bālukāmayaṃ	vAlukAmayaM	vālukāmayaṃ
bAlukApraBA	bālukāprabhā	vAlukApraBA	vālukāprabhā
bAlukAsvedaH	bālukāsvedaḥ	vAlukAsvedaH	vālukāsvedaḥ
bAlukAtmikA	bālukātmikā	vAlukAtmikA	vālukātmikā
bAlukAyantraM	bālukāyantraṃ	vAlukAyantraM	vālukāyantraṃ
bAlukI	bālukī	vAlukI	vālukī
bAlukaH	bālukaḥ	vAlukaH	vālukaḥ
bAlukaM	bālukaṃ	vAlukaM	vālukaṃ
bAqa	bāḍa	vAqa	vāḍa
bAqavAgniH	bāḍavāgniḥ	vAqavAgniH	vāḍavāgniḥ
bAqavAgryaH	bāḍavāgryaḥ	vAqavAgryaH	vāḍavāgryaḥ
bAqavaH	bāḍavaḥ	vAqavaH	vāḍavaḥ
bAqavaM	bāḍavaṃ	vAqavaM	vāḍavaṃ
bAqaveyO	bāḍaveyau	vAqaveyO	vāḍaveyau
bAqavyaM	bāḍavyaṃ	vAqavyaM	vāḍavyaṃ
bArakIraH	bārakīraḥ	vArakIraH	vārakīraḥ
bArhadraTaH	bārhadrathaḥ	vArhadraTaH	vārhadrathaḥ
bArhadraTiH	bārhadrathiḥ	vArhadraTiH	vārhadrathiḥ
bArhataM	bārhataṃ	vArhataM	vārhataṃ
bAspaH	bāspaḥ	vAspaH	vāspaḥ
bEjikaH	baijikaḥ	vEjikaH	vaijikaḥ
bEjikaM	baijikaṃ	vEjikaM	vaijikaṃ
bEqAlavratI	baiḍālavratī	vEqAlavratI	vaiḍālavratī
bEqAlavrataM	baiḍālavrataṃ	vEqAlavrataM	vaiḍālavrataṃ
bEqAlavratiH	baiḍālavratiḥ	vEqAlavratiH	vaiḍālavratiḥ
bEqAlavratikaH	baiḍālavratikaḥ	vEqAlavratikaH	vaiḍālavratikaḥ
bF	bṝ	vF	vṝ
bIjaM	bījaṃ	vIjaM	vījaṃ
bOdDaM	bauddhaṃ	vOdDaM	vauddhaṃ
ba	ba	va	va
baBra	babhra	vaBra	vabhra
baDUH	badhūḥ	vaDUH	vadhūḥ
baH	baḥ	vaH	vaḥ
baRa	baṇa	vaRa	vaṇa
baRigbanDuH	baṇigbandhuḥ	vaRigbanDuH	vaṇigbandhuḥ
baRigvahaH	baṇigvahaḥ	vaRigvahaH	vaṇigvahaḥ
baRijaH	baṇijaḥ	vaRijaH	vaṇijaḥ
baRijyaM	baṇijyaṃ	vaRijyaM	vaṇijyaṃ
baRik	baṇik	vaRik	vaṇik
baRqaH	baṇḍaḥ	vaRqaH	vaṇḍaḥ
baWa	baṭha	vaWa	vaṭha
bada	bada	vada	vada
badaraH	badaraḥ	vadaraH	vadaraḥ
badaraM	badaraṃ	vadaraM	vadaraṃ
badaraPalI	badaraphalī	vadaraPalI	vadaraphalī
badaravallI	badaravallī	vadaravallI	vadaravallī
bahalaH	bahalaḥ	vahalaH	vahalaḥ
bahiH	bahiḥ	vahiH	vahiḥ
bahiHkuwIcaraH	bahiḥkuṭīcaraḥ	vahiHkuwIcaraH	vahiḥkuṭīcaraḥ
bahiScaraH	bahiścaraḥ	vahiScaraH	vahiścaraḥ
bahirBUtaH	bahirbhūtaḥ	vahirBUtaH	vahirbhūtaḥ
bahirdvAraM	bahirdvāraṃ	vahirdvAraM	vahirdvāraṃ
bahirdvAraprakozWakaH	bahirdvāraprakoṣṭhakaḥ	vahirdvAraprakozWakaH	vahirdvāraprakoṣṭhakaḥ
bahirmuKaH	bahirmukhaḥ	vahirmuKaH	vahirmukhaḥ
bakAcI	bakācī	vakAcI	vakācī
bakAriH	bakāriḥ	vakAriH	vakāriḥ
bakUlaH	bakūlaḥ	vakUlaH	vakūlaḥ
baka	baka	vaka	vaka
bakaDUpaH	bakadhūpaḥ	vakaDUpaH	vakadhūpaḥ
bakaciYcikA	bakaciñcikā	vakaciYcikA	vakaciñcikā
bakajit	bakajit	vakajit	vakajit
bakanisUdanaH	bakanisūdanaḥ	vakanisUdanaH	vakanisūdanaḥ
bakapaYcakaM	bakapañcakaṃ	vakapaYcakaM	vakapañcakaṃ
bakapuzpaH	bakapuṣpaḥ	vakapuzpaH	vakapuṣpaḥ
bakavErI	bakavairī	vakavErI	vakavairī
bakavfttiH	bakavṛttiḥ	vakavfttiH	vakavṛttiḥ
bakavratI	bakavratī	vakavratI	vakavratī
bakerukA	bakerukā	vakerukA	vakerukā
bakulA	bakulā	vakulA	vakulā
bakulI	bakulī	vakulI	vakulī
bakulaH	bakulaḥ	vakulaH	vakulaḥ
balA	balā	valA	valā
balAhakaH	balāhakaḥ	valAhakaH	valāhakaḥ
balAkA	balākā	valAkA	valākā
balAkaH	balākaḥ	valAkaH	valākaḥ
balI	balī	valI	valī
balIkaM	balīkaṃ	valIkaM	valīkaṃ
balImuKaH	balīmukhaḥ	valImuKaH	valīmukhaḥ
balIvarddaH	balīvarddaḥ	valIvarddaH	valīvarddaḥ
balIyAn	balīyān	valIyAn	valīyān
balUkaM	balūkaṃ	valUkaM	valūkaṃ
balUlaH	balūlaḥ	valUlaH	valūlaḥ
bala	bala	vala	vala
balaH	balaḥ	valaH	valaḥ
balaM	balaṃ	valaM	valaṃ
