a_slp1	a_iast	b_slp1	b_iast
patiH	patiḥ	pattiH	pattiḥ
patraM	patraṃ	pattraM	pattraṃ
pawI	paṭī	pawwI	paṭṭī
pawaH	paṭaḥ	pawwaH	paṭṭaḥ
pawaM	paṭaṃ	pawwaM	paṭṭaṃ
pawakaH	paṭakaḥ	pawwakaH	paṭṭakaḥ
pawikA	paṭikā	pawwikA	paṭṭikā
pawolikA	paṭolikā	pawwolikA	paṭṭolikā
peSalaH	peśalaḥ	pezalaH	peṣalaḥ
piSa	piśa	piza	piṣa
pikaH	pikaḥ	pikkaH	pikkaḥ
prapunAqaH	prapunāḍaḥ	prapunnAqaH	prapunnāḍaḥ
pratizkaSaH	pratiṣkaśaḥ	pratizkazaH	pratiṣkaṣaḥ
pukkaSaH	pukkaśaḥ	pukkazaH	pukkaṣaḥ
putraH	putraḥ	puttraH	puttraḥ
puwa	puṭa	puwwa	puṭṭa
raba	raba	rava	rava
rabaH	rabaḥ	ravaH	ravaḥ
riSa	riśa	riza	riṣa
riSyaH	riśyaḥ	rizyaH	riṣyaḥ
riba	riba	riva	riva
ruSa	ruśa	ruza	ruṣa
sAttvatAH	sāttvatāḥ	sAtvatAH	sātvatāḥ
sAttvatI	sāttvatī	sAtvatI	sātvatī
sAttvataH	sāttvataḥ	sAtvataH	sātvataḥ
sPuwa	sphuṭa	sPuwwa	sphuṭṭa
sTUlapawaH	sthūlapaṭaḥ	sTUlapawwaH	sthūlapaṭṭaḥ
saMvftaH	saṃvṛtaḥ	saMvfttaH	saṃvṛttaḥ
samAnaH	samānaḥ	sammAnaH	sammānaḥ
samApanaM	samāpanaṃ	samApannaM	samāpannaṃ
samAvftaH	samāvṛtaḥ	samAvfttaH	samāvṛttaḥ
samUQaH	samūḍhaḥ	sammUQaH	sammūḍhaḥ
sammuKaH	sammukhaḥ	samuKaH	samukhaḥ
sanaH	sanaḥ	sannaH	sannaḥ
sanakaH	sanakaḥ	sannakaH	sannakaḥ
satraM	satraṃ	sattraM	sattraṃ
satrijAtakaM	satrijātakaṃ	sattrijAtakaM	sattrijātakaṃ
sinIbAlI	sinībālī	sinIvAlI	sinīvālī
suSImaH	suśīmaḥ	suzImaH	suṣīmaḥ
suSavI	suśavī	suzavI	suṣavī
suveSaH	suveśaḥ	suvezaH	suveṣaḥ
talaH	talaḥ	tallaH	tallaḥ
talaM	talaṃ	tallaM	tallaṃ
tarba	tarba	tarbba	tarbba
tattvaM	tattvaṃ	tatvaM	tatvaṃ
tila	tila	tilla	tilla
tuqa	tuḍa	tuqqa	tuḍḍa
uSIraH	uśīraḥ	uzIraH	uṣīraḥ
uSatI	uśatī	uzatI	uṣatī
udaRqapAlaH	udaṇḍapālaḥ	uddaRqapAlaH	uddaṇḍapālaḥ
udditaH	udditaḥ	uditaH	uditaḥ
upapatiH	upapatiḥ	upapattiH	upapattiḥ
utaM	utaṃ	uttaM	uttaṃ
uttarASAQA	uttarāśāḍhā	uttarAzAQA	uttarāṣāḍhā
vIjakoSaH	vījakośaḥ	vIjakozaH	vījakoṣaḥ
vaSa	vaśa	vaza	vaṣa
vabaH	vabaḥ	vavaH	vavaḥ
vaka	vaka	vakka	vakka
valI	valī	vallI	vallī
vala	vala	valla	valla
valaH	valaḥ	vallaH	vallaḥ
valiH	valiḥ	valliH	valliḥ
veSaH	veśaḥ	vezaH	veṣaḥ
veSavAraH	veśavāraḥ	vezavAraH	veṣavāraḥ
vela	vela	vella	vella
velaM	velaṃ	vellaM	vellaṃ
vfSA	vṛśā	vfzA	vṛṣā
vfSa	vṛśa	vfza	vṛṣa
vfSaH	vṛśaḥ	vfzaH	vṛṣaḥ
vfhatikA	vṛhatikā	vfhattikA	vṛhattikā
vftaH	vṛtaḥ	vfttaH	vṛttaḥ
vftiH	vṛtiḥ	vfttiH	vṛttiḥ
vftraH	vṛtraḥ	vfttraH	vṛttraḥ
viSa	viśa	viza	viṣa
viSaM	viśaṃ	vizaM	viṣaṃ
viSayI	viśayī	vizayI	viṣayī
viSayaH	viśayaḥ	vizayaH	viṣayaḥ
viSvaH	viśvaḥ	vizvaH	viṣvaḥ
viSvadryaN	viśvadryaṅ	vizvadryaN	viṣvadryaṅ
viSvak	viśvak	vizvak	viṣvak
vibruvan	vibruvan	vivruvan	vivruvan
vijalaM	vijalaṃ	vijjalaM	vijjalaṃ
vijilaM	vijilaṃ	vijjilaM	vijjilaṃ
vikASI	vikāśī	vikAzI	vikāṣī
vilaM	vilaṃ	villaM	villaṃ
vimarSaH	vimarśaḥ	vimarzaH	vimarṣaḥ
vivftaM	vivṛtaṃ	vivfttaM	vivṛttaṃ
vivftiH	vivṛtiḥ	vivfttiH	vivṛttiḥ
vyAkoSaH	vyākośaḥ	vyAkozaH	vyākoṣaḥ
wiwiBakaH	ṭiṭibhakaḥ	wiwwiBakaH	ṭiṭṭibhakaḥ
zawa	ṣaṭa	zawwa	ṣaṭṭa
