fem_slp1	fem_iast	masc_slp1	masc_iast
A	ā	a	a
BA	bhā	Ba	bha
BAmA	bhāmā	BAma	bhāma
BAzA	bhāṣā	BAza	bhāṣa
BUzA	bhūṣā	BUza	bhūṣa
BawA	bhaṭā	Bawa	bhaṭa
BazA	bhaṣā	Baza	bhaṣa
BidA	bhidā	Bida	bhida
BikzA	bhikṣā	Bikza	bhikṣa
BujA	bhujā	Buja	bhuja
CA	chā	Ca	cha
CidA	chidā	Cida	chida
CurA	churā	Cura	chura
DA	dhā	Da	dha
DanvA	dhanvā	Danva	dhanva
GA	ghā	Ga	gha
GawA	ghaṭā	Gawa	ghaṭa
GfRA	ghṛṇā	GfRa	ghṛṇa
ISA	īśā	ISa	īśa
IhA	īhā	Iha	īha
IqA	īḍā	Iqa	īḍa
IrzyA	īrṣyā	Irzya	īrṣya
IzA	īṣā	Iza	īṣa
JazA	jhaṣā	Jaza	jhaṣa
KajA	khajā	Kaja	khaja
KawwA	khaṭṭā	Kawwa	khaṭṭa
KelA	khelā	Kela	khela
PaRA	phaṇā	PaRa	phaṇa
PalA	phalā	Pala	phala
PelA	phelā	Pela	phela
SAKA	śākhā	SAKa	śākha
SAlA	śālā	SAla	śāla
SIlA	śīlā	SIla	śīla
SItapuzpA	śītapuṣpā	SItapuzpa	śītapuṣpa
SUlA	śūlā	SUla	śūla
SaMsA	śaṃsā	SaMsa	śaṃsa
SarmmA	śarmmā	Sarmma	śarmma
SawA	śaṭā	Sawa	śaṭa
SikzA	śikṣā	Sikza	śikṣa
SilA	śilā	Sila	śila
SlizA	śliṣā	Sliza	śliṣa
SoRA	śoṇā	SoRa	śoṇa
SroRA	śroṇā	SroRa	śroṇa
SuBA	śubhā	SuBa	śubha
SucA	śucā	Suca	śuca
SuzmA	śuṣmā	Suzma	śuṣma
UzA	ūṣā	Uza	ūṣa
aTarvvA	atharvvā	aTarvva	atharvva
ahahA	ahahā	ahaha	ahaha
ajA	ajā	aja	aja
akarmmA	akarmmā	akarmma	akarmma
amA	amā	ama	ama
ambA	ambā	amba	amba
arccA	arccā	arcca	arcca
arvvA	arvvā	arvva	arvva
bADA	bādhā	bADa	bādha
balA	balā	bala	bala
brahmA	brahmā	brahma	brahma
buDA	budhā	buDa	budha
bukkA	bukkā	bukka	bukka
cUzA	cūṣā	cUza	cūṣa
calA	calā	cala	cala
carccA	carccā	carcca	carcca
carvvA	carvvā	carvva	carvva
cezwA	ceṣṭā	cezwa	ceṣṭa
cikkA	cikkā	cikka	cikka
citA	citā	cita	cita
citrA	citrā	citra	citra
culumpA	culumpā	culumpa	culumpa
curA	curā	cura	cura
dA	dā	da	da
dAmA	dāmā	dAma	dāma
dIkzA	dīkṣā	dIkza	dīkṣa
daSA	daśā	daSa	daśa
dakzA	dakṣā	dakza	dakṣa
dayA	dayā	daya	daya
devA	devā	deva	deva
dfSA	dṛśā	dfSa	dṛśa
diSA	diśā	diSa	diśa
divA	divā	diva	diva
drAkzA	drākṣā	drAkza	drākṣa
druRA	druṇā	druRa	druṇa
durnAmA	durnāmā	durnAma	durnāma
ezA	eṣā	eza	eṣa
gA	gā	ga	ga
gadA	gadā	gada	gada
galA	galā	gala	gala
ganDA	gandhā	ganDa	gandha
garhA	garhā	garha	garha
guRA	guṇā	guRa	guṇa
guhA	guhā	guha	guha
guqA	guḍā	guqa	guḍa
hA	hā	ha	ha
halA	halā	hala	hala
hantA	hantā	hanta	hanta
harinAmA	harināmā	harinAma	harināma
hayA	hayā	haya	haya
hemA	hemā	hema	hema
hezA	heṣā	heza	heṣa
hikkA	hikkā	hikka	hikka
hoqA	hoḍā	hoqa	hoḍa
hrezA	hreṣā	hreza	hreṣa
idA	idā	ida	ida
ilA	ilā	ila	ila
jA	jā	ja	ja
jIvA	jīvā	jIva	jīva
janA	janā	jana	jana
japA	japā	japa	japa
jawA	jaṭā	jawa	jaṭa
kASA	kāśā	kASa	kāśa
kAlA	kālā	kAla	kāla
kIlA	kīlā	kIla	kīla
kaRA	kaṇā	kaRa	kaṇa
kaSA	kaśā	kaSa	kaśa
kaTA	kathā	kaTa	katha
kacA	kacā	kaca	kaca
kadA	kadā	kada	kada
kalA	kalā	kala	kala
kamA	kamā	kama	kama
karttA	karttā	kartta	kartta
kazA	kaṣā	kaza	kaṣa
